STUSAB,SUMLEV,COUNTY,COUSUB,PLACE,GEOID2,CHGOCA,TRACT,NAME
IL,080,031,14000,14000,19190701,19,190701,CA 19 Tract 190701
IL,080,031,14000,14000,19190702,19,190702,CA 19 Tract 190702
IL,080,031,14000,14000,19190800,19,190800,CA 19 Tract 190800
IL,080,031,14000,14000,19190900,19,190900,CA 19 Tract 190900
IL,080,031,14000,14000,19191000,19,191000,CA 19 Tract 191000
IL,080,031,14000,14000,19191100,19,191100,CA 19 Tract 191100
IL,080,031,14000,14000,19191200,19,191200,CA 19 Tract 191200
IL,080,031,14000,14000,19191301,19,191301,CA 19 Tract 191301
IL,080,031,14000,14000,19191302,19,191302,CA 19 Tract 191302
IL,080,031,14000,14000,19831500,19,831500,CA 19 Tract 831500
IL,080,031,14000,14000,20200100,20,200100,CA 20 Tract 200100
IL,080,031,14000,14000,20200200,20,200200,CA 20 Tract 200200
IL,080,031,14000,14000,20200300,20,200300,CA 20 Tract 200300
IL,080,031,14000,14000,20200401,20,200401,CA 20 Tract 200401
IL,080,031,14000,14000,20200402,20,200402,CA 20 Tract 200402
IL,080,031,14000,14000,20831200,20,831200,CA 20 Tract 831200
IL,080,031,14000,14000,21210100,21,210100,CA 21 Tract 210100
IL,080,031,14000,14000,21210400,21,210400,CA 21 Tract 210400
IL,080,031,14000,14000,21210501,21,210501,CA 21 Tract 210501
IL,080,031,14000,14000,21210502,21,210502,CA 21 Tract 210502
IL,080,031,14000,14000,21210601,21,210601,CA 21 Tract 210601
IL,080,031,14000,14000,21210602,21,210602,CA 21 Tract 210602
IL,080,031,14000,14000,21210700,21,210700,CA 21 Tract 210700
IL,080,031,14000,14000,21210800,21,210800,CA 21 Tract 210800
IL,080,031,14000,14000,21210900,21,210900,CA 21 Tract 210900
IL,080,031,14000,14000,21831100,21,831100,CA 21 Tract 831100
IL,080,031,14000,14000,22220300,22,220300,CA 22 Tract 220300
IL,080,031,14000,14000,22220400,22,220400,CA 22 Tract 220400
IL,080,031,14000,14000,22220500,22,220500,CA 22 Tract 220500
IL,080,031,14000,14000,22220601,22,220601,CA 22 Tract 220601
IL,080,031,14000,14000,22220602,22,220602,CA 22 Tract 220602
IL,080,031,14000,14000,22220701,22,220701,CA 22 Tract 220701
IL,080,031,14000,14000,22220702,22,220702,CA 22 Tract 220702
IL,080,031,14000,14000,22220901,22,220901,CA 22 Tract 220901
IL,080,031,14000,14000,22220902,22,220902,CA 22 Tract 220902
IL,080,031,14000,14000,22221000,22,221000,CA 22 Tract 221000
IL,080,031,14000,14000,22221100,22,221100,CA 22 Tract 221100
IL,080,031,14000,14000,22221200,22,221200,CA 22 Tract 221200
IL,080,031,14000,14000,22221300,22,221300,CA 22 Tract 221300
IL,080,031,14000,14000,22221400,22,221400,CA 22 Tract 221400
IL,080,031,14000,14000,22221500,22,221500,CA 22 Tract 221500
IL,080,031,14000,14000,22221600,22,221600,CA 22 Tract 221600
IL,080,031,14000,14000,22222200,22,222200,CA 22 Tract 222200
IL,080,031,14000,14000,22222500,22,222500,CA 22 Tract 222500
IL,080,031,14000,14000,22222600,22,222600,CA 22 Tract 222600
IL,080,031,14000,14000,22222700,22,222700,CA 22 Tract 222700
IL,080,031,14000,14000,22222800,22,222800,CA 22 Tract 222800
IL,080,031,14000,14000,22222900,22,222900,CA 22 Tract 222900
IL,080,031,14000,14000,22830900,22,830900,CA 22 Tract 830900
IL,080,031,14000,14000,22831000,22,831000,CA 22 Tract 831000
IL,080,031,14000,14000,22832200,22,832200,CA 22 Tract 832200
IL,080,031,14000,14000,22832300,22,832300,CA 22 Tract 832300
IL,080,031,14000,14000,22832400,22,832400,CA 22 Tract 832400
IL,080,031,14000,14000,23230100,23,230100,CA 23 Tract 230100
IL,080,031,14000,14000,23230200,23,230200,CA 23 Tract 230200
IL,080,031,14000,14000,23230300,23,230300,CA 23 Tract 230300
IL,080,031,14000,14000,23230400,23,230400,CA 23 Tract 230400
IL,080,031,14000,14000,23230500,23,230500,CA 23 Tract 230500
IL,080,031,14000,14000,23230600,23,230600,CA 23 Tract 230600
IL,080,031,14000,14000,23230700,23,230700,CA 23 Tract 230700
IL,080,031,14000,14000,23230800,23,230800,CA 23 Tract 230800
IL,080,031,14000,14000,23230900,23,230900,CA 23 Tract 230900
IL,080,031,14000,14000,23231100,23,231100,CA 23 Tract 231100
IL,080,031,14000,14000,23231200,23,231200,CA 23 Tract 231200
IL,080,031,14000,14000,23231500,23,231500,CA 23 Tract 231500
IL,080,031,14000,14000,23836600,23,836600,CA 23 Tract 836600
IL,080,031,14000,14000,23836700,23,836700,CA 23 Tract 836700
IL,080,031,14000,14000,23842100,23,842100,CA 23 Tract 842100
IL,080,031,14000,14000,24240200,24,240200,CA 24 Tract 240200
IL,080,031,14000,14000,24240300,24,240300,CA 24 Tract 240300
IL,080,031,14000,14000,24240500,24,240500,CA 24 Tract 240500
IL,080,031,14000,14000,24240600,24,240600,CA 24 Tract 240600
IL,080,031,14000,14000,24240700,24,240700,CA 24 Tract 240700
IL,080,031,14000,14000,24240800,24,240800,CA 24 Tract 240800
IL,080,031,14000,14000,24240900,24,240900,CA 24 Tract 240900
IL,080,031,14000,14000,24241000,24,241000,CA 24 Tract 241000
IL,080,031,14000,14000,24241100,24,241100,CA 24 Tract 241100
IL,080,031,14000,14000,24241200,24,241200,CA 24 Tract 241200
IL,080,031,14000,14000,24241300,24,241300,CA 24 Tract 241300
IL,080,031,14000,14000,24241400,24,241400,CA 24 Tract 241400
IL,080,031,14000,14000,24241500,24,241500,CA 24 Tract 241500
IL,080,031,14000,14000,24241600,24,241600,CA 24 Tract 241600
IL,080,031,14000,14000,24242000,24,242000,CA 24 Tract 242000
IL,080,031,14000,14000,24242100,24,242100,CA 24 Tract 242100
IL,080,031,14000,14000,24242200,24,242200,CA 24 Tract 242200
IL,080,031,14000,14000,24242300,24,242300,CA 24 Tract 242300
IL,080,031,14000,14000,24242400,24,242400,CA 24 Tract 242400
IL,080,031,14000,14000,24242500,24,242500,CA 24 Tract 242500
IL,080,031,14000,14000,24242600,24,242600,CA 24 Tract 242600
IL,080,031,14000,14000,24242700,24,242700,CA 24 Tract 242700
IL,080,031,14000,14000,24242800,24,242800,CA 24 Tract 242800
IL,080,031,14000,14000,24242900,24,242900,CA 24 Tract 242900
IL,080,031,14000,14000,24243000,24,243000,CA 24 Tract 243000
IL,080,031,14000,14000,24243100,24,243100,CA 24 Tract 243100
IL,080,031,14000,14000,24243200,24,243200,CA 24 Tract 243200
IL,080,031,14000,14000,24243300,24,243300,CA 24 Tract 243300
IL,080,031,14000,14000,24243400,24,243400,CA 24 Tract 243400
IL,080,031,14000,14000,24243500,24,243500,CA 24 Tract 243500
IL,080,031,14000,14000,24842300,24,842300,CA 24 Tract 842300
IL,080,031,14000,14000,25250200,25,250200,CA 25 Tract 250200
IL,080,031,14000,14000,25250300,25,250300,CA 25 Tract 250300
IL,080,031,14000,14000,25250400,25,250400,CA 25 Tract 250400
IL,080,031,14000,14000,25250500,25,250500,CA 25 Tract 250500
IL,080,031,14000,14000,25250600,25,250600,CA 25 Tract 250600
IL,080,031,14000,14000,25250700,25,250700,CA 25 Tract 250700
IL,080,031,14000,14000,25250800,25,250800,CA 25 Tract 250800
IL,080,031,14000,14000,25251000,25,251000,CA 25 Tract 251000
IL,080,031,14000,14000,25251100,25,251100,CA 25 Tract 251100
IL,080,031,14000,14000,25251200,25,251200,CA 25 Tract 251200
IL,080,031,14000,14000,25251300,25,251300,CA 25 Tract 251300
IL,080,031,14000,14000,25251400,25,251400,CA 25 Tract 251400
IL,080,031,14000,14000,25251500,25,251500,CA 25 Tract 251500
IL,080,031,14000,14000,25251600,25,251600,CA 25 Tract 251600
IL,080,031,14000,14000,25251700,25,251700,CA 25 Tract 251700
IL,080,031,14000,14000,25251800,25,251800,CA 25 Tract 251800
IL,080,031,14000,14000,25251900,25,251900,CA 25 Tract 251900
IL,080,031,14000,14000,25252000,25,252000,CA 25 Tract 252000
IL,080,031,14000,14000,25252101,25,252101,CA 25 Tract 252101
IL,080,031,14000,14000,25252102,25,252102,CA 25 Tract 252102
IL,080,031,14000,14000,25252201,25,252201,CA 25 Tract 252201
IL,080,031,14000,14000,25252202,25,252202,CA 25 Tract 252202
IL,080,031,14000,14000,25831300,25,831300,CA 25 Tract 831300
IL,080,031,14000,14000,25831400,25,831400,CA 25 Tract 831400
IL,080,031,14000,14000,26260100,26,260100,CA 26 Tract 260100
IL,080,031,14000,14000,26260200,26,260200,CA 26 Tract 260200
IL,080,031,14000,14000,26260300,26,260300,CA 26 Tract 260300
IL,080,031,14000,14000,26260400,26,260400,CA 26 Tract 260400
IL,080,031,14000,14000,26260500,26,260500,CA 26 Tract 260500
IL,080,031,14000,14000,26260600,26,260600,CA 26 Tract 260600
IL,080,031,14000,14000,26260700,26,260700,CA 26 Tract 260700
IL,080,031,14000,14000,26260800,26,260800,CA 26 Tract 260800
IL,080,031,14000,14000,26260900,26,260900,CA 26 Tract 260900
IL,080,031,14000,14000,26261000,26,261000,CA 26 Tract 261000
IL,080,031,14000,14000,27270500,27,270500,CA 27 Tract 270500
IL,080,031,14000,14000,27271200,27,271200,CA 27 Tract 271200
IL,080,031,14000,14000,27271300,27,271300,CA 27 Tract 271300
IL,080,031,14000,14000,27271400,27,271400,CA 27 Tract 271400
IL,080,031,14000,14000,27271500,27,271500,CA 27 Tract 271500
IL,080,031,14000,14000,27271800,27,271800,CA 27 Tract 271800
IL,080,031,14000,14000,27836800,27,836800,CA 27 Tract 836800
IL,080,031,14000,14000,27836900,27,836900,CA 27 Tract 836900
IL,080,031,14000,14000,27837000,27,837000,CA 27 Tract 837000
IL,080,031,14000,14000,27837100,27,837100,CA 27 Tract 837100
IL,080,031,14000,14000,27837300,27,837300,CA 27 Tract 837300
IL,080,031,14000,14000,27837400,27,837400,CA 27 Tract 837400
IL,080,031,14000,14000,28280100,28,280100,CA 28 Tract 280100
IL,080,031,14000,14000,28280400,28,280400,CA 28 Tract 280400
IL,080,031,14000,14000,28280800,28,280800,CA 28 Tract 280800
IL,080,031,14000,14000,28280900,28,280900,CA 28 Tract 280900
IL,080,031,14000,14000,28281900,28,281900,CA 28 Tract 281900
IL,080,031,14000,14000,28282700,28,282700,CA 28 Tract 282700
IL,080,031,14000,14000,28282800,28,282800,CA 28 Tract 282800
IL,080,031,14000,14000,28283100,28,283100,CA 28 Tract 283100
IL,080,031,14000,14000,28283200,28,283200,CA 28 Tract 283200
IL,080,031,14000,14000,28283800,28,283800,CA 28 Tract 283800
IL,080,031,14000,14000,28832900,28,832900,CA 28 Tract 832900
IL,080,031,14000,14000,28833000,28,833000,CA 28 Tract 833000
IL,080,031,14000,14000,28833100,28,833100,CA 28 Tract 833100
IL,080,031,14000,14000,28833300,28,833300,CA 28 Tract 833300
IL,080,031,14000,14000,28837800,28,837800,CA 28 Tract 837800
