area_id,area_name,b11002d001,b11002d001_moe,b11002d002,b11002d002_moe,b11002d003,b11002d003_moe,b11002d004,b11002d004_moe,b11002d005,b11002d005_moe,b11002d006,b11002d006_moe,b11002d007,b11002d007_moe,b11002d008,b11002d008_moe,b11002d009,b11002d009_moe,b11002d010,b11002d010_moe,b11002d011,b11002d011_moe,b11002d012,b11002d012_moe
6.1,First Hill,1830,368,745,277,536,225,536,225,0,24,164,133,164,133,0,24,45,60,45,60,0,24,1085,254
6.2,Capitol Hill,1529,412,404,304,337,296,337,296,0,29,29,52,29,52,0,29,38,53,38,53,0,29,1125,304
6.3,North Capitol Hill,274,169,178,145,178,145,178,145,0,12,0,12,0,12,0,12,0,12,0,12,0,12,96,64
6.4,Miller Park,335,135,228,120,181,111,181,111,0,17,11,22,11,22,0,17,36,42,36,42,0,17,107,83
6.5,Madison Park,201,160,121,134,121,134,121,134,0,17,0,17,0,17,0,17,0,17,0,17,0,17,80,81
7.1,Montlake/Portage Bay,387,164,231,145,159,135,159,135,0,21,0,21,0,21,0,21,72,95,72,95,0,21,156,108
7.2,University District,2257,424,437,206,126,95,126,95,0,29,230,178,193,151,37,50,81,74,81,74,0,29,1820,408
7.3,Ravenna/Bryant,2572,631,1405,333,1226,324,1226,324,0,32,41,69,41,69,0,32,138,103,138,103,0,32,1167,544
7.4,Wedgwood/View Ridge,1674,288,1469,302,1169,286,1169,286,0,27,121,147,121,147,0,27,179,158,179,158,0,27,205,100
7.5,Laurelhurst/Sand Point,1232,383,1063,383,793,349,793,349,0,21,0,21,0,21,0,21,270,167,206,132,64,65,169,94
8.1,Northgate/Maple Leaf,2252,415,1445,415,995,354,959,349,36,37,150,145,104,98,46,54,300,271,290,269,10,26,807,212
8.2,Olympic Hills/Victory Heights,2319,505,1700,492,899,360,857,318,42,70,195,168,184,163,11,25,606,351,580,349,26,34,619,271
8.3,Cedar Park/Meadowbrook,1098,272,693,233,626,237,626,237,0,27,21,53,21,53,0,27,46,79,46,79,0,27,405,161
9.1,Broadview/Bitter Lake,1078,313,700,264,659,261,659,261,0,27,0,27,0,27,0,27,41,44,35,42,6,26,378,209
9.2,Licton Springs,1369,317,688,275,509,257,509,257,0,17,57,60,57,60,0,17,122,103,122,103,0,17,681,203
9.3,Greenwood/Phinney Ridge,1798,412,1512,398,1051,415,1047,415,4,28,0,29,0,29,0,29,461,223,430,209,31,36,286,138
9.4,Green Lake,779,233,501,209,414,193,414,193,0,24,0,24,0,24,0,24,87,88,87,88,0,24,278,125
9.5,Haller Lake,1383,308,1047,310,951,303,911,300,40,63,0,21,0,21,0,21,96,93,96,93,0,21,336,180
10.1,North Beach/Blue Ridge,490,184,392,174,364,170,364,170,0,21,28,50,28,50,0,21,0,21,0,21,0,21,98,56
10.2,Whittier Heights,451,182,338,178,292,161,292,161,0,24,0,24,0,24,0,24,46,80,34,61,12,26,113,94
10.3,Sunset Hill/Loyal Heights,562,239,439,234,335,210,335,210,0,24,41,58,41,58,0,24,63,102,51,84,12,26,123,104
10.4,Ballard,616,325,283,239,283,239,283,239,0,17,0,17,0,17,0,17,0,17,0,17,0,17,333,258
11.1,Fremont,736,267,321,163,215,147,215,147,0,24,0,24,0,24,0,24,106,78,106,78,0,24,415,216
11.2,Wallingford,1809,423,352,167,286,156,272,149,14,33,0,27,0,27,0,27,66,61,66,61,0,27,1457,395
11.3,Cascade/Eastlake,1921,495,738,483,386,219,386,219,0,21,333,423,241,288,92,145,19,53,19,53,0,21,1183,333
12.1,Magnolia,532,253,286,216,286,216,286,216,0,24,0,24,0,24,0,24,0,24,0,24,0,24,246,155
12.2,Interbay,496,263,271,196,212,178,212,178,0,21,0,21,0,21,0,21,59,74,59,74,0,21,225,184
12.3,Queen Anne,2482,520,1317,431,1153,443,1153,443,0,40,0,40,0,40,0,40,164,188,151,177,13,43,1165,301
13.1,Belltown,837,326,277,249,147,103,147,103,0,21,130,224,63,109,67,117,0,21,0,21,0,21,560,197
13.2,Downtown Commercial Core,380,249,314,246,314,246,314,246,0,12,0,12,0,12,0,12,0,12,0,12,0,12,66,58
13.3,Pioneer Square/International District,2349,384,1553,391,1078,304,1064,302,14,23,123,115,110,101,13,22,352,278,352,278,0,17,796,144
