area_id,area_name,b11002h001,b11002h001_moe,b11002h002,b11002h002_moe,b11002h003,b11002h003_moe,b11002h004,b11002h004_moe,b11002h005,b11002h005_moe,b11002h006,b11002h006_moe,b11002h007,b11002h007_moe,b11002h008,b11002h008_moe,b11002h009,b11002h009_moe,b11002h010,b11002h010_moe,b11002h011,b11002h011_moe,b11002h012,b11002h012_moe
10.3,Sunset Hill/Loyal Heights,12809,651,8885,630,7462,631,7416,624,46,62,535,403,439,303,96,119,888,322,655,237,233,137,3924,504
10.4,Ballard,5689,496,2559,506,2022,466,2022,466,0,17,197,181,172,157,25,40,340,204,340,204,0,17,3130,456
11.1,Fremont,13212,587,6392,596,5463,601,5344,590,119,71,340,193,276,152,64,53,589,291,497,233,92,86,6820,522
11.2,Wallingford,12903,966,6191,630,4996,510,4958,501,38,65,661,335,539,271,122,111,534,263,425,200,109,87,6712,908
11.3,Cascade/Eastlake,7977,716,2028,501,1768,474,1768,474,0,21,90,104,75,88,15,29,170,143,152,113,18,44,5949,584
12.1,Magnolia,11631,686,9038,718,8475,714,8452,706,23,41,194,145,194,145,0,24,369,182,358,179,11,24,2593,454
12.2,Interbay,7972,604,4423,590,3985,568,3935,563,50,73,0,21,0,21,0,21,438,180,420,173,18,26,3549,448
12.3,Queen Anne,28706,1078,15744,1048,14247,1046,14192,1042,55,64,355,168,344,164,11,42,1142,392,1088,373,54,55,12962,979
13.1,Belltown,5717,510,1910,433,1798,408,1798,408,0,21,0,21,0,21,0,21,112,110,98,93,14,26,3807,415
13.2,Downtown Commercial Core,2279,255,625,206,607,201,607,201,0,12,0,12,0,12,0,12,18,33,18,33,0,12,1654,237
13.3,Pioneer Square/International District,1553,232,207,124,207,124,207,124,0,17,0,17,0,17,0,17,0,17,0,17,0,17,1346,221
