area_id,area_name,c27001b001,c27001b001_moe,c27001b002,c27001b002_moe,c27001b003,c27001b003_moe,c27001b004,c27001b004_moe,c27001b005,c27001b005_moe,c27001b006,c27001b006_moe,c27001b007,c27001b007_moe,c27001b008,c27001b008_moe,c27001b009,c27001b009_moe,c27001b010,c27001b010_moe
9.1,Broadview/Bitter Lake,1041,416,188,201,188,201,0,27,787,301,624,264,163,117,66,74,66,74,0,27
9.2,Licton Springs,424,266,112,123,44,50,68,112,312,175,218,138,94,106,0,17,0,17,0,17
9.3,Greenwood/Phinney Ridge,449,237,72,91,71,91,1,27,358,176,301,155,57,69,19,37,19,37,0,29
9.4,Green Lake,193,133,28,48,28,48,0,24,165,110,165,110,0,24,0,24,0,24,0,24
9.5,Haller Lake,638,327,177,122,111,96,66,81,461,236,400,221,61,76,0,21,0,21,0,21
10.1,North Beach/Blue Ridge,89,130,42,63,42,63,0,21,47,70,47,70,0,21,0,21,0,21,0,21
10.2,Whittier Heights,61,70,0,24,0,24,0,24,61,70,61,70,0,24,0,24,0,24,0,24
10.3,Sunset Hill/Loyal Heights,31,30,0,24,0,24,0,24,17,33,17,33,0,24,14,28,14,28,0,24
10.4,Ballard,146,122,62,66,62,66,0,17,84,69,81,66,3,12,0,17,0,17,0,17
11.1,Fremont,216,196,65,97,65,97,0,24,120,87,88,82,32,36,31,38,13,28,18,36
11.2,Wallingford,447,248,98,131,98,131,0,27,349,171,317,168,32,37,0,27,0,27,0,27
11.3,Cascade/Eastlake,628,208,45,68,45,68,0,21,546,173,428,144,118,87,37,36,34,38,3,19
12.1,Magnolia,50,56,33,53,33,53,0,24,17,32,17,32,0,24,0,24,0,24,0,24
12.2,Interbay,479,306,66,98,66,98,0,21,385,265,319,257,66,53,28,32,28,32,0,21
12.3,Queen Anne,968,442,113,153,113,153,0,40,839,325,693,293,146,108,16,35,16,35,0,40
13.1,Belltown,633,250,0,21,0,21,0,21,633,250,551,238,82,80,0,21,0,21,0,21
13.2,Downtown Commercial Core,334,162,0,12,0,12,0,12,304,137,224,125,80,61,30,41,30,41,0,12
13.3,Pioneer Square/International District,854,498,344,359,344,359,0,17,479,205,377,190,102,84,31,28,31,28,0,17
