area_id,area_name,b18101i001,b18101i001_moe,b18101i002,b18101i002_moe,b18101i003,b18101i003_moe,b18101i004,b18101i004_moe,b18101i005,b18101i005_moe,b18101i006,b18101i006_moe,b18101i007,b18101i007_moe,b18101i008,b18101i008_moe,b18101i009,b18101i009_moe,b18101i010,b18101i010_moe
7.2,University District,954,305,5,27,0,29,5,27,949,305,88,90,861,289,0,29,0,29,0,29
7.3,Ravenna/Bryant,685,197,173,85,2,30,171,85,512,147,14,38,498,144,0,32,0,32,0,32
7.4,Wedgwood/View Ridge,503,174,180,98,13,29,167,99,323,123,25,32,298,118,0,27,0,27,0,27
7.5,Laurelhurst/Sand Point,258,173,67,76,0,21,67,76,191,123,31,73,160,95,0,21,0,21,0,21
8.1,Northgate/Maple Leaf,804,275,92,66,23,32,69,55,650,251,44,37,606,249,62,94,62,94,0,24
8.2,Olympic Hills/Victory Heights,1103,413,345,194,25,39,320,189,758,257,140,108,618,200,0,24,0,24,0,24
8.3,Cedar Park/Meadowbrook,1077,382,260,131,0,27,260,131,796,279,88,63,708,278,21,39,0,27,21,39
9.1,Broadview/Bitter Lake,636,290,192,133,11,27,181,129,387,164,64,87,323,140,57,54,35,42,22,43
9.2,Licton Springs,950,463,223,166,0,17,223,166,682,304,17,31,665,304,45,62,0,17,45,62
9.3,Greenwood/Phinney Ridge,1244,391,336,164,0,29,336,164,863,281,59,49,804,271,45,44,23,40,22,36
9.4,Green Lake,719,248,45,49,0,24,45,49,611,221,30,50,581,217,63,59,0,24,63,59
9.5,Haller Lake,811,358,287,179,0,21,287,179,500,201,0,21,500,201,24,28,24,28,0,21
10.1,North Beach/Blue Ridge,689,308,156,144,0,21,156,144,533,190,41,54,492,184,0,21,0,21,0,21
10.2,Whittier Heights,525,214,85,60,0,24,85,60,429,191,57,79,372,177,11,25,0,24,11,25
10.3,Sunset Hill/Loyal Heights,460,187,180,113,0,24,180,113,247,110,0,24,247,110,33,40,19,33,14,28
10.4,Ballard,516,255,54,49,15,24,39,45,462,235,39,44,423,220,0,17,0,17,0,17
11.1,Fremont,832,214,120,104,0,24,120,104,712,179,34,41,678,175,0,24,0,24,0,24
11.2,Wallingford,543,185,136,78,0,27,136,78,389,162,0,27,389,162,18,36,0,27,18,36
11.3,Cascade/Eastlake,814,246,118,108,0,21,118,108,630,189,15,29,615,188,66,66,17,33,49,60
12.1,Magnolia,358,192,151,113,0,24,151,113,207,116,25,44,182,98,0,24,0,24,0,24
12.2,Interbay,462,223,123,93,0,21,123,93,306,146,7,19,299,142,33,41,0,21,33,41
12.3,Queen Anne,1737,411,158,103,28,45,130,92,1501,386,118,92,1383,371,78,72,9,39,69,73
13.1,Belltown,413,200,0,21,0,21,0,21,413,200,18,46,395,192,0,21,0,21,0,21
13.2,Downtown Commercial Core,156,112,0,12,0,12,0,12,139,113,40,63,99,97,17,29,0,12,17,29
13.3,Pioneer Square/International District,113,71,8,20,0,17,8,20,93,61,11,22,82,57,12,24,12,24,0,17
