area_id,area_name,c21001b001,c21001b001_moe,c21001b002,c21001b002_moe,c21001b003,c21001b003_moe,c21001b004,c21001b004_moe,c21001b005,c21001b005_moe,c21001b006,c21001b006_moe,c21001b007,c21001b007_moe,c21001b008,c21001b008_moe,c21001b009,c21001b009_moe,c21001b010,c21001b010_moe,c21001b011,c21001b011_moe,c21001b012,c21001b012_moe,c21001b013,c21001b013_moe,c21001b014,c21001b014_moe,c21001b015,c21001b015_moe
8.1,Northgate/Maple Leaf,480,178,330,162,280,160,20,30,260,159,50,62,29,50,21,38,150,84,150,84,0,24,150,84,0,24,0,24,0,24
8.2,Olympic Hills/Victory Heights,570,264,371,216,329,202,0,24,329,202,42,48,22,39,20,35,199,117,199,117,0,24,199,117,0,24,0,24,0,24
8.3,Cedar Park/Meadowbrook,504,221,232,113,217,109,45,41,172,108,15,32,15,32,0,27,272,157,267,157,0,27,267,157,5,19,0,27,5,19
9.1,Broadview/Bitter Lake,904,304,398,180,377,175,16,33,361,174,21,32,4,26,17,31,506,190,414,185,0,27,414,185,92,76,40,64,52,44
9.2,Licton Springs,312,175,154,98,154,98,0,17,154,98,0,17,0,17,0,17,158,95,158,95,0,17,158,95,0,17,0,17,0,17
9.3,Greenwood/Phinney Ridge,395,180,224,115,206,112,15,32,191,106,18,39,0,29,18,39,171,117,170,117,12,35,158,112,1,27,0,29,1,27
9.4,Green Lake,165,110,117,97,117,97,0,24,117,97,0,24,0,24,0,24,48,46,48,46,0,24,48,46,0,24,0,24,0,24
9.5,Haller Lake,464,235,277,154,277,154,15,26,262,153,0,21,0,21,0,21,187,113,187,113,0,21,187,113,0,21,0,21,0,21
10.1,North Beach/Blue Ridge,47,70,0,21,0,21,0,21,0,21,0,21,0,21,0,21,47,70,47,70,0,21,47,70,0,21,0,21,0,21
10.2,Whittier Heights,61,70,61,70,61,70,0,24,61,70,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24
10.3,Sunset Hill/Loyal Heights,31,30,14,28,0,24,0,24,0,24,14,28,0,24,14,28,17,33,17,33,0,24,17,33,0,24,0,24,0,24
10.4,Ballard,84,69,26,34,26,34,0,17,26,34,0,17,0,17,0,17,58,49,58,49,0,17,58,49,0,17,0,17,0,17
11.1,Fremont,151,110,63,58,63,58,0,24,63,58,0,24,0,24,0,24,88,71,57,47,0,24,57,47,31,38,0,24,31,38
11.2,Wallingford,349,171,234,134,234,134,0,27,234,134,0,27,0,27,0,27,115,107,115,107,0,27,115,107,0,27,0,27,0,27
11.3,Cascade/Eastlake,583,180,356,138,345,135,67,62,278,132,11,26,11,26,0,21,227,117,201,113,0,21,201,113,26,28,0,21,26,28
12.1,Magnolia,23,30,17,32,17,32,0,24,17,32,0,24,0,24,0,24,6,21,0,24,0,24,0,24,6,21,0,24,6,21
12.2,Interbay,413,270,335,257,335,257,100,91,235,237,0,21,0,21,0,21,78,68,50,49,0,21,50,49,28,32,0,21,28,32
12.3,Queen Anne,855,331,586,248,586,248,116,117,470,221,0,40,0,40,0,40,269,157,253,151,0,40,253,151,16,35,0,40,16,35
13.1,Belltown,633,250,508,233,508,233,196,124,312,204,0,21,0,21,0,21,125,79,125,79,0,21,125,79,0,21,0,21,0,21
13.2,Downtown Commercial Core,395,171,358,178,328,157,32,39,296,138,30,41,17,29,13,29,37,39,37,39,0,12,37,39,0,12,0,12,0,12
13.3,Pioneer Square/International District,510,208,351,177,320,174,48,48,272,168,31,28,9,18,22,25,159,77,159,77,25,33,134,80,0,17,0,17,0,17
