area_id,area_name,b11004001,b11004001_moe,b11004002,b11004002_moe,b11004003,b11004003_moe,b11004004,b11004004_moe,b11004005,b11004005_moe,b11004006,b11004006_moe,b11004007,b11004007_moe,b11004008,b11004008_moe,b11004009,b11004009_moe,b11004010,b11004010_moe,b11004011,b11004011_moe,b11004012,b11004012_moe,b11004013,b11004013_moe,b11004014,b11004014_moe,b11004015,b11004015_moe,b11004016,b11004016_moe,b11004017,b11004017_moe,b11004018,b11004018_moe,b11004019,b11004019_moe,b11004020,b11004020_moe
5.2,Judkins Park,450,101,348,91,150,64,85,61,0,12,65,45,198,64,102,64,14,22,0,12,0,12,0,12,0,12,14,22,88,61,23,27,0,12,11,18,12,20,65,53
5.3,Central Area/Squire Park,2887,243,1971,215,761,142,372,123,158,83,231,91,1210,185,916,195,259,104,139,83,47,42,34,58,58,53,120,90,657,174,421,152,103,75,55,67,263,124,236,88
6.1,First Hill,1417,199,1020,174,79,50,49,46,6,24,24,38,941,168,397,107,177,79,70,49,49,45,0,24,21,28,107,67,220,103,187,96,105,75,0,24,82,69,33,44
6.2,Capitol Hill,2188,369,1761,348,370,183,312,182,17,38,41,53,1391,303,427,169,89,83,30,42,15,34,0,29,15,35,59,78,338,148,233,120,167,111,0,29,66,64,105,93
6.3,North Capitol Hill,727,127,682,121,159,53,60,51,31,26,68,33,523,118,45,43,0,12,0,12,0,12,0,12,0,12,0,12,45,43,17,26,0,12,0,12,17,26,28,32
6.4,Miller Park,1365,136,1201,127,602,77,162,62,119,55,321,71,599,113,164,75,55,47,22,24,0,17,0,17,22,24,33,43,109,65,65,53,40,48,0,17,25,23,44,30
6.5,Madison Park,1217,182,1070,178,422,125,67,87,83,56,272,81,648,114,147,80,37,36,9,15,0,17,0,17,9,15,28,34,110,76,79,59,15,24,0,17,64,56,31,36
7.1,Montlake/Portage Bay,2107,213,1685,185,547,81,218,70,99,48,230,73,1138,170,422,147,113,61,50,42,0,21,0,21,50,42,63,47,309,127,106,60,39,37,13,25,54,46,203,113
7.2,University District,1138,181,844,147,303,60,109,89,43,47,151,69,541,144,294,111,163,93,13,32,13,32,0,29,0,29,150,91,131,59,47,36,15,34,4,26,28,34,84,54
7.3,Ravenna/Bryant,4872,251,4283,268,2072,174,853,156,350,94,869,130,2211,222,589,147,91,55,48,40,40,41,0,32,8,31,43,46,498,136,267,95,66,48,51,64,150,67,231,99
7.4,Wedgwood/View Ridge,3927,197,3241,196,1530,144,413,102,247,81,870,148,1711,165,686,160,220,105,96,73,0,27,0,27,96,73,124,80,466,125,238,84,57,41,6,26,175,75,228,88
7.5,Laurelhurst/Sand Point,2695,190,2258,188,1108,132,258,95,175,69,675,130,1150,161,437,135,131,73,85,61,11,22,0,21,74,55,46,39,306,115,170,80,54,46,22,39,94,63,136,76
8.1,Northgate/Maple Leaf,2868,271,2126,248,888,149,397,128,178,74,313,86,1238,221,742,188,266,113,58,38,10,26,0,24,48,35,208,105,476,160,259,133,77,67,49,52,133,102,217,92
8.2,Olympic Hills/Victory Heights,3632,274,2600,241,974,160,404,135,93,60,477,113,1626,208,1032,221,331,139,101,79,0,24,0,24,101,79,230,122,701,185,375,136,86,81,65,72,224,115,326,111
8.3,Cedar Park/Meadowbrook,2665,229,2082,207,852,147,313,95,109,53,430,130,1230,174,583,170,176,90,79,65,0,27,3,25,76,66,97,62,407,152,297,139,177,127,56,50,64,44,110,65
9.1,Broadview/Bitter Lake,2993,252,2385,234,866,127,244,100,94,65,528,130,1519,223,608,172,107,76,81,75,0,27,0,27,81,75,26,35,501,153,288,136,66,86,37,40,185,111,213,85
9.2,Licton Springs,1744,248,1394,242,608,166,436,153,35,42,137,102,786,178,350,112,66,45,41,38,26,30,0,17,15,28,25,28,284,103,141,82,71,66,0,17,70,51,143,75
9.3,Greenwood/Phinney Ridge,5397,306,4512,324,2157,197,784,156,432,132,941,169,2355,272,885,173,183,88,78,67,9,30,0,29,69,65,105,64,702,158,340,111,99,76,30,37,211,79,362,121
9.4,Green Lake,2937,232,2451,221,985,121,491,118,97,54,397,94,1466,216,486,133,109,54,58,41,24,33,0,24,34,33,51,41,377,124,149,76,27,37,9,26,113,67,228,112
9.5,Haller Lake,2381,228,1948,247,781,159,257,91,204,104,320,121,1167,218,433,122,180,85,104,62,35,40,0,21,69,48,76,56,253,101,120,64,38,42,3,16,79,49,133,83
10.1,North Beach/Blue Ridge,3159,193,2683,204,978,164,315,98,142,62,521,129,1705,166,476,136,115,72,111,72,47,56,0,21,64,44,4,18,361,121,214,96,12,25,0,21,202,101,147,65
10.2,Whittier Heights,2878,246,2319,244,1012,147,517,144,181,68,314,101,1307,229,559,179,197,110,180,106,70,53,12,25,98,88,17,32,362,134,186,100,38,37,50,63,98,58,176,97
10.3,Sunset Hill/Loyal Heights,3269,202,2751,216,1225,165,549,144,181,71,495,119,1526,197,518,146,186,108,71,70,27,33,0,24,44,63,115,82,332,108,173,80,11,24,18,32,144,75,159,76
