area_id,area_name,c15002d001,c15002d001_moe,c15002d002,c15002d002_moe,c15002d003,c15002d003_moe,c15002d004,c15002d004_moe,c15002d005,c15002d005_moe,c15002d006,c15002d006_moe,c15002d007,c15002d007_moe,c15002d008,c15002d008_moe,c15002d009,c15002d009_moe,c15002d010,c15002d010_moe,c15002d011,c15002d011_moe
5.1,Madrona/Leschi,563,117,279,86,0,21,13,28,40,38,226,71,284,84,0,21,13,27,48,40,223,82
5.2,Judkins Park,900,192,306,97,41,34,59,34,45,31,161,73,594,138,253,75,123,56,39,50,179,90
5.3,Central Area/Squire Park,790,212,372,140,20,28,37,52,95,71,220,108,418,140,25,34,6,23,104,72,283,123
6.1,First Hill,1410,275,791,211,160,77,78,64,152,73,401,179,619,161,156,88,68,49,69,40,326,120
6.2,Capitol Hill,1185,332,625,238,27,39,54,54,173,201,371,150,560,201,18,52,0,29,50,42,492,183
6.3,North Capitol Hill,217,114,101,63,0,12,0,12,32,34,69,55,116,76,0,12,0,12,0,12,116,76
6.4,Miller Park,372,114,179,75,5,14,17,24,9,18,148,70,193,84,11,20,56,59,0,17,126,59
6.5,Madison Park,231,138,31,44,0,17,0,17,0,17,31,44,200,110,0,17,0,17,18,28,182,117
7.1,Montlake/Portage Bay,411,141,189,82,0,21,28,31,0,21,161,78,222,92,0,21,33,30,55,55,134,74
7.2,University District,853,203,346,162,14,33,0,29,18,38,314,156,507,155,28,41,19,31,115,100,345,141
7.3,Ravenna/Bryant,1516,254,629,154,0,32,44,58,17,41,568,143,887,174,27,42,49,40,80,56,731,153
7.4,Wedgwood/View Ridge,1347,238,587,124,20,36,34,51,41,44,492,124,760,164,32,54,74,87,126,60,528,123
7.5,Laurelhurst/Sand Point,991,276,421,143,0,21,0,21,51,44,370,140,570,168,34,34,52,39,98,73,386,132
8.1,Northgate/Maple Leaf,1550,272,768,194,93,99,35,28,117,74,523,170,782,174,53,37,46,40,225,128,458,116
8.2,Olympic Hills/Victory Heights,1795,352,927,258,46,35,95,84,203,109,583,213,868,188,84,49,108,70,150,69,526,163
8.3,Cedar Park/Meadowbrook,935,205,402,101,66,46,33,43,105,62,198,66,533,147,54,38,73,89,60,50,346,106
9.1,Broadview/Bitter Lake,869,190,297,111,40,43,23,33,61,48,173,78,572,137,103,80,83,58,118,72,268,96
9.2,Licton Springs,1215,281,411,133,8,22,27,32,94,65,282,119,804,204,113,64,71,60,75,48,545,190
9.3,Greenwood/Phinney Ridge,1294,246,362,139,8,29,38,41,110,77,206,101,932,186,55,49,140,63,264,103,473,156
9.4,Green Lake,873,223,433,146,23,25,0,24,30,34,380,145,440,134,32,37,27,33,47,41,334,121
9.5,Haller Lake,1031,217,447,135,37,46,53,43,206,131,151,83,584,160,16,24,136,100,112,68,320,116
10.1,North Beach/Blue Ridge,429,134,163,65,0,21,30,37,46,33,87,47,266,96,16,30,27,33,104,63,119,58
10.2,Whittier Heights,408,118,137,77,18,31,0,24,22,39,97,66,271,98,17,29,18,33,46,43,190,81
10.3,Sunset Hill/Loyal Heights,475,138,125,72,0,24,0,24,0,24,125,72,350,115,2,18,0,24,88,62,260,124
10.4,Ballard,526,237,165,88,18,29,0,17,22,35,125,73,361,208,0,17,143,163,10,17,208,130
11.1,Fremont,749,194,318,118,0,24,36,46,35,41,247,101,431,154,55,44,0,24,29,36,347,141
11.2,Wallingford,645,181,337,136,12,29,4,25,11,29,310,128,308,96,26,33,9,28,37,36,236,87
11.3,Cascade/Eastlake,1561,352,876,274,20,38,66,53,28,36,762,264,685,208,23,41,20,31,100,88,542,204
12.1,Magnolia,520,128,189,95,0,24,0,24,58,57,131,81,331,102,15,30,24,41,42,48,250,99
12.2,Interbay,498,226,98,78,0,21,0,21,0,21,98,78,400,192,0,21,54,89,124,77,222,135
12.3,Queen Anne,2342,377,963,292,14,42,29,47,234,144,686,246,1379,249,14,42,42,49,329,150,994,225
13.1,Belltown,741,220,371,173,13,25,38,48,0,21,320,164,370,133,0,21,0,21,105,80,265,102
13.2,Downtown Commercial Core,310,153,111,72,19,31,28,38,21,36,43,40,199,107,19,30,18,29,53,49,109,82
13.3,Pioneer Square/International District,1959,230,968,143,482,139,126,63,196,85,164,70,991,155,573,121,111,68,112,58,195,74
