area_id,area_name,c27001i001,c27001i001_moe,c27001i002,c27001i002_moe,c27001i003,c27001i003_moe,c27001i004,c27001i004_moe,c27001i005,c27001i005_moe,c27001i006,c27001i006_moe,c27001i007,c27001i007_moe,c27001i008,c27001i008_moe,c27001i009,c27001i009_moe,c27001i010,c27001i010_moe
6.2,Capitol Hill,1393,474,131,149,131,149,0,29,1262,373,895,255,367,216,0,29,0,29,0,29
6.3,North Capitol Hill,259,111,0,12,0,12,0,12,259,111,224,101,35,43,0,12,0,12,0,12
6.4,Miller Park,348,136,81,62,81,62,0,17,231,81,231,81,0,17,36,45,36,45,0,17
6.5,Madison Park,131,92,35,43,35,43,0,17,76,56,76,56,0,17,20,33,20,33,0,17
7.1,Montlake/Portage Bay,348,154,87,61,87,61,0,21,232,119,199,113,33,33,29,42,29,42,0,21
7.2,University District,954,305,5,27,5,27,0,29,949,305,771,286,178,116,0,29,0,29,0,29
7.3,Ravenna/Bryant,685,197,173,85,173,85,0,32,512,147,436,137,76,58,0,32,0,32,0,32
7.4,Wedgwood/View Ridge,503,174,180,98,180,98,0,27,323,123,260,114,63,40,0,27,0,27,0,27
7.5,Laurelhurst/Sand Point,258,173,67,76,67,76,0,21,191,123,184,123,7,21,0,21,0,21,0,21
8.1,Northgate/Maple Leaf,804,275,92,66,92,66,0,24,650,251,454,216,196,139,62,94,62,94,0,24
8.2,Olympic Hills/Victory Heights,1103,413,345,194,299,147,46,74,758,257,482,191,276,189,0,24,0,24,0,24
8.3,Cedar Park/Meadowbrook,1077,382,260,131,165,119,95,82,796,279,284,139,512,276,21,39,21,39,0,27
9.1,Broadview/Bitter Lake,636,290,192,133,192,133,0,27,387,164,312,137,75,92,57,54,57,54,0,27
9.2,Licton Springs,950,463,223,166,139,121,84,118,682,304,177,108,505,281,45,62,45,62,0,17
9.3,Greenwood/Phinney Ridge,1244,391,336,164,336,164,0,29,863,281,645,221,218,149,45,44,33,39,12,33
9.4,Green Lake,719,248,45,49,45,49,0,24,611,221,489,183,122,87,63,59,63,59,0,24
9.5,Haller Lake,811,358,287,179,243,166,44,70,500,201,385,134,115,134,24,28,24,28,0,21
10.1,North Beach/Blue Ridge,689,308,156,144,57,55,99,134,533,190,329,131,204,173,0,21,0,21,0,21
10.2,Whittier Heights,525,214,85,60,85,60,0,24,429,191,361,146,68,108,11,25,11,25,0,24
10.3,Sunset Hill/Loyal Heights,460,187,180,113,144,96,36,40,247,110,214,106,33,36,33,40,33,40,0,24
10.4,Ballard,516,255,54,49,54,49,0,17,462,235,313,198,149,126,0,17,0,17,0,17
11.1,Fremont,832,214,120,104,120,104,0,24,712,179,584,169,128,68,0,24,0,24,0,24
11.2,Wallingford,543,185,136,78,136,78,0,27,389,162,260,116,129,117,18,36,18,36,0,27
11.3,Cascade/Eastlake,814,246,118,108,98,103,20,34,630,189,516,178,114,74,66,66,66,66,0,21
12.1,Magnolia,358,192,151,113,151,113,0,24,207,116,162,103,45,51,0,24,0,24,0,24
12.2,Interbay,462,223,123,93,123,93,0,21,306,146,292,141,14,27,33,41,33,41,0,21
12.3,Queen Anne,1737,411,158,103,131,93,27,58,1501,386,1223,352,278,142,78,72,78,72,0,40
13.1,Belltown,413,200,0,21,0,21,0,21,413,200,231,137,182,152,0,21,0,21,0,21
13.2,Downtown Commercial Core,156,112,0,12,0,12,0,12,139,113,72,71,67,89,17,29,17,29,0,12
13.3,Pioneer Square/International District,113,71,8,20,8,20,0,17,93,61,72,55,21,26,12,24,12,24,0,17
