area_id,area_name,b01001b001,b01001b001_moe,b01001b002,b01001b002_moe,b01001b003,b01001b003_moe,b01001b004,b01001b004_moe,b01001b005,b01001b005_moe,b01001b006,b01001b006_moe,b01001b007,b01001b007_moe,b01001b008,b01001b008_moe,b01001b009,b01001b009_moe,b01001b010,b01001b010_moe,b01001b011,b01001b011_moe,b01001b012,b01001b012_moe,b01001b013,b01001b013_moe,b01001b014,b01001b014_moe,b01001b015,b01001b015_moe,b01001b016,b01001b016_moe,b01001b017,b01001b017_moe,b01001b018,b01001b018_moe,b01001b019,b01001b019_moe,b01001b020,b01001b020_moe,b01001b021,b01001b021_moe,b01001b022,b01001b022_moe,b01001b023,b01001b023_moe,b01001b024,b01001b024_moe,b01001b025,b01001b025_moe,b01001b026,b01001b026_moe,b01001b027,b01001b027_moe,b01001b028,b01001b028_moe,b01001b029,b01001b029_moe,b01001b030,b01001b030_moe,b01001b031,b01001b031_moe
3.2,Georgetown,27,36,11,19,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,11,19,0,12,0,12,0,12,0,12,16,21,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,8,15,8,15,0,12,0,12,0,12
3.3,Duwamish/SODO,394,273,241,160,0,12,0,12,0,12,0,12,0,12,0,12,0,12,64,75,16,28,53,56,95,130,13,21,0,12,0,12,153,158,0,12,70,79,0,12,0,12,0,12,0,12,0,12,67,77,0,12,7,16,9,12,0,12,0,12,0,12
3.4,South Beacon Hill/NewHolly,4895,1096,2193,508,273,198,281,148,186,89,131,97,83,58,184,105,132,93,172,118,184,114,302,119,77,69,74,49,106,78,8,22,2702,714,304,167,475,249,350,196,70,105,149,99,132,84,129,98,214,111,319,131,270,103,152,80,60,40,38,37,40,68
3.5,Beacon Hill,901,352,417,211,102,104,10,22,53,49,12,22,0,17,0,17,0,17,34,37,29,37,134,113,27,30,0,17,16,27,0,17,484,213,34,38,14,26,0,17,12,23,13,26,0,17,100,122,19,25,50,58,94,88,45,44,33,39,51,45,19,31
3.6,North Beacon Hill/Jefferson Park,2135,436,1102,280,309,136,101,94,52,62,0,24,0,24,37,43,62,73,14,36,254,138,73,65,101,83,59,72,23,40,17,36,1033,275,5,24,50,69,230,136,44,43,40,47,0,24,29,58,43,48,188,129,101,77,150,81,103,77,33,40,17,36
4.1,Rainier Beach,5061,778,2544,444,121,116,210,139,356,158,174,115,141,105,168,147,227,152,145,138,367,187,210,115,188,108,219,100,18,30,0,27,2517,557,224,160,175,164,286,165,73,98,16,32,273,125,129,117,47,73,481,230,301,141,254,120,180,94,9,26,69,63
4.2,Columbia City,4541,815,2303,524,167,132,120,96,158,96,81,67,13,32,132,91,156,140,60,63,636,297,172,101,281,107,186,83,132,73,9,26,2238,409,150,111,174,106,57,53,29,52,83,94,240,156,72,70,70,62,291,143,360,168,341,123,255,105,55,52,61,49
4.3,Seward Park,1340,287,616,161,28,35,32,56,28,32,9,18,0,17,40,35,60,61,22,35,79,64,151,75,68,56,35,36,64,36,0,17,724,185,22,29,31,30,30,35,62,76,0,17,20,34,79,69,43,58,57,39,171,75,72,55,104,81,33,35,0,17
4.4,Mt. Baker/North Rainier,736,316,322,160,14,24,0,17,33,35,18,27,0,17,0,17,0,17,0,17,79,92,77,79,28,37,33,35,40,34,0,17,414,198,20,28,0,17,48,76,14,24,0,17,51,55,73,93,0,17,0,17,50,61,64,52,79,48,0,17,15,23
5.1,Madrona/Leschi,2264,570,1139,361,18,30,141,112,87,80,17,32,107,125,0,21,63,104,18,31,70,61,313,152,177,108,74,54,43,46,11,26,1125,364,101,106,31,35,30,50,0,21,74,95,51,83,0,21,98,85,107,101,143,72,209,179,139,87,84,58,58,47
5.2,Judkins Park,691,226,385,146,0,12,17,29,0,12,0,12,0,12,29,33,39,61,0,12,91,90,73,42,23,31,89,66,24,23,0,12,306,159,0,12,0,12,66,91,0,12,13,20,14,23,0,12,13,21,42,36,60,48,40,36,26,31,20,24,12,18
5.3,Central Area/Squire Park,3561,618,1768,398,76,74,107,104,138,114,53,49,18,39,53,48,200,153,169,107,219,99,302,148,272,112,85,66,67,39,9,25,1793,345,84,71,90,86,56,54,120,81,36,40,131,91,121,78,34,44,118,88,265,108,271,116,184,88,185,83,98,56
6.1,First Hill,1567,315,1112,260,63,67,0,24,6,26,11,25,25,35,149,95,60,53,158,108,187,112,250,134,127,84,41,38,14,30,21,38,455,147,13,29,17,36,0,24,14,25,19,33,47,57,54,59,42,45,28,33,105,65,45,41,40,47,0,24,31,42
6.2,Capitol Hill,1321,437,690,238,144,95,16,37,15,37,5,29,0,29,31,44,117,115,28,37,33,52,111,72,114,80,76,89,0,29,0,29,631,287,91,109,0,29,0,29,22,48,18,42,0,29,96,90,47,59,94,109,61,73,125,111,77,82,0,29,0,29
6.3,North Capitol Hill,20,29,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,20,29,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,18,29,0,12,2,6,0,12,0,12,0,12
6.4,Miller Park,854,277,469,160,52,53,10,20,92,105,0,17,39,47,39,45,26,32,11,21,32,44,38,46,103,60,9,18,8,17,10,20,385,142,47,56,36,43,35,42,30,37,0,17,0,17,67,58,11,21,19,24,32,35,36,34,39,34,33,27,0,17
6.5,Madison Park,116,105,52,53,0,17,22,37,10,17,0,17,0,17,0,17,0,17,0,17,0,17,10,17,10,16,0,17,0,17,0,17,64,57,0,17,0,17,12,21,0,17,0,17,0,17,0,17,20,32,11,19,21,24,0,17,0,17,0,17,0,17
7.1,Montlake/Portage Bay,242,132,181,123,12,26,0,21,12,25,0,21,0,21,0,21,0,21,0,21,34,40,72,64,12,25,0,21,39,63,0,21,61,78,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,48,76,0,21,0,21,0,21,0,21,13,27
7.2,University District,402,150,168,80,0,29,18,49,0,29,1,24,41,43,15,32,27,40,16,35,0,29,16,34,19,38,15,33,0,29,0,29,234,129,0,29,0,29,0,29,0,29,33,44,154,109,0,29,0,29,0,29,14,33,16,38,0,29,0,29,17,46
7.3,Ravenna/Bryant,531,245,250,138,0,32,0,32,3,30,16,33,5,31,60,72,20,43,0,32,49,46,15,37,71,67,11,34,0,32,0,32,281,157,26,39,8,32,49,70,8,30,0,32,59,55,14,36,3,27,6,32,18,42,50,65,16,37,24,39,0,32
7.4,Wedgwood/View Ridge,320,185,209,150,0,27,7,27,0,27,0,27,39,63,59,86,0,27,0,27,57,62,0,27,18,27,0,27,29,46,0,27,111,92,0,27,0,27,14,32,0,27,13,31,11,29,22,34,0,27,0,27,12,30,10,29,0,27,29,47,0,27
7.5,Laurelhurst/Sand Point,263,183,194,176,44,42,23,42,0,21,25,43,0,21,0,21,0,21,0,21,26,46,72,84,4,20,0,21,0,21,0,21,69,83,46,65,0,21,0,21,0,21,0,21,0,21,20,34,0,21,0,21,3,18,0,21,0,21,0,21,0,21
8.1,Northgate/Maple Leaf,533,200,374,178,0,24,0,24,22,40,22,29,0,24,61,61,0,24,130,136,76,95,13,30,0,24,50,62,0,24,0,24,159,85,0,24,0,24,0,24,9,26,13,29,30,51,56,63,12,28,12,29,15,30,12,32,0,24,0,24,0,24
8.2,Olympic Hills/Victory Heights,756,347,471,242,53,69,29,35,18,33,0,24,0,24,40,65,92,99,93,86,92,75,12,25,0,24,42,48,0,24,0,24,285,169,14,30,45,70,0,24,27,38,0,24,0,24,69,71,20,37,86,83,0,24,24,43,0,24,0,24,0,24
8.3,Cedar Park/Meadowbrook,679,291,342,165,25,37,11,31,49,58,25,37,0,27,23,31,24,42,39,50,0,27,80,74,51,42,15,32,0,27,0,27,337,181,0,27,32,51,23,34,10,25,15,35,50,76,36,39,21,33,62,77,83,86,0,27,0,27,2,22,3,25
9.1,Broadview/Bitter Lake,1092,421,514,219,51,83,49,83,16,33,0,27,0,27,118,118,34,44,20,38,49,50,57,57,99,78,13,26,4,23,4,26,578,245,0,27,56,94,0,27,16,33,0,27,21,35,101,102,108,103,97,97,50,52,37,43,46,65,41,46,5,27
9.2,Licton Springs,454,282,279,195,95,120,0,17,0,17,0,17,0,17,0,17,50,57,46,57,88,78,0,17,0,17,0,17,0,17,0,17,175,105,17,30,0,17,0,17,0,17,0,17,24,38,79,67,0,17,55,64,0,17,0,17,0,17,0,17,0,17
9.3,Greenwood/Phinney Ridge,467,238,295,143,0,29,0,29,71,91,0,29,14,35,0,29,2,27,40,64,43,46,92,65,15,34,18,39,0,29,0,29,172,118,0,29,0,29,0,29,1,27,0,29,12,33,0,29,80,101,10,31,50,51,18,35,0,29,0,29,1,27
9.4,Green Lake,193,133,130,103,0,24,13,29,0,24,0,24,0,24,0,24,0,24,13,30,37,45,0,24,67,86,0,24,0,24,0,24,63,59,15,31,0,24,0,24,0,24,0,24,0,24,0,24,16,34,14,30,18,33,0,24,0,24,0,24,0,24
9.5,Haller Lake,641,326,344,204,15,27,52,72,0,21,0,21,0,21,46,77,17,29,0,21,92,96,111,93,11,24,0,21,0,21,0,21,297,162,101,82,9,23,0,21,0,21,37,59,0,21,0,21,60,56,78,81,12,25,0,21,0,21,0,21,0,21
10.1,North Beach/Blue Ridge,89,130,42,63,0,21,0,21,42,63,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,47,70,0,21,0,21,0,21,0,21,0,21,0,21,0,21,47,70,0,21,0,21,0,21,0,21,0,21,0,21
10.2,Whittier Heights,79,74,79,74,0,24,0,24,0,24,0,24,0,24,18,33,0,24,39,61,0,24,22,37,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24
10.3,Sunset Hill/Loyal Heights,31,30,14,28,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,14,28,0,24,0,24,17,33,0,24,0,24,0,24,0,24,0,24,0,24,17,33,0,24,0,24,0,24,0,24,0,24,0,24,0,24
10.4,Ballard,146,122,65,62,0,17,0,17,20,33,19,33,19,34,7,11,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,81,76,0,17,0,17,0,17,23,34,0,17,0,17,0,17,0,17,16,27,42,48,0,17,0,17,0,17,0,17
11.1,Fremont,216,196,88,82,0,24,18,35,0,24,7,25,8,25,0,24,0,24,0,24,8,25,38,46,9,25,0,24,0,24,0,24,128,130,20,39,0,24,20,39,0,24,0,24,0,24,11,26,0,24,18,36,28,38,0,24,31,38,0,24,0,24
11.2,Wallingford,447,248,274,147,40,66,0,27,0,27,0,27,0,27,92,81,16,36,14,26,15,27,34,40,63,86,0,27,0,27,0,27,173,157,0,27,0,27,58,72,0,27,0,27,54,86,0,27,13,32,39,66,9,28,0,27,0,27,0,27,0,27
11.3,Cascade/Eastlake,628,208,356,138,0,21,0,21,0,21,0,21,8,23,0,21,40,48,30,37,40,50,73,67,154,99,0,21,11,26,0,21,272,161,0,21,0,21,45,68,0,21,0,21,0,21,57,80,0,21,21,33,123,74,0,21,17,26,0,21,9,23
12.1,Magnolia,56,55,32,37,0,24,0,24,15,29,0,24,0,24,0,24,0,24,0,24,17,32,0,24,0,24,0,24,0,24,0,24,24,29,0,24,0,24,18,31,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,6,21
12.2,Interbay,526,310,402,276,0,21,0,21,33,50,0,21,0,21,71,65,56,63,78,111,48,78,39,59,77,79,0,21,0,21,0,21,124,86,0,21,0,21,0,21,33,49,0,21,13,30,0,21,19,32,0,21,18,32,13,24,13,27,15,27,0,21
12.3,Queen Anne,969,442,700,337,0,40,98,152,16,42,0,40,19,46,0,40,43,78,137,109,46,53,153,133,188,157,0,40,0,40,0,40,269,157,0,40,0,40,0,40,0,40,8,39,36,51,12,42,71,73,87,103,39,58,0,40,5,38,11,37,0,40
13.1,Belltown,633,250,508,233,0,21,0,21,0,21,0,21,5,20,0,21,15,37,139,145,116,139,118,94,115,91,0,21,0,21,0,21,125,79,0,21,0,21,0,21,0,21,0,21,34,41,0,21,19,32,0,21,15,28,57,64,0,21,0,21,0,21
13.2,Downtown Commercial Core,395,171,358,178,0,12,0,12,0,12,0,12,5,9,8,17,28,31,83,69,46,42,124,101,34,32,30,41,0,12,0,12,37,39,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,37,39,0,12,0,12,0,12
13.3,Pioneer Square/International District,854,498,534,300,81,97,36,49,52,56,14,29,0,17,0,17,22,37,63,65,48,41,97,104,90,71,31,28,0,17,0,17,320,230,64,67,79,106,16,29,2,14,0,17,28,39,35,54,11,21,12,22,42,44,31,35,0,17,0,17,0,17
