area_id,area_name,b18101a001,b18101a001_moe,b18101a002,b18101a002_moe,b18101a003,b18101a003_moe,b18101a004,b18101a004_moe,b18101a005,b18101a005_moe,b18101a006,b18101a006_moe,b18101a007,b18101a007_moe,b18101a008,b18101a008_moe,b18101a009,b18101a009_moe,b18101a010,b18101a010_moe
4.4,Mt. Baker/North Rainier,3395,318,698,150,0,17,698,150,2432,305,156,94,2276,262,265,104,83,53,182,83
5.1,Madrona/Leschi,6226,479,1022,207,0,21,1022,207,4482,365,162,85,4320,362,722,131,107,81,615,133
5.2,Judkins Park,796,222,36,29,0,12,36,29,673,213,92,76,581,207,87,51,47,43,40,37
5.3,Central Area/Squire Park,10696,634,1253,250,38,56,1215,246,8745,541,526,162,8219,533,698,179,210,108,488,143
6.1,First Hill,8814,701,160,91,0,24,160,91,7309,675,496,173,6813,658,1345,186,552,126,793,169
6.2,Capitol Hill,16043,893,380,204,0,29,380,204,14739,845,779,214,13960,844,924,217,238,86,686,207
6.3,North Capitol Hill,3413,324,320,104,0,12,320,104,2642,265,67,79,2575,281,451,88,181,98,270,66
6.4,Miller Park,5688,372,924,164,19,22,905,161,4328,293,254,153,4074,263,436,86,124,55,312,71
6.5,Madison Park,4594,416,748,199,3,12,745,201,2820,266,177,109,2643,298,1026,172,176,78,850,162
7.1,Montlake/Portage Bay,8153,431,953,124,0,21,953,124,6177,407,173,79,6004,412,1023,115,59,37,964,113
7.2,University District,12636,1213,461,103,0,29,461,103,11595,1216,488,173,11107,1176,580,251,312,250,268,93
7.3,Ravenna/Bryant,19702,783,3010,284,55,47,2955,284,14685,702,633,192,14052,690,2007,165,459,132,1548,164
7.4,Wedgwood/View Ridge,11938,491,2258,258,120,75,2138,241,7879,349,384,124,7495,362,1801,162,515,122,1286,147
7.5,Laurelhurst/Sand Point,8605,589,2026,271,0,21,2026,271,5491,418,201,101,5290,415,1088,133,299,97,789,145
8.1,Northgate/Maple Leaf,9528,547,1420,247,64,58,1356,241,6598,422,462,135,6136,406,1510,244,822,192,688,176
8.2,Olympic Hills/Victory Heights,10203,680,1438,308,19,34,1419,307,7344,495,709,214,6635,471,1421,190,618,167,803,187
8.3,Cedar Park/Meadowbrook,8808,566,1303,223,0,27,1303,223,6393,425,530,153,5863,433,1112,139,421,112,691,113
9.1,Broadview/Bitter Lake,9929,720,1278,238,38,44,1240,239,6300,637,414,137,5886,575,2351,264,1130,196,1221,186
9.2,Licton Springs,6270,495,732,220,36,59,696,207,5070,427,285,144,4785,427,468,132,164,86,304,104
9.3,Greenwood/Phinney Ridge,18993,654,2786,267,40,37,2746,266,14547,499,691,163,13856,496,1660,183,613,146,1047,183
9.4,Green Lake,11745,645,1558,193,0,24,1558,193,8938,544,336,122,8602,556,1249,240,378,123,871,185
9.5,Haller Lake,6814,492,962,253,15,22,947,254,4726,332,374,149,4352,358,1126,168,447,159,679,122
10.1,North Beach/Blue Ridge,10080,514,1762,291,28,35,1734,292,6890,340,355,107,6535,333,1428,126,252,78,1176,124
10.2,Whittier Heights,10520,424,1848,280,19,34,1829,281,7960,330,246,107,7714,327,712,78,212,76,500,93
10.3,Sunset Hill/Loyal Heights,12413,603,1915,235,17,33,1898,229,9086,524,347,143,8739,531,1412,176,530,155,882,173
10.4,Ballard,5958,462,400,141,15,24,385,136,4957,407,203,125,4754,432,601,168,254,115,347,140
11.1,Fremont,13324,526,1095,142,45,73,1050,147,11552,486,527,175,11025,485,677,151,187,83,490,113
11.2,Wallingford,13075,853,1567,180,17,33,1550,181,10470,789,630,187,9840,763,1038,153,446,155,592,102
11.3,Cascade/Eastlake,8641,686,246,114,0,21,246,114,7560,640,676,208,6884,627,835,162,307,107,528,139
12.1,Magnolia,11232,625,2326,342,72,64,2254,348,7191,431,328,119,6863,440,1715,178,477,153,1238,161
12.2,Interbay,8131,546,1044,240,19,35,1025,240,6207,424,307,142,5900,426,880,136,288,111,592,141
12.3,Queen Anne,30167,1110,3215,331,65,58,3150,327,23571,1006,1093,269,22478,1002,3381,291,871,192,2510,287
13.1,Belltown,6030,507,179,64,0,21,179,64,5039,478,502,171,4537,452,812,187,184,130,628,154
13.2,Downtown Commercial Core,2590,294,13,20,0,12,13,20,2257,279,552,181,1705,217,320,137,105,69,215,108
13.3,Pioneer Square/International District,1729,225,29,30,0,17,29,30,1454,211,477,149,977,172,246,89,136,83,110,62
