area_id,area_name,c23002g001,c23002g001_moe,c23002g002,c23002g002_moe,c23002g003,c23002g003_moe,c23002g004,c23002g004_moe,c23002g005,c23002g005_moe,c23002g006,c23002g006_moe,c23002g007,c23002g007_moe,c23002g008,c23002g008_moe,c23002g009,c23002g009_moe,c23002g010,c23002g010_moe,c23002g011,c23002g011_moe,c23002g012,c23002g012_moe,c23002g013,c23002g013_moe,c23002g014,c23002g014_moe,c23002g015,c23002g015_moe,c23002g016,c23002g016_moe,c23002g017,c23002g017_moe,c23002g018,c23002g018_moe,c23002g019,c23002g019_moe,c23002g020,c23002g020_moe,c23002g021,c23002g021_moe,c23002g022,c23002g022_moe,c23002g023,c23002g023_moe,c23002g024,c23002g024_moe,c23002g025,c23002g025_moe,c23002g026,c23002g026_moe,c23002g027,c23002g027_moe
3.5,Beacon Hill,220,153,97,74,65,55,48,46,0,17,48,46,31,38,17,30,17,30,32,49,0,17,0,17,0,17,32,49,123,97,123,97,90,84,0,17,90,84,51,52,39,65,33,33,0,17,0,17,0,17,0,17,0,17
3.6,North Beacon Hill/Jefferson Park,504,179,305,121,291,120,279,118,0,24,279,118,279,118,0,24,12,29,14,29,14,29,14,29,0,24,0,24,199,104,174,103,133,98,0,24,133,98,133,98,0,24,41,49,25,35,14,30,14,30,0,24,11,30
4.1,Rainier Beach,522,241,135,97,135,97,49,53,0,27,49,53,30,41,19,37,86,85,0,27,0,27,0,27,0,27,0,27,387,192,387,192,247,142,0,27,247,142,226,138,21,44,140,99,0,27,0,27,0,27,0,27,0,27
4.2,Columbia City,489,167,178,84,175,83,129,67,0,27,129,67,129,67,0,27,46,49,3,22,0,27,0,27,0,27,3,22,311,135,263,131,164,101,0,27,164,101,164,101,0,27,99,80,48,48,17,33,17,33,0,27,31,44
4.3,Seward Park,295,133,167,88,147,81,147,81,0,17,147,81,137,80,10,21,0,17,20,22,11,20,11,20,0,17,9,19,128,68,98,63,63,49,0,17,63,49,63,49,0,17,35,36,30,30,0,17,0,17,0,17,30,30
4.4,Mt. Baker/North Rainier,215,108,47,36,39,37,26,31,0,17,26,31,26,31,0,17,13,21,8,17,0,17,0,17,0,17,8,17,168,92,154,88,112,78,0,17,112,78,112,78,0,17,42,38,14,22,0,17,0,17,0,17,14,22
5.1,Madrona/Leschi,365,250,207,134,172,121,172,121,0,21,172,121,172,121,0,21,0,21,35,39,0,21,0,21,0,21,35,39,158,132,158,132,122,121,0,21,122,121,122,121,0,21,36,45,0,21,0,21,0,21,0,21,0,21
5.2,Judkins Park,165,129,90,74,90,74,90,74,17,27,73,69,73,69,0,12,0,12,0,12,0,12,0,12,0,12,0,12,75,59,75,59,22,25,0,12,22,25,22,25,0,12,53,54,0,12,0,12,0,12,0,12,0,12
5.3,Central Area/Squire Park,711,226,178,81,178,81,149,76,0,24,149,76,121,69,28,34,29,33,0,24,0,24,0,24,0,24,0,24,533,216,454,201,397,192,0,24,397,192,318,129,79,108,57,49,79,80,5,23,5,23,0,24,74,80
6.1,First Hill,677,153,353,90,353,90,57,37,0,24,57,37,45,36,12,32,296,89,0,24,0,24,0,24,0,24,0,24,324,126,319,126,217,101,0,24,217,101,193,99,24,29,102,58,5,23,0,24,0,24,0,24,5,23
6.2,Capitol Hill,749,252,431,212,431,212,385,207,0,29,385,207,339,162,46,77,46,51,0,29,0,29,0,29,0,29,0,29,318,129,307,127,245,113,0,29,245,113,245,113,0,29,62,65,11,30,0,29,0,29,0,29,11,30
6.3,North Capitol Hill,90,86,78,80,78,80,78,80,0,12,78,80,78,80,0,12,0,12,0,12,0,12,0,12,0,12,0,12,12,20,12,20,0,12,0,12,0,12,0,12,0,12,12,20,0,12,0,12,0,12,0,12,0,12
6.4,Miller Park,191,88,76,56,76,56,63,55,0,17,63,55,51,52,12,22,13,18,0,17,0,17,0,17,0,17,0,17,115,68,115,68,93,56,0,17,93,56,93,56,0,17,22,31,0,17,0,17,0,17,0,17,0,17
6.5,Madison Park,65,48,33,30,33,30,13,20,0,17,13,20,13,20,0,17,20,23,0,17,0,17,0,17,0,17,0,17,32,37,32,37,17,28,0,17,17,28,17,28,0,17,15,24,0,17,0,17,0,17,0,17,0,17
7.1,Montlake/Portage Bay,304,123,133,86,133,86,106,82,0,21,106,82,106,82,0,21,27,34,0,21,0,21,0,21,0,21,0,21,171,86,160,85,101,67,0,21,101,67,101,67,0,21,59,68,11,24,0,21,0,21,0,21,11,24
7.2,University District,918,226,430,142,430,142,227,113,0,29,227,113,211,111,16,32,203,91,0,29,0,29,0,29,0,29,0,29,488,168,488,168,281,133,0,29,281,133,231,113,50,67,207,90,0,29,0,29,0,29,0,29,0,29
7.3,Ravenna/Bryant,873,205,365,123,304,114,217,93,0,32,217,93,192,87,25,43,87,51,61,52,16,36,16,36,0,32,45,47,508,153,503,153,416,140,0,32,416,140,367,126,49,59,87,55,5,31,0,32,0,32,0,32,5,31
7.4,Wedgwood/View Ridge,366,136,217,111,217,111,156,83,0,27,156,83,134,75,22,33,61,77,0,27,0,27,0,27,0,27,0,27,149,76,136,74,108,67,0,27,108,67,108,67,0,27,28,37,13,31,0,27,0,27,0,27,13,31
7.5,Laurelhurst/Sand Point,268,136,136,86,136,86,118,83,0,21,118,83,118,83,0,21,18,22,0,21,0,21,0,21,0,21,0,21,132,105,119,103,22,31,0,21,22,31,22,31,0,21,97,100,13,25,0,21,0,21,0,21,13,25
8.1,Northgate/Maple Leaf,270,106,129,69,117,66,89,61,0,24,89,61,89,61,0,24,28,30,12,25,0,24,0,24,0,24,12,25,141,79,141,79,99,68,0,24,99,68,99,68,0,24,42,43,0,24,0,24,0,24,0,24,0,24
8.2,Olympic Hills/Victory Heights,533,223,244,112,228,107,212,108,0,24,212,108,212,108,0,24,16,31,16,31,0,24,0,24,0,24,16,31,289,174,275,172,252,171,0,24,252,171,224,162,28,44,23,30,14,30,0,24,0,24,0,24,14,30
8.3,Cedar Park/Meadowbrook,310,114,207,90,207,90,185,91,0,27,185,91,125,92,60,40,22,28,0,27,0,27,0,27,0,27,0,27,103,60,99,60,55,43,0,27,55,43,48,42,7,26,44,44,4,25,0,27,0,27,0,27,4,25
9.1,Broadview/Bitter Lake,506,264,120,95,120,95,112,94,0,27,112,94,52,45,60,87,8,28,0,27,0,27,0,27,0,27,0,27,386,190,337,183,184,108,0,27,184,108,184,108,0,27,153,144,49,50,22,43,0,27,22,43,27,37
9.2,Licton Springs,330,144,180,100,180,100,168,100,0,17,168,100,150,95,18,31,12,22,0,17,0,17,0,17,0,17,0,17,150,89,150,89,150,89,0,17,150,89,132,84,18,32,0,17,0,17,0,17,0,17,0,17,0,17
9.3,Greenwood/Phinney Ridge,729,238,342,140,338,140,321,137,0,29,321,137,275,130,46,45,17,34,4,28,0,29,0,29,0,29,4,28,387,137,387,137,336,122,0,29,336,122,318,119,18,40,51,45,0,29,0,29,0,29,0,29,0,29
9.4,Green Lake,470,205,141,92,141,92,99,69,0,24,99,69,99,69,0,24,42,40,0,24,0,24,0,24,0,24,0,24,329,208,329,208,329,208,0,24,329,208,280,153,49,77,0,24,0,24,0,24,0,24,0,24,0,24
9.5,Haller Lake,220,113,115,84,108,83,108,83,0,21,108,83,108,83,0,21,0,21,7,21,7,21,7,21,0,21,0,21,105,69,91,66,77,62,0,21,77,62,77,62,0,21,14,27,14,26,0,21,0,21,0,21,14,26
10.1,North Beach/Blue Ridge,347,155,155,80,153,80,129,77,0,21,129,77,119,72,10,22,24,31,2,17,0,21,0,21,0,21,2,17,192,112,192,112,171,110,0,21,171,110,171,110,0,21,21,28,0,21,0,21,0,21,0,21,0,21
10.2,Whittier Heights,343,177,217,108,217,108,193,102,0,24,193,102,181,100,12,27,24,33,0,24,0,24,0,24,0,24,0,24,126,94,126,94,126,94,0,24,126,94,69,50,57,79,0,24,0,24,0,24,0,24,0,24,0,24
10.3,Sunset Hill/Loyal Heights,463,189,145,78,145,78,106,64,0,24,106,64,91,60,15,29,39,36,0,24,0,24,0,24,0,24,0,24,318,164,290,160,176,98,0,24,176,98,160,96,16,29,114,130,28,30,14,28,14,28,0,24,14,27
10.4,Ballard,306,202,89,79,89,79,78,78,0,17,78,78,78,78,0,17,11,19,0,17,0,17,0,17,0,17,0,17,217,171,217,171,157,148,0,17,157,148,157,148,0,17,60,78,0,17,0,17,0,17,0,17,0,17
11.1,Fremont,566,241,173,106,173,106,156,102,0,24,156,102,156,102,0,24,17,34,0,24,0,24,0,24,0,24,0,24,393,216,374,215,291,142,0,24,291,142,240,130,51,57,83,98,19,29,0,24,0,24,0,24,19,29
11.2,Wallingford,648,185,277,123,277,123,208,107,0,27,208,107,208,107,0,27,69,53,0,27,0,27,0,27,0,27,0,27,371,136,339,125,287,126,0,27,287,126,287,126,0,27,52,45,32,55,0,27,0,27,0,27,32,55
11.3,Cascade/Eastlake,485,189,175,124,175,124,175,124,0,21,175,124,155,122,20,29,0,21,0,21,0,21,0,21,0,21,0,21,310,147,310,147,270,135,13,27,257,133,235,128,22,40,40,47,0,21,0,21,0,21,0,21,0,21
12.1,Magnolia,131,88,20,29,20,29,10,24,0,24,10,24,10,24,0,24,10,23,0,24,0,24,0,24,0,24,0,24,111,87,111,87,111,87,0,24,111,87,111,87,0,24,0,24,0,24,0,24,0,24,0,24,0,24
12.2,Interbay,358,164,177,104,177,104,135,95,7,22,128,94,128,94,0,21,42,50,0,21,0,21,0,21,0,21,0,21,181,112,181,112,127,72,8,23,119,70,119,70,0,21,54,87,0,21,0,21,0,21,0,21,0,21
12.3,Queen Anne,1596,424,872,305,860,305,648,265,0,40,648,265,587,265,61,60,212,144,12,41,0,40,0,40,0,40,12,41,724,213,709,208,576,178,0,40,576,178,526,170,50,63,133,109,15,45,0,40,0,40,0,40,15,45
13.1,Belltown,317,135,116,78,80,53,49,42,0,21,49,42,49,42,0,21,31,36,36,60,0,21,0,21,0,21,36,60,201,112,201,112,193,113,0,21,193,113,140,94,53,53,8,21,0,21,0,21,0,21,0,21,0,21
13.2,Downtown Commercial Core,211,127,162,111,161,111,128,101,0,12,128,101,124,100,4,9,33,30,1,2,0,12,0,12,0,12,1,2,49,49,49,49,12,26,0,12,12,26,12,26,0,12,37,41,0,12,0,12,0,12,0,12,0,12
13.3,Pioneer Square/International District,123,73,65,63,65,63,65,63,11,21,54,61,54,61,0,17,0,17,0,17,0,17,0,17,0,17,0,17,58,39,58,39,38,31,0,17,38,31,28,28,10,20,20,23,0,17,0,17,0,17,0,17,0,17
