area_id,area_name,c27001d001,c27001d001_moe,c27001d002,c27001d002_moe,c27001d003,c27001d003_moe,c27001d004,c27001d004_moe,c27001d005,c27001d005_moe,c27001d006,c27001d006_moe,c27001d007,c27001d007_moe,c27001d008,c27001d008_moe,c27001d009,c27001d009_moe,c27001d010,c27001d010_moe
5.3,Central Area/Squire Park,1107,306,51,53,51,53,0,24,970,269,849,241,121,83,86,77,86,77,0,24
6.1,First Hill,2055,359,89,68,76,63,13,33,1638,321,1458,307,180,95,328,95,328,95,0,24
6.2,Capitol Hill,1563,396,73,99,73,99,0,29,1358,318,1133,271,225,212,132,108,97,71,35,92
6.3,North Capitol Hill,250,119,16,25,16,25,0,12,234,117,197,103,37,42,0,12,0,12,0,12
6.4,Miller Park,429,122,34,29,23,23,11,21,347,104,347,104,0,17,48,47,48,47,0,17
6.5,Madison Park,237,140,10,16,10,16,0,17,163,94,163,94,0,17,64,90,64,90,0,17
7.1,Montlake/Portage Bay,504,145,53,48,53,48,0,21,422,138,347,117,75,60,29,28,29,28,0,21
7.2,University District,4703,623,37,57,37,57,0,29,4644,618,4183,566,461,184,22,31,22,31,0,29
7.3,Ravenna/Bryant,2613,555,213,95,213,95,0,32,2218,530,2013,501,205,139,182,86,182,86,0,32
7.4,Wedgwood/View Ridge,1817,287,350,116,324,114,26,47,1288,231,1157,210,131,98,179,100,166,99,13,31
7.5,Laurelhurst/Sand Point,1356,386,209,117,209,117,0,21,982,295,949,295,33,31,165,89,152,87,13,26
8.1,Northgate/Maple Leaf,2216,412,211,142,211,142,0,24,1807,328,1599,309,208,100,198,74,142,70,56,80
8.2,Olympic Hills/Victory Heights,2410,516,233,114,233,114,0,24,1847,434,1480,367,367,156,330,128,330,128,0,24
8.3,Cedar Park/Meadowbrook,1289,273,200,119,160,114,40,52,973,213,760,177,213,125,116,75,116,75,0,27
9.1,Broadview/Bitter Lake,1208,331,137,81,112,64,25,50,884,272,726,249,158,96,187,89,168,85,19,36
9.2,Licton Springs,1403,316,62,61,27,32,35,55,1159,272,948,240,211,143,182,75,182,75,0,17
9.3,Greenwood/Phinney Ridge,1686,279,166,94,147,102,19,38,1353,240,1135,243,218,108,167,93,167,93,0,29
9.4,Green Lake,1054,250,66,44,66,44,0,24,859,220,770,210,89,68,129,84,129,84,0,24
9.5,Haller Lake,1416,279,238,108,238,108,0,21,1021,194,807,188,214,130,157,73,125,68,32,35
10.1,North Beach/Blue Ridge,510,157,57,42,57,42,0,21,362,108,292,94,70,52,91,64,82,64,9,23
10.2,Whittier Heights,469,146,61,59,25,29,36,55,358,111,308,106,50,58,50,44,33,35,17,32
10.3,Sunset Hill/Loyal Heights,563,146,30,38,30,38,0,24,502,139,434,124,68,75,31,52,0,24,31,52
10.4,Ballard,579,254,17,26,17,26,0,17,505,227,471,222,34,40,57,53,57,53,0,17
11.1,Fremont,834,216,35,55,35,55,0,24,740,196,672,184,68,58,59,37,59,37,0,24
11.2,Wallingford,1725,357,74,55,74,55,0,27,1591,330,1445,311,146,85,60,54,60,54,0,27
11.3,Cascade/Eastlake,2006,497,21,39,21,39,0,21,1859,490,1574,474,285,189,126,79,126,79,0,21
12.1,Magnolia,713,217,153,127,153,127,0,24,440,166,440,166,0,24,120,69,120,69,0,24
12.2,Interbay,592,241,73,80,73,80,0,21,438,214,416,216,22,41,81,95,81,95,0,21
12.3,Queen Anne,2924,438,221,128,173,106,48,82,2508,417,2341,401,167,97,195,123,195,123,0,40
13.1,Belltown,895,330,0,21,0,21,0,21,831,328,831,328,0,21,64,45,64,45,0,21
13.2,Downtown Commercial Core,336,172,7,16,0,12,7,16,236,138,196,131,40,50,93,89,93,89,0,12
13.3,Pioneer Square/International District,2431,375,319,226,309,225,10,20,1235,192,828,152,407,134,877,186,868,187,9,18
