area_id,area_name,b12002g001,b12002g001_moe,b12002g002,b12002g002_moe,b12002g003,b12002g003_moe,b12002g004,b12002g004_moe,b12002g005,b12002g005_moe,b12002g006,b12002g006_moe,b12002g007,b12002g007_moe,b12002g008,b12002g008_moe,b12002g009,b12002g009_moe,b12002g010,b12002g010_moe,b12002g011,b12002g011_moe,b12002g012,b12002g012_moe,b12002g013,b12002g013_moe
8.2,Olympic Hills/Victory Heights,549,223,244,112,142,85,73,57,16,31,0,24,13,30,305,176,227,162,64,51,0,24,14,30,0,24
8.3,Cedar Park/Meadowbrook,328,128,225,98,152,93,52,37,21,33,0,27,0,27,103,60,82,54,6,22,0,27,0,27,15,27
9.1,Broadview/Bitter Lake,530,267,128,96,100,92,28,37,0,27,0,27,0,27,402,194,193,108,90,78,0,27,32,40,87,86
9.2,Licton Springs,330,144,180,100,82,57,88,77,10,19,0,17,0,17,150,89,97,67,53,58,0,17,0,17,0,17
9.3,Greenwood/Phinney Ridge,729,238,342,140,212,109,126,75,0,29,0,29,4,28,387,137,237,109,83,60,8,29,21,36,38,40
9.4,Green Lake,470,205,141,92,66,51,75,64,0,24,0,24,0,24,329,208,226,138,50,65,0,24,0,24,53,82
9.5,Haller Lake,237,125,115,84,53,48,62,74,0,21,0,21,0,21,122,85,86,78,22,25,0,21,0,21,14,26
10.1,North Beach/Blue Ridge,361,157,155,80,82,55,71,56,0,21,0,21,2,17,206,114,86,69,98,60,0,21,0,21,22,37
10.2,Whittier Heights,355,181,229,114,117,65,112,94,0,24,0,24,0,24,126,94,32,41,81,79,0,24,0,24,13,27
10.3,Sunset Hill/Loyal Heights,492,188,174,82,105,63,69,48,0,24,0,24,0,24,318,164,153,96,92,77,0,24,0,24,73,67
10.4,Ballard,306,202,89,79,89,79,0,17,0,17,0,17,0,17,217,171,173,163,44,53,0,17,0,17,0,17
11.1,Fremont,580,243,173,106,93,88,80,59,0,24,0,24,0,24,407,218,187,123,167,113,0,24,11,24,42,50
11.2,Wallingford,648,185,277,123,181,110,76,51,0,27,0,27,20,32,371,136,206,103,73,49,0,27,32,55,60,48
11.3,Cascade/Eastlake,485,189,175,124,131,118,44,47,0,21,0,21,0,21,310,147,192,96,14,29,56,88,0,21,48,61
12.1,Magnolia,131,88,20,29,0,24,10,24,0,24,0,24,10,23,111,87,17,34,94,84,0,24,0,24,0,24
12.2,Interbay,358,164,177,104,177,104,0,21,0,21,0,21,0,21,181,112,62,47,119,103,0,21,0,21,0,21
12.3,Queen Anne,1597,425,873,305,581,248,211,131,0,40,12,41,69,62,724,213,401,168,252,123,0,40,0,40,71,86
13.1,Belltown,317,135,116,78,56,44,12,23,0,21,0,21,48,61,201,112,120,91,43,50,30,35,0,21,8,21
13.2,Downtown Commercial Core,211,127,162,111,115,101,13,20,9,18,0,12,25,34,49,49,12,26,37,41,0,12,0,12,0,12
13.3,Pioneer Square/International District,123,73,65,63,19,25,21,49,0,17,0,17,25,38,58,39,0,17,1,15,17,22,0,17,40,33
