area_id,area_name,c27001e001,c27001e001_moe,c27001e002,c27001e002_moe,c27001e003,c27001e003_moe,c27001e004,c27001e004_moe,c27001e005,c27001e005_moe,c27001e006,c27001e006_moe,c27001e007,c27001e007_moe,c27001e008,c27001e008_moe,c27001e009,c27001e009_moe,c27001e010,c27001e010_moe
6.1,First Hill,26,39,0,24,0,24,0,24,26,39,26,39,0,24,0,24,0,24,0,24
6.2,Capitol Hill,17,38,0,29,0,29,0,29,17,38,0,29,17,38,0,29,0,29,0,29
6.3,North Capitol Hill,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
6.4,Miller Park,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
6.5,Madison Park,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
7.1,Montlake/Portage Bay,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21
7.2,University District,28,32,0,29,0,29,0,29,28,32,24,30,4,26,0,29,0,29,0,29
7.3,Ravenna/Bryant,56,60,0,32,0,32,0,32,37,56,22,46,15,46,19,38,19,38,0,32
7.4,Wedgwood/View Ridge,21,30,8,28,8,28,0,27,13,30,13,30,0,27,0,27,0,27,0,27
7.5,Laurelhurst/Sand Point,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21
8.1,Northgate/Maple Leaf,88,84,0,24,0,24,0,24,88,84,88,84,0,24,0,24,0,24,0,24
8.2,Olympic Hills/Victory Heights,104,144,46,69,46,69,0,24,18,30,0,24,18,30,40,59,40,59,0,24
8.3,Cedar Park/Meadowbrook,25,36,0,27,0,27,0,27,25,36,25,36,0,27,0,27,0,27,0,27
9.1,Broadview/Bitter Lake,27,53,0,27,0,27,0,27,27,53,27,53,0,27,0,27,0,27,0,27
9.2,Licton Springs,22,26,0,17,0,17,0,17,22,26,22,26,0,17,0,17,0,17,0,17
9.3,Greenwood/Phinney Ridge,19,40,19,40,19,40,0,29,0,29,0,29,0,29,0,29,0,29,0,29
9.4,Green Lake,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24
9.5,Haller Lake,246,161,51,53,51,53,0,21,195,137,140,108,55,51,0,21,0,21,0,21
10.1,North Beach/Blue Ridge,67,126,23,43,12,27,11,26,44,89,34,69,10,26,0,21,0,21,0,21
10.2,Whittier Heights,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24
10.3,Sunset Hill/Loyal Heights,24,27,0,24,0,24,0,24,24,27,24,27,0,24,0,24,0,24,0,24
10.4,Ballard,21,33,0,17,0,17,0,17,21,33,21,33,0,17,0,17,0,17,0,17
11.1,Fremont,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24
11.2,Wallingford,70,86,14,41,14,41,0,27,56,81,0,27,56,81,0,27,0,27,0,27
11.3,Cascade/Eastlake,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21
12.1,Magnolia,26,43,14,28,14,28,0,24,12,24,12,24,0,24,0,24,0,24,0,24
12.2,Interbay,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21
12.3,Queen Anne,6,37,0,40,0,40,0,40,6,37,1,38,5,39,0,40,0,40,0,40
13.1,Belltown,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21
13.2,Downtown Commercial Core,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
13.3,Pioneer Square/International District,1,13,1,13,1,13,0,17,0,17,0,17,0,17,0,17,0,17,0,17
