area_id,area_name,b01001i001,b01001i001_moe,b01001i002,b01001i002_moe,b01001i003,b01001i003_moe,b01001i004,b01001i004_moe,b01001i005,b01001i005_moe,b01001i006,b01001i006_moe,b01001i007,b01001i007_moe,b01001i008,b01001i008_moe,b01001i009,b01001i009_moe,b01001i010,b01001i010_moe,b01001i011,b01001i011_moe,b01001i012,b01001i012_moe,b01001i013,b01001i013_moe,b01001i014,b01001i014_moe,b01001i015,b01001i015_moe,b01001i016,b01001i016_moe,b01001i017,b01001i017_moe,b01001i018,b01001i018_moe,b01001i019,b01001i019_moe,b01001i020,b01001i020_moe,b01001i021,b01001i021_moe,b01001i022,b01001i022_moe,b01001i023,b01001i023_moe,b01001i024,b01001i024_moe,b01001i025,b01001i025_moe,b01001i026,b01001i026_moe,b01001i027,b01001i027_moe,b01001i028,b01001i028_moe,b01001i029,b01001i029_moe,b01001i030,b01001i030_moe,b01001i031,b01001i031_moe
8.2,Olympic Hills/Victory Heights,1103,413,430,165,82,84,14,31,65,46,16,34,0,24,0,24,0,24,16,33,125,73,100,65,12,28,0,24,0,24,0,24,673,285,38,48,75,87,30,35,25,39,33,48,55,72,88,82,46,44,96,54,135,104,52,50,0,24,0,24,0,24
8.3,Cedar Park/Meadowbrook,1078,382,720,295,16,36,51,69,25,34,79,64,20,31,35,61,195,178,102,82,99,85,58,48,19,31,21,39,0,27,0,27,358,217,77,71,0,27,13,30,0,27,0,27,78,86,38,38,45,51,88,83,9,29,10,29,0,27,0,27,0,27
9.1,Broadview/Bitter Lake,639,290,354,193,69,87,49,45,52,45,0,27,0,27,0,27,0,27,82,75,60,56,0,27,39,49,0,27,0,27,3,26,285,143,13,30,0,27,9,28,0,27,16,35,14,33,0,27,68,86,63,52,22,33,23,35,22,43,0,27,35,42
9.2,Licton Springs,950,463,579,295,125,125,15,26,0,17,0,17,18,43,29,34,125,125,39,51,59,56,149,136,0,17,20,30,0,17,0,17,371,227,67,105,0,17,16,25,0,17,3,13,54,49,113,105,17,31,26,32,20,25,30,34,25,36,0,17,0,17
9.3,Greenwood/Phinney Ridge,1247,391,741,271,54,65,73,70,99,90,45,47,22,35,44,48,65,71,88,71,111,78,102,107,27,37,0,29,11,33,0,29,506,173,17,39,15,37,33,40,0,29,19,38,31,45,173,95,56,70,85,67,32,37,11,29,10,32,0,29,24,37
9.4,Green Lake,719,248,320,154,0,24,1,21,0,24,0,24,28,33,56,45,89,85,70,78,46,46,0,24,0,24,30,39,0,24,0,24,399,196,44,50,0,24,0,24,0,24,0,24,80,82,16,31,80,59,72,85,25,32,49,52,15,31,18,34,0,24
9.5,Haller Lake,811,358,476,210,58,72,41,43,0,21,39,36,0,21,24,28,55,55,135,123,98,62,12,24,0,21,0,21,14,24,0,21,335,190,33,52,76,78,28,34,12,25,13,23,0,21,71,73,16,27,43,43,15,28,18,31,0,21,0,21,10,20
10.1,North Beach/Blue Ridge,689,308,388,219,13,27,16,25,48,67,42,69,26,31,9,23,79,67,7,20,90,80,58,42,0,21,0,21,0,21,0,21,301,130,37,50,0,21,0,21,0,21,0,21,0,21,54,46,0,21,102,63,108,87,0,21,0,21,0,21,0,21
10.2,Whittier Heights,525,214,196,112,0,24,28,33,10,24,15,30,0,24,0,24,19,35,13,28,69,70,11,26,20,35,11,25,0,24,0,24,329,151,18,33,14,29,0,24,0,24,0,24,13,26,0,24,159,103,82,84,17,34,26,35,0,24,0,24,0,24
10.3,Sunset Hill/Loyal Heights,460,187,206,106,60,62,14,27,13,26,12,26,0,24,9,23,18,33,35,33,15,28,16,31,0,24,14,28,0,24,0,24,254,125,45,58,36,40,0,24,0,24,0,24,21,38,18,34,65,65,35,58,0,24,15,29,19,33,0,24,0,24
10.4,Ballard,516,255,266,160,0,17,0,17,0,17,15,24,0,17,36,44,73,80,62,63,41,68,20,34,19,30,0,17,0,17,0,17,250,171,0,17,0,17,17,27,22,36,0,17,23,38,16,25,148,149,15,25,0,17,9,14,0,17,0,17,0,17
11.1,Fremont,832,214,430,149,31,40,0,24,3,23,0,24,41,45,27,39,45,43,143,90,120,69,0,24,20,37,0,24,0,24,0,24,402,155,18,34,4,24,0,24,64,95,0,24,94,71,89,71,39,45,40,41,21,37,33,40,0,24,0,24,0,24
11.2,Wallingford,543,185,296,137,37,50,28,31,0,27,0,27,47,81,28,37,12,29,10,21,100,81,16,33,0,27,18,36,0,27,0,27,247,114,9,29,25,34,37,45,0,27,0,27,59,66,0,27,43,41,31,32,19,32,24,34,0,27,0,27,0,27
11.3,Cascade/Eastlake,814,246,506,227,98,103,0,21,0,21,0,21,0,21,44,41,136,111,62,50,149,109,0,21,0,21,17,32,0,21,0,21,308,118,0,21,0,21,0,21,20,34,0,21,17,32,103,70,66,54,15,31,15,28,23,41,32,53,17,33,0,21
12.1,Magnolia,358,192,193,123,47,74,20,36,0,24,0,24,0,24,51,61,20,36,0,24,12,25,18,33,25,44,0,24,0,24,0,24,165,130,22,38,42,51,20,35,0,24,0,24,0,24,14,28,14,29,32,40,21,40,0,24,0,24,0,24,0,24
12.2,Interbay,482,225,204,107,55,47,6,17,0,21,0,21,0,21,7,22,49,47,38,50,16,30,0,21,0,21,33,41,0,21,0,21,278,133,16,30,46,53,0,21,0,21,0,21,13,30,103,70,8,21,51,46,7,19,34,35,0,21,0,21,0,21
12.3,Queen Anne,1793,420,899,282,35,53,13,42,0,40,15,41,42,52,163,112,236,145,74,58,188,134,40,49,69,89,15,43,9,39,0,40,894,250,0,40,13,42,29,47,54,70,80,68,172,119,124,84,138,96,101,95,111,75,18,48,54,71,0,40,0,40
13.1,Belltown,413,200,213,144,0,21,0,21,0,21,0,21,72,122,58,47,8,23,0,21,56,55,0,21,19,36,0,21,0,21,0,21,200,130,0,21,0,21,0,21,0,21,11,20,28,39,6,20,49,53,57,70,0,21,49,64,0,21,0,21,0,21
13.2,Downtown Commercial Core,217,120,112,77,0,12,0,12,0,12,0,12,0,12,45,61,9,15,4,9,22,26,15,25,0,12,17,29,0,12,0,12,105,104,0,12,0,12,0,12,0,12,0,12,0,12,0,12,67,89,25,34,0,12,13,29,0,12,0,12,0,12
13.3,Pioneer Square/International District,113,71,83,64,8,20,0,17,0,17,0,17,20,30,18,23,0,17,0,17,0,17,25,36,0,17,0,17,0,17,12,24,30,32,0,17,0,17,0,17,0,17,0,17,8,19,0,17,11,22,0,17,0,17,11,22,0,17,0,17,0,17
