area_id,area_name,b17010001,b17010001_moe,b17010002,b17010002_moe,b17010003,b17010003_moe,b17010004,b17010004_moe,b17010005,b17010005_moe,b17010006,b17010006_moe,b17010007,b17010007_moe,b17010008,b17010008_moe,b17010009,b17010009_moe,b17010010,b17010010_moe,b17010011,b17010011_moe,b17010012,b17010012_moe,b17010013,b17010013_moe,b17010014,b17010014_moe,b17010015,b17010015_moe,b17010016,b17010016_moe,b17010017,b17010017_moe,b17010018,b17010018_moe,b17010019,b17010019_moe,b17010020,b17010020_moe,b17010021,b17010021_moe,b17010022,b17010022_moe,b17010023,b17010023_moe,b17010024,b17010024_moe,b17010025,b17010025_moe,b17010026,b17010026_moe,b17010027,b17010027_moe,b17010028,b17010028_moe,b17010029,b17010029_moe,b17010030,b17010030_moe,b17010031,b17010031_moe,b17010032,b17010032_moe,b17010033,b17010033_moe,b17010034,b17010034_moe,b17010035,b17010035_moe,b17010036,b17010036_moe,b17010037,b17010037_moe,b17010038,b17010038_moe,b17010039,b17010039_moe,b17010040,b17010040_moe,b17010041,b17010041_moe
3.2,Georgetown,190,74,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,190,74,162,67,77,50,15,19,0,12,62,46,85,46,28,30,28,30,10,17,10,17,0,12,0,12,18,24,0,12,0,12,0,12,0,12,0,12,0,12
3.3,Duwamish/SODO,317,99,13,16,7,11,0,12,0,12,0,12,0,12,7,11,6,10,0,12,0,12,0,12,0,12,0,12,0,12,6,10,0,12,0,12,0,12,0,12,6,10,304,96,229,83,101,58,6,11,0,12,95,55,128,48,75,53,0,12,0,12,0,12,0,12,0,12,0,12,75,53,23,27,0,12,5,10,18,24,52,51
3.4,South Beacon Hill/NewHolly,3415,239,684,192,343,131,302,129,49,76,133,92,120,81,41,38,341,138,84,69,72,66,10,23,0,24,62,64,12,28,257,127,257,127,30,37,71,74,156,112,0,24,2731,227,1781,211,936,167,154,77,313,118,469,122,845,153,950,212,315,124,120,80,23,34,39,58,58,45,195,99,635,182,321,127,47,47,53,42,221,109,314,124
3.5,Beacon Hill,1954,193,54,50,7,21,1,18,0,17,0,17,1,18,6,16,47,48,0,17,0,17,0,17,0,17,0,17,0,17,47,48,47,48,0,17,29,39,18,33,0,17,1900,191,1430,189,707,131,295,116,200,92,212,82,723,141,470,142,187,91,92,55,24,31,6,22,62,42,95,78,283,118,85,59,8,18,0,17,77,56,198,103
3.6,North Beacon Hill/Jefferson Park,3324,252,335,134,105,67,12,30,0,24,0,24,12,30,93,64,230,111,27,35,0,24,0,24,0,24,0,24,27,35,203,104,147,86,17,37,53,62,77,67,56,63,2989,263,2067,265,964,219,391,152,186,128,387,143,1103,209,922,239,326,133,139,86,79,69,0,24,60,46,187,103,596,223,400,188,78,76,137,147,185,125,196,96
4.1,Rainier Beach,3431,277,470,175,193,120,155,112,0,27,114,102,41,45,38,42,277,137,50,48,32,40,0,27,14,32,18,36,18,35,227,133,227,133,98,101,8,25,121,93,0,27,2961,291,1650,259,715,207,169,82,174,134,372,144,935,177,1311,279,354,159,151,113,0,27,28,50,123,107,203,114,957,234,605,195,75,54,92,103,438,184,352,144
4.2,Columbia City,3753,316,499,182,190,130,50,45,11,30,24,33,15,34,140,124,309,129,90,74,90,74,13,29,0,27,77,73,0,27,219,110,125,80,0,27,0,27,125,80,94,74,3254,318,2428,304,1079,202,342,137,282,123,455,152,1349,243,826,204,130,67,15,30,0,27,0,27,15,30,115,64,696,191,383,137,104,102,39,41,240,92,313,134
4.3,Seward Park,2162,160,143,89,100,77,6,17,0,17,6,17,0,17,94,75,43,48,10,19,10,19,0,17,0,17,10,19,0,17,33,45,33,45,5,16,28,46,0,17,0,17,2019,156,1552,149,759,119,239,93,164,69,356,115,793,136,467,119,186,87,76,43,22,24,0,17,54,38,110,77,281,97,131,66,22,24,14,23,95,59,150,70
4.4,Mt. Baker/North Rainier,1352,153,104,65,16,25,16,25,0,17,0,17,16,25,0,17,88,62,61,51,50,54,0,17,0,17,50,54,11,22,27,31,27,31,0,17,0,17,27,31,0,17,1248,175,901,149,402,116,134,68,39,39,229,105,499,122,347,137,70,54,55,48,7,12,0,17,48,46,15,24,277,138,209,131,55,83,0,17,154,105,68,52
5.1,Madrona/Leschi,2490,254,208,137,107,109,79,106,79,106,0,21,0,21,28,32,101,79,0,21,0,21,0,21,0,21,0,21,0,21,101,79,39,39,39,39,0,21,0,21,62,72,2282,224,1886,211,875,161,322,111,89,54,464,131,1011,183,396,171,45,43,18,30,0,21,0,21,18,30,27,38,351,166,241,138,0,21,10,23,231,134,110,89
5.2,Judkins Park,450,101,59,36,39,34,20,26,0,12,0,12,20,26,19,20,20,21,0,12,0,12,0,12,0,12,0,12,0,12,20,21,0,12,0,12,0,12,0,12,20,21,391,107,309,93,130,70,60,56,16,26,54,48,179,63,82,59,14,22,0,12,0,12,0,12,0,12,14,22,68,55,23,27,0,12,11,18,12,20,45,48
5.3,Central Area/Squire Park,2887,243,198,108,56,44,43,42,20,36,11,27,12,27,13,27,142,101,48,60,48,60,14,30,34,58,0,24,0,24,94,81,94,81,0,24,0,24,94,81,0,24,2689,234,1915,214,718,142,344,122,125,77,249,93,1197,184,774,171,211,91,91,61,19,33,0,24,72,57,120,90,563,151,327,126,74,67,55,67,198,95,236,88
6.1,First Hill,1417,199,313,92,115,55,52,44,9,26,21,34,22,37,63,39,198,80,60,49,60,49,49,45,0,24,11,27,0,24,138,79,105,69,38,55,20,36,47,45,33,44,1104,186,905,168,27,41,19,39,0,24,8,27,878,164,199,79,117,69,10,26,0,24,0,24,10,26,107,67,82,64,82,64,47,46,0,24,35,49,0,24
6.2,Capitol Hill,2188,369,162,115,0,29,0,29,0,29,0,29,0,29,0,29,162,115,0,29,0,29,0,29,0,29,0,29,0,29,162,115,138,112,123,113,0,29,15,38,24,33,2026,362,1761,348,370,183,241,170,88,75,41,53,1391,303,265,138,89,83,30,42,15,34,0,29,15,35,59,78,176,113,95,73,44,58,0,29,51,55,81,90
6.3,North Capitol Hill,727,127,16,25,0,12,0,12,0,12,0,12,0,12,0,12,16,25,0,12,0,12,0,12,0,12,0,12,0,12,16,25,0,12,0,12,0,12,0,12,16,25,711,121,682,121,159,53,48,46,43,30,68,33,523,118,29,34,0,12,0,12,0,12,0,12,0,12,0,12,29,34,17,26,0,12,0,12,17,26,12,20
6.4,Miller Park,1365,136,22,26,11,21,0,17,0,17,0,17,0,17,11,21,11,20,0,17,0,17,0,17,0,17,0,17,0,17,11,20,11,20,0,17,0,17,11,20,0,17,1343,131,1190,123,602,77,108,53,140,67,354,76,588,110,153,73,55,47,22,24,0,17,0,17,22,24,33,43,98,61,54,51,40,48,0,17,14,21,44,30
6.5,Madison Park,1217,182,18,27,0,17,0,17,0,17,0,17,0,17,0,17,18,27,0,17,0,17,0,17,0,17,0,17,0,17,18,27,0,17,0,17,0,17,0,17,18,27,1199,183,1070,178,422,125,67,87,83,56,272,81,648,114,129,68,37,36,9,15,0,17,0,17,9,15,28,34,92,62,79,59,0,17,0,17,79,59,13,21
7.1,Montlake/Portage Bay,2107,213,46,47,0,21,0,21,0,21,0,21,0,21,0,21,46,47,0,21,0,21,0,21,0,21,0,21,0,21,46,47,33,42,8,21,0,21,25,42,13,24,2061,218,1685,185,547,81,163,61,60,34,324,80,1138,170,376,142,113,61,50,42,0,21,0,21,50,42,63,47,263,121,73,47,31,37,0,21,42,36,190,111
7.2,University District,1138,181,162,91,31,39,0,29,0,29,0,29,0,29,31,39,131,85,114,81,0,29,0,29,0,29,0,29,114,81,17,29,4,26,0,29,4,26,0,29,13,32,976,149,813,140,303,60,109,89,43,47,151,69,510,138,163,73,49,53,13,32,13,32,0,29,0,29,36,49,114,56,43,35,0,29,0,29,43,35,71,50
7.3,Ravenna/Bryant,4872,251,175,75,75,54,66,54,37,41,13,34,16,37,9,32,100,57,42,46,8,31,0,32,0,32,8,31,34,45,58,40,43,35,13,33,14,36,16,33,15,32,4697,254,4208,269,2006,172,658,141,398,99,950,137,2202,222,489,142,49,44,40,41,34,40,0,32,6,31,9,33,440,136,224,95,53,47,37,63,134,65,216,98
7.4,Wedgwood/View Ridge,3927,197,72,41,11,29,11,29,0,27,0,27,11,29,0,27,61,40,25,33,17,31,0,27,0,27,17,31,8,27,36,35,16,28,0,27,0,27,16,28,20,30,3855,197,3230,196,1519,145,323,93,277,86,919,150,1711,165,625,157,195,104,79,71,0,27,0,27,79,71,116,79,430,122,222,82,57,41,0,27,165,74,208,87
7.5,Laurelhurst/Sand Point,2695,190,145,70,51,35,35,26,21,24,0,21,14,27,16,27,94,64,10,22,10,22,0,21,0,21,10,22,0,21,84,62,48,39,20,34,22,39,6,21,36,52,2550,183,2207,189,1073,129,199,87,200,75,674,131,1134,163,343,116,121,70,75,58,11,22,0,21,64,52,46,39,222,90,122,69,34,34,0,21,88,63,100,54
8.1,Northgate/Maple Leaf,2868,271,193,92,77,56,37,38,11,28,0,24,26,34,40,48,116,74,20,27,20,27,0,24,0,24,20,27,0,24,96,70,80,68,62,67,0,24,18,27,16,30,2675,269,2049,248,851,152,300,121,155,79,396,98,1198,219,626,163,246,108,38,33,10,26,0,24,28,30,208,105,380,143,179,117,15,24,40,50,124,101,201,85
8.2,Olympic Hills/Victory Heights,3632,274,339,129,141,77,32,42,16,33,16,33,0,24,109,68,198,103,63,74,0,24,0,24,0,24,0,24,63,74,135,75,135,75,0,24,106,69,29,33,0,24,3293,256,2459,228,942,158,348,129,67,43,527,114,1517,193,834,202,268,116,101,79,0,24,0,24,101,79,167,96,566,170,240,121,34,53,0,24,206,114,326,111
8.3,Cedar Park/Meadowbrook,2665,229,223,116,91,55,59,46,8,27,34,40,17,29,32,35,132,112,11,29,11,29,0,27,0,27,11,29,0,27,121,112,111,111,50,59,11,31,50,74,10,29,2442,209,1991,197,793,134,240,93,66,37,487,129,1198,170,451,136,165,88,68,63,0,27,3,25,65,64,97,62,286,107,186,87,84,70,21,33,81,56,100,64
9.1,Broadview/Bitter Lake,2993,252,194,108,48,47,0,27,0,27,0,27,0,27,48,47,146,98,0,27,0,27,0,27,0,27,0,27,0,27,146,98,112,95,66,86,12,27,34,44,34,40,2799,253,2337,231,866,127,214,95,113,68,539,130,1471,223,462,157,107,76,81,75,0,27,0,27,81,75,26,35,355,134,176,109,0,27,8,27,168,109,179,78
9.2,Licton Springs,1744,248,138,82,81,69,51,60,16,28,0,17,35,55,30,35,57,48,0,17,0,17,0,17,0,17,0,17,0,17,57,48,28,34,17,31,0,17,11,22,29,36,1606,233,1313,228,557,161,420,152,17,29,120,90,756,171,293,103,66,45,41,38,26,30,0,17,15,28,25,28,227,91,113,75,54,60,0,17,59,48,114,64
9.3,Greenwood/Phinney Ridge,5397,306,199,98,67,54,29,41,0,29,16,37,13,34,38,45,132,86,25,39,11,32,0,29,0,29,11,32,14,34,107,81,82,71,70,69,0,29,12,33,25,47,5198,323,4445,325,2128,196,679,149,407,136,1042,165,2317,271,753,155,158,83,67,65,9,30,0,29,58,63,91,60,595,143,258,89,29,41,11,32,218,81,337,114
9.4,Green Lake,2937,232,100,77,66,66,50,63,39,63,0,24,11,26,16,28,34,46,8,25,8,25,0,24,0,24,8,25,0,24,26,44,26,44,0,24,0,24,26,44,0,24,2837,240,2385,228,935,117,418,107,90,54,427,97,1450,217,452,128,101,52,50,39,16,33,0,24,34,33,51,41,351,119,123,67,0,24,0,24,123,67,228,112
9.5,Haller Lake,2381,228,129,79,57,64,50,62,0,21,39,61,11,23,7,16,72,48,34,35,8,22,0,21,0,21,8,22,26,34,38,39,17,23,0,21,3,16,14,26,21,35,2252,211,1891,227,731,140,209,83,129,79,393,129,1160,220,361,113,146,77,96,60,35,40,0,21,61,45,50,46,215,93,103,59,16,25,0,21,87,56,112,75
10.1,North Beach/Blue Ridge,3159,193,62,41,33,35,19,28,0,21,10,23,9,25,14,29,29,29,10,22,10,22,0,21,0,21,10,22,0,21,19,27,19,27,0,21,0,21,19,27,0,21,3097,193,2650,201,959,162,279,93,156,68,524,124,1691,164,447,132,105,67,101,67,47,56,0,21,54,42,4,18,342,118,195,94,0,21,0,21,195,94,147,65
10.2,Whittier Heights,2878,246,84,69,27,34,27,34,0,24,0,24,27,34,0,24,57,59,26,34,26,34,12,25,0,24,14,28,0,24,31,51,0,24,0,24,0,24,0,24,31,51,2794,242,2292,244,985,143,448,134,168,61,369,105,1307,229,502,167,171,105,154,101,48,47,0,24,106,89,17,32,331,121,186,100,24,28,51,63,111,61,145,81
10.3,Sunset Hill/Loyal Heights,3269,202,106,66,80,60,35,40,0,24,0,24,35,40,45,46,26,29,0,24,0,24,0,24,0,24,0,24,0,24,26,29,26,29,11,24,0,24,15,29,0,24,3163,210,2671,216,1190,158,508,146,197,74,485,113,1481,194,492,146,186,108,71,70,27,33,0,24,44,63,115,82,306,108,147,76,0,24,18,32,129,72,159,76
10.4,Ballard,1233,229,36,42,36,42,36,42,17,27,0,17,19,32,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,1197,226,894,201,276,82,158,109,41,48,77,65,618,207,303,133,78,71,0,17,0,17,0,17,0,17,78,71,225,106,87,55,0,17,0,17,87,55,138,99
11.1,Fremont,2776,260,76,53,44,43,14,29,14,29,0,24,0,24,30,37,32,38,0,24,0,24,0,24,0,24,0,24,0,24,32,38,19,31,0,24,15,32,4,23,13,30,2700,257,2292,248,745,124,335,117,122,62,288,94,1547,233,408,115,148,79,123,73,54,50,0,24,69,55,25,33,260,96,84,61,14,30,0,24,70,57,176,77
11.2,Wallingford,2475,231,131,96,43,44,0,27,0,27,0,27,0,27,43,44,88,89,38,64,0,27,0,27,0,27,0,27,38,64,50,66,50,66,11,29,39,66,0,27,0,27,2344,198,1949,187,897,115,371,101,158,59,368,90,1052,157,395,121,165,88,64,40,9,28,0,27,55,37,101,81,230,85,136,67,26,41,37,43,73,46,94,54
11.3,Cascade/Eastlake,1426,294,179,144,48,46,0,21,0,21,0,21,0,21,48,46,131,139,81,127,0,21,0,21,0,21,0,21,81,127,50,59,50,59,42,59,0,21,8,23,0,21,1247,267,1012,243,192,105,148,91,0,21,44,53,820,217,235,144,125,116,58,97,58,97,0,21,0,21,67,67,110,80,99,79,16,40,0,21,83,71,11,25
12.1,Magnolia,3302,225,43,55,27,46,27,46,0,24,0,24,27,46,0,24,16,30,16,30,0,24,0,24,0,24,0,24,16,30,0,24,0,24,0,24,0,24,0,24,0,24,3259,228,3020,223,1392,177,326,124,277,112,789,150,1628,184,239,98,70,52,60,49,0,24,0,24,60,49,10,23,169,86,74,67,0,24,0,24,74,67,95,61
12.2,Interbay,2040,217,30,30,21,25,21,25,13,27,0,21,8,18,0,21,9,23,0,21,0,21,0,21,0,21,0,21,0,21,9,23,9,23,0,21,0,21,9,23,0,21,2010,217,1692,206,617,156,121,76,166,95,330,124,1075,202,318,115,52,63,39,59,0,21,0,21,39,59,13,30,266,100,132,75,41,53,14,25,77,53,134,66
12.3,Queen Anne,6804,416,157,76,99,62,17,44,0,40,0,40,17,44,82,61,58,51,0,40,0,40,0,40,0,40,0,40,0,40,58,51,35,47,26,46,0,40,9,41,23,44,6647,414,5999,414,2248,237,789,178,368,141,1091,196,3751,373,648,179,184,84,68,54,14,43,0,40,54,49,116,72,464,162,277,130,130,108,0,40,147,83,187,103
13.1,Belltown,1111,234,59,73,27,46,27,46,0,21,0,21,27,46,0,21,32,56,32,56,0,21,0,21,0,21,0,21,32,56,0,21,0,21,0,21,0,21,0,21,0,21,1052,216,984,207,144,42,144,42,0,21,0,21,840,206,68,52,0,21,0,21,0,21,0,21,0,21,0,21,68,52,54,48,14,24,14,25,26,40,14,25
13.2,Downtown Commercial Core,440,138,83,59,74,59,13,20,13,20,0,12,0,12,61,53,9,16,0,12,0,12,0,12,0,12,0,12,0,12,9,16,0,12,0,12,0,12,0,12,9,16,357,119,357,119,47,63,47,63,0,12,0,12,310,94,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
13.3,Pioneer Square/International District,750,142,306,122,190,95,40,35,8,18,24,29,8,18,150,89,116,81,31,49,31,49,0,17,31,49,0,17,0,17,85,66,54,58,26,38,28,48,0,17,31,33,444,100,344,95,91,45,51,37,10,21,30,26,253,85,100,56,30,30,16,24,0,17,0,17,16,24,14,23,70,43,47,35,8,18,0,17,39,33,23,32
