area_id,area_name,c24010g001,c24010g001_moe,c24010g002,c24010g002_moe,c24010g003,c24010g003_moe,c24010g004,c24010g004_moe,c24010g005,c24010g005_moe,c24010g006,c24010g006_moe,c24010g007,c24010g007_moe,c24010g008,c24010g008_moe,c24010g009,c24010g009_moe,c24010g010,c24010g010_moe,c24010g011,c24010g011_moe,c24010g012,c24010g012_moe,c24010g013,c24010g013_moe
3.5,Beacon Hill,82,63,31,38,22,37,0,17,0,17,0,17,9,18,51,52,27,42,0,17,24,30,0,17,0,17
3.6,North Beacon Hill/Jefferson Park,440,157,293,118,116,67,48,57,115,83,0,24,14,33,147,100,23,32,67,78,57,62,0,24,0,24
4.1,Rainier Beach,256,144,30,41,18,38,0,27,0,27,12,31,0,27,226,138,178,126,0,27,48,66,0,27,0,27
4.2,Columbia City,310,125,129,67,62,53,0,27,20,29,0,27,47,45,181,103,47,39,17,35,100,92,0,27,17,33
4.3,Seward Park,211,113,148,85,87,68,38,39,0,17,12,22,11,22,63,49,34,40,0,17,29,33,0,17,0,17
4.4,Mt. Baker/North Rainier,138,88,26,31,14,23,12,21,0,17,0,17,0,17,112,78,18,30,12,21,82,68,0,17,0,17
5.1,Madrona/Leschi,294,227,172,121,116,112,14,29,25,33,0,21,17,32,122,121,32,55,81,107,9,18,0,21,0,21
5.2,Judkins Park,95,80,73,69,0,12,0,12,10,17,54,66,9,15,22,25,13,20,0,12,9,15,0,12,0,12
5.3,Central Area/Squire Park,444,146,121,69,110,69,8,24,3,22,0,24,0,24,323,129,143,91,21,30,116,86,11,29,32,42
6.1,First Hill,238,99,45,36,27,36,18,29,0,24,0,24,0,24,193,99,99,72,0,24,94,68,0,24,0,24
6.2,Capitol Hill,584,199,339,162,89,71,118,108,37,44,42,59,53,86,245,113,89,77,28,38,128,80,0,29,0,29
6.3,North Capitol Hill,78,80,78,80,49,74,0,12,13,21,16,27,0,12,0,12,0,12,0,12,0,12,0,12,0,12
6.4,Miller Park,144,76,51,52,13,24,0,17,10,20,0,17,28,45,93,56,42,33,0,17,20,33,0,17,31,32
6.5,Madison Park,30,34,13,20,0,17,0,17,0,17,0,17,13,20,17,28,17,28,0,17,0,17,0,17,0,17
7.1,Montlake/Portage Bay,207,108,106,82,47,42,42,67,17,22,0,21,0,21,101,67,73,50,28,45,0,21,0,21,0,21
7.2,University District,442,163,211,111,86,61,44,48,68,60,13,32,0,29,231,113,69,57,104,84,58,54,0,29,0,29
7.3,Ravenna/Bryant,575,164,208,91,132,73,23,37,53,50,0,32,0,32,367,126,205,89,88,68,63,55,0,32,11,32
7.4,Wedgwood/View Ridge,242,107,134,75,93,61,0,27,41,52,0,27,0,27,108,67,57,59,24,31,27,35,0,27,0,27
7.5,Laurelhurst/Sand Point,140,84,118,83,30,37,32,42,56,65,0,21,0,21,22,31,9,23,0,21,13,27,0,21,0,21
8.1,Northgate/Maple Leaf,188,94,89,61,46,40,19,36,10,26,14,38,0,24,99,68,50,36,0,24,33,46,0,24,16,32
8.2,Olympic Hills/Victory Heights,436,201,212,108,38,47,66,56,25,37,60,66,23,31,224,162,43,46,116,150,43,44,0,24,22,32
8.3,Cedar Park/Meadowbrook,173,99,125,92,28,34,7,22,23,33,0,27,67,82,48,42,37,41,11,26,0,27,0,27,0,27
9.1,Broadview/Bitter Lake,236,122,52,45,43,43,9,28,0,27,0,27,0,27,184,108,123,91,28,36,25,36,0,27,8,27
9.2,Licton Springs,282,130,150,95,102,78,14,26,9,21,14,27,11,23,132,84,70,56,47,60,0,17,0,17,15,27
9.3,Greenwood/Phinney Ridge,593,214,275,130,85,58,104,88,28,41,9,30,49,46,318,119,155,84,94,74,54,51,15,35,0,29
9.4,Green Lake,379,158,99,69,47,41,0,24,33,41,0,24,19,34,280,153,140,121,0,24,140,97,0,24,0,24
9.5,Haller Lake,192,107,115,84,86,77,21,36,8,21,0,21,0,21,77,62,21,36,56,51,0,21,0,21,0,21
10.1,North Beach/Blue Ridge,290,148,119,72,50,43,58,57,0,21,1,17,10,23,171,110,61,44,0,21,101,102,0,21,9,23
10.2,Whittier Heights,250,109,181,100,45,43,16,30,87,88,15,29,18,34,69,50,13,26,0,24,28,33,0,24,28,33
10.3,Sunset Hill/Loyal Heights,265,114,91,60,76,56,0,24,15,28,0,24,0,24,174,98,113,83,61,61,0,24,0,24,0,24
10.4,Ballard,235,169,78,78,42,65,19,33,0,17,17,26,0,17,157,148,142,146,15,25,0,17,0,17,0,17
11.1,Fremont,396,170,156,102,143,98,0,24,13,29,0,24,0,24,240,130,198,123,0,24,42,39,0,24,0,24
11.2,Wallingford,495,163,208,107,74,51,7,26,71,76,17,26,39,66,287,126,168,88,44,40,75,77,0,27,0,27
11.3,Cascade/Eastlake,390,176,155,122,109,114,0,21,46,49,0,21,0,21,235,128,183,122,8,21,44,46,0,21,0,21
12.1,Magnolia,121,87,10,24,10,24,0,24,0,24,0,24,0,24,111,87,21,40,0,24,90,81,0,24,0,24
12.2,Interbay,247,130,128,94,62,76,37,42,29,26,0,21,0,21,119,70,107,67,0,21,12,24,0,21,0,21
12.3,Queen Anne,1113,337,587,265,303,160,94,114,69,55,0,40,121,156,526,170,277,129,104,91,145,100,0,40,0,40
13.1,Belltown,189,104,49,42,49,42,0,21,0,21,0,21,0,21,140,94,73,60,28,65,39,41,0,21,0,21
13.2,Downtown Commercial Core,136,110,124,100,64,61,49,75,0,12,11,26,0,12,12,26,0,12,0,12,12,26,0,12,0,12
13.3,Pioneer Square/International District,82,67,54,61,0,17,21,49,8,18,0,17,25,38,28,28,10,20,18,21,0,17,0,17,0,17
