area_id,area_name,b19037a001,b19037a001_moe,b19037a002,b19037a002_moe,b19037a003,b19037a003_moe,b19037a004,b19037a004_moe,b19037a005,b19037a005_moe,b19037a006,b19037a006_moe,b19037a007,b19037a007_moe,b19037a008,b19037a008_moe,b19037a009,b19037a009_moe,b19037a010,b19037a010_moe,b19037a011,b19037a011_moe,b19037a012,b19037a012_moe,b19037a013,b19037a013_moe,b19037a014,b19037a014_moe,b19037a015,b19037a015_moe,b19037a016,b19037a016_moe,b19037a017,b19037a017_moe,b19037a018,b19037a018_moe,b19037a019,b19037a019_moe,b19037a020,b19037a020_moe,b19037a021,b19037a021_moe,b19037a022,b19037a022_moe,b19037a023,b19037a023_moe,b19037a024,b19037a024_moe,b19037a025,b19037a025_moe,b19037a026,b19037a026_moe,b19037a027,b19037a027_moe,b19037a028,b19037a028_moe,b19037a029,b19037a029_moe,b19037a030,b19037a030_moe,b19037a031,b19037a031_moe,b19037a032,b19037a032_moe,b19037a033,b19037a033_moe,b19037a034,b19037a034_moe,b19037a035,b19037a035_moe,b19037a036,b19037a036_moe,b19037a037,b19037a037_moe,b19037a038,b19037a038_moe,b19037a039,b19037a039_moe,b19037a040,b19037a040_moe,b19037a041,b19037a041_moe,b19037a042,b19037a042_moe,b19037a043,b19037a043_moe,b19037a044,b19037a044_moe,b19037a045,b19037a045_moe,b19037a046,b19037a046_moe,b19037a047,b19037a047_moe,b19037a048,b19037a048_moe,b19037a049,b19037a049_moe,b19037a050,b19037a050_moe,b19037a051,b19037a051_moe,b19037a052,b19037a052_moe,b19037a053,b19037a053_moe,b19037a054,b19037a054_moe,b19037a055,b19037a055_moe,b19037a056,b19037a056_moe,b19037a057,b19037a057_moe,b19037a058,b19037a058_moe,b19037a059,b19037a059_moe,b19037a060,b19037a060_moe,b19037a061,b19037a061_moe,b19037a062,b19037a062_moe,b19037a063,b19037a063_moe,b19037a064,b19037a064_moe,b19037a065,b19037a065_moe,b19037a066,b19037a066_moe,b19037a067,b19037a067_moe,b19037a068,b19037a068_moe,b19037a069,b19037a069_moe
3.2,Georgetown,527,62,33,38,0,12,0,12,25,36,0,12,4,6,0,12,0,12,0,12,0,12,4,6,0,12,0,12,0,12,0,12,0,12,0,12,258,83,4,8,9,14,74,56,9,15,0,12,12,15,12,21,3,9,47,49,4,7,23,22,34,31,10,17,0,12,17,29,0,12,197,51,0,12,12,14,32,36,0,12,69,59,11,19,13,19,10,16,4,8,4,7,6,11,24,27,12,18,0,12,0,12,0,12,39,42,3,6,6,10,0,12,0,12,0,12,0,12,0,12,0,12,0,12,30,41,0,12,0,12,0,12,0,12,0,12,0,12
3.3,Duwamish/SODO,536,109,27,32,0,12,0,12,0,12,9,15,0,12,0,12,0,12,0,12,0,12,0,12,18,28,0,12,0,12,0,12,0,12,0,12,253,83,15,17,0,12,0,12,6,10,0,12,43,51,0,12,21,24,0,12,43,66,32,27,11,15,74,47,0,12,8,14,0,12,196,54,13,20,0,12,0,12,0,12,0,12,13,19,11,17,19,31,8,15,19,28,21,23,0,12,16,17,29,24,19,23,28,25,60,39,0,12,0,12,14,21,7,13,0,12,0,12,11,17,0,12,0,12,13,20,0,12,7,11,8,15,0,12,0,12,0,12
3.4,South Beacon Hill/NewHolly,927,162,24,30,0,24,13,30,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,11,25,0,24,0,24,0,24,0,24,320,122,0,24,0,24,78,79,0,24,0,24,0,24,33,54,11,28,25,45,19,29,24,29,65,43,40,31,15,32,10,28,0,24,327,99,12,28,15,22,9,22,0,24,7,21,11,28,6,20,7,20,10,24,19,26,114,86,86,59,8,21,0,24,7,21,16,31,256,88,22,36,36,35,0,24,23,29,47,40,20,31,0,24,0,24,29,28,0,24,42,42,18,24,10,23,9,22,0,24,0,24
3.5,Beacon Hill,876,166,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,374,100,0,17,0,17,0,17,12,24,19,33,0,17,0,17,21,24,0,17,0,17,36,40,15,19,75,59,126,87,27,30,43,41,349,125,25,28,0,17,0,17,6,16,23,29,18,22,0,17,21,29,17,31,42,34,0,17,43,42,60,51,52,71,3,14,39,58,153,82,31,36,0,17,15,29,16,29,0,17,20,34,20,35,0,17,0,17,19,34,32,41,0,17,0,17,0,17,0,17,0,17
3.6,North Beacon Hill/Jefferson Park,2179,252,142,82,0,24,21,39,0,24,31,54,0,24,18,34,0,24,0,24,11,29,17,37,0,24,11,28,0,24,21,28,12,25,0,24,1347,212,28,35,36,46,7,21,26,32,43,55,32,39,27,34,65,64,90,88,122,81,212,111,136,77,180,81,179,89,117,92,47,43,518,149,26,37,0,24,0,24,0,24,14,28,9,26,32,37,25,32,23,34,83,64,82,72,57,45,83,67,35,43,0,24,49,50,172,94,35,59,13,27,11,25,16,33,0,24,29,40,0,24,0,24,13,27,21,39,17,32,17,36,0,24,0,24,0,24,0,24
4.1,Rainier Beach,2088,229,36,61,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,36,61,0,27,0,27,0,27,0,27,0,27,0,27,753,179,122,112,15,31,31,55,0,27,0,27,77,88,0,27,0,27,0,27,115,86,113,69,105,81,93,61,13,33,15,31,54,53,887,181,68,63,0,27,17,34,103,98,24,40,16,33,16,33,17,34,25,42,66,68,56,49,195,87,118,68,0,27,48,64,118,95,412,118,16,33,41,41,29,36,31,38,0,27,27,33,13,30,0,27,21,38,32,40,63,51,40,43,58,54,19,37,22,37,0,27
4.2,Columbia City,2627,289,20,37,0,27,0,27,0,27,20,37,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,1176,217,27,34,0,27,15,32,56,70,0,27,0,27,14,31,61,56,11,27,4,22,142,83,331,138,154,76,66,58,231,117,64,50,1076,200,102,68,15,32,72,52,13,30,51,67,63,64,41,48,30,38,9,28,177,140,93,64,58,47,180,90,77,57,36,43,59,54,355,105,53,66,37,34,38,41,14,30,14,31,39,40,33,34,0,27,26,33,0,27,0,27,73,57,9,29,0,27,6,23,13,30
4.3,Seward Park,1976,146,41,55,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,33,54,0,17,0,17,0,17,8,18,0,17,694,110,10,20,0,17,28,46,0,17,52,48,0,17,10,20,0,17,11,22,5,15,54,36,114,59,108,69,129,59,97,70,76,40,1003,141,12,23,48,59,12,22,14,20,7,16,18,22,21,26,38,45,24,25,124,56,142,76,107,48,84,48,98,61,96,53,158,75,238,73,10,20,36,51,0,17,0,17,16,22,6,16,15,18,6,16,16,17,5,15,32,27,19,20,26,26,0,17,38,28,13,16
4.4,Mt. Baker/North Rainier,1388,137,18,27,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,18,27,0,17,0,17,0,17,0,17,0,17,499,109,10,18,16,25,0,17,13,21,0,17,0,17,0,17,11,17,46,72,0,17,0,17,122,89,45,45,21,25,142,83,73,52,701,121,27,30,0,17,0,17,27,30,0,17,0,17,0,17,13,21,0,17,13,21,74,58,47,37,102,55,53,43,83,49,262,110,170,68,0,17,13,22,13,21,0,17,0,17,0,17,0,17,14,22,13,21,13,21,15,23,14,23,0,17,0,17,24,30,51,39
5.1,Madrona/Leschi,2846,222,187,133,0,21,0,21,0,21,0,21,0,21,112,112,15,26,14,26,0,21,0,21,0,21,46,75,0,21,0,21,0,21,0,21,1111,175,16,30,0,21,21,39,11,22,58,94,67,79,0,21,0,21,36,46,67,90,96,86,102,82,141,86,49,42,189,78,258,112,1048,149,32,43,0,21,74,100,0,21,21,28,20,31,27,36,15,29,0,21,35,30,20,27,69,51,93,65,74,52,129,64,439,100,500,100,15,26,0,21,0,21,14,25,34,37,30,33,0,21,0,21,29,28,40,36,14,29,69,46,38,37,10,19,141,75,66,48
5.2,Judkins Park,435,101,26,24,0,12,9,14,0,12,0,12,0,12,0,12,9,15,0,12,0,12,0,12,0,12,8,12,0,12,0,12,0,12,0,12,238,84,0,12,0,12,0,12,12,19,13,22,0,12,9,16,12,19,0,12,32,31,29,27,71,52,10,15,23,29,27,26,0,12,89,39,5,9,10,17,0,12,0,12,0,12,0,12,11,17,7,10,20,18,21,22,6,10,9,17,0,12,0,12,0,12,0,12,82,50,56,40,9,14,0,12,0,12,0,12,0,12,17,27,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
5.3,Central Area/Squire Park,5565,296,432,135,31,32,40,50,78,68,33,34,48,57,0,24,34,50,10,26,20,39,3,22,49,61,25,34,49,55,0,24,0,24,12,27,2884,291,49,62,35,37,84,77,120,99,25,33,69,47,137,86,158,80,72,65,312,124,348,109,517,147,258,96,275,111,262,85,163,82,1694,208,67,49,78,58,33,33,28,36,93,74,111,93,34,41,20,29,79,56,23,33,139,71,227,86,201,88,196,79,142,74,223,99,555,162,94,68,75,59,157,111,49,49,48,79,0,24,8,25,19,36,10,26,16,33,15,32,26,33,0,24,26,38,12,28,0,24
6.1,First Hill,5278,346,601,171,127,68,220,116,11,26,54,68,32,35,7,25,30,42,14,24,0,24,39,47,32,37,35,45,0,24,0,24,0,24,0,24,2594,275,102,67,137,80,136,87,184,110,88,56,213,106,138,69,166,87,232,127,173,87,213,99,256,96,232,100,93,70,135,100,96,81,1022,197,127,91,70,56,21,30,68,53,44,47,68,62,44,70,39,46,33,37,42,38,171,94,177,92,11,28,0,24,79,60,28,35,1061,155,199,105,89,56,78,48,65,50,42,37,76,74,67,41,30,31,27,31,55,42,35,33,114,58,66,46,35,32,14,23,69,51
6.2,Capitol Hill,11199,492,1379,256,165,93,108,64,195,98,133,89,91,68,147,115,121,85,47,62,0,29,70,65,67,48,107,101,74,87,54,73,0,29,0,29,6741,514,351,161,159,83,247,134,395,178,377,201,424,175,360,157,248,148,314,142,677,219,680,195,944,247,638,231,530,239,230,119,167,165,2323,340,307,126,99,62,59,44,143,93,71,48,134,86,91,83,184,126,50,46,289,171,171,93,291,125,120,68,150,99,44,41,120,81,756,186,85,69,119,121,90,62,98,88,0,29,83,68,8,30,19,40,50,47,14,35,76,59,11,31,32,42,0,29,26,48,45,39
6.3,North Capitol Hill,2018,165,64,55,0,12,0,12,13,20,29,34,0,12,0,12,0,12,0,12,0,12,0,12,22,37,0,12,0,12,0,12,0,12,0,12,929,162,48,43,0,12,48,46,0,12,0,12,33,39,85,93,0,12,14,22,136,88,87,61,213,116,92,84,18,34,57,46,98,61,651,121,0,12,36,39,0,12,0,12,13,22,12,19,16,26,46,45,16,25,76,82,31,37,58,52,61,56,46,44,57,73,183,70,374,97,26,29,12,20,0,12,14,21,16,25,54,61,0,12,0,12,12,20,24,26,9,16,0,12,43,54,0,12,95,79,69,51
6.4,Miller Park,2558,146,156,74,8,18,9,19,12,21,0,17,0,17,0,17,11,20,17,22,0,17,36,55,0,17,11,21,26,30,0,17,7,16,19,24,1424,157,11,21,19,25,44,45,63,64,23,24,42,53,17,23,105,69,19,24,160,69,182,78,175,70,131,57,176,84,108,55,149,64,712,104,20,26,10,20,0,17,0,17,0,17,19,26,27,25,18,24,38,31,10,19,9,18,24,26,105,53,102,55,139,58,191,62,266,63,23,24,7,16,7,16,8,16,9,18,0,17,14,16,0,17,0,17,35,28,45,39,29,26,26,29,0,17,9,19,54,34
6.5,Madison Park,2482,171,82,51,17,27,0,17,0,17,34,36,16,26,0,17,0,17,0,17,0,17,0,17,0,17,15,24,0,17,0,17,0,17,0,17,790,154,0,17,0,17,0,17,0,17,0,17,13,21,52,75,87,79,0,17,57,53,69,51,82,62,58,50,62,49,140,123,170,75,813,151,30,31,0,17,46,69,28,36,0,17,29,46,13,22,16,24,14,22,49,42,43,39,112,54,58,47,125,105,108,50,142,53,797,117,16,24,0,17,18,29,31,36,33,40,30,33,52,48,29,31,0,17,71,56,74,48,12,20,76,54,71,77,59,47,225,90
7.1,Montlake/Portage Bay,4072,171,371,156,28,34,38,49,0,21,0,21,0,21,0,21,60,60,44,43,14,25,35,60,103,82,0,21,49,78,0,21,0,21,0,21,1710,178,45,45,0,21,0,21,0,21,60,64,46,39,92,78,51,60,60,47,216,100,384,147,173,75,83,48,157,77,109,57,234,66,1352,159,0,21,13,24,71,73,14,25,13,25,27,31,12,25,68,57,18,25,82,62,82,59,218,102,87,47,81,47,161,63,405,104,639,87,0,21,14,26,27,30,33,30,24,27,16,29,0,21,9,23,48,41,42,34,49,40,79,50,84,46,25,30,60,45,129,60
7.2,University District,3313,295,1289,260,416,147,137,97,112,98,107,111,73,92,0,29,0,29,67,57,40,69,82,58,144,116,66,71,0,29,45,75,0,29,0,29,1121,213,94,59,77,54,15,33,35,44,71,55,42,43,57,49,56,52,61,46,183,121,59,48,45,47,102,88,13,33,18,38,193,90,511,159,83,79,40,47,16,35,14,32,57,84,0,29,9,30,0,29,0,29,33,36,39,34,31,42,22,36,36,39,56,52,75,46,392,114,170,111,0,29,0,29,48,56,0,29,0,29,0,29,0,29,16,35,0,29,54,48,27,40,0,29,49,48,16,35,12,31
7.3,Ravenna/Bryant,8229,290,896,183,260,120,55,65,134,80,47,42,70,53,46,42,61,58,50,67,40,41,60,72,8,32,52,44,13,34,0,32,0,32,0,32,3032,229,112,97,0,32,41,44,26,39,149,99,55,50,68,79,95,60,124,74,221,93,191,94,293,109,381,114,271,106,337,100,668,140,2838,195,130,96,87,71,44,37,85,50,75,51,42,41,45,39,76,45,25,42,69,58,105,62,446,118,375,115,234,92,416,122,584,117,1463,155,53,41,96,74,61,45,105,55,60,45,57,46,85,51,86,69,47,37,72,47,200,73,177,75,143,70,32,37,79,53,110,59
7.4,Wedgwood/View Ridge,5200,186,88,50,20,31,0,27,0,27,0,27,18,31,0,27,15,33,0,27,0,27,0,27,10,27,18,30,0,27,7,27,0,27,0,27,1465,159,22,33,0,27,8,27,5,25,44,47,55,37,9,27,84,55,25,29,66,57,165,69,205,89,195,74,135,58,247,90,200,89,2385,166,105,67,38,37,20,30,17,28,76,52,39,32,16,27,85,44,99,75,145,72,215,71,337,112,277,94,329,101,229,83,358,103,1262,133,35,38,38,39,38,37,27,37,34,37,71,46,121,68,57,41,69,46,71,46,78,48,202,75,129,66,68,45,97,63,127,67
7.5,Laurelhurst/Sand Point,3623,211,296,126,67,66,21,38,19,23,12,23,50,65,48,66,12,24,14,24,0,21,0,21,10,22,8,21,35,54,0,21,0,21,0,21,1136,132,34,31,39,37,22,39,35,33,54,72,15,27,0,21,34,40,21,25,104,58,150,80,72,51,155,74,30,27,155,70,216,89,1432,174,20,24,8,21,0,21,62,61,27,32,12,23,25,27,17,26,10,22,77,67,174,74,51,35,84,52,121,64,150,72,594,139,759,101,27,32,11,25,41,31,24,28,44,41,21,27,37,35,22,29,12,25,61,44,83,55,63,45,33,31,34,34,92,54,154,67
8.1,Northgate/Maple Leaf,5069,247,303,135,51,46,0,24,72,76,51,64,25,48,0,24,74,83,0,24,0,24,9,25,7,24,0,24,14,30,0,24,0,24,0,24,2138,229,100,67,91,70,9,25,71,59,47,56,64,54,153,134,38,39,146,96,234,137,284,112,247,106,149,67,181,71,178,75,146,77,1458,167,170,94,46,39,63,40,39,35,33,34,51,37,59,81,65,46,85,56,141,65,100,56,181,69,150,65,92,53,105,53,78,43,1170,183,131,109,73,56,113,71,209,93,25,34,56,44,57,46,73,53,30,36,124,100,35,46,176,94,34,35,7,24,10,26,17,24
8.2,Olympic Hills/Victory Heights,4962,243,231,131,54,72,0,24,12,29,0,24,88,83,0,24,0,24,0,24,27,47,12,28,13,26,25,34,0,24,0,24,0,24,0,24,1558,245,43,70,61,74,14,30,118,79,68,79,60,51,76,43,27,32,61,47,82,54,180,100,271,107,234,114,79,48,115,60,69,50,2141,215,125,87,88,85,90,84,71,47,51,41,101,94,54,56,104,61,26,34,265,113,217,97,192,85,310,107,147,73,171,76,129,60,1032,161,72,61,165,83,31,38,113,73,56,48,159,91,44,50,30,36,46,42,93,66,84,85,37,42,54,42,32,39,0,24,16,31
8.3,Cedar Park/Meadowbrook,4470,263,167,97,15,33,21,33,78,91,11,28,0,27,17,26,6,26,0,27,0,27,0,27,7,27,0,27,12,27,0,27,0,27,0,27,1604,226,56,64,29,29,37,58,98,71,36,62,78,63,76,54,60,45,42,46,181,99,185,82,299,121,133,71,145,63,65,51,84,46,1916,195,198,112,120,90,40,35,28,46,67,70,58,51,99,53,52,66,84,66,62,64,165,61,204,73,198,77,128,61,159,64,254,89,783,121,83,57,25,35,70,46,53,42,73,67,20,31,13,25,23,27,51,36,47,35,119,64,69,43,72,45,8,27,33,32,24,30
9.1,Broadview/Bitter Lake,5290,276,118,64,35,46,0,27,14,31,14,30,0,27,0,27,13,30,0,27,0,27,23,37,0,27,10,30,9,29,0,27,0,27,0,27,1405,238,88,100,31,39,12,27,26,37,76,84,122,114,59,52,47,48,56,89,46,44,147,87,221,92,144,104,166,99,33,36,131,65,2004,201,126,79,81,57,15,35,68,77,127,84,85,75,37,49,56,52,72,79,133,75,294,125,195,90,202,99,78,48,241,101,194,69,1763,213,205,141,266,122,188,76,145,79,144,78,72,54,62,51,64,44,84,55,83,56,150,75,158,90,42,42,13,31,18,31,69,48
9.2,Licton Springs,3147,212,384,184,0,17,11,22,0,17,37,47,0,17,13,23,0,17,53,84,22,38,37,47,90,99,95,107,26,43,0,17,0,17,0,17,1713,234,61,67,18,30,30,36,13,23,68,92,44,40,42,47,44,41,53,43,142,82,291,147,347,158,227,82,117,79,149,74,67,68,722,150,27,30,19,34,43,50,60,58,23,31,0,17,13,24,23,38,67,85,114,75,31,36,71,50,113,75,56,45,13,24,49,49,328,98,34,54,23,30,22,27,53,51,20,34,19,35,36,36,23,29,9,18,11,21,38,36,19,33,0,17,21,34,0,17,0,17
9.3,Greenwood/Phinney Ridge,9468,281,407,133,11,32,69,61,46,57,0,29,15,36,0,29,0,29,49,51,50,51,26,50,67,61,30,42,44,47,0,29,0,29,0,29,4504,293,95,72,96,56,85,89,83,81,82,52,131,68,87,59,190,86,167,95,242,119,355,115,618,152,717,162,592,150,608,162,356,106,3415,231,162,77,80,71,95,64,93,54,143,71,171,81,80,49,162,69,67,49,362,127,352,111,526,134,410,116,238,88,221,75,253,81,1142,154,121,96,26,41,133,69,119,59,58,47,70,51,50,47,25,37,66,69,77,56,99,50,173,71,61,40,11,31,18,33,35,33
9.4,Green Lake,5867,273,349,120,29,38,17,30,15,29,15,30,15,29,25,30,31,38,19,27,29,38,16,31,24,30,27,36,28,37,14,28,45,60,0,24,2894,287,88,70,27,33,0,24,12,28,0,24,96,74,127,83,53,44,130,83,136,68,349,142,308,116,515,184,336,121,293,100,424,131,1730,201,42,40,58,53,24,30,47,45,82,47,9,25,33,36,36,38,61,56,51,43,271,117,221,120,101,56,150,84,241,94,303,107,894,157,47,38,67,57,27,33,27,33,40,40,99,61,22,31,62,52,58,47,37,36,114,61,96,79,112,92,8,25,21,32,57,48
9.5,Haller Lake,3321,180,142,76,0,21,13,25,0,21,29,47,22,36,0,21,0,21,0,21,14,30,46,44,0,21,18,25,0,21,0,21,0,21,0,21,987,186,39,61,36,37,0,21,0,21,0,21,41,42,45,72,46,37,18,32,90,98,125,77,156,65,132,63,93,79,119,74,47,45,1389,157,90,85,63,46,0,21,17,30,35,34,77,51,97,62,82,52,14,26,109,74,125,70,220,93,191,92,111,91,68,46,90,57,803,125,136,110,66,54,45,33,32,52,52,41,33,30,64,58,41,33,64,46,45,38,102,51,74,37,6,16,7,16,21,22,15,19
