area_id,area_name,c23002d001,c23002d001_moe,c23002d002,c23002d002_moe,c23002d003,c23002d003_moe,c23002d004,c23002d004_moe,c23002d005,c23002d005_moe,c23002d006,c23002d006_moe,c23002d007,c23002d007_moe,c23002d008,c23002d008_moe,c23002d009,c23002d009_moe,c23002d010,c23002d010_moe,c23002d011,c23002d011_moe,c23002d012,c23002d012_moe,c23002d013,c23002d013_moe,c23002d014,c23002d014_moe,c23002d015,c23002d015_moe,c23002d016,c23002d016_moe,c23002d017,c23002d017_moe,c23002d018,c23002d018_moe,c23002d019,c23002d019_moe,c23002d020,c23002d020_moe,c23002d021,c23002d021_moe,c23002d022,c23002d022_moe,c23002d023,c23002d023_moe,c23002d024,c23002d024_moe,c23002d025,c23002d025_moe,c23002d026,c23002d026_moe,c23002d027,c23002d027_moe
6.3,North Capitol Hill,234,117,118,67,118,67,118,67,0,12,118,67,103,63,15,22,0,12,0,12,0,12,0,12,0,12,0,12,116,76,116,76,116,76,0,12,116,76,116,76,0,12,0,12,0,12,0,12,0,12,0,12,0,12
6.4,Miller Park,406,117,213,81,180,68,159,65,0,17,159,65,159,65,0,17,21,26,33,44,0,17,0,17,0,17,33,44,193,84,178,82,119,62,0,17,119,62,119,62,0,17,59,59,15,18,9,19,9,19,0,17,6,16
6.5,Madison Park,231,138,31,44,0,17,0,17,0,17,0,17,0,17,0,17,0,17,31,44,0,17,0,17,0,17,31,44,200,110,163,94,68,51,0,17,68,51,68,51,0,17,95,97,37,47,0,17,0,17,0,17,37,47
7.1,Montlake/Portage Bay,451,144,204,85,177,84,162,82,0,21,162,82,122,73,40,51,15,25,27,28,3,14,3,14,0,21,24,27,247,96,245,96,201,87,0,21,201,87,188,85,13,26,44,32,2,18,0,21,0,21,0,21,2,18
7.2,University District,4703,623,2139,407,2131,407,913,263,0,29,913,263,763,224,150,121,1218,254,8,27,8,27,8,27,0,29,0,29,2564,451,2550,450,1135,255,0,29,1135,255,913,225,222,126,1415,387,14,33,0,29,0,29,0,29,14,33
7.3,Ravenna/Bryant,2428,544,954,284,882,278,708,262,0,32,708,262,671,262,37,49,174,87,72,43,27,35,27,35,0,32,45,41,1474,322,1364,316,709,167,0,32,709,167,625,166,84,80,655,269,110,55,10,33,10,33,0,32,100,55
7.4,Wedgwood/View Ridge,1486,256,630,130,547,117,487,99,0,27,487,99,487,99,0,27,60,57,83,55,55,45,55,45,0,27,28,37,856,178,760,167,567,149,0,27,567,149,543,148,24,35,193,92,96,64,20,52,20,52,0,27,76,52
7.5,Laurelhurst/Sand Point,1163,336,489,164,423,146,338,125,0,21,338,125,338,125,0,21,85,63,66,43,12,22,12,22,0,21,54,39,674,202,575,175,398,159,0,21,398,159,386,154,12,22,177,79,99,56,12,22,12,22,0,21,87,50
8.1,Northgate/Maple Leaf,2033,329,1025,240,928,239,663,225,0,24,663,225,663,225,0,24,265,130,97,82,17,26,17,26,0,24,80,80,1008,225,907,216,574,165,0,24,574,165,527,141,47,51,333,153,101,65,10,26,10,26,0,24,91,63
8.2,Olympic Hills/Victory Heights,2225,453,1140,299,1021,298,891,285,0,24,891,285,745,271,146,92,130,136,119,61,9,22,9,22,0,24,110,62,1085,246,874,230,737,204,0,24,737,204,723,204,14,24,137,85,211,93,0,24,0,24,0,24,211,93
8.3,Cedar Park/Meadowbrook,1116,229,423,104,381,102,318,88,9,27,309,91,277,90,32,34,63,44,42,36,0,27,0,27,0,27,42,36,693,175,615,167,479,165,0,27,479,165,449,161,30,34,136,87,78,51,13,30,13,30,0,27,65,45
9.1,Broadview/Bitter Lake,1127,303,423,178,341,153,198,88,0,27,198,88,186,83,12,31,143,110,82,62,12,27,12,27,0,27,70,60,704,175,578,170,433,128,0,27,433,128,393,123,40,37,145,108,126,82,19,36,19,36,0,27,107,77
9.2,Licton Springs,1363,294,505,161,430,153,391,148,0,17,391,148,390,148,1,13,39,49,75,48,10,20,10,20,0,17,65,47,858,216,743,209,581,195,0,17,581,195,484,170,97,96,162,107,115,52,0,17,0,17,0,17,115,52
9.3,Greenwood/Phinney Ridge,1531,255,424,150,379,142,307,120,0,29,307,120,288,113,19,43,72,64,45,42,0,29,0,29,0,29,45,42,1107,201,985,200,656,179,0,29,656,179,596,169,60,50,329,149,122,68,0,29,0,29,0,29,122,68
9.4,Green Lake,1014,243,507,157,404,147,395,145,11,29,384,142,363,142,21,30,9,25,103,66,47,58,47,58,0,24,56,41,507,146,478,144,361,124,0,24,361,124,361,124,0,24,117,66,29,33,0,24,0,24,0,24,29,33
9.5,Haller Lake,1188,217,455,134,411,130,378,117,0,21,378,117,374,119,4,18,33,36,44,40,13,23,13,23,0,21,31,31,733,178,618,159,488,155,0,21,488,155,394,140,94,95,130,93,115,63,0,21,0,21,0,21,115,63
10.1,North Beach/Blue Ridge,460,142,181,71,126,59,126,59,0,21,126,59,96,53,30,32,0,21,55,42,34,39,34,39,0,21,21,27,279,103,243,95,195,76,0,21,195,76,195,76,0,21,48,45,36,35,0,21,0,21,0,21,36,35
10.2,Whittier Heights,408,118,137,77,124,75,124,75,0,24,124,75,124,75,0,24,0,24,13,27,0,24,0,24,0,24,13,27,271,98,234,85,207,82,0,24,207,82,207,82,0,24,27,35,37,43,0,24,0,24,0,24,37,43
10.3,Sunset Hill/Loyal Heights,535,147,143,74,128,71,94,60,0,24,94,60,94,60,0,24,34,42,15,29,0,24,0,24,0,24,15,29,392,117,374,114,278,116,0,24,278,116,273,115,5,20,96,56,18,26,0,24,0,24,0,24,18,26
10.4,Ballard,570,244,165,88,108,66,91,71,0,17,91,71,91,71,0,17,17,27,57,53,0,17,0,17,0,17,57,53,405,216,397,215,378,211,0,17,378,211,378,211,0,17,19,31,8,17,0,17,0,17,0,17,8,17
11.1,Fremont,832,200,381,127,365,123,331,119,33,56,298,111,276,105,22,38,34,44,16,33,16,33,16,33,0,24,0,24,451,157,408,154,307,127,0,24,307,127,307,127,0,24,101,78,43,30,0,24,0,24,0,24,43,30
11.2,Wallingford,1658,341,781,219,749,213,469,159,0,27,469,159,464,159,5,25,280,135,32,41,0,27,0,27,0,27,32,41,877,246,849,243,649,210,0,27,649,210,606,199,43,42,200,116,28,34,0,27,0,27,0,27,28,34
11.3,Cascade/Eastlake,1990,494,1187,489,1118,488,789,271,0,21,789,271,775,271,14,28,329,418,69,47,0,21,0,21,0,21,69,47,803,233,741,226,555,198,0,21,555,198,546,198,9,26,186,106,62,43,0,21,0,21,0,21,62,43
12.1,Magnolia,592,153,189,95,189,95,189,95,15,29,174,91,174,91,0,24,0,24,0,24,0,24,0,24,0,24,0,24,403,140,283,144,160,92,0,24,160,92,160,92,0,24,123,100,120,69,0,24,0,24,0,24,120,69
12.2,Interbay,532,226,111,82,72,67,72,67,13,30,59,61,59,61,0,21,0,21,39,49,0,21,0,21,0,21,39,49,421,193,379,191,324,187,0,21,324,187,324,187,0,21,55,56,42,56,25,47,25,47,0,21,17,33
12.3,Queen Anne,2710,408,1098,302,1045,300,919,291,0,40,919,291,897,291,22,41,126,79,53,55,0,40,0,40,0,40,53,55,1612,279,1470,276,1306,267,0,40,1306,267,1210,259,96,86,164,80,142,110,0,40,0,40,0,40,142,110
13.1,Belltown,895,330,470,241,446,239,309,163,0,21,309,163,309,163,0,21,137,179,24,31,0,21,0,21,0,21,24,31,425,156,385,153,309,126,0,21,309,126,292,121,17,30,76,75,40,36,0,21,0,21,0,21,40,36
13.2,Downtown Commercial Core,329,168,111,72,64,55,64,55,0,12,64,55,64,55,0,12,0,12,47,45,0,12,0,12,0,12,47,45,218,120,172,109,101,93,0,12,101,93,88,90,13,22,71,59,46,44,0,12,0,12,0,12,46,44
13.3,Pioneer Square/International District,2147,237,1060,140,639,103,510,91,0,17,510,91,446,86,64,59,129,62,421,119,9,18,9,18,0,17,412,120,1087,166,631,140,495,130,0,17,495,130,474,133,21,28,136,64,456,121,22,40,22,40,0,17,434,112
