area_id,area_name,c23002h001,c23002h001_moe,c23002h002,c23002h002_moe,c23002h003,c23002h003_moe,c23002h004,c23002h004_moe,c23002h005,c23002h005_moe,c23002h006,c23002h006_moe,c23002h007,c23002h007_moe,c23002h008,c23002h008_moe,c23002h009,c23002h009_moe,c23002h010,c23002h010_moe,c23002h011,c23002h011_moe,c23002h012,c23002h012_moe,c23002h013,c23002h013_moe,c23002h014,c23002h014_moe,c23002h015,c23002h015_moe,c23002h016,c23002h016_moe,c23002h017,c23002h017_moe,c23002h018,c23002h018_moe,c23002h019,c23002h019_moe,c23002h020,c23002h020_moe,c23002h021,c23002h021_moe,c23002h022,c23002h022_moe,c23002h023,c23002h023_moe,c23002h024,c23002h024_moe,c23002h025,c23002h025_moe,c23002h026,c23002h026_moe,c23002h027,c23002h027_moe
8.2,Olympic Hills/Victory Heights,8262,482,4117,329,3506,319,2933,303,0,24,2933,303,2803,290,130,74,573,178,611,149,92,60,92,60,0,24,519,145,4145,304,3328,303,2739,312,0,24,2739,312,2656,316,83,55,589,177,817,139,110,63,110,63,0,24,707,135
8.3,Cedar Park/Meadowbrook,7394,418,3611,288,3172,281,2642,243,8,27,2634,243,2364,215,270,127,530,135,439,97,75,44,75,44,0,27,364,96,3783,255,3085,237,2394,220,0,27,2394,220,2202,227,192,106,691,177,698,114,100,49,92,48,8,27,598,114
9.1,Broadview/Bitter Lake,8876,661,4063,447,3221,408,2728,299,0,27,2728,299,2321,222,407,267,493,221,842,159,101,57,61,47,40,39,741,154,4813,410,3087,362,2386,305,0,27,2386,305,2162,284,224,121,701,185,1726,244,93,57,93,57,0,27,1633,246
9.2,Licton Springs,5259,420,2439,298,2231,295,2086,291,0,17,2086,291,1949,265,137,79,145,69,208,89,30,35,11,22,19,31,178,81,2820,300,2534,297,2217,314,8,19,2209,314,2081,313,128,101,317,131,286,95,40,39,40,39,0,17,246,91
9.3,Greenwood/Phinney Ridge,16106,542,7792,414,7022,387,6371,388,0,29,6371,388,5888,386,483,144,651,151,770,147,76,47,76,47,0,29,694,141,8314,372,7332,332,6195,347,22,35,6173,347,5923,347,250,92,1137,191,982,150,141,61,135,61,6,28,841,139
9.4,Green Lake,10029,568,5369,410,4800,385,4190,389,0,24,4190,389,4067,391,123,67,610,178,569,160,182,102,182,102,0,24,387,129,4660,372,3982,361,3286,306,0,24,3286,306,3177,303,109,49,696,171,678,149,135,95,79,46,56,80,543,128
9.5,Haller Lake,5509,340,2678,251,2254,225,1964,221,0,21,1964,221,1846,225,118,62,290,135,424,121,111,61,90,52,21,35,313,87,2831,269,2148,243,1702,253,0,21,1702,253,1575,229,127,105,446,154,683,146,64,42,61,41,3,14,619,149
10.1,North Beach/Blue Ridge,8278,334,4184,259,3558,241,2979,216,0,21,2979,216,2777,204,202,86,579,157,626,93,128,60,128,60,0,21,498,79,4094,249,3291,225,2650,244,0,21,2650,244,2512,253,138,71,641,132,803,98,138,60,128,60,10,23,665,101
10.2,Whittier Heights,8657,366,4239,295,3962,289,3587,276,63,70,3524,261,3257,247,267,132,375,147,277,76,78,49,52,40,26,34,199,67,4418,285,3991,274,3297,295,0,24,3297,295,3191,299,106,68,694,183,427,83,58,48,58,48,0,24,369,91
10.3,Sunset Hill/Loyal Heights,10490,539,5084,323,4429,302,3994,317,0,24,3994,317,3773,300,221,113,435,150,655,132,151,92,136,89,15,29,504,119,5406,369,4645,358,3919,333,0,24,3919,333,3674,341,245,115,726,146,761,134,159,73,146,70,13,27,602,131
10.4,Ballard,5333,410,2960,349,2764,346,2600,344,0,17,2600,344,2496,336,104,68,164,105,196,124,84,96,84,96,0,17,112,78,2373,325,1935,273,1686,318,0,17,1686,318,1556,290,130,100,249,130,438,137,75,89,75,89,0,17,363,126
11.1,Fremont,11805,484,6190,471,5768,458,5277,430,40,69,5237,426,4881,438,356,142,491,172,422,132,125,61,125,61,0,24,297,115,5615,400,5320,392,4590,379,0,24,4590,379,4461,382,129,73,730,181,295,107,69,49,69,49,0,24,226,96
11.2,Wallingford,11406,813,6004,537,5525,515,4759,386,27,37,4732,384,4415,375,317,172,766,247,479,129,123,56,123,56,0,27,356,127,5402,555,4861,545,4107,534,0,27,4107,534,3963,527,144,73,754,196,541,95,41,33,33,33,8,27,500,98
11.3,Cascade/Eastlake,8024,647,4273,430,3835,431,3229,380,0,21,3229,380,3107,366,122,94,606,213,438,129,106,91,91,88,15,29,332,102,3751,477,3375,460,2934,419,0,21,2934,419,2664,377,270,181,441,185,376,109,24,28,24,28,0,21,352,108
12.1,Magnolia,8936,427,4287,263,3417,255,3026,243,60,73,2966,234,2739,217,227,113,391,144,870,123,277,109,277,109,0,24,593,123,4649,362,3793,348,2660,308,0,24,2660,308,2561,307,99,55,1133,207,856,139,94,61,94,61,0,24,762,129
12.2,Interbay,7088,457,3499,324,3196,291,2923,297,154,74,2769,283,2543,282,226,115,273,125,303,102,79,56,62,48,17,30,224,85,3589,291,3037,303,2547,273,0,21,2547,273,2389,264,158,82,490,156,552,116,120,68,120,68,0,21,432,119
12.3,Queen Anne,26500,996,12779,827,11362,831,10046,798,37,47,10009,799,9570,806,439,146,1316,248,1417,209,420,127,366,113,54,70,997,190,13721,772,11703,762,9782,759,0,40,9782,759,9329,753,453,137,1921,282,2018,213,382,119,352,114,30,47,1636,209
13.1,Belltown,5687,495,3239,385,2837,375,2414,347,52,66,2362,346,2215,331,147,94,423,169,402,126,134,74,134,74,0,21,268,120,2448,338,2038,317,1813,312,0,21,1813,312,1764,307,49,57,225,99,410,133,78,84,78,84,0,21,332,125
13.2,Downtown Commercial Core,2636,294,1614,260,1451,246,922,184,0,12,922,184,851,179,71,65,529,175,163,82,45,42,45,42,0,12,118,71,1022,177,861,168,604,141,0,12,604,141,564,138,40,36,257,91,161,81,52,44,52,44,0,12,109,64
13.3,Pioneer Square/International District,1681,218,1164,166,1013,156,628,131,8,18,620,130,571,125,49,49,385,126,151,74,43,31,43,31,0,17,108,68,517,136,434,127,366,113,0,17,366,113,358,112,8,10,68,48,83,65,0,17,0,17,0,17,83,65
