area_id,area_name,c27001f001,c27001f001_moe,c27001f002,c27001f002_moe,c27001f003,c27001f003_moe,c27001f004,c27001f004_moe,c27001f005,c27001f005_moe,c27001f006,c27001f006_moe,c27001f007,c27001f007_moe,c27001f008,c27001f008_moe,c27001f009,c27001f009_moe,c27001f010,c27001f010_moe
7.3,Ravenna/Bryant,213,129,51,65,51,65,0,32,162,88,147,87,15,33,0,32,0,32,0,32
7.4,Wedgwood/View Ridge,54,38,13,31,13,31,0,27,41,35,41,35,0,27,0,27,0,27,0,27
7.5,Laurelhurst/Sand Point,38,39,21,36,21,36,0,21,17,26,17,26,0,21,0,21,0,21,0,21
8.1,Northgate/Maple Leaf,291,216,0,24,0,24,0,24,276,216,218,201,58,67,15,29,15,29,0,24
8.2,Olympic Hills/Victory Heights,287,190,56,56,56,56,0,24,231,159,225,158,6,25,0,24,0,24,0,24
8.3,Cedar Park/Meadowbrook,631,338,155,102,92,97,63,67,471,260,160,127,311,243,5,25,5,25,0,27
9.1,Broadview/Bitter Lake,113,73,0,27,0,27,0,27,94,65,75,58,19,36,19,36,19,36,0,27
9.2,Licton Springs,279,204,16,25,0,17,16,25,218,152,91,81,127,123,45,62,45,62,0,17
9.3,Greenwood/Phinney Ridge,542,286,91,85,91,85,0,29,441,241,278,180,163,145,10,31,10,31,0,29
9.4,Green Lake,190,118,0,24,0,24,0,24,172,115,172,115,0,24,18,34,18,34,0,24
9.5,Haller Lake,149,119,10,24,10,24,0,21,139,115,139,115,0,21,0,21,0,21,0,21
10.1,North Beach/Blue Ridge,118,135,29,48,29,48,0,21,89,92,21,31,68,89,0,21,0,21,0,21
10.2,Whittier Heights,134,130,0,24,0,24,0,24,134,130,49,68,85,111,0,24,0,24,0,24
10.3,Sunset Hill/Loyal Heights,86,66,0,24,0,24,0,24,67,60,67,60,0,24,19,33,19,33,0,24
10.4,Ballard,30,36,0,17,0,17,0,17,30,36,15,26,15,25,0,17,0,17,0,17
11.1,Fremont,119,82,14,30,14,30,0,24,93,76,77,72,16,33,12,26,12,26,0,24
11.2,Wallingford,167,136,0,27,0,27,0,27,167,136,54,86,113,110,0,27,0,27,0,27
11.3,Cascade/Eastlake,283,205,52,84,52,84,0,21,189,130,146,122,43,50,42,56,42,56,0,21
12.1,Magnolia,72,83,47,74,47,74,0,24,25,44,25,44,0,24,0,24,0,24,0,24
12.2,Interbay,60,52,0,21,0,21,0,21,60,52,60,52,0,21,0,21,0,21,0,21
12.3,Queen Anne,505,197,96,90,96,90,0,40,409,176,332,158,77,75,0,40,0,40,0,40
13.1,Belltown,169,117,0,21,0,21,0,21,169,117,56,56,113,102,0,21,0,21,0,21
13.2,Downtown Commercial Core,111,97,0,12,0,12,0,12,111,97,44,42,67,89,0,12,0,12,0,12
13.3,Pioneer Square/International District,64,54,0,17,0,17,0,17,64,54,53,50,11,22,0,17,0,17,0,17
