area_id,area_name,b19037d001,b19037d001_moe,b19037d002,b19037d002_moe,b19037d003,b19037d003_moe,b19037d004,b19037d004_moe,b19037d005,b19037d005_moe,b19037d006,b19037d006_moe,b19037d007,b19037d007_moe,b19037d008,b19037d008_moe,b19037d009,b19037d009_moe,b19037d010,b19037d010_moe,b19037d011,b19037d011_moe,b19037d012,b19037d012_moe,b19037d013,b19037d013_moe,b19037d014,b19037d014_moe,b19037d015,b19037d015_moe,b19037d016,b19037d016_moe,b19037d017,b19037d017_moe,b19037d018,b19037d018_moe,b19037d019,b19037d019_moe,b19037d020,b19037d020_moe,b19037d021,b19037d021_moe,b19037d022,b19037d022_moe,b19037d023,b19037d023_moe,b19037d024,b19037d024_moe,b19037d025,b19037d025_moe,b19037d026,b19037d026_moe,b19037d027,b19037d027_moe,b19037d028,b19037d028_moe,b19037d029,b19037d029_moe,b19037d030,b19037d030_moe,b19037d031,b19037d031_moe,b19037d032,b19037d032_moe,b19037d033,b19037d033_moe,b19037d034,b19037d034_moe,b19037d035,b19037d035_moe,b19037d036,b19037d036_moe,b19037d037,b19037d037_moe,b19037d038,b19037d038_moe,b19037d039,b19037d039_moe,b19037d040,b19037d040_moe,b19037d041,b19037d041_moe,b19037d042,b19037d042_moe,b19037d043,b19037d043_moe,b19037d044,b19037d044_moe,b19037d045,b19037d045_moe,b19037d046,b19037d046_moe,b19037d047,b19037d047_moe,b19037d048,b19037d048_moe,b19037d049,b19037d049_moe,b19037d050,b19037d050_moe,b19037d051,b19037d051_moe,b19037d052,b19037d052_moe,b19037d053,b19037d053_moe,b19037d054,b19037d054_moe,b19037d055,b19037d055_moe,b19037d056,b19037d056_moe,b19037d057,b19037d057_moe,b19037d058,b19037d058_moe,b19037d059,b19037d059_moe,b19037d060,b19037d060_moe,b19037d061,b19037d061_moe,b19037d062,b19037d062_moe,b19037d063,b19037d063_moe,b19037d064,b19037d064_moe,b19037d065,b19037d065_moe,b19037d066,b19037d066_moe,b19037d067,b19037d067_moe,b19037d068,b19037d068_moe,b19037d069,b19037d069_moe
5.2,Judkins Park,597,106,35,36,9,16,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,9,14,0,12,0,12,17,28,0,12,0,12,0,12,166,76,0,12,0,12,0,12,15,23,0,12,0,12,12,19,18,21,31,41,20,23,26,31,28,46,16,21,0,12,0,12,0,12,107,55,9,10,8,13,6,10,0,12,54,54,10,13,20,26,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,289,68,160,58,51,47,14,17,8,11,8,12,0,12,0,12,6,10,0,12,5,8,30,25,7,14,0,12,0,12,0,12,0,12
5.3,Central Area/Squire Park,473,150,100,97,50,82,0,24,0,24,0,24,0,24,15,32,0,24,29,52,0,24,0,24,6,24,0,24,0,24,0,24,0,24,0,24,218,97,0,24,0,24,35,56,0,24,0,24,0,24,18,35,23,40,0,24,52,62,0,24,8,25,20,37,0,24,52,41,10,26,99,59,0,24,0,24,0,24,0,24,0,24,11,27,0,24,12,27,20,31,8,25,7,23,0,24,7,25,8,27,21,40,5,23,56,56,5,23,41,50,0,24,0,24,0,24,0,24,0,24,0,24,4,23,0,24,6,24,0,24,0,24,0,24,0,24,0,24
6.1,First Hill,1179,208,217,122,135,101,9,25,53,61,0,24,0,24,0,24,0,24,13,28,0,24,7,23,0,24,0,24,0,24,0,24,0,24,0,24,534,190,105,67,0,24,0,24,31,41,9,25,14,28,16,32,9,25,0,24,15,25,27,34,191,152,100,72,17,33,0,24,0,24,171,76,51,48,18,30,48,42,0,24,0,24,0,24,19,28,0,24,9,25,0,24,0,24,0,24,0,24,0,24,26,45,0,24,257,76,123,65,32,29,21,38,36,35,22,31,0,24,9,25,0,24,0,24,0,24,0,24,14,23,0,24,0,24,0,24,0,24
6.2,Capitol Hill,1106,279,162,77,67,45,11,33,14,33,13,34,0,29,15,36,0,29,0,29,0,29,0,29,0,29,26,40,0,29,0,29,16,37,0,29,744,263,48,48,0,29,133,201,70,84,0,29,16,35,13,31,109,94,19,38,0,29,19,40,25,37,155,105,70,63,28,52,39,53,144,74,0,29,0,29,0,29,13,31,0,29,11,32,0,29,12,33,26,32,0,29,37,46,45,61,0,29,0,29,0,29,0,29,56,58,0,29,0,29,0,29,0,29,0,29,0,29,14,34,0,29,13,33,0,29,0,29,0,29,29,53,0,29,0,29,0,29
6.3,North Capitol Hill,187,107,17,27,0,12,17,27,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,90,68,0,12,0,12,0,12,18,30,0,12,0,12,0,12,0,12,0,12,0,12,19,29,14,22,0,12,20,30,0,12,19,31,80,65,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,69,65,11,18,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
6.4,Miller Park,180,65,23,38,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,23,38,0,17,0,17,0,17,0,17,0,17,0,17,116,55,0,17,11,20,0,17,0,17,0,17,0,17,0,17,13,23,0,17,0,17,11,21,24,25,17,21,0,17,11,21,29,30,30,28,0,17,10,20,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,9,18,11,21,11,18,0,17,0,17,0,17,5,14,0,17,6,16,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
6.5,Madison Park,125,99,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,18,28,0,17,0,17,0,17,0,17,18,28,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,76,92,62,91,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,14,22,0,17,0,17,31,44,0,17,0,17,0,17,0,17,0,17,31,44,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
7.1,Montlake/Portage Bay,202,81,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,171,76,0,21,0,21,0,21,0,21,0,21,0,21,14,26,0,21,81,66,26,45,14,28,0,21,0,21,25,28,0,21,11,25,23,29,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,17,30,0,21,0,21,0,21,6,20,0,21,8,21,0,21,0,21,0,21,8,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21
7.2,University District,1400,220,788,170,429,135,116,83,64,71,104,106,75,57,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,528,179,84,58,42,70,14,33,57,84,78,67,30,41,0,29,21,42,14,33,89,98,72,115,27,42,0,29,0,29,0,29,0,29,62,47,14,33,0,29,0,29,0,29,0,29,0,29,16,35,0,29,0,29,14,33,0,29,18,31,0,29,0,29,0,29,0,29,22,31,14,33,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,8,27
7.3,Ravenna/Bryant,977,185,145,96,76,80,28,34,0,32,0,32,0,32,0,32,0,32,0,32,41,68,0,32,0,32,0,32,0,32,0,32,0,32,0,32,472,139,20,41,15,38,17,41,23,39,13,36,27,52,8,32,44,49,26,38,28,41,51,55,57,71,23,35,62,48,27,37,31,41,245,82,0,32,0,32,31,42,0,32,0,32,0,32,0,32,0,32,9,33,18,41,23,46,22,36,41,39,41,38,37,40,23,38,115,55,0,32,12,30,33,45,19,33,0,32,0,32,0,32,0,32,0,32,20,34,0,32,10,33,0,32,0,32,0,32,21,35
