area_id,area_name,b11002g001,b11002g001_moe,b11002g002,b11002g002_moe,b11002g003,b11002g003_moe,b11002g004,b11002g004_moe,b11002g005,b11002g005_moe,b11002g006,b11002g006_moe,b11002g007,b11002g007_moe,b11002g008,b11002g008_moe,b11002g009,b11002g009_moe,b11002g010,b11002g010_moe,b11002g011,b11002g011_moe,b11002g012,b11002g012_moe
5.1,Madrona/Leschi,503,368,224,176,182,163,182,163,0,21,42,70,42,70,0,21,0,21,0,21,0,21,279,319
5.2,Judkins Park,176,158,150,153,83,107,83,107,0,12,0,12,0,12,0,12,67,106,67,106,0,12,26,40
5.3,Central Area/Squire Park,803,406,458,368,103,108,103,108,0,24,143,158,109,121,34,42,212,295,212,295,0,24,345,164
6.1,First Hill,309,175,105,124,37,48,37,48,0,24,0,24,0,24,0,24,68,116,68,116,0,24,204,126
6.2,Capitol Hill,646,255,198,183,23,44,23,44,0,29,144,173,129,163,15,35,31,55,31,55,0,29,448,174
6.3,North Capitol Hill,90,86,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,90,86
6.4,Miller Park,232,187,123,158,123,158,103,128,20,33,0,17,0,17,0,17,0,17,0,17,0,17,109,77
6.5,Madison Park,20,23,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,20,23
7.1,Montlake/Portage Bay,283,219,67,77,67,77,67,77,0,21,0,21,0,21,0,21,0,21,0,21,0,21,216,208
7.2,University District,810,634,165,138,96,116,96,116,0,29,40,68,26,48,14,33,29,52,29,52,0,29,645,619
7.3,Ravenna/Bryant,950,331,624,277,430,225,430,225,0,32,64,102,31,56,33,58,130,131,110,114,20,43,326,192
7.4,Wedgwood/View Ridge,451,231,253,165,223,160,223,160,0,27,0,27,0,27,0,27,30,55,30,55,0,27,198,177
7.5,Laurelhurst/Sand Point,408,289,302,278,302,278,302,278,0,21,0,21,0,21,0,21,0,21,0,21,0,21,106,81
8.1,Northgate/Maple Leaf,290,140,160,111,91,78,91,78,0,24,0,24,0,24,0,24,69,82,55,64,14,30,130,85
8.2,Olympic Hills/Victory Heights,714,365,547,349,283,215,283,215,0,24,129,144,129,144,0,24,135,216,84,132,51,86,167,110
8.3,Cedar Park/Meadowbrook,329,143,91,66,79,64,79,64,0,27,0,27,0,27,0,27,12,30,12,30,0,27,238,143
9.1,Broadview/Bitter Lake,517,349,337,308,239,287,239,287,0,27,0,27,0,27,0,27,98,114,82,100,16,35,180,160
9.2,Licton Springs,495,359,309,309,309,309,309,309,0,17,0,17,0,17,0,17,0,17,0,17,0,17,186,228
9.3,Greenwood/Phinney Ridge,732,278,477,244,306,208,306,208,0,29,36,62,17,38,19,40,135,118,122,110,13,33,255,141
9.4,Green Lake,383,217,209,181,107,89,107,89,0,24,0,24,0,24,0,24,102,156,102,156,0,24,174,134
9.5,Haller Lake,211,216,164,208,164,208,164,208,0,21,0,21,0,21,0,21,0,21,0,21,0,21,47,67
10.1,North Beach/Blue Ridge,445,283,329,262,329,262,329,262,0,21,0,21,0,21,0,21,0,21,0,21,0,21,116,106
10.2,Whittier Heights,418,241,283,212,197,178,197,178,0,24,35,58,35,58,0,24,51,88,32,58,19,35,135,116
10.3,Sunset Hill/Loyal Heights,298,185,142,117,59,67,59,67,0,24,53,87,33,57,20,36,30,53,30,53,0,24,156,137
10.4,Ballard,237,191,80,102,30,47,30,47,0,17,0,17,0,17,0,17,50,86,32,55,18,31,157,163
11.1,Fremont,591,281,266,186,266,186,266,186,0,24,0,24,0,24,0,24,0,24,0,24,0,24,325,222
11.2,Wallingford,680,276,260,160,154,119,154,119,0,27,0,27,0,27,0,27,106,108,73,77,33,41,420,232
11.3,Cascade/Eastlake,552,277,144,142,56,77,56,77,0,21,0,21,0,21,0,21,88,121,88,121,0,21,408,248
12.1,Magnolia,139,126,78,88,78,88,78,88,0,24,0,24,0,24,0,24,0,24,0,24,0,24,61,87
12.2,Interbay,342,227,202,207,130,173,130,173,0,21,0,21,0,21,0,21,72,115,72,115,0,21,140,94
12.3,Queen Anne,1408,593,417,221,325,195,325,195,0,40,0,40,0,40,0,40,92,109,92,109,0,40,991,550
13.1,Belltown,403,189,154,155,105,140,105,140,0,21,0,21,0,21,0,21,49,71,49,71,0,21,249,114
13.2,Downtown Commercial Core,100,99,39,61,39,61,39,61,0,12,0,12,0,12,0,12,0,12,0,12,0,12,61,78
13.3,Pioneer Square/International District,130,73,56,56,2,20,2,20,0,17,0,17,0,17,0,17,54,55,54,55,0,17,74,50
