area_id,area_name,b12002f001,b12002f001_moe,b12002f002,b12002f002_moe,b12002f003,b12002f003_moe,b12002f004,b12002f004_moe,b12002f005,b12002f005_moe,b12002f006,b12002f006_moe,b12002f007,b12002f007_moe,b12002f008,b12002f008_moe,b12002f009,b12002f009_moe,b12002f010,b12002f010_moe,b12002f011,b12002f011_moe,b12002f012,b12002f012_moe,b12002f013,b12002f013_moe
6.4,Miller Park,16,20,0,17,0,17,0,17,0,17,0,17,0,17,16,20,12,20,0,17,0,17,0,17,4,16
6.5,Madison Park,12,19,12,19,0,17,12,19,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
7.1,Montlake/Portage Bay,58,77,0,21,0,21,0,21,0,21,0,21,0,21,58,77,0,21,9,23,0,21,0,21,49,77
7.2,University District,473,281,192,134,139,104,0,29,0,29,0,29,53,84,281,249,281,249,0,29,0,29,0,29,0,29
7.3,Ravenna/Bryant,162,88,109,75,58,66,24,37,5,30,0,32,22,45,53,41,17,33,27,37,0,32,0,32,9,33
7.4,Wedgwood/View Ridge,41,35,10,28,0,27,10,28,0,27,0,27,0,27,31,34,12,28,19,33,0,27,0,27,0,27
7.5,Laurelhurst/Sand Point,17,26,10,24,0,21,10,24,0,21,0,21,0,21,7,20,7,20,0,21,0,21,0,21,0,21
8.1,Northgate/Maple Leaf,291,216,180,147,84,82,81,76,0,24,15,29,0,24,111,78,7,24,104,78,0,24,0,24,0,24
8.2,Olympic Hills/Victory Heights,247,171,127,96,33,38,94,82,0,24,0,24,0,24,120,80,30,34,90,79,0,24,0,24,0,24
8.3,Cedar Park/Meadowbrook,554,314,452,299,194,150,180,146,40,66,0,27,38,36,102,96,65,92,37,42,0,27,0,27,0,27
9.1,Broadview/Bitter Lake,113,73,65,60,19,36,27,47,0,27,0,27,19,36,48,46,10,27,5,26,0,27,19,36,14,35
9.2,Licton Springs,263,188,122,107,85,81,20,30,0,17,0,17,17,25,141,95,74,68,0,17,12,22,25,36,30,34
9.3,Greenwood/Phinney Ridge,471,249,209,147,41,58,168,135,0,29,0,29,0,29,262,132,132,81,130,93,0,29,0,29,0,29
9.4,Green Lake,190,118,122,108,122,108,0,24,0,24,0,24,0,24,68,54,35,42,15,24,0,24,0,24,18,34
9.5,Haller Lake,139,115,109,104,62,96,47,47,0,21,0,21,0,21,30,34,0,21,30,34,0,21,0,21,0,21
10.1,North Beach/Blue Ridge,89,92,41,52,41,52,0,21,0,21,0,21,0,21,48,47,48,47,0,21,0,21,0,21,0,21
10.2,Whittier Heights,134,130,35,58,0,24,35,58,0,24,0,24,0,24,99,90,66,75,33,55,0,24,0,24,0,24
10.3,Sunset Hill/Loyal Heights,86,66,41,40,0,24,41,40,0,24,0,24,0,24,45,41,13,28,13,27,0,24,0,24,19,33
10.4,Ballard,30,36,15,26,15,26,0,17,0,17,0,17,0,17,15,25,15,25,0,17,0,17,0,17,0,17
11.1,Fremont,105,79,22,33,10,31,12,26,0,24,0,24,0,24,83,72,70,70,13,30,0,24,0,24,0,24
11.2,Wallingford,167,136,130,113,130,113,0,27,0,27,0,27,0,27,37,61,20,37,17,33,0,27,0,27,0,27
11.3,Cascade/Eastlake,231,140,155,124,114,105,41,67,0,21,0,21,0,21,76,67,17,32,17,34,0,21,0,21,42,56
12.1,Magnolia,25,44,25,44,0,24,25,44,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24
12.2,Interbay,60,52,0,21,0,21,0,21,0,21,0,21,0,21,60,52,23,31,27,46,0,21,0,21,10,22
12.3,Queen Anne,457,185,194,119,129,78,52,95,0,40,0,40,13,43,263,124,238,126,25,45,0,40,0,40,0,40
13.1,Belltown,169,117,57,72,57,72,0,21,0,21,0,21,0,21,112,92,73,68,39,63,0,21,0,21,0,21
13.2,Downtown Commercial Core,160,101,68,63,31,28,37,50,0,12,0,12,0,12,92,93,25,33,67,89,0,12,0,12,0,12
13.3,Pioneer Square/International District,64,54,53,50,28,37,25,36,0,17,0,17,0,17,11,22,11,22,0,17,0,17,0,17,0,17
