area_id,area_name,c21001i001,c21001i001_moe,c21001i002,c21001i002_moe,c21001i003,c21001i003_moe,c21001i004,c21001i004_moe,c21001i005,c21001i005_moe,c21001i006,c21001i006_moe,c21001i007,c21001i007_moe,c21001i008,c21001i008_moe,c21001i009,c21001i009_moe,c21001i010,c21001i010_moe,c21001i011,c21001i011_moe,c21001i012,c21001i012_moe,c21001i013,c21001i013_moe,c21001i014,c21001i014_moe,c21001i015,c21001i015_moe
6.4,Miller Park,267,93,124,69,88,51,0,17,88,51,36,45,36,45,0,17,143,67,143,67,0,17,143,67,0,17,0,17,0,17
6.5,Madison Park,96,68,35,32,35,32,0,17,35,32,0,17,0,17,0,17,61,62,41,50,0,17,41,50,20,33,0,17,20,33
7.1,Montlake/Portage Bay,261,128,125,80,106,76,15,28,91,74,19,29,19,29,0,21,136,95,126,91,0,21,126,91,10,24,0,21,10,24
7.2,University District,949,305,413,174,413,174,53,84,360,152,0,29,0,29,0,29,536,253,536,253,0,29,536,253,0,29,0,29,0,29
7.3,Ravenna/Bryant,512,147,330,115,330,115,0,32,330,115,0,32,0,32,0,32,182,80,182,80,0,32,182,80,0,32,0,32,0,32
7.4,Wedgwood/View Ridge,323,123,151,74,151,74,10,28,141,68,0,27,0,27,0,27,172,73,172,73,0,27,172,73,0,27,0,27,0,27
7.5,Laurelhurst/Sand Point,192,123,84,65,84,65,10,24,74,63,0,21,0,21,0,21,108,88,107,87,0,21,107,87,1,12,0,21,1,12
8.1,Northgate/Maple Leaf,712,264,392,195,392,195,6,23,386,195,0,24,0,24,0,24,320,147,258,112,28,33,230,109,62,94,0,24,62,94
8.2,Olympic Hills/Victory Heights,758,257,253,103,253,103,13,28,240,101,0,24,0,24,0,24,505,212,505,212,0,24,505,212,0,24,0,24,0,24
8.3,Cedar Park/Meadowbrook,817,281,549,242,528,238,9,29,519,238,21,39,0,27,21,39,268,175,268,175,0,27,268,175,0,27,0,27,0,27
9.1,Broadview/Bitter Lake,447,180,184,105,181,105,46,52,135,96,3,26,0,27,3,26,263,138,206,115,0,27,206,115,57,54,16,34,41,50
9.2,Licton Springs,727,325,439,226,419,218,0,17,419,218,20,30,20,30,0,17,288,143,263,132,0,17,263,132,25,36,25,36,0,17
9.3,Greenwood/Phinney Ridge,911,286,470,180,459,179,41,61,418,172,11,33,11,33,0,29,441,160,407,153,0,29,407,153,34,39,0,29,34,39
9.4,Green Lake,674,235,319,154,289,139,48,45,241,133,30,39,13,29,17,36,355,182,322,179,0,24,322,179,33,39,0,24,33,39
9.5,Haller Lake,524,203,338,150,324,147,34,50,290,136,14,24,0,21,14,24,186,112,176,111,0,21,176,111,10,20,0,21,10,20
10.1,North Beach/Blue Ridge,533,190,269,115,269,115,11,25,258,113,0,21,0,21,0,21,264,106,264,106,0,21,264,106,0,21,0,21,0,21
10.2,Whittier Heights,440,194,143,97,132,94,0,24,132,94,11,25,0,24,11,25,297,143,297,143,0,24,297,143,0,24,0,24,0,24
10.3,Sunset Hill/Loyal Heights,280,115,107,61,93,57,0,24,93,57,14,28,0,24,14,28,173,104,154,100,0,24,154,100,19,33,0,24,19,33
10.4,Ballard,462,235,251,158,251,158,0,17,251,158,0,17,0,17,0,17,211,155,211,155,0,17,211,155,0,17,0,17,0,17
11.1,Fremont,712,179,396,138,396,138,0,24,396,138,0,24,0,24,0,24,316,116,316,116,0,24,316,116,0,24,0,24,0,24
11.2,Wallingford,407,164,231,129,213,126,0,27,213,126,18,36,18,36,0,27,176,87,176,87,0,27,176,87,0,27,0,27,0,27
11.3,Cascade/Eastlake,696,198,408,163,391,160,32,39,359,158,17,32,17,32,0,21,288,115,239,99,0,21,239,99,49,60,0,21,49,60
12.1,Magnolia,207,116,126,85,126,85,0,24,126,85,0,24,0,24,0,24,81,54,81,54,0,24,81,54,0,24,0,24,0,24
12.2,Interbay,339,153,136,79,103,71,0,21,103,71,33,41,20,34,13,30,203,97,203,97,0,21,203,97,0,21,0,21,0,21
12.3,Queen Anne,1579,388,781,260,757,259,42,79,715,250,24,42,0,40,24,42,798,232,744,226,0,40,744,226,54,71,0,40,54,71
13.1,Belltown,413,200,213,144,213,144,0,21,213,144,0,21,0,21,0,21,200,130,200,130,0,21,200,130,0,21,0,21,0,21
13.2,Downtown Commercial Core,217,120,112,77,95,76,0,12,95,76,17,29,17,29,0,12,105,104,105,104,0,12,105,104,0,12,0,12,0,12
13.3,Pioneer Square/International District,105,69,75,62,63,54,0,17,63,54,12,24,0,17,12,24,30,32,30,32,0,17,30,32,0,17,0,17,0,17
