area_id,area_name,b18101c001,b18101c001_moe,b18101c002,b18101c002_moe,b18101c003,b18101c003_moe,b18101c004,b18101c004_moe,b18101c005,b18101c005_moe,b18101c006,b18101c006_moe,b18101c007,b18101c007_moe,b18101c008,b18101c008_moe,b18101c009,b18101c009_moe,b18101c010,b18101c010_moe
8.1,Northgate/Maple Leaf,216,198,95,118,0,24,95,118,106,92,0,24,106,92,15,29,15,29,0,24
8.2,Olympic Hills/Victory Heights,19,35,9,22,0,24,9,22,10,24,0,24,10,24,0,24,0,24,0,24
8.3,Cedar Park/Meadowbrook,134,112,0,27,0,27,0,27,123,114,6,26,117,114,11,27,11,27,0,27
9.1,Broadview/Bitter Lake,231,186,52,84,0,27,52,84,179,121,0,27,179,121,0,27,0,27,0,27
9.2,Licton Springs,23,29,0,17,0,17,0,17,23,29,0,17,23,29,0,17,0,17,0,17
9.3,Greenwood/Phinney Ridge,214,117,40,49,0,29,40,49,148,94,36,48,112,85,26,45,26,45,0,29
9.4,Green Lake,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24
9.5,Haller Lake,124,79,0,21,0,21,0,21,97,66,34,46,63,51,27,34,8,23,19,23
10.1,North Beach/Blue Ridge,82,58,11,25,0,21,11,25,40,40,15,30,25,32,31,31,31,31,0,21
10.2,Whittier Heights,20,35,0,24,0,24,0,24,20,35,0,24,20,35,0,24,0,24,0,24
10.3,Sunset Hill/Loyal Heights,45,57,0,24,0,24,0,24,45,57,0,24,45,57,0,24,0,24,0,24
10.4,Ballard,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
11.1,Fremont,44,45,0,24,0,24,0,24,33,40,0,24,33,40,11,32,11,32,0,24
11.2,Wallingford,107,68,0,27,0,27,0,27,107,68,34,41,73,57,0,27,0,27,0,27
11.3,Cascade/Eastlake,296,155,0,21,0,21,0,21,280,153,121,100,159,113,16,31,16,31,0,21
12.1,Magnolia,52,59,0,24,0,24,0,24,27,36,0,24,27,36,25,48,25,48,0,24
12.2,Interbay,82,70,11,23,0,21,11,23,58,49,0,21,58,49,13,25,13,25,0,21
12.3,Queen Anne,310,170,59,69,0,40,59,69,213,139,27,52,186,131,38,60,38,60,0,40
