area_id,area_name,c15002f001,c15002f001_moe,c15002f002,c15002f002_moe,c15002f003,c15002f003_moe,c15002f004,c15002f004_moe,c15002f005,c15002f005_moe,c15002f006,c15002f006_moe,c15002f007,c15002f007_moe,c15002f008,c15002f008_moe,c15002f009,c15002f009_moe,c15002f010,c15002f010_moe,c15002f011,c15002f011_moe
9.3,Greenwood/Phinney Ridge,408,227,180,135,95,85,0,29,0,29,85,78,228,121,51,61,2,27,118,93,57,60
9.4,Green Lake,190,118,122,108,0,24,0,24,0,24,122,108,68,54,18,34,0,24,0,24,50,44
9.5,Haller Lake,139,115,109,104,0,21,11,25,84,100,14,24,30,34,0,21,0,21,16,27,14,25
10.1,North Beach/Blue Ridge,89,92,41,52,0,21,0,21,30,50,11,25,48,47,0,21,0,21,38,45,10,25
10.2,Whittier Heights,134,130,35,58,0,24,35,58,0,24,0,24,99,90,33,55,0,24,66,75,0,24
10.3,Sunset Hill/Loyal Heights,77,60,32,33,0,24,0,24,14,27,18,31,45,41,0,24,0,24,13,27,32,36
10.4,Ballard,30,36,15,26,0,17,0,17,0,17,15,26,15,25,15,25,0,17,0,17,0,17
11.1,Fremont,80,71,12,26,0,24,0,24,0,24,12,26,68,70,0,24,0,24,0,24,68,70
11.2,Wallingford,66,78,66,78,0,27,2,21,2,21,62,77,0,27,0,27,0,27,0,27,0,27
11.3,Cascade/Eastlake,201,138,125,122,0,21,0,21,110,120,15,30,76,67,42,56,0,21,0,21,34,43
12.1,Magnolia,25,44,25,44,0,24,0,24,0,24,25,44,0,24,0,24,0,24,0,24,0,24
12.2,Interbay,49,48,0,21,0,21,0,21,0,21,0,21,49,48,0,21,10,22,0,21,39,48
12.3,Queen Anne,279,144,115,107,41,93,15,43,0,40,59,60,164,96,16,44,15,52,14,44,119,92
13.1,Belltown,115,95,14,29,0,21,14,29,0,21,0,21,101,92,0,21,18,46,76,80,7,21
13.2,Downtown Commercial Core,123,99,31,28,5,12,12,13,14,21,0,12,92,93,0,12,13,29,0,12,79,91
13.3,Pioneer Square/International District,36,40,25,36,0,17,0,17,25,36,0,17,11,22,0,17,0,17,0,17,11,22
