area_id,area_name,b17001a001,b17001a001_moe,b17001a002,b17001a002_moe,b17001a003,b17001a003_moe,b17001a004,b17001a004_moe,b17001a005,b17001a005_moe,b17001a006,b17001a006_moe,b17001a007,b17001a007_moe,b17001a008,b17001a008_moe,b17001a009,b17001a009_moe,b17001a010,b17001a010_moe,b17001a011,b17001a011_moe,b17001a012,b17001a012_moe,b17001a013,b17001a013_moe,b17001a014,b17001a014_moe,b17001a015,b17001a015_moe,b17001a016,b17001a016_moe,b17001a017,b17001a017_moe,b17001a018,b17001a018_moe,b17001a019,b17001a019_moe,b17001a020,b17001a020_moe,b17001a021,b17001a021_moe,b17001a022,b17001a022_moe,b17001a023,b17001a023_moe,b17001a024,b17001a024_moe,b17001a025,b17001a025_moe,b17001a026,b17001a026_moe,b17001a027,b17001a027_moe,b17001a028,b17001a028_moe,b17001a029,b17001a029_moe,b17001a030,b17001a030_moe,b17001a031,b17001a031_moe,b17001a032,b17001a032_moe,b17001a033,b17001a033_moe,b17001a034,b17001a034_moe,b17001a035,b17001a035_moe,b17001a036,b17001a036_moe,b17001a037,b17001a037_moe,b17001a038,b17001a038_moe,b17001a039,b17001a039_moe,b17001a040,b17001a040_moe,b17001a041,b17001a041_moe,b17001a042,b17001a042_moe,b17001a043,b17001a043_moe,b17001a044,b17001a044_moe,b17001a045,b17001a045_moe,b17001a046,b17001a046_moe,b17001a047,b17001a047_moe,b17001a048,b17001a048_moe,b17001a049,b17001a049_moe,b17001a050,b17001a050_moe,b17001a051,b17001a051_moe,b17001a052,b17001a052_moe,b17001a053,b17001a053_moe,b17001a054,b17001a054_moe,b17001a055,b17001a055_moe,b17001a056,b17001a056_moe,b17001a057,b17001a057_moe,b17001a058,b17001a058_moe,b17001a059,b17001a059_moe
3.2,Georgetown,838,211,108,100,67,53,0,12,0,12,0,12,0,12,0,12,0,12,8,13,24,22,22,41,10,17,0,12,3,6,0,12,41,51,0,12,0,12,0,12,0,12,0,12,0,12,0,12,9,16,0,12,32,47,0,12,0,12,0,12,730,172,412,81,0,12,0,12,7,11,0,12,0,12,0,12,13,20,57,52,160,65,124,56,47,38,0,12,4,7,318,121,13,20,32,47,7,11,0,12,0,12,0,12,33,39,93,65,42,38,24,25,33,29,35,41,6,10
3.3,Duwamish/SODO,1219,264,348,148,228,82,0,12,0,12,0,12,0,12,0,12,0,12,23,40,10,22,39,42,69,65,60,59,7,16,20,34,120,113,0,12,0,12,0,12,0,12,0,12,0,12,42,30,46,76,9,22,7,15,16,36,0,12,0,12,871,206,507,165,0,12,0,12,0,12,0,12,6,10,0,12,0,12,216,121,57,43,98,51,76,35,33,45,21,28,364,117,4,8,0,12,0,12,0,12,0,12,0,12,33,35,116,84,65,47,35,26,60,25,0,12,51,41
3.4,South Beacon Hill/NewHolly,2098,403,452,275,189,156,0,24,0,24,24,42,90,111,9,22,0,24,22,28,0,24,24,43,0,24,20,31,0,24,0,24,263,195,37,62,0,24,9,23,0,24,62,73,0,24,23,35,33,56,45,61,0,24,0,24,7,24,47,70,1646,307,802,180,13,29,0,24,9,25,7,25,0,24,8,22,85,66,93,63,171,73,203,91,100,51,56,40,57,37,844,207,47,37,0,24,18,25,76,73,0,24,8,25,23,27,161,83,73,45,120,60,103,89,99,53,116,64
3.5,Beacon Hill,1856,365,123,75,65,73,0,17,0,17,0,17,0,17,0,17,0,17,0,17,5,18,0,17,1,12,49,71,0,17,10,19,58,55,0,17,0,17,0,17,0,17,0,17,0,17,0,17,25,37,0,17,12,22,0,17,0,17,21,35,1733,344,947,226,38,41,0,17,0,17,0,17,24,40,8,18,63,48,300,123,157,76,190,103,128,70,19,34,20,34,786,182,23,28,0,17,31,35,21,28,0,17,11,21,0,17,245,98,120,72,105,70,100,62,51,52,79,58
3.6,North Beacon Hill/Jefferson Park,5130,638,456,173,134,71,0,24,0,24,0,24,0,24,0,24,0,24,21,38,29,43,46,40,0,24,30,37,0,24,8,25,322,158,18,39,0,24,0,24,0,24,0,24,0,24,53,48,64,69,43,48,88,81,4,24,0,24,52,68,4674,616,2622,408,273,157,23,37,87,83,0,24,0,24,31,54,235,164,988,264,377,124,362,108,157,76,60,50,29,41,2052,355,194,119,27,35,174,121,0,24,0,24,0,24,107,66,628,161,511,161,134,73,192,95,41,43,44,62
4.1,Rainier Beach,4289,608,748,348,422,255,99,102,0,27,0,27,29,51,0,27,0,27,31,54,0,27,76,89,96,88,84,84,4,25,3,22,326,166,0,27,0,27,0,27,0,27,0,27,0,27,82,92,92,90,42,56,24,37,38,47,16,24,32,47,3541,546,1719,334,78,71,14,30,36,44,37,64,17,37,0,27,92,83,198,118,274,124,490,195,204,108,132,75,147,86,1822,342,83,73,13,30,117,99,17,34,40,64,18,37,127,86,186,106,380,140,344,124,276,119,98,71,123,75
4.2,Columbia City,5931,662,529,200,226,105,0,27,0,27,41,45,15,32,0,27,0,27,0,27,3,25,50,45,94,63,15,33,8,31,0,27,303,147,0,27,9,27,0,27,15,31,0,27,0,27,17,32,72,96,43,37,45,40,26,34,40,64,36,35,5402,650,2595,396,253,115,33,41,106,70,136,81,0,27,10,26,27,35,413,192,812,191,349,142,271,111,121,67,64,43,2807,376,213,91,53,47,149,69,67,50,0,27,0,27,152,128,555,167,597,162,367,126,410,149,134,69,110,61
4.3,Seward Park,5002,523,566,416,338,342,29,48,0,17,53,87,0,17,27,45,0,17,0,17,54,59,73,108,61,62,21,37,0,17,20,33,228,127,0,17,0,17,0,17,0,17,0,17,0,17,10,20,0,17,38,47,74,76,50,48,14,21,42,75,4436,383,2071,303,234,98,27,25,145,52,34,29,0,17,0,17,186,177,258,96,324,99,284,87,356,92,134,59,89,47,2365,235,145,81,32,28,143,74,105,53,48,39,49,51,67,50,313,96,495,126,328,91,433,109,61,33,146,69
4.4,Mt. Baker/North Rainier,3395,318,311,160,181,112,0,17,0,17,13,21,13,21,0,17,0,17,0,17,46,72,82,98,0,17,14,23,0,17,13,22,130,116,0,17,0,17,28,32,0,17,0,17,15,25,18,27,43,65,0,17,26,30,0,17,0,17,0,17,3084,284,1492,172,125,84,22,33,58,61,87,60,0,17,40,39,30,33,147,97,234,79,345,118,270,81,102,53,32,50,1592,202,63,58,0,17,133,88,74,49,14,23,13,22,83,74,213,124,326,91,255,88,300,85,92,58,26,28
5.1,Madrona/Leschi,6226,479,293,139,111,81,34,39,0,21,0,21,0,21,0,21,0,21,0,21,0,21,16,30,17,34,29,43,15,26,0,21,182,95,0,21,0,21,0,21,0,21,0,21,0,21,61,78,31,36,30,33,34,31,11,22,15,26,0,21,5933,460,2842,260,265,128,25,30,112,67,26,33,0,21,34,39,216,133,303,105,608,133,378,133,454,124,309,87,112,60,3091,353,186,78,72,95,143,84,41,39,0,21,84,51,178,125,426,130,688,184,434,116,568,112,168,69,103,70
5.2,Judkins Park,784,219,124,66,84,57,0,12,0,12,0,12,0,12,0,12,0,12,30,36,14,20,0,12,5,9,0,12,23,36,12,17,40,30,0,12,0,12,0,12,0,12,0,12,0,12,19,21,0,12,0,12,0,12,0,12,11,17,10,15,660,215,425,210,15,18,9,14,0,12,0,12,0,12,0,12,8,12,183,130,76,42,99,66,26,58,9,14,0,12,235,74,0,12,0,12,0,12,0,12,0,12,0,12,20,18,47,31,81,41,26,31,39,31,0,12,22,29
5.3,Central Area/Squire Park,10703,634,1132,299,371,172,32,55,0,24,0,24,0,24,0,24,0,24,132,93,71,56,43,63,55,58,29,30,9,23,0,24,761,200,0,24,0,24,33,56,0,24,0,24,0,24,230,103,238,125,55,51,34,37,72,52,15,32,84,60,9571,590,4689,384,253,116,39,42,130,73,86,63,0,24,11,27,197,97,1422,281,1038,183,780,165,434,134,225,92,74,74,4882,406,388,148,29,36,183,89,38,37,0,24,31,46,323,124,1699,269,859,159,530,132,511,154,270,148,21,31
6.1,First Hill,7717,544,1522,303,663,178,15,27,0,24,0,24,0,24,0,24,0,24,244,111,74,50,96,78,133,97,63,59,29,51,9,26,859,243,53,47,0,24,0,24,0,24,0,24,0,24,298,123,112,60,41,48,92,110,53,45,100,89,110,74,6195,536,3233,415,22,42,6,24,0,24,12,32,0,24,12,32,259,131,1339,258,524,195,364,124,304,134,166,73,225,71,2962,338,0,24,0,24,21,35,1,24,2,24,2,24,267,124,1157,228,384,117,208,100,214,90,225,71,481,122
6.2,Capitol Hill,16036,893,1960,356,940,244,0,29,0,29,0,29,0,29,0,29,0,29,298,132,274,152,92,90,107,91,128,74,41,54,0,29,1020,255,0,29,0,29,0,29,0,29,0,29,0,29,408,141,195,102,107,96,179,127,47,55,36,44,48,48,14076,841,7407,574,102,77,0,29,17,37,15,34,0,29,0,29,488,188,3659,581,1467,327,841,213,510,168,120,65,188,80,6669,626,192,158,44,55,0,29,10,30,0,29,0,29,989,252,3139,491,918,236,512,157,374,169,291,141,200,94
6.3,North Capitol Hill,3413,324,260,124,118,86,0,12,0,12,0,12,0,12,0,12,0,12,13,20,60,76,0,12,19,28,0,12,12,20,14,21,142,84,0,12,0,12,0,12,0,12,0,12,0,12,30,32,68,61,18,25,0,12,12,19,14,20,0,12,3153,330,1736,221,40,40,10,16,53,44,33,38,10,18,9,18,56,47,242,100,448,138,382,118,197,79,212,92,44,33,1417,204,80,56,13,20,37,31,25,27,10,16,0,12,75,64,428,131,162,72,186,70,246,95,119,65,36,36
6.4,Miller Park,5688,372,467,144,205,80,0,17,0,17,0,17,0,17,0,17,0,17,59,45,66,45,38,41,19,24,7,18,16,21,0,17,262,107,0,17,0,17,0,17,0,17,0,17,0,17,107,60,66,45,15,18,10,24,49,53,15,21,0,17,5221,343,2868,258,149,72,33,27,111,63,72,41,79,55,62,42,175,93,718,160,621,132,383,80,251,69,132,66,82,36,2353,214,121,71,34,28,183,66,35,29,27,25,18,22,171,78,606,133,432,107,301,71,234,61,146,49,45,24
6.5,Madison Park,4585,416,124,93,22,25,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,12,20,10,16,0,17,0,17,102,86,0,17,0,17,0,17,0,17,0,17,0,17,47,54,21,36,0,17,18,27,0,17,0,17,16,24,4461,407,1980,299,42,39,0,17,195,74,51,43,0,17,41,38,13,21,241,205,447,108,280,98,268,68,267,84,135,67,2481,274,123,95,15,24,177,71,43,33,7,12,45,37,98,61,305,120,355,153,279,85,426,122,289,95,319,108
7.1,Montlake/Portage Bay,8110,432,506,194,131,108,0,21,0,21,0,21,0,21,0,21,0,21,64,97,49,44,15,27,3,14,0,21,0,21,0,21,375,136,8,21,0,21,0,21,0,21,0,21,0,21,220,104,109,87,0,21,13,24,25,42,0,21,0,21,7604,398,3558,317,101,58,67,40,125,65,78,50,19,22,59,40,236,119,869,192,530,135,441,111,582,99,329,77,122,64,4046,321,154,69,41,34,179,77,64,39,8,21,27,27,501,243,989,199,394,101,604,120,513,124,401,92,171,74
7.2,University District,8080,1104,3638,833,1735,545,0,29,0,29,4,26,0,29,0,29,0,29,1402,544,119,83,54,46,52,69,9,28,51,76,44,49,1903,511,0,29,0,29,0,29,0,29,0,29,11,31,1512,440,124,104,13,31,29,48,44,49,14,33,156,243,4442,547,2879,441,194,129,0,29,96,68,54,49,0,29,34,43,905,377,658,300,358,118,255,122,160,68,104,54,61,52,1563,271,0,29,14,33,47,52,0,29,0,29,0,29,499,230,221,95,323,96,195,81,115,62,105,54,44,45
7.3,Ravenna/Bryant,19121,761,2670,481,1571,356,18,33,0,32,25,43,5,31,0,32,16,37,926,291,306,160,71,70,84,91,80,61,19,33,21,36,1099,302,0,32,13,34,0,32,0,32,0,32,18,41,647,252,200,93,54,56,73,54,51,41,28,39,15,31,16451,604,8003,441,522,127,52,58,534,128,146,63,95,56,80,59,679,217,1508,243,1388,170,1220,161,1020,160,387,92,372,114,8448,424,584,150,114,55,415,107,233,80,33,37,105,60,578,167,1514,266,1343,161,1190,166,1174,151,507,117,658,123
7.4,Wedgwood/View Ridge,11938,491,630,170,336,117,0,27,0,27,17,31,0,27,0,27,0,27,33,36,63,54,33,35,90,67,89,51,11,29,0,27,294,117,0,27,0,27,17,31,0,27,21,31,10,28,85,77,30,35,11,30,50,38,30,33,16,30,24,34,11308,476,5503,330,274,102,49,37,345,98,188,89,86,75,62,39,314,103,671,151,985,169,816,140,979,133,494,107,240,75,5805,292,378,101,71,49,385,101,90,44,95,53,170,92,187,79,624,135,828,127,941,152,1020,153,463,104,553,107
7.5,Laurelhurst/Sand Point,8557,576,737,254,297,165,8,21,0,21,0,21,0,21,0,21,1,13,171,149,35,27,13,24,13,22,30,32,16,27,10,22,440,174,28,32,0,21,33,36,0,21,0,21,13,25,208,125,37,35,44,46,40,52,26,28,11,22,0,21,7820,507,3652,322,203,85,88,78,370,119,136,75,40,35,78,56,216,107,427,146,587,125,486,127,552,135,271,82,198,69,4168,325,224,93,16,27,339,99,157,86,143,65,101,62,254,149,512,123,532,111,723,129,585,118,321,85,261,86
8.1,Northgate/Maple Leaf,9497,534,1216,308,626,192,11,24,0,24,12,28,14,30,0,24,0,24,172,117,88,54,73,56,50,42,134,96,21,38,51,50,590,206,46,59,0,24,0,24,0,24,0,24,15,31,92,72,97,73,58,60,89,68,71,53,0,24,122,109,8281,605,4208,393,286,127,44,41,197,116,111,68,23,32,92,53,377,178,837,192,819,187,630,151,383,101,126,73,283,111,4073,370,200,89,86,45,139,61,59,41,0,24,44,50,290,141,706,175,785,143,458,96,399,104,274,101,633,148
8.2,Olympic Hills/Victory Heights,10203,680,1092,398,478,180,61,78,11,27,28,50,0,24,0,24,0,24,60,75,105,88,49,48,13,29,70,74,26,43,55,54,614,267,17,34,0,24,46,74,0,24,15,30,0,24,55,41,72,76,31,40,116,98,143,113,68,56,51,51,9111,640,4502,384,188,92,20,31,220,109,105,55,40,37,61,49,284,108,908,200,553,133,904,172,691,120,286,124,242,98,4609,429,260,138,16,33,216,104,45,40,45,37,44,36,390,172,913,226,601,134,746,160,640,152,223,94,470,124
8.3,Cedar Park/Meadowbrook,8727,572,959,310,369,136,0,27,40,67,11,27,0,27,0,27,7,27,25,34,37,34,21,38,106,76,122,76,0,27,0,27,590,244,59,63,0,27,0,27,0,27,0,27,0,27,45,72,154,83,107,95,108,87,24,26,54,48,39,39,7768,494,3763,300,104,59,50,41,103,51,69,45,8,27,78,53,255,112,828,194,632,166,491,113,691,120,231,79,223,85,4005,313,258,108,63,45,176,73,94,60,52,64,42,41,97,56,673,153,553,143,510,131,922,138,287,75,278,82
9.1,Broadview/Bitter Lake,9922,720,1317,518,672,345,14,33,0,27,17,35,16,34,0,27,8,27,108,106,178,143,0,27,140,104,107,99,1,21,83,56,645,235,0,27,0,27,0,27,0,27,0,27,0,27,33,41,34,40,64,66,114,97,164,121,48,78,188,124,8605,547,4089,333,155,72,29,33,171,93,253,140,0,27,96,78,184,98,592,180,561,133,685,164,635,141,213,82,515,127,4516,393,143,142,0,27,260,111,64,46,15,30,30,36,159,78,581,194,562,150,626,150,773,132,441,158,862,168
9.2,Licton Springs,6264,493,635,220,317,150,17,30,0,17,0,17,0,17,12,22,0,17,66,63,18,30,35,49,117,84,20,28,32,38,0,17,318,152,0,17,0,17,22,38,0,17,0,17,26,43,103,101,89,68,11,22,22,29,0,17,11,22,34,54,5629,487,2777,300,226,99,0,17,88,67,0,17,38,47,0,17,315,208,950,211,526,137,276,108,182,85,83,61,93,67,2852,340,231,138,18,31,18,31,0,17,0,17,22,36,404,237,1076,207,444,133,168,106,256,86,106,60,109,62
9.3,Greenwood/Phinney Ridge,19015,655,1122,249,484,154,0,29,0,29,40,54,0,29,11,32,0,29,32,45,106,75,71,53,62,55,90,55,18,36,54,58,638,182,17,39,0,29,0,29,0,29,0,29,0,29,132,79,147,77,59,45,86,73,54,64,18,31,125,92,17893,662,8787,483,566,138,70,51,398,115,159,81,25,34,100,58,397,139,1943,280,2032,247,1438,200,1019,172,291,97,349,108,9106,443,495,145,67,58,578,146,138,67,35,38,87,54,395,139,1920,261,1948,214,1396,201,1242,174,318,92,487,121
9.4,Green Lake,11744,645,785,264,430,159,0,24,0,24,0,24,0,24,0,24,26,45,107,85,152,92,35,38,49,58,46,39,15,29,0,24,355,156,39,63,0,24,0,24,0,24,0,24,0,24,118,65,57,65,0,24,67,57,27,35,31,39,16,30,10959,668,5723,454,252,89,59,42,182,82,89,58,59,49,65,52,347,135,1799,293,1017,185,669,135,603,163,394,123,188,101,5236,437,356,109,35,35,234,91,77,49,36,33,48,41,313,140,1308,325,942,157,628,149,654,146,282,117,323,98
9.5,Haller Lake,6814,492,713,308,250,139,50,70,4,16,14,26,8,22,10,23,0,21,9,23,74,62,0,21,15,27,42,43,15,18,9,13,463,207,0,21,0,21,78,77,0,21,12,25,0,21,2,17,107,85,28,30,63,76,19,29,112,105,42,52,6101,455,3165,298,225,141,88,58,82,58,12,23,18,30,19,23,220,104,563,169,490,116,531,120,507,117,238,108,172,68,2936,301,79,64,12,25,126,71,125,72,0,21,0,21,197,116,484,156,337,95,515,147,523,129,254,76,284,119
10.1,North Beach/Blue Ridge,10080,514,559,183,267,104,9,23,10,23,0,21,11,23,0,21,10,23,39,37,50,43,11,25,52,61,52,41,0,21,23,29,292,124,11,23,0,21,8,21,0,21,0,21,21,27,90,72,46,56,10,23,40,35,37,24,3,18,26,43,9521,524,4845,416,250,91,18,26,255,98,177,93,20,29,168,121,263,99,705,152,758,151,821,132,807,138,290,85,313,81,4676,324,163,81,43,35,339,114,97,55,25,32,127,81,125,71,655,144,663,130,833,161,833,127,347,82,426,89
10.2,Whittier Heights,10583,428,534,179,213,101,0,24,0,24,13,28,0,24,0,24,0,24,0,24,89,67,74,55,4,21,18,34,0,24,15,32,321,150,12,25,0,24,0,24,0,24,0,24,0,24,70,66,43,44,116,76,16,29,49,60,0,24,15,29,10049,457,4954,329,461,140,91,56,224,99,38,42,14,28,105,91,218,130,1205,201,955,164,782,176,589,135,200,69,72,48,5095,316,327,123,102,54,313,119,52,41,37,39,59,49,296,135,1175,215,944,140,659,132,721,137,258,74,152,74
10.3,Sunset Hill/Loyal Heights,12408,602,878,277,457,188,11,24,0,24,34,39,34,39,0,24,0,24,61,75,122,96,10,24,29,34,97,65,45,41,14,29,421,154,11,24,0,24,32,38,0,24,0,24,0,24,29,32,157,95,28,35,33,41,30,33,28,35,73,80,11530,594,5765,347,463,136,37,34,342,103,162,69,13,27,26,34,337,135,976,189,1082,157,850,149,881,165,315,105,281,88,5765,420,347,117,25,28,149,80,71,52,45,40,113,79,365,236,996,213,1027,181,1068,171,903,152,291,80,365,92
10.4,Ballard,5931,452,373,159,163,95,0,17,0,17,0,17,0,17,0,17,0,17,0,17,75,69,18,30,50,46,0,17,20,33,0,17,210,128,0,17,0,17,0,17,0,17,0,17,0,17,15,25,62,88,0,17,23,25,0,17,19,30,91,93,5558,459,3144,356,50,57,0,17,47,48,19,30,16,25,15,24,251,141,1476,384,511,185,273,117,327,162,123,109,36,40,2414,361,141,104,15,24,25,29,26,19,0,17,19,30,182,119,783,175,324,107,280,166,307,115,216,115,96,79
11.1,Fremont,13364,524,1087,248,476,167,14,31,0,24,3,23,0,24,0,24,0,24,81,76,179,113,42,42,68,51,40,41,49,66,0,24,611,189,14,29,0,24,18,31,0,24,0,24,0,24,221,123,137,78,84,65,41,44,66,53,0,24,30,57,12277,518,6550,488,275,106,104,75,84,51,45,48,11,28,16,34,389,167,2421,384,1536,215,749,142,569,161,217,80,134,62,5727,405,155,84,30,32,195,72,79,61,16,33,36,47,456,170,2298,294,1030,186,641,129,544,128,120,61,127,75
11.2,Wallingford,13065,854,2118,466,1197,361,0,27,0,27,0,27,0,27,0,27,0,27,797,338,140,84,42,38,99,53,93,55,18,36,8,26,921,309,0,27,0,27,0,27,0,27,0,27,2,24,498,268,113,58,114,91,44,79,70,45,19,36,61,45,10947,618,5717,413,355,101,56,48,378,110,45,31,0,27,47,40,600,252,1518,231,1151,181,570,123,526,123,343,71,128,111,5230,397,210,89,65,52,258,79,100,56,6,26,22,32,568,215,1472,234,971,157,392,89,705,107,176,63,285,82
11.3,Cascade/Eastlake,8539,688,1354,314,680,240,0,21,0,21,0,21,0,21,0,21,0,21,216,164,229,124,61,56,88,84,41,46,31,58,14,28,674,239,0,21,0,21,0,21,0,21,0,21,8,23,335,187,135,104,15,29,73,72,58,53,10,23,40,60,7185,654,3792,396,71,66,0,21,0,21,0,21,0,21,14,26,139,81,1508,267,830,255,535,175,290,127,289,113,116,59,3393,443,89,77,44,53,0,21,0,21,20,34,0,21,212,106,1453,308,631,190,304,160,305,129,176,65,159,73
