area_id,area_name,b27015001,b27015001_moe,b27015002,b27015002_moe,b27015003,b27015003_moe,b27015004,b27015004_moe,b27015005,b27015005_moe,b27015006,b27015006_moe,b27015007,b27015007_moe,b27015008,b27015008_moe,b27015009,b27015009_moe,b27015010,b27015010_moe,b27015011,b27015011_moe,b27015012,b27015012_moe,b27015013,b27015013_moe,b27015014,b27015014_moe,b27015015,b27015015_moe,b27015016,b27015016_moe,b27015017,b27015017_moe,b27015018,b27015018_moe,b27015019,b27015019_moe,b27015020,b27015020_moe,b27015021,b27015021_moe,b27015022,b27015022_moe,b27015023,b27015023_moe,b27015024,b27015024_moe,b27015025,b27015025_moe,b27015026,b27015026_moe
9.3,Greenwood/Phinney Ridge,23392,806,2161,381,1666,323,1091,251,1053,237,495,153,3455,494,2630,402,2331,366,738,214,825,250,3655,752,3265,738,2796,472,817,419,390,164,3593,598,3407,581,3180,538,631,225,186,86,10528,793,10117,763,10001,762,389,129,411,178
9.4,Green Lake,13751,613,1052,284,814,205,652,186,423,133,238,193,1865,379,1484,310,1221,268,505,180,381,156,2301,470,2211,463,2047,460,474,230,90,62,1418,390,1343,381,1299,377,134,91,75,51,7115,715,6881,696,6772,686,452,175,234,119
9.5,Haller Lake,9629,514,1196,336,817,221,496,171,536,200,379,195,1975,446,1566,383,1329,330,628,210,409,228,1792,451,1531,407,1316,359,397,153,261,190,1645,461,1456,360,1293,304,327,176,189,148,3021,537,2770,497,2700,491,221,96,251,133
10.1,North Beach/Blue Ridge,11418,475,930,303,732,218,657,213,326,130,198,151,1589,384,1214,290,975,275,580,183,375,290,1933,420,1760,395,1708,389,314,100,173,127,1445,355,1366,345,1280,341,203,94,79,55,5521,544,5353,535,5099,521,579,200,168,89
10.2,Whittier Heights,11695,428,740,245,500,187,278,100,313,151,240,138,1705,342,1300,309,1126,275,324,114,405,162,2074,443,1736,398,1683,394,231,108,338,206,2033,503,1871,464,1843,461,246,189,162,114,5143,636,5013,610,4935,608,190,110,130,89
10.3,Sunset Hill/Loyal Heights,13904,594,1201,290,919,232,559,191,525,145,282,177,1714,407,1319,312,1233,306,301,123,395,270,1934,428,1842,414,1816,411,411,149,92,65,2233,560,1997,476,1829,392,298,201,236,134,6822,663,6590,603,6502,601,320,121,232,166
10.4,Ballard,7067,502,809,230,705,202,404,161,479,130,104,74,1263,312,1167,301,1113,304,175,116,96,74,1493,356,1261,299,1205,293,56,49,232,159,1023,472,986,446,986,446,53,85,37,53,2479,592,2394,591,2377,592,320,334,85,140
11.1,Fremont,15281,537,1121,272,848,230,659,208,267,102,273,136,2919,585,2354,498,2071,410,480,291,565,241,2878,463,2629,433,2545,431,142,96,249,132,2242,494,2010,449,1823,397,273,172,232,119,6121,681,5772,675,5651,664,357,129,349,194
11.2,Wallingford,16064,890,2645,441,2303,409,1884,366,623,227,342,167,3081,589,2388,485,2227,468,415,145,693,223,2068,504,1809,441,1749,437,192,77,259,154,1684,741,1314,312,1264,300,141,84,370,547,6586,605,6269,575,6145,564,434,124,317,130
11.3,Cascade/Eastlake,11952,802,3039,586,2286,516,1484,504,1045,223,753,243,2188,463,1858,452,1761,445,143,88,330,141,2008,491,1713,392,1691,391,179,94,295,194,1686,467,1571,444,1540,440,159,91,115,154,3031,513,2915,491,2862,494,235,96,116,103
12.1,Magnolia,12488,624,656,268,497,240,398,222,218,106,159,113,980,242,857,228,681,198,382,119,123,79,1314,443,1255,436,1230,434,292,127,59,78,1348,568,1239,500,1134,448,485,207,109,107,8190,674,8070,650,7923,651,809,261,120,153
12.2,Interbay,9723,512,691,217,534,203,443,196,123,68,157,101,1955,371,1506,298,1332,285,447,165,449,239,2083,457,1920,440,1837,431,253,112,163,146,1264,320,1239,320,1213,321,217,107,25,32,3730,653,3656,632,3617,625,245,148,74,67
12.3,Queen Anne,34670,1046,3497,488,2824,400,2039,375,1219,234,673,224,5608,809,4834,748,4316,680,1281,401,774,243,5679,771,5194,719,4865,684,933,333,485,191,4685,690,4379,662,4221,646,743,214,306,146,15201,1164,14938,1128,14676,1113,920,239,263,165
13.1,Belltown,7932,561,1872,396,1460,328,586,269,1004,234,412,231,1070,299,783,236,540,188,293,165,287,166,1033,312,1033,312,1014,308,169,148,0,21,1066,259,1038,250,946,238,118,90,28,35,2891,401,2864,400,2775,399,278,106,27,45
13.2,Downtown Commercial Core,3094,270,1067,217,924,195,407,160,722,165,143,98,403,163,230,117,170,101,77,65,173,135,281,111,259,102,259,102,37,56,22,26,240,164,240,164,240,164,28,33,0,12,1103,279,1088,279,1088,279,69,50,15,26
13.3,Pioneer Square/International District,4920,552,2557,553,2116,534,279,104,1892,510,441,157,1049,234,845,196,630,135,401,151,204,96,547,239,500,217,461,196,126,116,47,39,350,154,256,116,256,116,11,21,94,66,417,197,393,198,393,198,81,100,24,40
