area_id,area_name,b17020c001,b17020c001_moe,b17020c002,b17020c002_moe,b17020c003,b17020c003_moe,b17020c004,b17020c004_moe,b17020c005,b17020c005_moe,b17020c006,b17020c006_moe,b17020c007,b17020c007_moe,b17020c008,b17020c008_moe,b17020c009,b17020c009_moe,b17020c010,b17020c010_moe,b17020c011,b17020c011_moe,b17020c012,b17020c012_moe,b17020c013,b17020c013_moe,b17020c014,b17020c014_moe,b17020c015,b17020c015_moe,b17020c016,b17020c016_moe,b17020c017,b17020c017_moe
5.2,Judkins Park,10,15,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,10,15,0,12,0,12,0,12,0,12,10,15,0,12,0,12
5.3,Central Area/Squire Park,64,55,27,35,0,24,0,24,0,24,0,24,27,35,0,24,0,24,37,46,0,24,0,24,0,24,0,24,37,46,0,24,0,24
6.1,First Hill,320,184,226,171,31,53,22,41,0,24,0,24,173,130,0,24,0,24,94,74,20,34,0,24,0,24,1,21,73,57,0,24,0,24
6.2,Capitol Hill,303,128,96,55,0,29,0,29,0,29,0,29,65,54,31,35,0,29,207,121,0,29,0,29,0,29,0,29,207,121,0,29,0,29
6.3,North Capitol Hill,89,130,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,89,130,0,12,0,12,0,12,0,12,89,130,0,12,0,12
6.4,Miller Park,36,28,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,36,28,0,17,0,17,0,17,0,17,36,28,0,17,0,17
6.5,Madison Park,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
7.1,Montlake/Portage Bay,27,36,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,27,36,0,21,0,21,0,21,0,21,27,36,0,21,0,21
7.2,University District,140,121,65,84,0,29,0,29,0,29,0,29,46,74,19,49,0,29,75,91,0,29,0,29,19,38,0,29,56,66,0,29,0,29
7.3,Ravenna/Bryant,81,68,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,81,68,10,33,0,32,0,32,0,32,71,59,0,32,0,32
