area_id,area_name,b11002i001,b11002i001_moe,b11002i002,b11002i002_moe,b11002i003,b11002i003_moe,b11002i004,b11002i004_moe,b11002i005,b11002i005_moe,b11002i006,b11002i006_moe,b11002i007,b11002i007_moe,b11002i008,b11002i008_moe,b11002i009,b11002i009_moe,b11002i010,b11002i010_moe,b11002i011,b11002i011_moe,b11002i012,b11002i012_moe
6.1,First Hill,662,311,315,209,136,115,116,94,20,38,105,110,105,110,0,24,74,153,74,153,0,24,347,226
6.2,Capitol Hill,1302,512,532,468,532,468,532,468,0,29,0,29,0,29,0,29,0,29,0,29,0,29,770,276
6.3,North Capitol Hill,251,125,72,85,72,85,72,85,0,12,0,12,0,12,0,12,0,12,0,12,0,12,179,109
6.4,Miller Park,306,145,142,108,128,104,128,104,0,17,0,17,0,17,0,17,14,25,14,25,0,17,164,94
6.5,Madison Park,47,75,47,75,47,75,47,75,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
7.1,Montlake/Portage Bay,295,157,186,138,186,138,175,133,11,25,0,21,0,21,0,21,0,21,0,21,0,21,109,107
7.2,University District,504,371,57,72,57,72,57,72,0,29,0,29,0,29,0,29,0,29,0,29,0,29,447,361
7.3,Ravenna/Bryant,675,286,331,202,306,198,238,151,68,80,0,32,0,32,0,32,25,49,25,49,0,32,344,195
7.4,Wedgwood/View Ridge,472,214,420,208,333,197,333,197,0,27,21,40,21,40,0,27,66,64,55,53,11,29,52,49
7.5,Laurelhurst/Sand Point,150,141,85,138,85,138,85,138,0,21,0,21,0,21,0,21,0,21,0,21,0,21,65,50
8.1,Northgate/Maple Leaf,799,297,604,275,483,253,483,253,0,24,80,105,80,105,0,24,41,75,19,38,22,42,195,139
8.2,Olympic Hills/Victory Heights,994,430,953,427,657,263,657,263,0,24,0,24,0,24,0,24,296,341,258,317,38,63,41,41
8.3,Cedar Park/Meadowbrook,1237,452,985,450,272,204,265,200,7,27,407,368,343,306,64,67,306,264,292,257,14,32,252,147
9.1,Broadview/Bitter Lake,445,280,346,268,207,203,190,182,17,35,0,27,0,27,0,27,139,172,139,172,0,27,99,70
9.2,Licton Springs,924,484,713,461,387,363,387,363,0,17,0,17,0,17,0,17,326,270,277,220,49,56,211,166
9.3,Greenwood/Phinney Ridge,1180,415,785,366,735,363,735,363,0,29,0,29,0,29,0,29,50,65,50,65,0,29,395,191
9.4,Green Lake,741,307,304,230,86,101,86,101,0,24,54,93,54,93,0,24,164,181,164,181,0,24,437,205
9.5,Haller Lake,711,395,580,381,580,381,565,375,15,29,0,21,0,21,0,21,0,21,0,21,0,21,131,87
10.1,North Beach/Blue Ridge,556,301,413,295,328,265,328,265,0,21,85,132,59,94,26,43,0,21,0,21,0,21,143,99
10.2,Whittier Heights,404,242,319,233,264,215,264,215,0,24,55,87,38,61,17,32,0,24,0,24,0,24,85,71
10.3,Sunset Hill/Loyal Heights,292,147,122,115,122,115,122,115,0,24,0,24,0,24,0,24,0,24,0,24,0,24,170,93
10.4,Ballard,505,275,101,119,71,108,71,108,0,17,0,17,0,17,0,17,30,49,30,49,0,17,404,245
11.1,Fremont,585,212,140,118,79,93,79,93,0,24,34,60,34,60,0,24,27,49,27,49,0,24,445,185
11.2,Wallingford,296,169,200,154,169,145,169,145,0,27,0,27,0,27,0,27,31,56,31,56,0,27,96,75
11.3,Cascade/Eastlake,701,251,195,192,85,80,85,80,0,21,110,178,110,178,0,21,0,21,0,21,0,21,506,177
12.1,Magnolia,139,124,107,129,66,109,66,109,0,24,41,68,27,48,14,28,0,24,0,24,0,24,32,36
12.2,Interbay,445,234,378,226,317,214,317,214,0,21,27,52,27,52,0,21,34,60,24,44,10,21,67,86
12.3,Queen Anne,1182,354,311,199,283,193,283,193,0,40,28,59,28,59,0,40,0,40,0,40,0,40,871,296
13.1,Belltown,327,188,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,327,188
13.2,Downtown Commercial Core,125,98,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,125,98
13.3,Pioneer Square/International District,98,83,50,69,50,69,50,69,0,17,0,17,0,17,0,17,0,17,0,17,0,17,48,49
