area_id,area_name,b23022001,b23022001_moe,b23022002,b23022002_moe,b23022003,b23022003_moe,b23022004,b23022004_moe,b23022005,b23022005_moe,b23022006,b23022006_moe,b23022007,b23022007_moe,b23022008,b23022008_moe,b23022009,b23022009_moe,b23022010,b23022010_moe,b23022011,b23022011_moe,b23022012,b23022012_moe,b23022013,b23022013_moe,b23022014,b23022014_moe,b23022015,b23022015_moe,b23022016,b23022016_moe,b23022017,b23022017_moe,b23022018,b23022018_moe,b23022019,b23022019_moe,b23022020,b23022020_moe,b23022021,b23022021_moe,b23022022,b23022022_moe,b23022023,b23022023_moe,b23022024,b23022024_moe,b23022025,b23022025_moe,b23022026,b23022026_moe,b23022027,b23022027_moe,b23022028,b23022028_moe,b23022029,b23022029_moe,b23022030,b23022030_moe,b23022031,b23022031_moe,b23022032,b23022032_moe,b23022033,b23022033_moe,b23022034,b23022034_moe,b23022035,b23022035_moe,b23022036,b23022036_moe,b23022037,b23022037_moe,b23022038,b23022038_moe,b23022039,b23022039_moe,b23022040,b23022040_moe,b23022041,b23022041_moe,b23022042,b23022042_moe,b23022043,b23022043_moe,b23022044,b23022044_moe,b23022045,b23022045_moe,b23022046,b23022046_moe,b23022047,b23022047_moe,b23022048,b23022048_moe,b23022049,b23022049_moe
3.2,Georgetown,980,150,569,99,513,93,376,96,294,68,17,29,31,29,23,37,11,15,0,12,137,72,44,42,0,12,0,12,36,38,53,64,4,8,0,12,0,12,0,12,0,12,0,12,0,12,0,12,56,51,411,90,291,54,213,56,193,53,0,12,4,7,16,22,0,12,0,12,65,53,65,53,0,12,0,12,0,12,0,12,0,12,13,19,0,12,0,12,0,12,0,12,0,12,13,19,120,65
3.3,Duwamish/SODO,1920,303,1179,280,842,182,678,173,592,149,5,9,34,36,12,22,9,22,26,39,128,78,35,31,0,12,0,12,12,17,37,51,44,48,36,27,0,12,0,12,0,12,0,12,0,12,36,27,337,164,741,146,666,104,479,94,372,110,6,9,70,58,22,22,9,15,0,12,156,104,25,35,7,11,21,38,95,82,8,13,0,12,31,36,12,19,0,12,0,12,0,12,0,12,19,32,75,72
3.4,South Beacon Hill/NewHolly,9584,731,4724,451,3618,410,2921,354,2345,312,41,64,83,56,190,93,102,76,160,113,545,138,301,121,2,21,21,28,73,47,62,45,86,64,152,96,17,25,0,24,17,32,0,24,11,27,107,82,1106,278,4860,461,3674,370,2467,337,1834,292,100,77,150,90,132,94,45,38,206,123,865,192,401,128,10,26,71,61,170,91,50,74,163,101,342,147,170,110,0,24,32,42,20,28,47,63,73,45,1186,243
3.5,Beacon Hill,6519,572,3452,429,2990,402,2560,380,2244,358,14,26,76,54,47,43,61,48,118,86,401,153,155,96,22,24,48,70,60,52,27,31,89,70,29,29,12,21,0,17,0,17,0,17,12,22,5,18,462,159,3067,296,2260,292,1804,269,1523,271,22,29,93,64,93,64,20,26,53,52,274,112,131,72,45,61,19,30,7,19,53,50,19,33,182,120,10,22,39,57,6,18,55,80,23,38,49,55,807,193
3.6,North Beacon Hill/Jefferson Park,9815,630,5349,501,4790,466,3827,411,2933,350,12,25,225,171,446,182,87,78,124,82,836,218,383,159,22,40,47,48,123,75,115,75,146,94,127,95,16,33,0,24,62,77,11,25,24,43,14,29,559,194,4466,333,3618,338,2363,315,1934,282,91,81,130,91,91,64,30,40,87,52,993,231,819,217,0,24,57,64,52,48,32,42,33,40,262,128,99,97,0,24,0,24,19,34,45,43,99,80,848,206
4.1,Rainier Beach,10006,665,4969,512,3626,405,2834,369,2286,338,22,40,126,72,243,187,119,115,38,45,683,228,322,179,0,27,34,41,92,70,163,116,72,55,109,69,14,33,0,27,32,39,25,42,0,27,38,47,1343,304,5037,385,3738,342,2816,318,2256,332,117,103,156,111,72,55,99,75,116,87,764,205,417,158,0,27,77,63,81,69,76,54,113,89,158,98,47,62,0,27,0,27,0,27,63,63,48,40,1299,307
4.2,Columbia City,11486,626,5511,477,4527,469,3852,449,2995,427,102,68,306,151,155,83,172,129,122,84,561,177,168,74,17,34,77,70,30,35,87,70,182,139,114,70,10,27,0,27,33,43,49,53,9,26,13,31,984,211,5975,442,4356,400,3069,348,2516,329,0,27,273,135,124,82,107,75,49,43,1208,260,566,170,93,94,148,104,144,82,91,60,166,125,79,55,21,30,0,27,8,28,15,32,1,21,34,37,1619,314
4.3,Seward Park,5790,374,2786,329,2387,289,2019,272,1713,240,36,34,57,39,139,89,46,47,28,36,327,103,194,82,0,17,40,31,21,37,17,19,55,45,41,32,6,18,0,17,17,24,0,17,0,17,18,19,399,159,3004,205,2332,210,1634,179,1349,175,0,17,73,49,34,30,116,61,62,41,588,163,370,130,22,26,48,35,27,25,90,66,31,30,110,55,18,24,6,16,18,24,21,23,14,25,33,30,672,156
4.4,Mt. Baker/North Rainier,3844,410,1795,241,1329,223,1086,206,940,199,14,22,45,36,74,74,0,17,13,20,191,82,130,63,19,30,29,31,0,17,0,17,13,21,52,35,0,17,14,23,0,17,15,24,12,21,11,17,466,176,2049,238,1692,231,1136,182,932,148,24,38,134,104,34,38,12,21,0,17,374,114,243,93,0,17,116,86,0,17,15,24,0,17,182,112,32,33,0,17,13,21,13,21,29,32,95,99,357,138
5.1,Madrona/Leschi,7056,453,3330,333,2870,290,2486,276,2127,289,25,30,120,96,105,86,21,39,88,115,235,132,151,120,0,21,16,28,31,36,0,21,37,42,149,94,10,23,0,21,0,21,0,21,15,29,124,89,460,162,3726,354,2981,318,2085,288,1629,236,63,54,173,95,180,120,30,35,10,20,737,209,376,183,58,94,88,58,71,51,84,69,60,44,159,68,52,46,0,21,0,21,54,45,15,29,38,39,745,279
5.2,Judkins Park,1880,227,1034,213,878,215,771,221,661,210,9,14,17,27,28,30,12,19,44,62,102,64,70,47,0,12,12,18,0,12,20,23,0,12,5,9,0,12,0,12,0,12,5,9,0,12,0,12,156,93,846,124,610,100,460,90,318,93,0,12,66,48,38,41,31,34,7,11,90,53,36,34,7,12,0,12,8,12,29,32,10,19,60,52,22,24,0,12,0,12,0,12,0,12,38,46,236,89
5.3,Central Area/Squire Park,13041,616,6358,505,5438,463,4539,405,3785,388,123,72,243,131,220,113,156,97,12,28,680,183,384,131,63,52,43,39,49,58,98,67,43,64,219,113,92,77,0,24,0,24,60,61,20,38,47,48,920,241,6683,465,5464,394,3866,346,3329,320,104,83,177,91,82,53,82,46,92,64,1425,264,779,183,81,57,235,98,162,86,110,70,58,48,173,100,34,36,0,24,23,32,16,36,37,45,63,47,1219,279
6.1,First Hill,12291,726,7019,538,5417,467,3772,406,2658,345,72,57,220,85,292,123,236,106,294,93,1268,223,548,161,69,72,118,65,185,83,175,79,173,94,377,151,104,74,0,24,32,42,19,33,105,92,117,72,1602,281,5272,459,4060,381,2467,277,1747,245,111,67,149,84,216,109,102,68,142,75,1104,218,449,143,36,46,92,60,186,86,153,87,188,95,489,166,108,73,0,24,96,75,55,40,111,93,119,62,1212,233
