area_id,area_name,b14007i001,b14007i001_moe,b14007i002,b14007i002_moe,b14007i003,b14007i003_moe,b14007i004,b14007i004_moe,b14007i005,b14007i005_moe,b14007i006,b14007i006_moe,b14007i007,b14007i007_moe,b14007i008,b14007i008_moe,b14007i009,b14007i009_moe,b14007i010,b14007i010_moe,b14007i011,b14007i011_moe,b14007i012,b14007i012_moe,b14007i013,b14007i013_moe,b14007i014,b14007i014_moe,b14007i015,b14007i015_moe,b14007i016,b14007i016_moe,b14007i017,b14007i017_moe,b14007i018,b14007i018_moe,b14007i019,b14007i019_moe
8.2,Olympic Hills/Victory Heights,1013,357,328,147,44,46,15,29,0,24,14,29,0,24,60,76,15,29,14,31,26,33,14,28,28,37,0,24,25,39,0,24,53,57,20,36,685,242
8.3,Cedar Park/Meadowbrook,1001,362,161,104,0,27,40,67,0,27,0,27,11,27,13,30,16,33,9,28,0,27,0,27,0,27,16,31,0,27,10,28,41,41,5,26,840,319
9.1,Broadview/Bitter Lake,557,227,205,123,0,27,39,44,10,29,0,27,0,27,9,28,0,27,8,27,0,27,44,43,0,27,0,27,0,27,16,35,52,84,27,47,352,147
9.2,Licton Springs,859,422,77,63,0,17,0,17,0,17,0,17,15,26,0,17,0,17,0,17,0,17,16,25,0,17,0,17,0,17,0,17,46,52,0,17,782,407
9.3,Greenwood/Phinney Ridge,1186,369,457,194,10,32,35,47,23,38,21,40,9,30,24,37,59,66,9,31,40,51,0,29,0,29,22,34,0,29,79,66,72,53,54,48,729,258
9.4,Green Lake,688,239,169,114,0,24,0,24,0,24,1,21,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,104,90,64,76,519,177
9.5,Haller Lake,796,354,269,173,59,72,10,24,0,21,44,69,21,29,11,24,0,21,15,28,13,23,0,21,18,30,0,21,0,21,24,30,20,35,34,30,527,202
10.1,North Beach/Blue Ridge,689,308,256,138,29,48,8,21,0,21,0,21,8,21,0,21,7,20,0,21,0,21,41,67,0,21,42,69,0,21,10,22,83,63,28,35,433,196
10.2,Whittier Heights,507,204,109,95,0,24,13,27,0,24,15,31,0,24,14,29,0,24,10,24,0,24,0,24,0,24,0,24,0,24,0,24,57,79,0,24,398,180
10.3,Sunset Hill/Loyal Heights,365,137,138,93,10,25,0,24,18,34,14,27,18,32,0,24,0,24,13,26,0,24,0,24,0,24,0,24,12,26,0,24,0,24,53,62,227,103
10.4,Ballard,516,255,81,110,0,17,0,17,0,17,0,17,0,17,0,17,0,17,17,27,0,17,0,17,0,17,0,17,22,36,23,38,19,33,0,17,435,213
11.1,Fremont,814,211,240,128,31,40,0,24,4,24,0,24,0,24,0,24,3,23,0,24,0,24,0,24,0,24,64,95,0,24,31,39,59,57,48,51,574,158
11.2,Wallingford,506,183,176,103,9,29,25,34,9,26,11,26,8,27,0,27,0,27,26,35,0,27,11,29,0,27,0,27,0,27,0,27,48,63,29,35,330,138
11.3,Cascade/Eastlake,768,241,135,75,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,20,34,0,21,0,21,0,21,69,51,46,46,633,235
12.1,Magnolia,336,178,109,78,14,29,28,48,0,24,0,24,0,24,20,36,20,35,0,24,0,24,0,24,0,24,0,24,0,24,0,24,27,37,0,24,227,130
12.2,Interbay,434,203,86,67,7,18,29,49,23,31,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,27,44,348,159
12.3,Queen Anne,1758,416,411,158,0,40,0,40,13,42,0,40,13,42,14,43,15,44,0,40,0,40,14,43,55,69,0,40,0,40,27,46,162,88,98,80,1347,371
13.1,Belltown,413,200,185,152,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,185,152,0,21,228,124
13.2,Downtown Commercial Core,217,120,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,217,120
13.3,Pioneer Square/International District,113,71,28,37,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,28,37,0,17,85,56
