area_id,area_name,b17010a001,b17010a001_moe,b17010a002,b17010a002_moe,b17010a003,b17010a003_moe,b17010a004,b17010a004_moe,b17010a005,b17010a005_moe,b17010a006,b17010a006_moe,b17010a007,b17010a007_moe,b17010a008,b17010a008_moe,b17010a009,b17010a009_moe,b17010a010,b17010a010_moe,b17010a011,b17010a011_moe,b17010a012,b17010a012_moe,b17010a013,b17010a013_moe,b17010a014,b17010a014_moe,b17010a015,b17010a015_moe,b17010a016,b17010a016_moe,b17010a017,b17010a017_moe,b17010a018,b17010a018_moe,b17010a019,b17010a019_moe,b17010a020,b17010a020_moe,b17010a021,b17010a021_moe,b17010a022,b17010a022_moe,b17010a023,b17010a023_moe,b17010a024,b17010a024_moe,b17010a025,b17010a025_moe,b17010a026,b17010a026_moe,b17010a027,b17010a027_moe,b17010a028,b17010a028_moe,b17010a029,b17010a029_moe,b17010a030,b17010a030_moe,b17010a031,b17010a031_moe,b17010a032,b17010a032_moe,b17010a033,b17010a033_moe,b17010a034,b17010a034_moe,b17010a035,b17010a035_moe,b17010a036,b17010a036_moe,b17010a037,b17010a037_moe,b17010a038,b17010a038_moe,b17010a039,b17010a039_moe,b17010a040,b17010a040_moe,b17010a041,b17010a041_moe
3.2,Georgetown,136,76,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,136,76,126,72,41,47,4,7,0,12,37,47,85,46,10,17,10,17,10,17,10,17,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
3.3,Duwamish/SODO,119,62,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,119,62,81,42,4,8,4,8,0,12,0,12,77,39,38,45,0,12,0,12,0,12,0,12,0,12,0,12,38,45,6,10,0,12,0,12,6,10,32,44
3.4,South Beacon Hill/NewHolly,499,135,78,79,0,24,0,24,0,24,0,24,0,24,0,24,78,79,0,24,0,24,0,24,0,24,0,24,0,24,78,79,78,79,0,24,37,62,41,55,0,24,421,115,239,77,114,53,58,36,15,21,41,38,125,58,182,93,77,64,43,46,7,21,0,24,36,45,34,47,105,69,69,61,11,28,0,24,58,59,36,33
3.5,Beacon Hill,487,148,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,487,148,411,143,144,83,54,50,33,37,57,51,267,120,76,50,48,42,31,31,12,24,0,17,19,22,17,31,28,30,28,30,0,17,0,17,28,30,0,17
3.6,North Beacon Hill/Jefferson Park,1179,202,66,64,14,27,0,24,0,24,0,24,0,24,14,27,52,63,0,24,0,24,0,24,0,24,0,24,0,24,52,63,17,37,17,37,0,24,0,24,35,59,1113,201,913,183,483,164,281,135,78,69,124,75,430,130,200,105,93,73,65,67,57,66,0,24,8,25,28,38,107,73,53,57,10,28,11,25,32,55,54,47
4.1,Rainier Beach,1048,207,100,104,31,55,31,55,0,27,31,55,0,27,0,27,69,92,0,27,0,27,0,27,0,27,0,27,0,27,69,92,69,92,69,92,0,27,0,27,0,27,948,184,576,160,246,117,112,73,61,73,73,58,330,126,372,152,126,95,41,70,0,27,0,27,41,70,85,71,246,106,106,83,18,35,0,27,88,77,140,79
4.2,Columbia City,1440,241,78,58,17,35,0,27,0,27,0,27,0,27,17,35,61,51,19,37,19,37,0,27,0,27,19,37,0,27,42,41,29,35,0,27,0,27,29,35,13,30,1362,235,1117,207,510,127,208,91,155,92,147,73,607,181,245,129,30,41,0,27,0,27,0,27,0,27,30,41,215,123,131,74,17,35,24,33,90,65,84,95
4.3,Seward Park,1308,147,95,79,67,67,0,17,0,17,0,17,0,17,67,67,28,46,0,17,0,17,0,17,0,17,0,17,0,17,28,46,28,46,0,17,28,46,0,17,0,17,1213,135,917,124,468,86,182,77,103,56,183,70,449,104,296,94,78,62,38,31,0,17,0,17,38,31,40,54,218,77,120,65,22,24,14,23,84,56,98,47
4.4,Mt. Baker/North Rainier,839,112,29,33,16,25,16,25,0,17,0,17,16,25,0,17,13,21,0,17,0,17,0,17,0,17,0,17,0,17,13,21,13,21,0,17,0,17,13,21,0,17,810,119,635,101,265,80,93,49,14,23,158,75,370,101,175,97,55,48,55,48,7,12,0,17,48,46,0,17,120,93,120,93,55,83,0,17,65,46,0,17
5.1,Madrona/Leschi,1648,223,57,45,31,34,16,30,16,30,0,21,0,21,15,26,26,33,0,21,0,21,0,21,0,21,0,21,0,21,26,33,26,33,26,33,0,21,0,21,0,21,1591,219,1412,186,600,115,295,109,70,46,235,72,812,166,179,113,25,30,18,30,0,21,0,21,18,30,7,21,154,109,139,105,0,21,10,23,129,104,15,26
5.2,Judkins Park,81,36,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,81,36,81,36,26,24,17,18,0,12,9,15,55,30,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
5.3,Central Area/Squire Park,1823,213,46,59,12,27,12,27,0,24,0,24,12,27,0,24,34,58,34,58,34,58,0,24,34,58,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1777,209,1457,195,588,124,329,120,107,76,152,68,869,170,320,113,83,62,42,39,19,33,0,24,23,32,41,54,237,90,144,69,35,38,0,24,109,63,93,58
6.1,First Hill,767,162,29,32,22,30,9,26,9,26,0,24,0,24,13,29,7,24,0,24,0,24,0,24,0,24,0,24,0,24,7,24,7,24,7,24,0,24,0,24,0,24,738,161,679,149,8,27,0,24,0,24,8,27,671,149,59,50,24,27,10,26,0,24,0,24,10,26,14,23,35,49,35,49,23,43,0,24,12,33,0,24
6.2,Capitol Hill,1715,370,13,33,0,29,0,29,0,29,0,29,0,29,0,29,13,33,0,29,0,29,0,29,0,29,0,29,0,29,13,33,0,29,0,29,0,29,0,29,13,33,1702,370,1564,344,309,179,241,170,43,55,25,41,1255,299,138,109,15,35,15,35,0,29,0,29,15,35,0,29,123,105,72,67,44,58,0,29,28,42,51,84
6.3,North Capitol Hill,636,123,16,25,0,12,0,12,0,12,0,12,0,12,0,12,16,25,0,12,0,12,0,12,0,12,0,12,0,12,16,25,0,12,0,12,0,12,0,12,16,25,620,116,591,115,159,53,48,46,43,30,68,33,432,112,29,34,0,12,0,12,0,12,0,12,0,12,0,12,29,34,17,26,0,12,0,12,17,26,12,20
6.4,Miller Park,1089,130,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,1089,130,1017,124,512,83,97,51,109,54,306,67,505,109,72,36,31,28,22,24,0,17,0,17,22,24,9,20,41,28,14,20,7,16,0,17,7,16,27,24
6.5,Madison Park,1140,190,18,27,0,17,0,17,0,17,0,17,0,17,0,17,18,27,0,17,0,17,0,17,0,17,0,17,0,17,18,27,0,17,0,17,0,17,0,17,18,27,1122,190,993,185,386,124,67,87,83,56,236,79,607,125,129,68,37,36,9,15,0,17,0,17,9,15,28,34,92,62,79,59,0,17,0,17,79,59,13,21
7.1,Montlake/Portage Bay,1960,202,46,47,0,21,0,21,0,21,0,21,0,21,0,21,46,47,0,21,0,21,0,21,0,21,0,21,0,21,46,47,33,42,8,21,0,21,25,42,13,24,1914,202,1571,175,506,79,154,59,43,33,309,74,1065,161,343,137,113,61,50,42,0,21,0,21,50,42,63,47,230,117,53,40,17,29,0,21,36,35,177,109
7.2,University District,852,160,90,83,17,36,0,29,0,29,0,29,0,29,17,36,73,78,56,75,0,29,0,29,0,29,0,29,56,75,17,29,4,26,0,29,4,26,0,29,13,32,762,133,691,130,287,65,109,89,43,47,135,72,404,122,71,49,13,33,0,29,0,29,0,29,0,29,13,33,58,43,15,27,0,29,0,29,15,27,43,42
7.3,Ravenna/Bryant,4074,242,73,48,44,42,35,42,6,31,13,34,16,37,9,32,29,34,0,32,0,32,0,32,0,32,0,32,0,32,29,34,29,34,13,33,0,32,16,33,0,32,4001,238,3604,244,1721,165,570,132,326,97,825,130,1883,197,397,128,49,44,40,41,34,40,0,32,6,31,9,33,348,123,164,85,27,40,37,63,100,59,184,89
7.4,Wedgwood/View Ridge,3280,179,54,40,11,29,11,29,0,27,0,27,11,29,0,27,43,37,25,33,17,31,0,27,0,27,17,31,8,27,18,29,8,27,0,27,0,27,8,27,10,28,3226,181,2722,181,1221,154,258,80,222,81,741,141,1501,158,504,132,135,83,79,71,0,27,0,27,79,71,56,49,369,109,198,77,57,41,0,27,141,69,171,72
7.5,Laurelhurst/Sand Point,2220,204,125,72,51,35,35,26,21,24,0,21,14,27,16,27,74,65,10,22,10,22,0,21,0,21,10,22,0,21,64,64,28,42,0,21,22,39,6,21,36,52,2095,189,1844,181,959,127,173,87,172,71,614,123,885,143,251,102,121,70,75,58,11,22,0,21,64,52,46,39,130,67,66,54,9,22,0,21,57,53,64,41
8.1,Northgate/Maple Leaf,2060,241,102,74,46,44,25,33,11,28,0,24,14,30,21,38,56,61,11,28,11,28,0,24,0,24,11,28,0,24,45,58,45,58,36,58,0,24,9,25,0,24,1958,244,1517,216,712,148,282,120,96,60,334,82,805,171,441,146,121,69,38,33,10,26,0,24,28,30,83,64,320,131,159,110,15,24,40,50,104,93,161,76
8.2,Olympic Hills/Victory Heights,2611,243,209,120,110,72,32,42,16,33,16,33,0,24,78,63,99,96,45,70,0,24,0,24,0,24,0,24,45,70,54,71,54,71,0,24,43,70,11,27,0,24,2402,229,1900,196,687,137,264,102,62,41,361,101,1213,168,502,150,138,87,92,77,0,24,0,24,92,77,46,43,364,123,130,71,34,53,0,24,96,59,234,97
8.3,Cedar Park/Meadowbrook,2158,221,123,111,34,36,11,27,0,27,11,27,0,27,23,31,89,109,0,27,0,27,0,27,0,27,0,27,0,27,89,109,89,109,46,60,0,27,43,73,0,27,2035,192,1763,192,688,132,212,94,63,36,413,120,1075,167,272,102,101,62,4,25,0,27,0,27,4,25,97,62,171,79,100,67,54,57,9,29,37,40,71,43
9.1,Broadview/Bitter Lake,2440,246,108,67,48,47,0,27,0,27,0,27,0,27,48,47,60,52,0,27,0,27,0,27,0,27,0,27,0,27,60,52,60,52,14,33,12,27,34,44,0,27,2332,245,1983,220,689,113,198,91,84,64,407,101,1294,215,349,132,97,76,81,75,0,27,0,27,81,75,16,35,252,102,107,75,0,27,8,27,99,75,145,66
9.2,Licton Springs,1200,208,46,34,18,30,0,17,0,17,0,17,0,17,18,30,28,34,0,17,0,17,0,17,0,17,0,17,0,17,28,34,28,34,17,31,0,17,11,22,0,17,1154,207,979,206,408,140,319,128,17,29,72,63,571,158,175,81,39,36,28,32,13,23,0,17,15,28,11,22,136,70,66,57,24,39,0,17,42,45,70,52
9.3,Greenwood/Phinney Ridge,4531,306,70,58,47,50,29,41,0,29,16,37,13,34,18,40,23,36,11,32,11,32,0,29,0,29,11,32,0,29,12,33,12,33,0,29,0,29,12,33,0,29,4461,307,3924,305,1877,197,656,147,341,123,880,156,2047,250,537,137,124,77,58,63,0,29,0,29,58,63,66,54,413,118,189,78,29,41,11,32,149,69,224,93
9.4,Green Lake,2637,229,80,74,46,62,39,63,39,63,0,24,0,24,7,24,34,46,8,25,8,25,0,24,0,24,8,25,0,24,26,44,26,44,0,24,0,24,26,44,0,24,2557,237,2186,228,876,112,403,105,75,50,398,93,1310,217,371,110,101,52,50,39,16,33,0,24,34,33,51,41,270,97,123,67,0,24,0,24,123,67,147,85
9.5,Haller Lake,1746,214,108,75,57,64,50,62,0,21,39,61,11,23,7,16,51,41,34,35,8,22,0,21,0,21,8,22,26,34,17,23,17,23,0,21,3,16,14,26,0,21,1638,196,1363,204,434,115,131,72,110,75,193,85,929,181,275,98,126,70,76,51,15,26,0,21,61,45,50,46,149,77,75,49,0,21,0,21,75,49,74,62
10.1,North Beach/Blue Ridge,2860,200,53,37,24,30,10,23,0,21,10,23,0,21,14,29,29,29,10,22,10,22,0,21,0,21,10,22,0,21,19,27,19,27,0,21,0,21,19,27,0,21,2807,201,2444,211,852,167,237,87,146,72,469,122,1592,165,363,115,68,45,64,44,10,23,0,21,54,42,4,18,295,107,148,82,0,21,0,21,148,82,147,65
10.2,Whittier Heights,2516,235,67,64,10,24,10,24,0,24,0,24,10,24,0,24,57,59,26,34,26,34,12,25,0,24,14,28,0,24,31,51,0,24,0,24,0,24,0,24,31,51,2449,230,2012,230,965,143,439,134,168,61,358,104,1047,191,437,158,134,97,134,97,28,36,0,24,106,89,0,24,303,116,158,95,13,26,51,63,94,56,145,81
10.3,Sunset Hill/Loyal Heights,3044,212,90,61,64,54,35,40,0,24,0,24,35,40,29,43,26,29,0,24,0,24,0,24,0,24,0,24,0,24,26,29,26,29,11,24,0,24,15,29,0,24,2954,218,2538,214,1175,161,508,146,182,72,485,113,1363,197,416,135,151,99,55,66,11,25,0,24,44,63,96,78,265,101,135,71,0,24,18,32,117,66,130,72
10.4,Ballard,1085,230,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,1085,230,853,210,260,86,142,110,41,48,77,65,593,214,232,120,78,71,0,17,0,17,0,17,0,17,78,71,154,92,31,35,0,17,0,17,31,35,123,95
11.1,Fremont,2473,248,76,53,44,43,14,29,14,29,0,24,0,24,30,37,32,38,0,24,0,24,0,24,0,24,0,24,0,24,32,38,19,31,0,24,15,32,4,23,13,30,2397,246,2053,236,653,119,321,117,85,49,247,84,1400,223,344,113,148,79,123,73,54,50,0,24,69,55,25,33,196,91,84,61,14,30,0,24,70,57,112,65
11.2,Wallingford,2178,214,75,70,26,35,0,27,0,27,0,27,0,27,26,35,49,66,38,64,0,27,0,27,0,27,0,27,38,64,11,29,11,29,11,29,0,27,0,27,0,27,2103,196,1768,182,815,122,315,102,152,58,348,92,953,145,335,115,165,88,64,40,9,28,0,27,55,37,101,81,170,77,107,63,26,41,24,42,57,41,63,47
11.3,Cascade/Eastlake,924,217,8,23,0,21,0,21,0,21,0,21,0,21,0,21,8,23,0,21,0,21,0,21,0,21,0,21,0,21,8,23,8,23,0,21,0,21,8,23,0,21,916,218,816,209,192,105,148,91,0,21,44,53,624,186,100,69,36,43,0,21,0,21,0,21,0,21,36,43,64,53,53,51,16,40,0,21,37,38,11,25
12.1,Magnolia,3130,223,43,55,27,46,27,46,0,24,0,24,27,46,0,24,16,30,16,30,0,24,0,24,0,24,0,24,16,30,0,24,0,24,0,24,0,24,0,24,0,24,3087,226,2848,219,1284,170,326,124,250,111,708,134,1564,180,239,98,70,52,60,49,0,24,0,24,60,49,10,23,169,86,74,67,0,24,0,24,74,67,95,61
12.2,Interbay,1708,205,30,30,21,25,21,25,13,27,0,21,8,18,0,21,9,23,0,21,0,21,0,21,0,21,0,21,0,21,9,23,9,23,0,21,0,21,9,23,0,21,1678,204,1490,188,603,156,121,76,152,93,330,124,887,174,188,79,13,30,0,21,0,21,0,21,0,21,13,30,175,75,105,61,14,29,14,25,77,53,70,45
12.3,Queen Anne,5947,411,124,61,66,51,17,44,0,40,0,40,17,44,49,51,58,51,0,40,0,40,0,40,0,40,0,40,0,40,58,51,35,47,26,46,0,40,9,41,23,44,5823,408,5297,400,1991,223,713,163,337,135,941,177,3306,353,526,151,161,76,68,54,14,43,0,40,54,49,93,65,365,137,213,102,66,71,0,40,147,83,152,96
13.1,Belltown,872,207,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,872,207,830,201,144,42,144,42,0,21,0,21,686,200,42,40,0,21,0,21,0,21,0,21,0,21,0,21,42,40,28,33,14,24,14,25,0,21,14,25
13.2,Downtown Commercial Core,299,98,23,23,14,24,0,12,0,12,0,12,0,12,14,24,9,16,0,12,0,12,0,12,0,12,0,12,0,12,9,16,0,12,0,12,0,12,0,12,9,16,276,93,276,93,9,16,9,16,0,12,0,12,267,92,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
13.3,Pioneer Square/International District,84,52,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,84,52,84,52,37,32,31,32,0,17,6,16,47,43,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
