area_id,area_name,b01001g001,b01001g001_moe,b01001g002,b01001g002_moe,b01001g003,b01001g003_moe,b01001g004,b01001g004_moe,b01001g005,b01001g005_moe,b01001g006,b01001g006_moe,b01001g007,b01001g007_moe,b01001g008,b01001g008_moe,b01001g009,b01001g009_moe,b01001g010,b01001g010_moe,b01001g011,b01001g011_moe,b01001g012,b01001g012_moe,b01001g013,b01001g013_moe,b01001g014,b01001g014_moe,b01001g015,b01001g015_moe,b01001g016,b01001g016_moe,b01001g017,b01001g017_moe,b01001g018,b01001g018_moe,b01001g019,b01001g019_moe,b01001g020,b01001g020_moe,b01001g021,b01001g021_moe,b01001g022,b01001g022_moe,b01001g023,b01001g023_moe,b01001g024,b01001g024_moe,b01001g025,b01001g025_moe,b01001g026,b01001g026_moe,b01001g027,b01001g027_moe,b01001g028,b01001g028_moe,b01001g029,b01001g029_moe,b01001g030,b01001g030_moe,b01001g031,b01001g031_moe
6.1,First Hill,731,179,404,105,0,24,9,25,30,43,28,34,80,55,72,50,51,41,52,45,51,42,31,36,0,24,0,24,0,24,0,24,327,126,0,24,0,24,3,22,27,43,65,39,107,73,29,30,27,37,48,51,0,24,16,32,5,23,0,24,0,24
6.2,Capitol Hill,819,271,501,231,15,35,15,36,14,38,26,60,15,35,130,163,15,36,73,60,78,82,58,48,62,87,0,29,0,29,0,29,318,129,0,29,0,29,0,29,0,29,0,29,69,71,93,71,18,39,88,74,16,35,23,32,0,29,0,29,11,30
6.3,North Capitol Hill,90,86,78,80,0,12,0,12,0,12,0,12,0,12,13,21,0,12,0,12,49,74,16,27,0,12,0,12,0,12,0,12,12,20,0,12,0,12,0,12,0,12,0,12,12,20,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
6.4,Miller Park,288,145,147,96,21,33,40,38,10,19,0,17,0,17,6,17,35,48,12,22,13,24,10,20,0,17,0,17,0,17,0,17,141,79,26,43,0,17,0,17,10,20,0,17,0,17,29,30,0,17,40,39,18,27,18,24,0,17,0,17,0,17
6.5,Madison Park,117,80,48,40,0,17,15,24,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,33,30,0,17,0,17,0,17,69,60,0,17,0,17,37,35,15,24,0,17,0,17,0,17,0,17,17,28,0,17,0,17,0,17,0,17,0,17
7.1,Montlake/Portage Bay,403,138,148,89,0,21,0,21,15,28,0,21,0,21,22,29,33,39,42,67,21,31,15,29,0,21,0,21,0,21,0,21,255,99,45,44,39,37,0,21,0,21,0,21,39,62,78,63,0,21,0,21,7,18,36,41,0,21,0,21,11,24
7.2,University District,978,240,490,154,18,34,1,24,41,53,2,24,181,96,141,68,69,69,13,32,0,29,0,29,24,31,0,29,0,29,0,29,488,168,0,29,0,29,0,29,15,33,259,156,123,86,68,60,0,29,0,29,12,31,11,28,0,29,0,29,0,29
7.3,Ravenna/Bryant,1414,292,673,173,201,85,37,36,54,56,42,59,27,39,114,74,47,49,47,52,33,34,10,33,0,32,27,39,0,32,34,46,741,200,52,52,113,70,58,46,55,46,65,52,152,76,81,78,23,37,107,68,30,43,0,32,5,31,0,32,0,32
7.4,Wedgwood/View Ridge,734,203,394,144,13,31,91,62,58,46,15,32,0,27,55,76,43,50,55,55,8,28,56,46,0,27,0,27,0,27,0,27,340,123,15,31,90,55,86,59,20,30,20,35,0,27,24,33,37,40,11,31,12,26,12,30,13,31,0,27,0,27
7.5,Laurelhurst/Sand Point,499,244,243,114,35,37,24,28,48,61,0,21,0,21,36,40,18,30,9,22,59,65,0,21,14,26,0,21,0,21,0,21,256,172,7,21,63,64,54,61,0,21,0,21,0,21,49,53,0,21,70,92,0,21,0,21,13,25,0,21,0,21
8.1,Northgate/Maple Leaf,380,128,182,78,20,32,33,37,0,24,0,24,0,24,0,24,54,47,0,24,11,28,21,29,31,40,0,24,12,25,0,24,198,89,40,38,12,28,0,24,5,23,0,24,0,24,60,48,0,24,65,54,0,24,16,32,0,24,0,24,0,24
8.2,Olympic Hills/Victory Heights,811,327,372,143,74,59,15,26,39,35,0,24,0,24,38,39,18,33,48,65,78,64,29,36,17,26,0,24,16,31,0,24,439,251,78,61,56,72,0,24,16,30,14,29,66,55,103,150,28,36,49,49,0,24,15,26,14,30,0,24,0,24
8.3,Cedar Park/Meadowbrook,474,157,306,113,24,30,20,38,37,41,22,32,6,23,12,25,101,90,0,27,32,33,19,29,33,30,0,27,0,27,0,27,168,75,30,26,35,37,0,27,30,43,3,25,10,25,34,39,13,30,2,25,0,27,7,26,0,27,4,25,0,27
9.1,Broadview/Bitter Lake,756,311,218,121,37,57,23,33,30,41,8,28,68,87,9,28,0,27,15,34,0,27,28,37,0,27,0,27,0,27,0,27,538,214,24,35,69,67,43,42,87,85,36,40,30,38,51,81,27,36,84,79,36,39,2,22,22,43,13,30,14,31
9.2,Licton Springs,495,243,300,198,32,43,0,17,88,106,0,17,0,17,38,39,4,17,40,38,23,29,17,30,58,68,0,17,0,17,0,17,195,131,45,55,0,17,0,17,0,17,0,17,18,32,60,64,15,27,57,53,0,17,0,17,0,17,0,17,0,17
9.3,Greenwood/Phinney Ridge,1609,449,801,241,134,80,223,147,102,88,0,29,54,68,42,44,66,53,45,49,70,66,39,45,22,37,4,28,0,29,0,29,808,260,257,202,66,63,98,61,0,29,0,29,82,68,44,56,23,35,129,80,58,52,51,55,0,29,0,29,0,29
9.4,Green Lake,571,216,213,107,0,24,57,52,15,29,0,24,17,31,42,41,55,59,4,23,0,24,8,26,15,26,0,24,0,24,0,24,358,210,0,24,10,26,19,37,0,24,0,24,126,99,87,90,50,65,66,83,0,24,0,24,0,24,0,24,0,24
9.5,Haller Lake,397,182,175,99,14,26,34,31,12,25,0,21,0,21,0,21,0,21,83,81,25,31,0,21,0,21,7,21,0,21,0,21,222,120,32,52,10,23,58,72,33,57,0,21,11,27,21,36,21,37,0,21,8,18,14,27,14,26,0,21,0,21
10.1,North Beach/Blue Ridge,572,217,269,128,44,40,33,40,37,58,0,21,10,22,8,22,46,45,43,48,19,27,26,32,1,17,0,21,2,17,0,21,303,146,30,34,48,45,19,34,14,29,39,59,5,19,28,36,21,28,60,50,39,38,0,21,0,21,0,21,0,21
10.2,Whittier Heights,513,213,337,139,35,44,38,37,35,32,27,35,9,23,0,24,15,29,30,39,87,89,33,37,28,37,0,24,0,24,0,24,176,103,39,48,11,25,0,24,0,24,0,24,0,24,32,41,70,80,13,26,11,23,0,24,0,24,0,24,0,24
10.3,Sunset Hill/Loyal Heights,808,269,348,139,51,42,54,45,69,70,41,38,15,30,0,24,18,33,31,41,39,38,30,38,0,24,0,24,0,24,0,24,460,193,80,66,46,41,16,29,54,75,0,24,16,30,63,62,49,47,53,62,40,58,15,30,28,30,0,24,0,24
10.4,Ballard,389,203,103,82,14,22,0,17,0,17,0,17,0,17,30,39,42,65,0,17,17,26,0,17,0,17,0,17,0,17,0,17,286,173,42,46,27,42,0,17,22,36,0,17,38,43,15,24,142,146,0,17,0,17,0,17,0,17,0,17,0,17
11.1,Fremont,848,300,333,175,85,115,26,36,49,60,0,24,0,24,0,24,12,27,101,89,60,54,0,24,0,24,0,24,0,24,0,24,515,236,23,33,70,63,15,29,78,97,0,24,16,33,85,62,73,70,28,33,47,53,61,95,8,23,0,24,11,24
11.2,Wallingford,767,207,338,144,53,56,8,28,0,27,0,27,0,27,147,104,31,32,33,40,32,37,14,40,20,32,0,27,0,27,0,27,429,146,26,31,0,27,32,38,0,27,22,41,102,80,72,73,9,29,77,48,32,35,25,33,0,27,0,27,32,55
11.3,Cascade/Eastlake,531,215,221,141,46,66,0,21,0,21,0,21,0,21,13,28,81,110,41,43,29,43,0,21,11,25,0,21,0,21,0,21,310,147,0,21,0,21,0,21,0,21,0,21,79,67,80,95,34,43,69,58,48,61,0,21,0,21,0,21,0,21
12.1,Magnolia,346,184,93,62,25,34,48,45,0,24,0,24,0,24,0,24,0,24,0,24,10,24,0,24,10,23,0,24,0,24,0,24,253,164,60,66,82,93,0,24,0,24,0,24,0,24,22,39,68,76,0,24,21,40,0,24,0,24,0,24,0,24
12.2,Interbay,428,210,202,124,0,21,0,21,25,40,0,21,64,58,7,22,42,70,20,36,14,27,30,34,0,21,0,21,0,21,0,21,226,154,45,73,0,21,0,21,0,21,8,23,0,21,79,91,10,24,69,57,15,27,0,21,0,21,0,21,0,21
12.3,Queen Anne,1941,491,1099,373,162,155,45,52,19,49,31,53,58,52,199,141,153,116,63,63,214,167,9,40,134,102,12,41,0,40,0,40,842,230,57,54,52,60,9,40,9,41,28,45,193,113,91,66,128,104,131,82,119,95,10,40,15,45,0,40,0,40
13.1,Belltown,367,166,116,78,0,21,0,21,0,21,0,21,12,25,0,21,19,32,11,22,26,32,0,21,12,22,36,60,0,21,0,21,251,152,0,21,23,37,27,46,0,21,0,21,28,32,14,29,54,57,78,88,16,28,11,24,0,21,0,21,0,21
13.2,Downtown Commercial Core,263,147,214,129,52,67,0,12,0,12,0,12,0,12,19,25,56,57,13,20,0,12,53,77,20,33,1,2,0,12,0,12,49,49,0,12,0,12,0,12,0,12,0,12,0,12,13,21,0,12,25,39,0,12,11,19,0,12,0,12,0,12
13.3,Pioneer Square/International District,157,87,80,66,15,21,0,17,0,17,0,17,0,17,0,17,0,17,11,21,54,61,0,17,0,17,0,17,0,17,0,17,77,55,0,17,0,17,19,27,0,17,0,17,8,18,0,17,10,20,19,21,0,17,21,24,0,17,0,17,0,17
