area_id,area_name,b17001b001,b17001b001_moe,b17001b002,b17001b002_moe,b17001b003,b17001b003_moe,b17001b004,b17001b004_moe,b17001b005,b17001b005_moe,b17001b006,b17001b006_moe,b17001b007,b17001b007_moe,b17001b008,b17001b008_moe,b17001b009,b17001b009_moe,b17001b010,b17001b010_moe,b17001b011,b17001b011_moe,b17001b012,b17001b012_moe,b17001b013,b17001b013_moe,b17001b014,b17001b014_moe,b17001b015,b17001b015_moe,b17001b016,b17001b016_moe,b17001b017,b17001b017_moe,b17001b018,b17001b018_moe,b17001b019,b17001b019_moe,b17001b020,b17001b020_moe,b17001b021,b17001b021_moe,b17001b022,b17001b022_moe,b17001b023,b17001b023_moe,b17001b024,b17001b024_moe,b17001b025,b17001b025_moe,b17001b026,b17001b026_moe,b17001b027,b17001b027_moe,b17001b028,b17001b028_moe,b17001b029,b17001b029_moe,b17001b030,b17001b030_moe,b17001b031,b17001b031_moe,b17001b032,b17001b032_moe,b17001b033,b17001b033_moe,b17001b034,b17001b034_moe,b17001b035,b17001b035_moe,b17001b036,b17001b036_moe,b17001b037,b17001b037_moe,b17001b038,b17001b038_moe,b17001b039,b17001b039_moe,b17001b040,b17001b040_moe,b17001b041,b17001b041_moe,b17001b042,b17001b042_moe,b17001b043,b17001b043_moe,b17001b044,b17001b044_moe,b17001b045,b17001b045_moe,b17001b046,b17001b046_moe,b17001b047,b17001b047_moe,b17001b048,b17001b048_moe,b17001b049,b17001b049_moe,b17001b050,b17001b050_moe,b17001b051,b17001b051_moe,b17001b052,b17001b052_moe,b17001b053,b17001b053_moe,b17001b054,b17001b054_moe,b17001b055,b17001b055_moe,b17001b056,b17001b056_moe,b17001b057,b17001b057_moe,b17001b058,b17001b058_moe,b17001b059,b17001b059_moe
3.2,Georgetown,27,36,11,19,11,19,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,11,19,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,16,21,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,16,21,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,8,15,8,15,0,12,0,12
3.3,Duwamish/SODO,394,273,131,132,131,132,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,7,16,53,56,71,128,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,263,239,110,90,0,12,0,12,0,12,0,12,0,12,0,12,0,12,64,75,9,22,0,12,24,28,13,21,0,12,153,158,0,12,0,12,70,79,0,12,0,12,0,12,0,12,67,77,0,12,7,16,9,12,0,12,0,12
3.4,South Beacon Hill/NewHolly,4895,1096,2375,1116,956,441,231,192,64,71,108,77,56,48,0,24,54,67,58,73,81,78,105,80,100,82,22,40,27,33,50,59,1419,719,143,136,44,44,388,219,263,172,35,55,35,55,112,87,96,82,125,92,74,65,53,66,11,27,40,68,2520,678,1237,384,42,50,0,24,208,151,31,39,22,29,55,63,209,116,223,127,79,85,202,99,55,61,47,41,64,57,1283,366,161,116,0,24,110,94,20,37,0,24,0,24,169,111,247,127,194,102,196,91,99,65,49,36,38,37
3.5,Beacon Hill,901,352,116,109,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,116,109,0,17,0,17,0,17,0,17,0,17,0,17,0,17,80,120,0,17,17,28,0,17,0,17,19,31,785,332,417,211,102,104,0,17,44,55,19,30,0,17,12,22,0,17,34,37,29,37,134,113,27,30,0,17,16,27,368,182,34,38,0,17,14,26,0,17,0,17,12,23,13,26,39,38,50,58,77,84,45,44,33,39,51,45
3.6,North Beacon Hill/Jefferson Park,2122,435,550,356,264,211,63,80,11,28,55,65,17,32,0,24,0,24,0,24,15,30,24,39,34,56,14,29,31,60,0,24,286,195,0,24,0,24,50,69,0,24,15,31,29,35,19,38,61,70,17,33,30,36,48,51,17,31,0,24,1572,445,836,252,246,139,35,59,0,24,35,59,0,24,0,24,37,43,61,73,230,135,39,40,85,81,28,47,40,48,736,274,5,24,0,24,230,136,0,24,0,24,0,24,21,37,0,24,171,127,71,68,102,76,86,75,50,52
4.1,Rainier Beach,5036,785,1039,511,463,237,33,56,55,66,94,92,0,27,32,39,0,27,103,133,34,43,47,75,3,22,0,27,53,54,9,26,576,318,48,76,0,27,131,154,21,40,0,27,0,27,58,66,67,72,79,89,13,30,100,73,59,54,0,27,3997,711,2056,421,88,105,0,27,318,178,74,86,0,27,142,112,206,137,338,193,320,177,207,115,188,108,166,95,9,26,1941,514,176,149,25,49,127,129,157,107,29,51,44,55,231,115,109,114,402,199,288,139,154,97,121,88,78,62
4.2,Columbia City,4442,800,888,397,516,240,13,30,30,53,0,27,40,64,0,27,0,27,8,28,91,111,180,155,82,81,41,47,15,33,16,33,372,194,14,32,0,27,93,91,16,33,0,27,0,27,63,85,43,60,45,70,30,39,25,47,27,42,16,33,3554,701,1727,451,154,131,20,37,47,47,96,71,0,27,81,67,137,95,125,111,456,217,90,70,237,103,171,84,113,66,1827,377,136,109,48,60,53,51,21,35,0,27,29,52,260,180,99,76,246,131,330,164,312,116,219,100,74,52
4.3,Seward Park,1334,288,198,138,88,69,0,17,0,17,0,17,14,26,0,17,0,17,0,17,22,35,0,17,0,17,48,53,4,16,0,17,110,99,22,29,0,17,24,41,0,17,0,17,0,17,0,17,48,58,16,19,0,17,0,17,0,17,0,17,1136,246,528,144,28,35,10,22,36,43,0,17,0,17,9,18,40,35,60,61,79,64,151,75,20,22,31,35,64,36,608,162,0,17,8,18,18,19,11,21,0,17,62,76,20,34,74,70,35,29,171,75,72,55,104,81,33,35
4.4,Mt. Baker/North Rainier,735,316,102,99,44,47,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,29,36,0,17,15,27,0,17,0,17,58,91,0,17,0,17,0,17,0,17,0,17,0,17,0,17,58,91,0,17,0,17,0,17,0,17,0,17,633,293,277,150,14,24,0,17,0,17,32,34,0,17,18,27,0,17,0,17,50,82,77,79,13,22,33,35,40,34,356,174,20,28,0,17,0,17,48,76,14,24,0,17,51,55,15,26,0,17,50,61,64,52,79,48,15,23
5.1,Madrona/Leschi,2221,602,425,338,206,159,18,30,0,21,0,21,0,21,0,21,0,21,0,21,63,104,18,34,93,111,0,21,14,26,0,21,219,193,61,97,0,21,0,21,0,21,0,21,0,21,51,83,0,21,0,21,0,21,0,21,58,71,49,41,1796,577,920,354,0,21,54,75,158,110,16,32,0,21,17,32,107,125,18,31,52,53,220,119,170,109,60,50,48,44,876,375,40,45,0,21,31,35,30,50,0,21,0,21,74,95,98,85,107,101,131,68,203,184,81,57,81,57
5.2,Judkins Park,683,225,161,99,73,72,0,12,0,12,0,12,0,12,0,12,0,12,12,18,0,12,26,60,0,12,0,12,35,42,0,12,88,69,0,12,0,12,0,12,0,12,0,12,0,12,13,20,13,21,0,12,11,16,13,20,26,31,12,18,522,213,308,131,0,12,0,12,17,29,0,12,0,12,0,12,17,27,39,61,65,69,73,42,23,31,54,53,20,21,214,147,0,12,0,12,33,46,33,45,0,12,0,12,14,23,0,12,42,36,45,46,27,31,0,12,20,24
5.3,Central Area/Squire Park,3537,619,763,386,369,207,36,58,0,24,74,101,32,53,15,33,0,24,18,39,44,46,30,35,60,56,27,33,33,50,0,24,394,207,43,44,11,27,0,24,8,25,0,24,69,72,50,61,10,26,49,63,33,43,46,58,22,29,53,55,2774,517,1395,351,40,52,12,30,65,91,62,55,0,24,38,43,53,48,321,218,189,93,242,138,245,110,52,47,76,42,1379,294,41,63,0,24,127,96,0,24,11,28,39,41,117,79,145,86,69,65,231,107,225,105,148,79,226,79
6.1,First Hill,963,289,458,205,225,146,32,57,0,24,0,24,0,24,0,24,6,24,14,30,0,24,32,55,88,112,32,43,0,24,21,38,233,118,0,24,0,24,17,36,0,24,0,24,11,27,30,52,55,62,0,24,74,55,26,36,20,36,0,24,505,203,356,171,31,43,0,24,0,24,0,24,0,24,0,24,56,75,124,111,48,57,41,39,10,29,32,33,14,30,149,85,13,29,0,24,0,24,0,24,0,24,0,24,0,24,24,34,12,27,31,40,19,31,20,36,30,43
6.2,Capitol Hill,1316,437,546,334,249,145,94,103,0,29,0,29,15,37,0,29,0,29,17,40,0,29,0,29,75,62,48,61,0,29,0,29,297,222,91,109,0,29,0,29,0,29,0,29,0,29,18,42,67,71,56,92,38,61,27,44,0,29,0,29,770,284,436,190,50,57,0,29,16,37,0,29,0,29,0,29,14,35,145,127,33,52,36,46,66,57,76,89,0,29,334,179,0,29,0,29,0,29,0,29,0,29,22,48,0,29,76,80,38,66,23,49,98,104,77,82,0,29
6.3,North Capitol Hill,20,29,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,20,29,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,20,29,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,18,29,0,12,2,6,0,12,0,12
6.4,Miller Park,817,278,85,52,33,33,0,17,0,17,0,17,0,17,0,17,0,17,0,17,11,21,0,17,0,17,22,29,0,17,0,17,52,35,0,17,0,17,0,17,0,17,0,17,0,17,0,17,13,23,0,17,5,16,21,25,6,15,7,17,732,279,399,163,45,51,0,17,10,20,92,105,0,17,0,17,71,55,26,32,24,40,23,35,81,57,9,18,18,20,333,140,47,56,0,17,36,43,35,42,30,37,0,17,0,17,65,58,19,24,27,32,15,27,33,35,26,24
6.5,Madison Park,116,105,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,116,105,52,53,0,17,0,17,22,37,10,17,0,17,0,17,0,17,0,17,0,17,10,17,10,16,0,17,0,17,64,57,0,17,0,17,12,21,0,17,0,17,0,17,0,17,20,32,11,19,21,24,0,17,0,17,0,17
7.1,Montlake/Portage Bay,241,132,11,25,11,25,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,11,25,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,230,128,169,119,12,26,0,21,0,21,12,25,0,21,0,21,0,21,0,21,23,38,71,63,12,25,0,21,39,63,61,78,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,48,76,0,21,0,21,0,21,13,27
7.2,University District,249,132,115,101,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,115,101,0,29,0,29,0,29,0,29,0,29,0,29,115,101,0,29,0,29,0,29,0,29,0,29,0,29,134,74,87,61,0,29,0,29,0,29,0,29,0,29,0,29,0,29,37,46,0,29,16,34,19,38,15,33,0,29,47,56,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,14,33,16,38,0,29,17,46
7.3,Ravenna/Bryant,515,244,101,71,64,58,0,32,0,32,0,32,0,32,16,33,0,32,0,32,20,43,8,31,0,32,20,45,0,32,0,32,37,42,0,32,0,32,8,31,0,32,0,32,8,30,18,41,3,27,0,32,0,32,0,32,0,32,0,32,414,235,176,127,0,32,0,32,0,32,0,32,0,32,0,32,58,72,0,32,41,47,15,37,51,59,11,34,0,32,238,154,26,39,8,32,41,70,0,32,0,32,0,32,35,48,14,36,6,32,18,42,50,65,16,37,24,39
7.4,Wedgwood/View Ridge,320,185,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,320,185,209,150,0,27,0,27,7,27,0,27,0,27,0,27,98,103,0,27,57,62,0,27,18,27,0,27,29,46,111,92,0,27,0,27,0,27,14,32,0,27,0,27,24,43,22,34,0,27,12,30,10,29,0,27,29,47
7.5,Laurelhurst/Sand Point,239,177,210,150,168,141,44,42,0,21,23,42,0,21,0,21,25,43,0,21,0,21,0,21,72,84,4,20,0,21,0,21,42,62,22,35,0,21,0,21,0,21,0,21,0,21,0,21,20,34,0,21,0,21,0,21,0,21,0,21,29,46,26,46,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,26,46,0,21,0,21,0,21,0,21,3,18,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,3,18,0,21,0,21,0,21
8.1,Northgate/Maple Leaf,520,197,77,97,56,76,0,24,0,24,0,24,22,40,10,26,12,28,0,24,0,24,12,28,0,24,0,24,0,24,0,24,21,30,0,24,0,24,0,24,0,24,0,24,9,26,0,24,12,28,0,24,0,24,0,24,0,24,0,24,443,169,305,156,0,24,0,24,0,24,0,24,0,24,0,24,48,57,130,136,64,94,13,30,0,24,50,62,0,24,138,81,0,24,0,24,0,24,0,24,0,24,0,24,43,54,56,63,12,29,15,30,12,32,0,24,0,24
8.2,Olympic Hills/Victory Heights,756,347,224,222,138,125,40,66,0,24,0,24,0,24,0,24,0,24,0,24,98,108,0,24,0,24,0,24,0,24,0,24,86,131,0,24,45,70,0,24,0,24,0,24,0,24,0,24,41,64,0,24,0,24,0,24,0,24,0,24,532,268,333,186,13,29,11,28,36,58,0,24,0,24,0,24,40,65,87,73,92,75,12,25,0,24,42,48,0,24,199,121,14,30,0,24,0,24,0,24,17,32,10,24,0,24,48,50,86,83,0,24,24,43,0,24,0,24
8.3,Cedar Park/Meadowbrook,673,291,196,133,116,94,12,31,0,27,22,39,16,32,0,27,0,27,10,29,0,27,0,27,46,60,10,31,0,27,0,27,80,69,0,27,0,27,42,49,0,27,0,27,9,28,0,27,18,34,3,26,6,26,0,27,0,27,2,22,477,255,224,137,13,31,0,27,11,31,11,31,25,37,0,27,13,29,63,60,0,27,34,39,39,37,15,32,0,27,253,174,0,27,0,27,13,33,0,27,0,27,0,27,65,79,39,46,59,77,77,84,0,27,0,27,0,27
9.1,Broadview/Bitter Lake,1041,416,349,213,186,144,51,83,0,27,0,27,0,27,0,27,0,27,63,95,20,38,16,33,0,27,36,61,0,27,0,27,163,125,0,27,0,27,0,27,0,27,0,27,0,27,21,35,88,101,0,27,38,46,14,31,2,21,0,27,692,336,307,161,0,27,0,27,65,87,0,27,0,27,0,27,55,74,34,45,33,40,57,57,63,58,0,27,0,27,385,220,0,27,0,27,56,94,0,27,0,27,16,33,0,27,121,108,97,97,12,30,19,38,40,64,24,42
9.2,Licton Springs,454,282,100,88,31,34,0,17,0,17,0,17,0,17,0,17,0,17,0,17,16,28,15,26,0,17,0,17,0,17,0,17,69,64,17,30,0,17,0,17,0,17,0,17,0,17,0,17,33,38,19,33,0,17,0,17,0,17,0,17,354,266,248,193,95,120,0,17,0,17,0,17,0,17,0,17,0,17,80,75,73,76,0,17,0,17,0,17,0,17,106,86,0,17,0,17,0,17,0,17,0,17,0,17,24,38,46,58,36,57,0,17,0,17,0,17,0,17
9.3,Greenwood/Phinney Ridge,449,237,84,58,61,54,0,29,0,29,0,29,0,29,0,29,0,29,14,35,0,29,0,29,34,38,4,25,9,30,0,29,23,32,0,29,0,29,0,29,0,29,0,29,1,27,12,33,0,29,10,31,0,29,0,29,0,29,0,29,365,230,223,132,0,29,0,29,62,91,9,31,0,29,0,29,0,29,42,63,43,46,58,59,0,29,9,30,0,29,142,115,0,29,0,29,0,29,0,29,0,29,0,29,0,29,80,101,0,29,43,49,18,35,0,29,1,27
9.4,Green Lake,193,133,68,86,50,82,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,50,82,0,24,0,24,18,33,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,18,33,0,24,0,24,0,24,125,104,80,66,0,24,0,24,13,29,0,24,0,24,0,24,0,24,13,30,37,45,0,24,17,31,0,24,0,24,45,55,15,31,0,24,0,24,0,24,0,24,0,24,0,24,16,34,14,30,0,24,0,24,0,24,0,24
9.5,Haller Lake,638,327,151,126,92,108,0,21,0,21,0,21,0,21,0,21,0,21,46,77,0,21,0,21,46,77,0,21,0,21,0,21,59,67,0,21,0,21,0,21,0,21,0,21,0,21,37,59,22,37,0,21,0,21,0,21,0,21,0,21,487,299,249,178,15,27,0,21,52,72,0,21,0,21,0,21,0,21,17,29,92,96,65,56,8,23,0,21,0,21,238,140,101,82,0,21,9,23,0,21,0,21,0,21,0,21,38,45,78,81,12,25,0,21,0,21,0,21
10.1,North Beach/Blue Ridge,89,130,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,89,130,42,63,0,21,0,21,42,63,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,47,70,0,21,0,21,0,21,0,21,0,21,0,21,0,21,47,70,0,21,0,21,0,21,0,21,0,21
10.2,Whittier Heights,79,74,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,79,74,79,74,0,24,0,24,0,24,0,24,0,24,0,24,18,33,39,61,0,24,22,37,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24
10.3,Sunset Hill/Loyal Heights,31,30,31,30,14,28,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,14,28,0,24,17,33,0,24,0,24,0,24,0,24,0,24,0,24,0,24,17,33,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24
10.4,Ballard,146,122,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,146,122,65,62,0,17,0,17,0,17,20,33,0,17,19,33,26,34,0,17,0,17,0,17,0,17,0,17,0,17,81,76,0,17,0,17,0,17,0,17,3,12,20,33,0,17,0,17,16,27,42,48,0,17,0,17,0,17
11.1,Fremont,216,196,24,34,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,24,34,0,24,0,24,0,24,0,24,0,24,0,24,0,24,11,26,0,24,0,24,0,24,13,28,0,24,192,196,88,82,0,24,0,24,18,35,0,24,0,24,7,25,8,25,0,24,8,25,38,46,9,25,0,24,0,24,104,129,20,39,0,24,0,24,20,39,0,24,0,24,0,24,0,24,18,36,28,38,0,24,18,36,0,24
11.2,Wallingford,447,248,273,221,136,103,40,66,0,27,0,27,0,27,0,27,0,27,92,81,0,27,2,21,2,21,0,27,0,27,0,27,137,153,0,27,0,27,44,71,0,27,0,27,0,27,54,86,0,27,39,66,0,27,0,27,0,27,0,27,174,108,138,100,0,27,0,27,0,27,0,27,0,27,0,27,0,27,30,38,13,32,32,39,63,86,0,27,0,27,36,34,0,27,0,27,14,29,0,27,0,27,0,27,0,27,13,32,0,27,9,28,0,27,0,27,0,27
11.3,Cascade/Eastlake,620,207,155,78,95,68,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,21,36,53,59,21,35,0,21,0,21,60,53,0,21,0,21,0,21,0,21,0,21,0,21,0,21,9,26,3,19,36,40,0,21,3,19,9,23,465,197,253,121,0,21,0,21,0,21,0,21,0,21,0,21,0,21,70,57,19,40,20,37,133,95,0,21,11,26,212,153,0,21,0,21,0,21,45,68,0,21,0,21,0,21,48,79,18,33,87,65,0,21,14,28,0,21
12.1,Magnolia,50,56,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,50,56,32,37,0,24,0,24,15,29,0,24,0,24,0,24,0,24,0,24,17,32,0,24,0,24,0,24,0,24,18,31,0,24,0,24,0,24,18,31,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24
