area_id,area_name,b18101g001,b18101g001_moe,b18101g002,b18101g002_moe,b18101g003,b18101g003_moe,b18101g004,b18101g004_moe,b18101g005,b18101g005_moe,b18101g006,b18101g006_moe,b18101g007,b18101g007_moe,b18101g008,b18101g008_moe,b18101g009,b18101g009_moe,b18101g010,b18101g010_moe
10.3,Sunset Hill/Loyal Heights,808,269,411,189,0,24,411,189,369,142,14,29,355,139,28,30,0,24,28,30
10.4,Ballard,389,203,105,93,0,17,105,93,284,184,0,17,284,184,0,17,0,17,0,17
11.1,Fremont,848,300,346,190,0,24,346,190,483,180,21,41,462,177,19,29,19,29,0,24
11.2,Wallingford,767,207,119,65,0,27,119,65,616,176,35,43,581,169,32,55,32,55,0,27
11.3,Cascade/Eastlake,518,214,46,66,0,21,46,66,472,188,9,27,463,187,0,21,0,21,0,21
12.1,Magnolia,346,184,215,129,0,24,215,129,131,88,0,24,131,88,0,24,0,24,0,24
12.2,Interbay,413,210,70,81,0,21,70,81,343,164,74,92,269,134,0,21,0,21,0,21
12.3,Queen Anne,1940,491,383,196,0,40,383,196,1530,415,185,126,1345,375,27,50,27,50,0,40
13.1,Belltown,367,166,50,55,0,21,50,55,281,123,35,41,246,118,36,60,0,21,36,60
13.2,Downtown Commercial Core,238,146,52,67,0,12,52,67,186,121,87,88,99,73,0,12,0,12,0,12
13.3,Pioneer Square/International District,146,85,34,31,0,17,34,31,112,71,54,44,58,55,0,17,0,17,0,17
