area_id,area_name,b01001d001,b01001d001_moe,b01001d002,b01001d002_moe,b01001d003,b01001d003_moe,b01001d004,b01001d004_moe,b01001d005,b01001d005_moe,b01001d006,b01001d006_moe,b01001d007,b01001d007_moe,b01001d008,b01001d008_moe,b01001d009,b01001d009_moe,b01001d010,b01001d010_moe,b01001d011,b01001d011_moe,b01001d012,b01001d012_moe,b01001d013,b01001d013_moe,b01001d014,b01001d014_moe,b01001d015,b01001d015_moe,b01001d016,b01001d016_moe,b01001d017,b01001d017_moe,b01001d018,b01001d018_moe,b01001d019,b01001d019_moe,b01001d020,b01001d020_moe,b01001d021,b01001d021_moe,b01001d022,b01001d022_moe,b01001d023,b01001d023_moe,b01001d024,b01001d024_moe,b01001d025,b01001d025_moe,b01001d026,b01001d026_moe,b01001d027,b01001d027_moe,b01001d028,b01001d028_moe,b01001d029,b01001d029_moe,b01001d030,b01001d030_moe,b01001d031,b01001d031_moe
4.1,Rainier Beach,4300,733,2094,424,156,129,80,83,130,88,154,103,0,27,116,95,145,100,209,122,266,132,282,101,342,114,115,74,82,52,17,34,2206,381,108,85,128,72,77,62,30,43,84,64,199,99,221,113,119,102,136,91,293,107,344,131,222,108,225,86,20,35
4.2,Columbia City,4561,587,2109,332,123,86,102,77,29,44,143,79,63,64,151,99,74,58,25,31,347,136,493,163,383,147,93,54,52,43,31,35,2452,397,81,56,103,74,209,110,60,47,79,70,187,98,162,92,171,101,300,120,461,155,294,99,164,63,136,67,45,35
4.3,Seward Park,1707,232,841,144,48,43,49,37,19,21,0,17,14,23,61,49,50,43,69,48,126,60,133,55,117,70,67,45,67,38,21,27,866,145,77,47,42,42,37,32,0,17,6,17,65,55,7,18,45,40,172,72,71,46,157,76,99,55,66,37,22,24
4.4,Mt. Baker/North Rainier,842,155,387,117,8,17,55,64,16,24,48,66,55,46,0,17,0,17,11,18,76,48,0,17,48,45,37,41,20,26,13,20,455,103,0,17,62,58,0,17,0,17,0,17,32,39,12,20,29,40,95,59,107,85,45,44,51,47,0,17,22,27
5.1,Madrona/Leschi,711,164,328,100,0,21,49,45,0,21,0,21,0,21,0,21,37,45,0,21,129,58,60,41,28,29,12,22,0,21,13,28,383,120,0,21,19,27,31,30,30,51,0,21,19,29,39,40,23,41,115,66,39,38,18,28,19,34,31,39,0,21
5.2,Judkins Park,1072,256,398,124,22,32,0,12,0,12,0,12,0,12,70,60,67,57,19,20,31,30,6,10,55,28,36,28,43,27,49,38,674,165,0,12,0,12,21,26,22,28,10,19,27,26,95,68,28,29,62,44,30,27,55,49,94,52,111,63,119,74
5.3,Central Area/Squire Park,1129,307,599,243,0,24,10,26,2,17,0,24,15,26,200,199,98,78,47,54,86,60,58,49,38,39,9,26,14,27,22,30,530,171,10,26,0,24,7,25,24,42,10,27,61,66,94,74,32,35,146,83,70,62,18,27,33,48,6,23,19,32
6.1,First Hill,2122,362,1132,250,21,34,0,24,0,24,13,33,62,44,245,149,309,166,102,61,89,67,89,60,23,31,47,33,105,56,27,29,990,223,0,24,55,45,0,24,0,24,115,60,201,111,137,82,93,56,62,50,42,43,135,82,66,44,76,53,8,20
6.2,Capitol Hill,1571,397,831,291,28,50,45,63,0,29,0,29,17,30,116,81,152,89,99,72,215,214,69,56,50,38,26,55,0,29,14,34,740,214,0,29,0,29,0,29,0,29,29,35,151,77,186,118,114,75,123,97,12,33,25,35,100,80,0,29,0,29
6.3,North Capitol Hill,250,119,134,71,0,12,16,25,0,12,0,12,0,12,17,27,0,12,17,26,52,47,17,26,15,22,0,12,0,12,0,12,116,76,0,12,0,12,0,12,0,12,0,12,0,12,18,30,20,30,0,12,37,55,41,35,0,12,0,12,0,12
6.4,Miller Park,429,122,213,81,0,17,0,17,0,17,11,21,0,17,23,38,33,39,19,25,69,37,0,17,25,24,0,17,33,44,0,17,216,88,11,21,12,20,0,17,0,17,0,17,0,17,27,45,88,53,29,26,23,34,11,21,9,19,0,17,6,16
6.5,Madison Park,241,140,31,44,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,31,44,0,17,0,17,210,112,0,17,0,17,10,16,0,17,0,17,0,17,18,28,0,17,45,41,100,93,0,17,33,47,4,11,0,17
7.1,Montlake/Portage Bay,504,145,204,85,0,21,0,21,0,21,0,21,0,21,15,25,46,55,27,27,72,59,0,21,17,30,24,27,3,14,0,21,300,104,14,25,13,22,26,43,0,21,0,21,25,33,26,33,63,64,36,33,62,57,33,30,2,18,0,21,0,21
7.2,University District,4703,623,2139,407,0,29,0,29,0,29,0,29,819,259,974,261,166,122,108,89,18,38,0,29,46,42,0,29,8,27,0,29,2564,451,0,29,0,29,0,29,37,57,1051,344,969,212,232,120,79,63,106,100,0,29,76,45,0,29,14,33,0,29
7.3,Ravenna/Bryant,2613,555,1021,290,61,47,6,31,0,32,0,32,77,56,248,177,116,90,187,98,105,57,88,62,61,48,43,42,29,33,0,32,1592,330,55,52,36,39,27,33,28,38,171,100,388,248,130,78,154,84,194,79,180,74,119,75,63,46,20,43,27,37
7.4,Wedgwood/View Ridge,1817,287,834,170,75,56,83,65,46,36,0,27,0,27,43,46,145,78,26,35,173,70,111,53,49,41,51,44,32,38,0,27,983,181,60,48,50,40,17,27,19,37,23,30,54,40,100,97,131,79,195,78,190,76,48,45,71,58,12,30,13,31
7.5,Laurelhurst/Sand Point,1356,386,570,186,13,23,52,44,16,28,8,23,8,22,52,57,65,46,86,62,41,46,132,88,31,29,33,32,24,30,9,18,786,229,44,37,28,33,40,39,8,23,13,24,83,64,109,67,35,37,163,68,129,88,35,51,44,36,46,40,9,18
8.1,Northgate/Maple Leaf,2216,412,1122,274,0,24,63,63,22,29,32,43,15,29,222,127,125,90,113,63,169,87,132,94,132,75,82,81,15,25,0,24,1094,265,45,57,33,43,8,24,8,24,44,72,174,103,108,68,126,74,156,101,55,41,236,81,50,48,44,47,7,24
8.2,Olympic Hills/Victory Heights,2410,516,1196,299,5,25,5,25,46,50,15,25,84,137,114,84,418,236,103,65,122,82,71,53,94,58,58,40,52,45,9,26,1214,312,39,65,0,24,79,79,44,36,34,37,150,103,20,30,84,56,217,106,162,96,174,83,117,68,94,81,0,24
8.3,Cedar Park/Meadowbrook,1302,270,531,135,21,31,12,26,65,69,13,21,2,22,16,35,30,32,65,53,64,40,108,56,93,46,39,35,0,27,3,25,771,188,31,32,7,26,29,30,22,49,66,98,83,78,117,93,40,36,112,52,82,47,104,58,52,44,15,26,11,27
9.1,Broadview/Bitter Lake,1229,332,485,200,15,35,0,27,35,39,47,52,30,46,61,85,16,33,40,46,26,34,57,43,76,52,48,46,26,36,8,31,744,183,15,33,25,38,0,27,0,27,8,28,124,101,151,87,31,41,134,70,65,49,65,51,19,36,80,68,27,43
9.2,Licton Springs,1411,321,553,186,13,23,35,55,0,17,14,25,0,17,80,79,98,72,62,60,89,69,44,44,43,36,67,43,8,22,0,17,858,216,0,17,0,17,0,17,0,17,0,17,54,56,195,112,119,95,153,110,127,110,95,49,50,46,26,27,39,33
9.3,Greenwood/Phinney Ridge,1686,279,477,160,0,29,33,45,20,36,0,29,0,29,62,52,62,61,26,39,105,76,83,68,41,40,19,31,26,38,0,29,1209,202,27,42,29,47,17,37,40,43,67,56,97,70,118,74,197,113,194,88,114,61,187,90,70,49,43,50,9,31
9.4,Green Lake,1068,256,526,161,0,24,19,29,0,24,12,28,0,24,62,46,111,71,89,89,58,44,38,41,34,34,67,59,21,34,15,22,542,156,27,32,0,24,4,23,4,23,22,30,45,39,70,71,82,54,82,54,101,58,76,48,0,24,29,33,0,24
9.5,Haller Lake,1418,279,546,158,25,30,47,43,19,27,8,20,0,21,0,21,42,61,55,53,80,50,127,70,99,93,44,40,0,21,0,21,872,204,20,26,41,39,78,62,0,21,47,75,102,106,74,63,126,113,110,67,37,41,122,70,71,54,26,25,18,29
10.1,North Beach/Blue Ridge,510,157,220,85,24,32,15,24,0,21,0,21,0,21,18,33,0,21,10,23,50,42,31,33,17,24,42,39,13,27,0,21,290,104,0,21,0,21,11,23,7,21,6,20,0,21,0,21,60,46,89,52,42,39,39,37,27,34,0,21,9,22
10.2,Whittier Heights,469,146,171,90,16,30,18,31,0,24,0,24,0,24,0,24,35,42,0,24,42,42,47,44,0,24,13,27,0,24,0,24,298,104,9,22,0,24,0,24,18,31,0,24,0,24,25,39,51,48,78,49,53,39,27,45,19,33,18,33,0,24
10.3,Sunset Hill/Loyal Heights,565,146,143,74,0,24,0,24,0,24,0,24,0,24,18,29,38,45,0,24,41,58,15,29,16,28,15,29,0,24,0,24,422,115,14,29,16,29,0,24,0,24,0,24,42,34,29,38,65,79,101,83,104,67,33,39,16,30,0,24,2,18
10.4,Ballard,587,254,182,100,17,26,0,17,0,17,0,17,0,17,0,17,29,34,0,17,79,61,0,17,0,17,40,46,17,28,0,17,405,216,0,17,0,17,0,17,0,17,0,17,44,71,127,161,143,114,0,17,45,46,38,45,0,17,0,17,8,17
11.1,Fremont,867,218,409,143,7,26,21,33,0,24,0,24,0,24,63,61,72,56,106,68,73,56,28,41,23,30,0,24,16,33,0,24,458,158,7,26,0,24,0,24,0,24,0,24,20,36,130,104,28,35,115,68,48,46,67,48,0,24,41,30,2,18
11.2,Wallingford,1725,357,822,230,22,33,7,26,12,30,0,27,26,35,418,172,69,50,91,81,136,87,5,25,4,25,12,29,20,39,0,27,903,249,6,26,8,28,12,30,7,29,79,66,483,192,109,61,58,47,43,36,24,31,46,36,13,31,0,27,15,31
11.3,Cascade/Eastlake,2011,497,1194,489,0,21,0,21,7,24,0,21,7,22,304,414,431,224,154,120,146,107,53,56,23,33,64,47,0,21,5,20,817,235,0,21,6,24,8,22,0,21,0,21,118,94,303,149,123,85,130,93,44,62,23,29,50,48,12,29,0,21
12.1,Magnolia,728,230,233,131,0,24,29,48,15,29,0,24,0,24,0,24,0,24,55,53,109,74,0,24,25,39,0,24,0,24,0,24,495,170,15,29,30,52,47,43,17,31,0,24,55,88,0,24,29,36,89,66,0,24,93,69,15,30,82,56,23,34
12.2,Interbay,605,241,156,106,22,36,0,21,23,38,0,21,0,21,13,30,0,21,14,26,45,59,0,21,0,21,23,44,16,29,0,21,449,202,14,25,14,26,0,21,0,21,0,21,21,40,163,173,11,22,49,47,85,69,50,42,25,47,17,33,0,21
12.3,Queen Anne,2931,438,1247,325,82,92,67,57,0,40,0,40,70,69,65,47,380,225,203,133,164,82,119,67,44,46,29,47,24,44,0,40,1684,289,60,66,12,40,0,40,0,40,72,72,161,113,325,156,256,124,379,137,205,91,72,53,117,111,25,43,0,40
13.1,Belltown,895,330,470,241,0,21,0,21,0,21,0,21,31,55,68,118,47,46,63,76,128,128,78,70,31,37,24,31,0,21,0,21,425,156,0,21,0,21,0,21,0,21,31,55,24,39,83,69,54,49,150,79,43,49,0,21,40,36,0,21,0,21
13.2,Downtown Commercial Core,336,172,118,74,7,16,0,12,0,12,0,12,0,12,0,12,0,12,25,27,0,12,0,12,39,45,0,12,28,38,19,31,218,120,0,12,0,12,0,12,0,12,0,12,19,31,25,30,13,21,26,35,53,67,36,40,0,12,27,37,19,30
13.3,Pioneer Square/International District,2431,375,1176,219,15,21,6,17,95,143,16,22,37,34,39,32,56,43,30,29,171,67,98,50,192,68,159,85,197,89,65,48,1255,223,104,96,11,21,34,32,38,41,0,17,77,49,61,51,40,30,125,74,121,54,188,74,181,109,199,63,76,38
