area_id,area_name,b12002d001,b12002d001_moe,b12002d002,b12002d002_moe,b12002d003,b12002d003_moe,b12002d004,b12002d004_moe,b12002d005,b12002d005_moe,b12002d006,b12002d006_moe,b12002d007,b12002d007_moe,b12002d008,b12002d008_moe,b12002d009,b12002d009_moe,b12002d010,b12002d010_moe,b12002d011,b12002d011_moe,b12002d012,b12002d012_moe,b12002d013,b12002d013_moe
4.3,Seward Park,1435,204,725,130,241,101,377,81,19,31,31,29,57,41,710,124,160,76,423,97,38,38,62,43,27,42
4.4,Mt. Baker/North Rainier,701,116,308,77,134,77,137,46,11,20,0,17,26,29,393,101,86,63,155,50,0,17,52,45,100,77
5.1,Madrona/Leschi,612,134,279,86,86,59,174,70,0,21,0,21,19,37,333,105,140,93,156,66,0,21,37,36,0,21
5.2,Judkins Park,1029,241,376,123,203,92,145,50,0,12,21,33,7,11,653,149,178,92,174,58,0,12,190,105,111,68
5.3,Central Area/Squire Park,1100,301,587,242,459,223,103,60,0,24,16,28,9,26,513,165,299,118,164,87,0,24,44,52,6,25
6.1,First Hill,2046,342,1111,245,780,220,193,82,42,34,24,33,72,63,935,212,496,155,307,96,64,70,58,49,10,26
6.2,Capitol Hill,1498,348,758,249,567,239,124,87,0,29,17,49,50,46,740,214,515,167,127,87,0,29,26,52,72,73
6.3,North Capitol Hill,234,117,118,67,84,57,34,39,0,12,0,12,0,12,116,76,18,30,87,70,0,12,0,12,11,18
6.4,Miller Park,406,117,213,81,149,73,59,37,0,17,5,14,0,17,193,84,38,30,92,51,0,17,0,17,63,59
6.5,Madison Park,231,138,31,44,0,17,31,44,0,17,0,17,0,17,200,110,112,87,84,63,0,17,4,11,0,17
7.1,Montlake/Portage Bay,451,144,204,85,93,60,100,63,0,21,0,21,11,25,247,96,92,58,130,71,0,21,0,21,25,28
7.2,University District,4703,623,2139,407,2057,402,70,48,0,29,0,29,12,28,2564,451,2296,453,171,92,0,29,0,29,97,101
7.3,Ravenna/Bryant,2428,544,954,284,484,257,457,115,0,32,0,32,13,35,1474,322,734,285,582,145,44,54,44,45,70,54
7.4,Wedgwood/View Ridge,1486,256,630,130,194,88,405,81,0,27,20,36,11,29,856,178,242,116,551,118,24,32,39,40,0,27
7.5,Laurelhurst/Sand Point,1163,336,489,164,215,100,263,116,11,22,0,21,0,21,674,202,201,79,395,133,0,21,32,31,46,40
8.1,Northgate/Maple Leaf,2045,333,1037,243,516,177,423,171,66,86,8,25,24,32,1008,225,423,173,399,136,0,24,105,86,81,66
8.2,Olympic Hills/Victory Heights,2236,453,1140,299,791,272,317,115,0,24,0,24,32,48,1096,244,383,135,454,128,57,78,125,74,77,51
8.3,Cedar Park/Meadowbrook,1137,233,433,108,116,61,269,75,0,27,0,27,48,38,704,177,321,142,335,103,0,27,13,25,35,41
9.1,Broadview/Bitter Lake,1139,310,435,186,181,129,194,78,12,27,16,48,32,39,704,175,250,122,325,115,0,27,98,73,31,42
9.2,Licton Springs,1363,294,505,161,204,113,203,101,0,17,8,22,90,60,858,216,373,149,382,161,11,22,79,49,13,24
9.3,Greenwood/Phinney Ridge,1560,260,424,150,209,107,174,102,20,40,8,29,13,35,1136,202,513,175,498,146,0,29,51,50,74,67
9.4,Green Lake,1018,244,507,157,194,86,219,91,0,24,0,24,94,95,511,147,153,69,272,101,0,24,9,25,77,54
9.5,Haller Lake,1188,217,455,134,95,77,320,110,13,24,0,21,27,30,733,178,297,156,327,106,0,21,62,51,47,46
10.1,North Beach/Blue Ridge,460,142,181,71,76,50,105,49,0,21,0,21,0,21,279,103,99,56,154,67,0,21,18,24,8,22
10.2,Whittier Heights,426,125,137,77,57,56,65,44,15,29,0,24,0,24,289,101,69,42,202,93,0,24,18,33,0,24
10.3,Sunset Hill/Loyal Heights,535,147,143,74,112,68,31,32,0,24,0,24,0,24,392,117,109,84,189,76,0,24,2,18,92,85
10.4,Ballard,570,244,165,88,80,72,63,73,0,17,0,17,22,35,405,216,155,130,232,182,0,17,8,17,10,16
11.1,Fremont,832,200,381,127,297,112,84,58,0,24,0,24,0,24,451,157,95,62,248,131,0,24,22,25,86,52
11.2,Wallingford,1658,341,781,219,621,196,126,85,0,27,0,27,34,43,877,246,687,233,132,58,0,27,15,31,43,35
11.3,Cascade/Eastlake,1990,494,1187,489,982,484,159,99,0,21,0,21,46,51,803,233,487,203,240,115,0,21,12,27,64,67
12.1,Magnolia,592,153,189,95,24,31,140,82,0,24,0,24,25,39,403,140,95,94,169,90,0,24,59,46,80,63
12.2,Interbay,532,226,111,82,13,30,82,74,0,21,0,21,16,29,421,193,190,172,169,87,0,21,40,34,22,41
12.3,Queen Anne,2710,408,1098,302,695,265,319,112,21,49,12,41,51,51,1612,279,748,224,744,196,0,40,35,44,85,66
13.1,Belltown,895,330,470,241,344,227,92,73,0,21,0,21,34,31,425,156,275,141,116,60,0,21,0,21,34,35
13.2,Downtown Commercial Core,329,168,111,72,0,12,90,63,0,12,0,12,21,36,218,120,89,65,129,92,0,12,0,12,0,12
13.3,Pioneer Square/International District,2166,243,1060,140,233,82,492,123,42,44,99,55,194,96,1106,174,212,84,565,138,10,20,206,86,113,61
