area_id,area_name,c15002a001,c15002a001_moe,c15002a002,c15002a002_moe,c15002a003,c15002a003_moe,c15002a004,c15002a004_moe,c15002a005,c15002a005_moe,c15002a006,c15002a006_moe,c15002a007,c15002a007_moe,c15002a008,c15002a008_moe,c15002a009,c15002a009_moe,c15002a010,c15002a010_moe,c15002a011,c15002a011_moe
3.6,North Beacon Hill/Jefferson Park,3924,420,2086,306,158,118,267,148,515,157,1146,193,1838,257,121,123,91,61,318,113,1308,228
4.1,Rainier Beach,3359,435,1708,299,203,114,239,131,583,190,683,193,1651,268,105,86,321,141,570,155,655,165
4.2,Columbia City,4805,549,2282,357,248,169,214,120,453,147,1367,213,2523,295,103,55,192,84,613,176,1615,248
4.3,Seward Park,3844,358,1709,217,166,167,107,50,291,99,1145,141,2135,228,127,78,202,84,486,116,1320,175
4.4,Mt. Baker/North Rainier,2566,281,1285,195,16,25,50,29,207,115,1012,157,1281,161,13,21,45,39,78,85,1145,144
5.1,Madrona/Leschi,4825,342,2263,192,24,29,71,54,191,88,1977,186,2562,255,22,23,135,108,440,153,1965,203
5.2,Judkins Park,704,203,447,201,75,67,70,66,127,81,175,82,257,78,8,13,39,36,31,30,179,64
5.3,Central Area/Squire Park,8667,528,4213,368,115,77,284,145,867,187,2947,301,4454,371,178,98,363,142,921,227,2992,307
6.1,First Hill,7158,521,3824,413,196,96,580,169,930,204,2118,321,3334,357,204,96,405,157,911,205,1814,264
6.2,Capitol Hill,13480,781,7434,620,303,178,581,232,2266,498,4284,477,6046,568,72,55,243,115,1880,394,3851,516
6.3,North Capitol Hill,2919,251,1630,178,91,100,53,44,361,139,1125,147,1289,177,2,5,86,65,162,86,1039,158
6.4,Miller Park,4260,290,2341,216,12,22,165,123,415,122,1749,169,1919,188,58,49,34,27,246,83,1581,165
6.5,Madison Park,3693,303,1665,267,5,11,64,48,240,149,1356,224,2028,225,22,36,117,67,444,163,1445,222
7.1,Montlake/Portage Bay,6160,297,2940,265,32,30,93,79,472,139,2343,248,3220,234,2,18,123,66,449,128,2646,222
7.2,University District,3353,515,1960,384,58,77,167,91,448,274,1287,234,1393,326,0,29,141,117,309,245,943,189
7.3,Ravenna/Bryant,13283,461,6476,362,72,53,564,201,1058,217,4782,358,6807,352,100,71,466,124,1009,186,5232,318
7.4,Wedgwood/View Ridge,9104,360,4484,245,81,53,339,124,945,185,3119,242,4620,229,58,42,456,132,1009,175,3097,230
7.5,Laurelhurst/Sand Point,5736,378,2641,249,10,15,77,50,328,122,2226,242,3095,233,44,37,112,65,423,172,2516,195
8.1,Northgate/Maple Leaf,7197,394,3495,271,97,60,379,132,1058,232,1961,211,3702,274,223,105,587,177,957,174,1935,215
8.2,Olympic Hills/Victory Heights,7983,427,3904,318,245,88,492,158,957,209,2210,264,4079,294,400,169,669,212,873,177,2137,252
8.3,Cedar Park/Meadowbrook,7142,393,3389,254,156,82,522,169,868,178,1843,201,3753,258,215,111,514,160,894,181,2130,219
9.1,Broadview/Bitter Lake,8416,605,3747,388,238,112,458,195,1155,234,1896,246,4669,395,182,120,948,209,1538,268,2001,272
9.2,Licton Springs,4701,415,2332,274,204,149,314,138,621,172,1193,240,2369,270,54,79,261,131,713,202,1341,261
9.3,Greenwood/Phinney Ridge,15434,530,7555,397,285,120,821,168,1932,281,4517,324,7879,348,136,80,745,171,1710,238,5288,323
9.4,Green Lake,9355,571,4974,380,44,42,314,116,821,207,3795,358,4381,366,55,37,289,135,950,224,3087,298
9.5,Haller Lake,5431,318,2662,243,178,86,425,138,889,166,1170,206,2769,253,247,123,622,163,885,190,1015,173
10.1,North Beach/Blue Ridge,7802,295,3882,222,234,114,465,150,931,163,2252,179,3920,225,205,108,455,118,1150,187,2110,204
10.2,Whittier Heights,8155,347,4004,246,65,54,378,142,1014,235,2547,258,4151,266,128,82,507,154,774,192,2742,257
10.3,Sunset Hill/Loyal Heights,9705,412,4702,263,104,62,362,133,1073,233,3163,257,5003,298,108,79,616,189,1258,239,3021,310
10.4,Ballard,5143,402,2926,352,155,105,367,291,841,262,1563,319,2217,298,86,65,168,124,497,208,1466,261
11.1,Fremont,11162,484,6026,413,66,56,339,114,1499,326,4122,352,5136,346,34,39,173,85,874,181,4055,361
11.2,Wallingford,9058,518,4636,362,121,65,270,98,774,175,3471,366,4422,314,57,44,300,94,705,162,3360,305
11.3,Cascade/Eastlake,7422,616,4055,398,122,91,371,168,1268,254,2294,314,3367,436,98,90,310,148,985,273,1974,326
12.1,Magnolia,8535,359,4193,253,112,70,239,115,558,159,3284,261,4342,239,54,46,193,85,1061,214,3034,261
12.2,Interbay,6580,399,3146,280,70,59,361,148,752,182,1963,267,3434,287,49,46,203,98,1066,198,2116,254
12.3,Queen Anne,22749,754,11197,511,109,67,838,233,2349,335,7901,480,11552,545,83,59,739,182,2359,325,8371,497
13.1,Belltown,5232,483,3095,370,148,113,110,64,703,197,2134,339,2137,301,20,27,95,88,421,168,1601,251
13.2,Downtown Commercial Core,2508,296,1515,260,123,83,219,104,282,116,891,178,993,175,37,33,164,105,194,74,598,140
13.3,Pioneer Square/International District,1505,203,1029,157,156,86,126,100,373,105,374,108,476,130,20,28,74,48,87,48,295,108
