area_id,area_name,b17023001,b17023001_moe,b17023002,b17023002_moe,b17023003,b17023003_moe,b17023004,b17023004_moe,b17023005,b17023005_moe,b17023006,b17023006_moe,b17023007,b17023007_moe,b17023008,b17023008_moe,b17023009,b17023009_moe,b17023010,b17023010_moe,b17023011,b17023011_moe,b17023012,b17023012_moe,b17023013,b17023013_moe,b17023014,b17023014_moe,b17023015,b17023015_moe,b17023016,b17023016_moe,b17023017,b17023017_moe,b17023018,b17023018_moe,b17023019,b17023019_moe,b17023020,b17023020_moe,b17023021,b17023021_moe,b17023022,b17023022_moe,b17023023,b17023023_moe,b17023024,b17023024_moe,b17023025,b17023025_moe,b17023026,b17023026_moe,b17023027,b17023027_moe,b17023028,b17023028_moe,b17023029,b17023029_moe,b17023030,b17023030_moe,b17023031,b17023031_moe,b17023032,b17023032_moe,b17023033,b17023033_moe,b17023034,b17023034_moe,b17023035,b17023035_moe
5.2,Judkins Park,450,101,59,36,39,34,19,20,20,26,0,12,0,12,20,21,0,12,0,12,0,12,0,12,0,12,20,21,20,21,0,12,0,12,0,12,391,107,309,93,179,63,130,70,0,12,0,12,82,59,14,22,14,22,0,12,0,12,0,12,68,55,45,48,23,27,0,12,0,12
5.3,Central Area/Squire Park,2887,243,198,108,56,44,13,27,0,24,43,42,0,24,142,101,48,60,0,24,48,60,0,24,0,24,94,81,46,57,15,34,33,55,0,24,2689,234,1915,214,1205,182,637,137,73,68,0,24,774,171,211,91,120,90,91,61,0,24,0,24,563,151,288,107,209,94,66,70,0,24
6.1,First Hill,1417,199,313,92,115,55,63,39,52,44,0,24,0,24,198,80,60,49,0,24,60,49,0,24,0,24,138,79,33,44,105,69,0,24,0,24,1104,186,905,168,878,164,25,39,2,24,0,24,199,79,117,69,107,67,10,26,0,24,0,24,82,64,23,43,47,45,12,33,0,24
6.2,Capitol Hill,2188,369,162,115,0,29,0,29,0,29,0,29,0,29,162,115,0,29,0,29,0,29,0,29,0,29,162,115,24,33,138,112,0,29,0,29,2026,362,1761,348,1391,303,370,183,0,29,0,29,265,138,89,83,59,78,30,42,0,29,0,29,176,113,81,90,81,75,14,37,0,29
6.3,North Capitol Hill,727,127,16,25,0,12,0,12,0,12,0,12,0,12,16,25,0,12,0,12,0,12,0,12,0,12,16,25,16,25,0,12,0,12,0,12,711,121,682,121,523,118,130,55,29,25,0,12,29,34,0,12,0,12,0,12,0,12,0,12,29,34,29,34,0,12,0,12,0,12
6.4,Miller Park,1365,136,22,26,11,21,11,21,0,17,0,17,0,17,11,20,0,17,0,17,0,17,0,17,0,17,11,20,0,17,11,20,0,17,0,17,1343,131,1190,123,615,115,492,78,83,45,0,17,153,73,55,47,33,43,22,24,0,17,0,17,98,61,44,30,54,51,0,17,0,17
6.5,Madison Park,1217,182,18,27,0,17,0,17,0,17,0,17,0,17,18,27,0,17,0,17,0,17,0,17,0,17,18,27,18,27,0,17,0,17,0,17,1199,183,1070,178,648,114,328,121,94,49,0,17,129,68,37,36,28,34,9,15,0,17,0,17,92,62,13,21,79,59,0,17,0,17
7.1,Montlake/Portage Bay,2107,213,46,47,0,21,0,21,0,21,0,21,0,21,46,47,0,21,0,21,0,21,0,21,0,21,46,47,13,24,33,42,0,21,0,21,2061,218,1685,185,1147,170,501,88,37,30,0,21,376,142,113,61,63,47,50,42,0,21,0,21,263,121,190,111,65,45,8,21,0,21
7.2,University District,1138,181,162,91,31,39,31,39,0,29,0,29,0,29,131,85,114,81,114,81,0,29,0,29,0,29,17,29,13,32,4,26,0,29,0,29,976,149,813,140,510,138,287,65,16,34,0,29,163,73,49,53,36,49,13,32,0,29,0,29,114,56,71,50,43,35,0,29,0,29
7.3,Ravenna/Bryant,4872,251,175,75,75,54,9,32,66,54,0,32,0,32,100,57,42,46,34,45,0,32,8,31,0,32,58,40,15,32,29,34,14,36,0,32,4697,254,4208,269,2202,222,1911,180,95,52,0,32,489,142,49,44,17,32,22,37,10,33,0,32,440,136,232,101,208,92,0,32,0,32
7.4,Wedgwood/View Ridge,3927,197,72,41,11,29,0,27,11,29,0,27,0,27,61,40,25,33,8,27,7,27,10,28,0,27,36,35,20,30,16,28,0,27,0,27,3855,197,3230,196,1748,163,1272,163,201,75,9,28,625,157,195,104,116,79,79,71,0,27,0,27,430,122,233,90,197,77,0,27,0,27
7.5,Laurelhurst/Sand Point,2695,190,145,70,51,35,16,27,26,25,9,22,0,21,94,64,10,22,10,22,0,21,0,21,0,21,84,62,36,52,26,32,22,39,0,21,2550,183,2207,189,1134,163,872,148,201,68,0,21,343,116,121,70,59,42,62,52,0,21,0,21,222,90,100,54,122,69,0,21,0,21
8.1,Northgate/Maple Leaf,2868,271,193,92,77,56,40,48,25,33,12,28,0,24,116,74,20,27,9,23,11,28,0,24,0,24,96,70,16,30,80,68,0,24,0,24,2675,269,2049,248,1198,219,795,147,56,49,0,24,626,163,246,108,212,106,34,32,0,24,0,24,380,143,221,94,159,110,0,24,0,24
