area_id,area_name,b17010b001,b17010b001_moe,b17010b002,b17010b002_moe,b17010b003,b17010b003_moe,b17010b004,b17010b004_moe,b17010b005,b17010b005_moe,b17010b006,b17010b006_moe,b17010b007,b17010b007_moe,b17010b008,b17010b008_moe,b17010b009,b17010b009_moe,b17010b010,b17010b010_moe,b17010b011,b17010b011_moe,b17010b012,b17010b012_moe,b17010b013,b17010b013_moe,b17010b014,b17010b014_moe,b17010b015,b17010b015_moe,b17010b016,b17010b016_moe,b17010b017,b17010b017_moe,b17010b018,b17010b018_moe,b17010b019,b17010b019_moe,b17010b020,b17010b020_moe,b17010b021,b17010b021_moe,b17010b022,b17010b022_moe,b17010b023,b17010b023_moe,b17010b024,b17010b024_moe,b17010b025,b17010b025_moe,b17010b026,b17010b026_moe,b17010b027,b17010b027_moe,b17010b028,b17010b028_moe,b17010b029,b17010b029_moe,b17010b030,b17010b030_moe,b17010b031,b17010b031_moe,b17010b032,b17010b032_moe,b17010b033,b17010b033_moe,b17010b034,b17010b034_moe,b17010b035,b17010b035_moe,b17010b036,b17010b036_moe,b17010b037,b17010b037_moe,b17010b038,b17010b038_moe,b17010b039,b17010b039_moe,b17010b040,b17010b040_moe,b17010b041,b17010b041_moe
11,Jefferson Park,47,48,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,47,48,24,35,24,35,8,30,16,34,0,29,0,29,23,44,0,29,0,29,0,29,0,29,0,29,0,29,23,44,23,44,0,29,0,29,23,44,0,29
12,Forest Glen,33,39,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,33,39,17,34,8,31,0,29,0,29,8,31,9,31,16,35,0,29,0,29,0,29,0,29,0,29,0,29,16,35,0,29,0,29,0,29,0,29,16,35
13,North Park,59,47,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,59,47,39,44,7,27,7,27,0,27,0,27,32,44,20,32,0,27,0,27,0,27,0,27,0,27,0,27,20,32,20,32,7,26,0,27,13,30,0,27
14,Albany Park,379,145,134,96,0,45,0,45,0,45,0,45,0,45,0,45,134,96,0,45,0,45,0,45,0,45,0,45,0,45,134,96,107,88,0,45,15,50,92,86,27,59,245,117,156,108,112,101,0,45,47,66,65,88,44,53,89,60,36,52,0,45,0,45,0,45,0,45,36,52,53,52,29,46,0,45,13,47,16,44,24,48
15,Portage Park,197,120,86,96,40,76,40,76,40,76,0,47,0,47,0,47,46,75,0,47,0,47,0,47,0,47,0,47,0,47,46,75,46,75,0,47,46,75,0,47,0,47,111,86,58,71,0,47,0,47,0,47,0,47,58,71,53,68,0,47,0,47,0,47,0,47,0,47,0,47,53,68,42,67,0,47,31,66,11,49,11,49
16,Irving Park,338,138,77,92,0,47,0,47,0,47,0,47,0,47,0,47,77,92,33,72,33,72,0,47,0,47,33,72,0,47,44,75,44,75,0,47,0,47,44,75,0,47,261,112,163,88,119,84,40,64,0,47,79,68,44,53,98,81,25,52,0,47,0,47,0,47,0,47,25,52,73,78,39,67,0,47,0,47,39,67,34,61
17,Dunning,78,66,24,45,16,44,16,44,16,44,0,40,0,40,0,40,8,41,0,40,0,40,0,40,0,40,0,40,0,40,8,41,8,41,0,40,8,41,0,40,0,40,54,63,29,53,20,52,0,40,0,40,20,52,9,41,25,53,0,40,0,40,0,40,0,40,0,40,0,40,25,53,25,53,0,40,0,40,25,53,0,40
18,Montclare,147,63,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,147,63,111,77,55,53,0,23,0,23,55,53,56,52,36,30,0,23,0,23,0,23,0,23,0,23,0,23,36,30,36,30,0,23,0,23,36,30,0,23
19,Belmont Cragin,862,233,343,148,55,84,55,84,41,81,14,54,0,52,0,52,288,134,0,52,0,52,0,52,0,52,0,52,0,52,288,134,245,125,15,56,53,79,177,108,43,71,519,188,280,145,215,130,0,52,34,74,181,118,65,82,239,129,35,63,8,52,0,52,0,52,8,52,27,61,204,124,83,78,10,53,8,52,65,77,121,108
20,Hermosa,32,44,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,32,44,19,40,19,40,0,29,0,29,19,40,0,29,13,35,13,35,0,29,0,29,0,29,0,29,13,35,0,29,0,29,0,29,0,29,0,29,0,29
21,Avondale,335,151,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,335,151,252,136,152,112,30,61,37,49,85,96,100,85,83,76,0,38,0,38,0,38,0,38,0,38,0,38,83,76,67,72,0,38,31,59,36,55,16,45
22,Logan Square,1149,234,516,170,139,99,72,85,7,57,56,84,9,58,67,76,377,149,41,71,41,71,23,66,18,62,0,57,0,57,336,143,318,140,84,86,73,76,161,111,18,63,633,171,371,132,112,89,33,68,18,61,61,78,259,114,262,118,32,62,8,56,8,56,0,57,0,57,24,63,230,115,168,106,40,85,36,64,92,80,62,66
23,Humboldt Park,5063,386,1999,288,303,117,180,92,10,51,82,73,88,75,123,79,1696,273,177,107,80,82,24,62,56,72,0,51,97,85,1519,264,1312,250,151,109,455,166,706,201,207,92,3064,327,1096,227,512,158,56,64,166,108,290,117,584,170,1968,275,375,157,163,118,28,64,0,51,135,112,212,116,1593,261,758,183,72,75,232,117,454,141,835,198
24,West Town,1485,243,602,175,65,84,44,77,0,62,0,62,44,77,21,70,537,165,77,86,35,69,0,62,35,69,0,62,42,81,460,153,357,142,0,62,169,111,188,101,103,91,883,183,397,126,179,95,54,80,29,62,96,81,218,110,486,149,60,72,42,71,19,67,14,65,9,63,18,63,426,144,281,131,23,68,61,93,197,106,145,103
25,Austin,19369,658,5342,486,798,209,514,185,11,62,94,84,409,170,284,115,4544,447,558,171,420,147,109,95,84,77,227,110,138,101,3986,421,3153,385,390,158,1059,240,1704,281,833,202,14027,635,5178,444,1945,306,159,95,383,140,1403,264,3233,353,8849,590,1434,272,613,176,57,75,106,92,450,155,821,206,7415,552,4273,437,676,193,750,199,2847,360,3142,375
26,West Garfield Park,3972,271,1673,216,99,56,68,51,11,37,11,38,46,47,31,41,1574,211,212,105,157,94,11,38,76,76,70,60,55,56,1362,197,1163,188,153,78,421,122,589,135,199,79,2299,238,649,142,259,90,29,47,30,44,200,79,390,109,1650,223,241,93,155,77,0,35,44,48,111,67,86,60,1409,204,969,174,102,75,199,89,668,151,440,120
27,East Garfield Park,4300,288,1849,236,219,85,132,73,7,38,20,43,105,69,87,57,1630,229,181,90,125,76,0,38,73,66,52,52,56,61,1449,218,1226,199,132,85,549,155,545,149,223,92,2451,259,833,169,406,124,55,45,72,68,279,101,427,128,1618,219,247,100,147,76,38,48,29,43,80,67,100,71,1371,213,977,190,69,57,248,109,660,156,394,105
28,Near West Side,3225,314,1130,201,0,52,0,52,0,52,0,52,0,52,0,52,1130,201,159,103,102,91,0,52,70,83,32,63,57,69,971,184,862,175,116,78,315,113,431,132,109,77,2095,265,761,161,306,116,150,91,13,53,143,86,455,123,1334,233,184,99,120,93,51,78,15,56,54,69,64,60,1150,213,674,154,45,66,89,71,540,139,476,154
29,North Lawndale,7220,390,3146,300,286,109,138,77,1,41,37,53,100,68,148,86,2860,288,229,101,186,93,58,62,16,46,112,78,43,59,2631,280,2277,266,268,106,778,175,1231,201,354,117,4074,329,1257,202,573,143,101,63,201,85,271,108,684,149,2817,296,367,121,162,87,33,51,0,43,129,82,205,90,2450,285,1456,225,131,74,255,110,1070,196,994,186
30,South Lawndale,408,108,109,70,0,48,0,48,0,48,0,48,0,48,0,48,109,70,7,49,0,48,0,48,0,48,0,48,7,49,102,69,48,56,2,48,19,50,27,52,54,61,299,98,140,82,65,70,0,48,0,48,65,70,75,61,159,78,35,57,11,50,11,50,0,48,0,48,24,55,124,69,77,63,36,51,0,48,41,59,47,54
31,Lower West Side,164,76,91,66,0,42,0,42,0,42,0,42,0,42,0,42,91,66,0,42,0,42,0,42,0,42,0,42,0,42,91,66,81,65,0,42,29,51,52,58,10,43,73,56,41,49,41,49,21,45,0,42,20,46,0,42,32,50,14,45,14,45,0,42,0,42,14,45,0,42,18,45,18,45,0,42,0,42,18,45,0,42
32,Loop,334,152,59,57,5,33,0,30,0,30,0,30,0,30,5,33,54,55,0,30,0,30,0,30,0,30,0,30,0,30,54,55,33,44,18,39,0,30,15,35,21,41,275,143,206,132,52,82,0,30,52,82,0,30,154,114,69,65,0,30,0,30,0,30,0,30,0,30,0,30,69,65,34,59,34,59,0,30,0,30,35,40
33,Near South Side,948,216,125,92,0,24,0,24,0,24,0,24,0,24,0,24,125,92,0,24,0,24,0,24,0,24,0,24,0,24,125,92,125,92,35,47,0,24,90,83,0,24,823,208,383,145,130,84,35,42,34,53,61,61,253,117,440,175,199,119,124,87,0,24,0,24,124,87,75,81,241,140,123,122,75,119,0,24,48,42,118,73
34,Armour Square,296,83,165,69,0,27,0,27,0,27,0,27,0,27,0,27,165,69,23,35,12,31,12,31,0,27,0,27,11,30,142,63,88,51,11,29,48,45,29,33,54,52,131,63,47,45,0,27,0,27,0,27,0,27,47,45,84,58,0,27,0,27,0,27,0,27,0,27,0,27,84,58,39,43,3,26,0,27,36,42,45,45
35,Douglas,2827,270,818,172,48,59,34,56,0,35,0,35,34,56,14,39,770,165,102,75,91,73,16,40,0,35,75,70,11,37,668,151,535,137,148,89,116,66,271,103,133,75,2009,258,706,150,181,88,50,49,22,43,109,73,525,136,1303,220,178,82,82,70,0,35,0,35,82,70,96,57,1125,204,638,142,98,62,129,62,411,125,487,142
36,Oakland,1475,169,631,149,97,51,38,40,16,30,0,19,22,33,59,35,534,143,39,37,23,28,14,27,0,19,9,21,16,30,495,143,421,131,77,49,80,69,264,116,74,58,844,149,304,99,176,84,35,36,0,19,141,78,128,64,540,132,34,30,14,28,0,19,0,19,14,28,20,22,506,129,345,103,119,76,24,34,202,88,161,82
37,Fuller Park,504,102,166,76,22,21,11,20,0,16,0,16,11,20,11,17,144,75,16,27,0,16,0,16,0,16,0,16,16,27,128,71,106,71,0,16,29,38,77,61,22,22,338,88,104,57,60,50,21,26,0,16,39,44,44,30,234,75,55,48,38,46,12,25,0,16,26,41,17,19,179,66,124,58,9,19,31,35,84,41,55,31
38,Grand Boulevard,4345,306,1301,220,48,51,27,50,0,43,11,45,16,47,21,45,1253,218,85,69,80,69,0,43,7,45,73,67,5,42,1168,210,956,192,170,94,199,96,587,149,212,92,3044,284,1101,200,513,142,178,90,120,77,215,94,588,149,1943,249,250,115,117,90,5,42,38,68,74,72,133,80,1693,232,1043,199,254,109,170,71,619,176,650,144
39,Kenwood,2795,312,595,156,15,32,0,31,0,31,0,31,0,31,15,32,580,155,16,36,2,33,2,33,0,31,0,31,14,32,564,152,542,152,98,66,159,83,285,118,22,37,2200,290,999,205,515,155,169,87,84,62,262,118,484,139,1201,222,195,84,45,49,5,30,0,31,40,48,150,73,1006,203,526,147,84,64,51,55,391,133,480,149
40,Washington Park,2508,213,1098,174,55,44,40,40,0,27,19,27,21,40,15,32,1043,171,87,52,65,49,9,29,19,31,37,42,22,33,956,165,871,157,172,83,218,79,481,117,85,60,1410,188,345,103,126,68,24,36,11,26,91,62,219,76,1065,172,188,84,97,62,30,42,7,27,60,47,91,59,877,158,586,131,61,46,95,62,430,111,291,94
41,Hyde Park,1675,247,316,136,21,52,0,38,0,38,0,38,0,38,21,52,295,131,0,38,0,38,0,38,0,38,0,38,0,38,295,131,285,130,145,107,0,38,140,84,10,39,1359,217,649,147,275,113,55,64,43,56,177,91,374,103,710,168,101,75,31,44,13,41,0,38,18,41,70,69,609,163,298,121,28,58,30,58,240,102,311,119
42,Woodlawn,4495,329,1263,192,128,76,62,62,0,36,0,36,62,62,66,56,1135,181,75,65,57,59,6,39,0,36,51,57,18,46,1060,174,855,163,151,85,225,84,479,134,205,87,3232,310,1041,217,494,144,91,66,217,102,186,88,547,152,2191,273,283,116,61,57,25,43,14,41,22,47,222,106,1908,248,1150,205,57,48,294,124,799,181,758,176
43,South Shore,9370,571,2358,339,163,90,90,75,27,50,0,44,63,70,73,66,2195,327,141,97,105,93,34,60,20,53,51,77,36,53,2054,316,1902,310,484,166,518,175,900,220,152,77,7012,530,2502,331,980,219,181,113,90,75,709,181,1522,253,4510,465,908,209,433,143,147,92,44,62,242,113,475,158,3602,429,2245,348,369,165,402,158,1474,272,1357,273
44,Chatham,7584,458,1856,314,255,114,122,83,19,42,37,52,66,70,133,81,1601,299,169,104,97,78,65,72,0,37,32,43,72,78,1432,277,1256,264,258,128,447,169,551,181,176,103,5728,449,2239,285,804,200,81,77,129,94,594,169,1435,230,3489,391,558,160,191,108,14,42,15,44,162,103,367,121,2931,362,1702,302,135,85,410,165,1157,251,1229,223
45,Avalon Park,2341,234,385,115,46,37,41,34,0,19,26,32,15,23,5,19,339,108,43,43,29,35,0,19,0,19,29,35,14,26,296,114,251,112,32,35,42,50,177,97,45,51,1956,229,927,154,336,116,22,26,55,54,259,109,591,129,1029,195,275,125,129,97,0,19,0,19,129,97,146,79,754,174,300,110,0,19,59,51,241,99,454,130
46,South Chicago,5117,394,1363,230,108,71,67,63,0,37,56,61,11,41,41,47,1255,220,84,70,59,67,0,37,18,46,41,60,25,42,1171,211,927,190,144,85,311,114,472,133,244,123,3754,358,1699,302,616,191,73,63,122,111,421,156,1083,247,2055,324,453,153,178,102,0,37,0,37,178,102,275,113,1602,275,950,232,115,98,138,87,697,192,652,164
47,Burnside,727,105,249,113,86,62,48,55,0,11,0,11,48,55,38,31,163,94,0,11,0,11,0,11,0,11,0,11,0,11,163,94,163,94,15,27,92,69,56,51,0,11,478,108,215,84,41,44,0,11,8,15,33,39,174,70,263,97,123,60,62,43,28,31,0,11,34,33,61,54,140,80,49,39,8,17,10,17,31,30,91,68
48,Calumet Heights,3569,215,322,118,33,37,10,30,0,27,10,30,0,27,23,34,289,115,58,49,32,37,0,27,15,37,17,36,26,38,231,106,197,105,25,41,14,29,158,98,34,33,3247,205,1836,233,684,177,129,88,93,55,462,154,1152,173,1411,226,139,100,49,44,0,27,4,27,45,43,90,91,1272,215,594,157,41,40,114,68,439,139,678,163
49,Roseland,10051,435,1964,256,220,97,151,89,13,45,98,80,40,49,69,54,1744,248,305,135,282,133,30,54,35,55,217,123,23,46,1439,215,1171,192,93,76,263,95,815,167,268,96,8087,429,3835,340,1457,261,73,59,355,147,1029,232,2378,263,4252,380,603,152,237,116,74,77,0,41,163,98,366,107,3649,359,1881,288,239,111,364,140,1278,228,1768,242
50,Pullman,1586,175,408,134,33,35,33,35,0,19,20,31,13,25,0,19,375,130,51,55,40,53,40,53,0,19,0,19,11,24,324,124,271,117,79,69,86,63,106,68,53,40,1178,165,396,111,154,77,35,38,44,47,75,52,242,78,782,140,101,62,80,58,60,54,0,19,20,30,21,24,681,137,262,94,51,42,39,60,172,70,419,119
51,South Deering,2458,190,703,170,197,107,37,42,0,25,7,25,30,42,160,101,506,150,46,42,21,30,0,25,0,25,21,30,25,36,460,143,409,131,38,46,153,104,218,101,51,43,1755,181,875,171,255,113,0,25,31,53,224,105,620,141,880,172,62,59,0,25,0,25,0,25,0,25,62,59,818,165,463,127,45,42,81,81,337,111,355,122
52,East Side,199,96,101,74,0,29,0,29,0,29,0,29,0,29,0,29,101,74,0,29,0,29,0,29,0,29,0,29,0,29,101,74,101,74,0,29,47,60,54,51,0,29,98,69,66,57,58,56,0,29,40,53,18,34,8,27,32,48,0,29,0,29,0,29,0,29,0,29,0,29,32,48,25,48,0,29,25,48,0,29,7,30
53,West Pullman,6357,357,1727,269,134,94,117,91,0,39,52,75,65,65,17,41,1593,260,184,88,133,73,31,50,0,39,102,71,51,62,1409,252,1170,238,172,106,321,123,677,186,239,120,4630,318,2166,268,644,178,42,48,93,60,509,164,1522,208,2464,303,455,140,213,106,31,50,10,40,172,97,242,95,2009,285,1020,225,134,98,271,114,615,185,989,203
54,Riverdale,1663,178,939,167,62,49,47,45,0,16,18,30,29,37,15,24,877,178,97,75,68,56,22,33,21,36,25,31,29,49,780,163,690,156,65,48,157,97,468,133,90,61,724,154,88,61,17,29,0,16,0,16,17,29,71,53,636,155,137,95,68,74,0,16,0,16,68,74,69,60,499,135,389,118,38,45,135,79,216,90,110,74
55,Hegewisch,253,161,86,93,0,19,0,19,0,19,0,19,0,19,0,19,86,93,58,87,58,87,0,19,0,19,58,87,0,19,28,36,28,36,0,19,16,29,12,24,0,19,167,139,0,19,0,19,0,19,0,19,0,19,0,19,167,139,49,81,0,19,0,19,0,19,0,19,49,81,118,116,118,116,0,19,0,19,118,116,0,19
56,Garfield Ridge,502,104,66,67,5,41,0,42,0,42,0,42,0,42,5,41,61,67,0,42,0,42,0,42,0,42,0,42,0,42,61,67,50,65,0,42,30,63,20,44,11,44,436,95,271,95,127,87,0,42,40,53,87,80,144,63,165,78,19,46,0,42,0,42,0,42,0,42,19,46,146,74,103,68,16,47,14,45,73,58,43,51
57,Archer Heights,46,55,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,46,55,24,44,24,44,0,27,24,44,0,27,0,27,22,44,0,27,0,27,0,27,0,27,0,27,0,27,22,44,0,27,0,27,0,27,0,27,22,44
58,Brighton Park,179,106,68,79,0,43,0,43,0,43,0,43,0,43,0,43,68,79,26,52,0,43,0,43,0,43,0,43,26,52,42,73,42,73,38,73,0,43,4,43,0,43,111,83,25,53,22,54,22,54,0,43,0,43,3,43,86,74,23,54,23,54,0,43,0,43,23,54,0,43,63,66,61,67,0,43,0,43,61,67,2,42
59,McKinley Park,131,85,68,60,0,25,0,25,0,25,0,25,0,25,0,25,68,60,0,25,0,25,0,25,0,25,0,25,0,25,68,60,68,60,0,25,12,32,56,56,0,25,63,65,25,44,0,25,0,25,0,25,0,25,25,44,38,54,38,54,30,52,30,52,0,25,0,25,8,26,0,25,0,25,0,25,0,25,0,25,0,25
60,Bridgeport,177,82,21,47,0,37,0,37,0,37,0,37,0,37,0,37,21,47,0,37,0,37,0,37,0,37,0,37,0,37,21,47,21,47,0,37,21,47,0,37,0,37,156,80,106,67,49,52,16,38,10,36,23,50,57,54,50,54,0,37,0,37,0,37,0,37,0,37,0,37,50,54,43,54,0,37,7,37,36,52,7,36
61,New City,2549,240,851,169,88,64,54,59,0,47,0,47,54,59,34,54,763,160,119,81,50,56,6,46,25,52,19,50,69,73,644,147,597,143,106,70,191,82,300,114,47,57,1698,215,560,130,305,99,20,47,82,70,203,90,255,94,1138,196,251,94,52,60,16,49,0,47,36,60,199,84,887,170,612,151,82,78,95,77,435,125,275,103
62,West Elsdon,147,95,11,32,0,27,0,27,0,27,0,27,0,27,0,27,11,32,0,27,0,27,0,27,0,27,0,27,0,27,11,32,11,32,0,27,0,27,11,32,0,27,136,94,39,57,0,27,0,27,0,27,0,27,39,57,97,78,0,27,0,27,0,27,0,27,0,27,0,27,97,78,34,42,0,27,0,27,34,42,63,69
63,Gage Park,399,106,86,62,5,40,5,40,0,41,0,41,5,40,0,41,81,63,0,41,0,41,0,41,0,41,0,41,0,41,81,63,81,63,0,41,0,41,81,63,0,41,313,98,92,61,77,58,10,40,18,49,49,53,15,38,221,104,44,58,21,50,0,41,0,41,21,50,23,45,177,88,109,74,9,38,9,41,91,75,68,60
64,Clearing,34,42,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,34,42,15,33,15,33,0,31,6,32,9,33,0,31,19,41,0,31,0,31,0,31,0,31,0,31,0,31,19,41,0,31,0,31,0,31,0,31,19,41
65,West Lawn,251,98,81,75,0,34,0,34,0,34,0,34,0,34,0,34,81,75,0,34,0,34,0,34,0,34,0,34,0,34,81,75,74,74,0,34,31,49,43,65,7,34,170,71,113,68,38,48,22,48,16,32,0,34,75,56,57,43,11,37,0,34,0,34,0,34,0,34,11,37,46,38,31,37,8,35,0,34,23,36,15,36
66,Chicago Lawn,6521,418,1884,295,191,100,120,81,0,49,31,58,89,72,71,75,1693,286,140,91,106,86,35,73,32,57,39,58,34,54,1553,271,1457,267,242,114,556,183,659,176,96,78,4637,390,1778,279,940,207,219,114,149,99,572,161,838,196,2859,354,473,163,225,115,0,49,11,51,214,113,248,127,2386,323,1485,275,355,147,299,142,831,207,901,192
67,West Englewood,7209,358,2451,277,421,115,212,90,0,48,26,51,186,87,209,88,2030,260,262,118,173,100,87,90,35,55,51,57,89,76,1768,233,1502,222,138,77,552,138,812,181,266,87,4758,321,1724,226,562,145,60,63,259,102,243,101,1162,185,3034,283,544,130,215,81,43,57,72,56,100,68,329,110,2490,268,1328,207,134,70,241,93,953,182,1162,180
68,Englewood,6095,367,2560,289,220,99,119,74,24,48,58,61,37,44,101,70,2340,277,196,103,159,96,53,59,52,70,54,58,37,48,2144,266,1760,247,299,110,559,148,902,191,384,116,3535,312,1071,192,340,113,32,52,89,66,219,88,731,174,2464,278,299,109,107,67,0,36,25,43,82,63,192,90,2165,268,1218,222,223,96,148,87,847,186,947,181
69,Greater Grand Crossing,7004,412,2122,286,151,86,104,79,12,40,25,53,67,69,47,49,1971,276,189,118,160,116,58,66,15,47,87,96,29,40,1782,259,1497,241,263,109,410,118,824,195,285,111,4882,389,1411,216,505,134,109,74,22,42,374,121,906,180,3471,355,640,186,287,137,31,47,30,54,226,127,353,126,2831,318,1743,258,209,90,334,122,1200,211,1088,197
70,Ashburn,5458,355,324,133,48,62,20,49,0,41,0,41,20,49,28,55,276,123,46,69,35,67,0,41,35,67,0,41,11,43,230,112,213,109,24,47,87,84,102,77,17,46,5134,350,3162,352,1626,281,209,113,405,173,1012,227,1536,281,1972,301,261,118,81,74,23,45,5,40,53,63,180,100,1711,290,1049,241,136,105,154,96,759,203,662,193
71,Auburn Gresham,11128,470,2814,323,214,91,118,67,0,46,29,51,89,63,96,75,2600,316,146,104,146,104,52,69,29,63,65,62,0,46,2454,313,2107,302,344,132,725,186,1038,226,347,111,8314,447,3265,354,1213,235,185,95,155,87,873,198,2052,277,5049,415,796,185,435,161,63,80,0,46,372,140,361,111,4253,391,2209,283,242,121,513,168,1454,232,2044,291
72,Beverly,1852,199,126,67,0,29,0,29,0,29,0,29,0,29,0,29,126,67,47,40,47,40,0,29,0,29,47,40,0,29,79,61,57,57,0,29,35,53,22,36,22,37,1726,213,1169,191,672,164,137,81,163,97,372,123,497,126,557,156,79,74,64,70,0,29,0,29,64,70,15,37,478,143,254,113,57,66,12,32,185,102,224,88
