area_id,area_name,c18120001,c18120001_moe,c18120002,c18120002_moe,c18120003,c18120003_moe,c18120004,c18120004_moe,c18120005,c18120005_moe,c18120006,c18120006_moe,c18120007,c18120007_moe,c18120008,c18120008_moe,c18120009,c18120009_moe,c18120010,c18120010_moe,c18120011,c18120011_moe
56,Garfield Ridge,20994,788,16965,737,15160,713,523,157,14637,713,1805,295,125,84,1680,286,4029,433,877,209,3152,399
57,Archer Heights,8163,524,6435,455,5407,414,183,72,5224,416,1028,225,25,45,1003,230,1728,224,229,86,1499,225
58,Brighton Park,26768,1158,19991,970,17358,920,525,149,16833,919,2633,360,134,75,2499,355,6777,619,996,240,5781,559
59,McKinley Park,10581,612,8148,521,7080,476,264,134,6816,471,1068,220,41,44,1027,217,2433,337,460,145,1973,328
60,Bridgeport,22266,959,17832,837,15559,777,510,133,15049,769,2273,354,137,87,2136,345,4434,457,776,163,3658,421
61,New City,25724,1259,18215,959,14065,822,619,189,13446,798,4150,473,281,105,3869,457,7509,683,1662,263,5847,611
62,West Elsdon,11817,641,9073,566,7598,488,204,85,7394,491,1475,288,33,34,1442,281,2744,376,226,92,2518,371
63,Gage Park,24181,1207,17991,1026,14818,929,333,126,14485,931,3173,450,106,61,3067,441,6190,529,712,179,5478,511
64,Clearing,14180,709,11833,690,10769,662,455,131,10314,671,1064,266,78,59,986,261,2347,301,408,132,1939,274
65,West Lawn,19888,878,14748,753,13383,747,403,143,12980,737,1365,274,80,68,1285,259,5140,544,722,179,4418,525
66,Chicago Lawn,32542,1343,22117,1116,18342,991,693,158,17649,983,3775,479,188,86,3587,472,10425,784,2473,372,7952,704
67,West Englewood,20917,1069,13157,764,8493,585,640,166,7853,581,4664,487,238,90,4426,477,7760,704,2342,330,5418,622
68,Englewood,16518,990,9573,702,6851,561,438,117,6413,555,2722,369,245,101,2477,352,6945,656,2202,296,4743,570
69,Greater Grand Crossing,19236,944,13867,781,10730,694,777,180,9953,704,3137,387,287,113,2850,369,5369,597,1866,302,3503,473
70,Ashburn,26779,1090,20577,950,18188,884,569,156,17619,889,2389,370,165,86,2224,356,6202,627,1187,300,5015,587
71,Auburn Gresham,28827,1254,20113,1064,14534,885,738,215,13796,896,5579,586,426,146,5153,573,8714,739,3078,406,5636,634
72,Beverly,12632,554,10186,463,9402,452,337,106,9065,448,784,172,20,32,764,171,2446,330,440,132,2006,308
73,Washington Heights,14888,813,11017,705,8670,598,474,139,8196,594,2347,372,127,64,2220,363,3871,475,1387,258,2484,399
74,Mount Greenwood,11672,501,9702,502,8857,469,298,112,8559,462,845,202,34,35,811,199,1970,280,191,73,1779,274
75,Morgan Park,13452,697,10656,628,9027,632,214,101,8813,622,1629,321,221,124,1408,292,2796,434,887,265,1909,299
76,O'Hare,9523,685,7421,617,6909,596,233,127,6676,600,512,177,45,54,467,172,2102,410,274,163,1828,396
77,Edgewater,41691,1320,33140,1162,30156,1141,962,238,29194,1126,2984,439,178,104,2806,429,8551,781,1594,346,6957,698
