area_id,area_name,b08137001,b08137001_moe,b08137002,b08137002_moe,b08137003,b08137003_moe,b08137004,b08137004_moe,b08137005,b08137005_moe,b08137006,b08137006_moe,b08137007,b08137007_moe,b08137008,b08137008_moe,b08137009,b08137009_moe,b08137010,b08137010_moe,b08137011,b08137011_moe,b08137012,b08137012_moe,b08137013,b08137013_moe,b08137014,b08137014_moe,b08137015,b08137015_moe,b08137016,b08137016_moe,b08137017,b08137017_moe,b08137018,b08137018_moe,b08137019,b08137019_moe,b08137020,b08137020_moe,b08137021,b08137021_moe
63,Gage Park,14650,936,9026,833,5624,724,8536,698,5827,624,2709,435,2704,475,1353,345,1351,410,2776,399,1467,299,1309,274,299,162,260,147,39,74,181,99,63,57,118,84,154,74,56,45,98,68
64,Clearing,10930,687,8388,620,2542,457,7249,652,5568,610,1681,352,1457,327,1224,303,233,159,1519,282,1204,248,315,141,454,178,198,111,256,136,119,72,94,60,25,50,132,87,100,72,32,59
65,West Lawn,13427,753,10849,739,2578,518,8908,594,7494,565,1414,373,2193,440,1652,363,541,268,1625,289,1141,253,484,147,238,122,168,112,70,57,88,71,88,71,0,34,375,213,306,203,69,66
66,Chicago Lawn,18273,989,10162,810,8111,803,10493,771,6265,605,4228,542,2940,512,1554,343,1386,403,3779,450,1731,305,2048,364,411,195,211,158,200,123,57,60,57,60,0,49,593,201,344,149,249,139
67,West Englewood,8695,584,4648,473,4047,451,4057,399,2622,340,1435,261,805,203,430,161,375,129,3097,385,1292,232,1805,336,225,107,92,84,133,81,137,86,67,69,70,67,374,120,145,80,229,99
68,Englewood,7119,581,2619,412,4500,479,3401,396,1453,272,1948,324,800,224,347,153,453,164,2477,347,679,187,1798,306,195,95,39,48,156,89,19,41,8,37,11,40,227,92,93,61,134,77
69,Greater Grand Crossing,10650,690,4483,497,6167,570,5317,496,2761,375,2556,363,840,245,270,114,570,217,3582,449,1035,250,2547,369,366,173,137,100,229,172,79,74,44,60,35,58,466,151,236,115,230,108
70,Ashburn,18193,868,16131,881,2062,484,13585,771,12072,772,1513,440,1742,352,1608,341,134,90,2252,393,1928,373,324,148,230,97,230,97,0,41,78,80,78,80,0,41,306,132,215,106,91,85
71,Auburn Gresham,15018,909,7974,771,7044,638,7771,675,5107,575,2664,399,1309,297,813,231,496,190,5137,546,1603,297,3534,482,216,117,71,77,145,95,208,111,104,97,104,70,377,142,276,129,101,69
72,Beverly,9766,470,8432,450,1334,299,6722,432,5813,403,909,248,659,168,483,140,176,95,1650,243,1432,224,218,101,119,61,94,50,25,48,129,56,123,55,6,28,487,151,487,151,0,29
73,Washington Heights,8914,578,6327,519,2587,439,5423,471,4024,448,1399,282,656,196,462,146,194,135,2506,382,1566,284,940,264,87,69,87,69,0,33,90,66,90,66,0,33,152,92,98,62,54,69
74,Mount Greenwood,8741,487,8093,476,648,220,7312,468,6708,444,604,216,626,187,607,185,19,31,552,161,527,155,25,47,69,52,69,52,0,25,19,37,19,37,0,25,163,81,163,81,0,25
75,Morgan Park,9187,635,7552,647,1635,335,6445,595,5470,595,975,253,503,146,477,142,26,35,1539,259,1125,242,414,142,130,68,113,65,17,37,97,62,97,62,0,31,473,183,270,112,203,150
76,O'Hare,7175,597,3519,587,3656,530,5213,506,2642,454,2571,477,673,293,491,259,182,122,689,221,228,119,461,184,106,94,36,67,70,76,253,185,91,128,162,140,241,139,31,55,210,135
77,Edgewater,30220,1130,12890,928,17330,1025,11052,765,5991,592,5061,558,2251,423,1312,312,939,284,12426,847,3778,477,8648,767,1596,343,401,137,1195,319,1159,264,379,121,780,236,1736,309,1029,230,707,216
