area_id,area_name,c18131001,c18131001_moe,c18131002,c18131002_moe,c18131003,c18131003_moe,c18131004,c18131004_moe,c18131005,c18131005_moe,c18131006,c18131006_moe,c18131007,c18131007_moe,c18131008,c18131008_moe,c18131009,c18131009_moe,c18131010,c18131010_moe,c18131011,c18131011_moe,c18131012,c18131012_moe,c18131013,c18131013_moe,c18131014,c18131014_moe,c18131015,c18131015_moe,c18131016,c18131016_moe
14,Albany Park,52900,2050,4256,1031,441,219,3815,990,7049,1310,782,224,6267,1288,6502,1101,902,295,5600,1046,7664,1218,750,232,6914,1161,27429,1972,1851,312,25578,1891
15,Portage Park,63405,1848,4113,909,419,194,3694,840,4496,1089,739,271,3757,940,5975,1129,867,237,5108,1057,5981,1079,916,249,5065,982,42840,1915,3609,427,39231,1838
16,Irving Park,56115,1946,3256,778,477,207,2779,706,4824,917,885,249,3939,844,6405,1063,804,213,5601,1012,5145,888,724,259,4421,778,36485,1998,2973,517,33512,1805
17,Dunning,41996,1248,1491,426,173,95,1318,396,2614,635,372,147,2242,577,2708,557,549,159,2159,502,3749,713,601,172,3148,656,31434,1423,2608,329,28826,1396
18,Montclare,12204,834,714,318,163,104,551,269,908,346,89,59,819,334,1414,495,233,109,1181,453,2124,653,482,273,1642,533,7044,745,651,171,6393,725
19,Belmont Cragin,77540,2541,5842,1156,600,194,5242,1090,9923,1516,1190,345,8733,1390,12898,1780,1680,394,11218,1643,11909,1560,1243,287,10666,1458,36968,2290,3510,498,33458,2170
20,Hermosa,25046,1271,1594,560,399,249,1195,444,3401,752,444,174,2957,698,4110,875,590,214,3520,807,4395,1083,486,289,3909,998,11546,1255,1241,318,10305,1162
21,Avondale,41433,1880,2275,599,156,104,2119,578,4744,1125,358,163,4386,1100,6335,1205,378,149,5957,1184,5699,1153,458,249,5241,1081,22380,1590,1737,333,20643,1544
22,Logan Square,73405,1988,5513,866,491,180,5022,804,9552,1282,1007,243,8545,1225,8853,1219,661,182,8192,1171,6878,914,408,154,6470,876,42609,1684,1978,326,40631,1643
23,Humboldt Park,53973,2189,10039,1485,1591,431,8448,1346,8464,1297,2080,366,6384,1178,8854,1344,1678,372,7176,1203,6197,1133,810,246,5387,1051,20419,1708,2566,444,17853,1598
24,West Town,83661,2000,6154,848,815,282,5339,770,8172,1130,1119,264,7053,1076,6741,884,1107,299,5634,762,6395,937,666,201,5729,881,56199,1665,2371,333,53828,1616
25,Austin,97022,2734,12575,1582,2019,417,10556,1397,17127,1829,3820,538,13307,1615,14212,1561,2719,438,11493,1372,10970,1509,1706,345,9264,1329,42138,2078,5152,543,36986,1959
26,West Garfield Park,19268,1306,4267,831,528,150,3739,786,4165,786,1150,256,3015,697,3283,751,604,194,2679,680,2030,528,194,92,1836,492,5523,774,622,188,4901,695
