area_id,area_name,b07012001,b07012001_moe,b07012002,b07012002_moe,b07012003,b07012003_moe,b07012004,b07012004_moe,b07012005,b07012005_moe,b07012006,b07012006_moe,b07012007,b07012007_moe,b07012008,b07012008_moe,b07012009,b07012009_moe,b07012010,b07012010_moe,b07012011,b07012011_moe,b07012012,b07012012_moe,b07012013,b07012013_moe,b07012014,b07012014_moe,b07012015,b07012015_moe,b07012016,b07012016_moe,b07012017,b07012017_moe,b07012018,b07012018_moe,b07012019,b07012019_moe,b07012020,b07012020_moe,b07012021,b07012021_moe,b07012022,b07012022_moe,b07012023,b07012023_moe,b07012024,b07012024_moe
37,Fuller Park,2903,542,1203,441,587,329,1113,331,2618,510,1093,438,450,280,1075,318,254,182,110,70,137,169,7,15,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,31,49,0,16,0,16,31,49
38,Grand Boulevard,22330,1092,6877,868,2770,589,12683,943,18163,1031,5136,732,2119,485,10908,891,3772,738,1570,494,582,275,1620,454,84,80,47,71,14,47,23,49,300,135,123,92,55,68,122,90,11,42,1,41,0,43,10,44
39,Kenwood,17731,890,4261,678,1999,459,11471,823,13812,831,2928,562,1470,361,9414,751,2671,557,763,329,466,253,1442,365,274,179,160,159,46,69,68,50,752,244,289,158,17,34,446,200,222,103,121,96,0,31,101,66
40,Washington Park,10858,824,4737,690,1665,466,4456,630,7682,697,2825,452,1354,432,3503,543,2953,672,1807,568,255,142,891,360,115,137,73,121,42,70,0,27,108,66,32,42,14,29,62,49,0,27,0,27,0,27,0,27
41,Hyde Park,23687,977,4947,721,1356,303,17384,800,17506,903,2621,506,740,210,14145,806,3918,554,1381,382,381,191,2156,342,113,75,31,39,4,37,78,73,1548,308,563,198,182,99,803,198,602,154,351,119,49,56,202,86
42,Woodlawn,23230,1229,7512,909,3913,801,11805,978,18981,1141,5998,863,2946,587,10037,902,3757,658,1252,338,911,405,1594,425,49,53,32,46,17,45,0,36,393,167,208,128,39,70,146,75,50,47,22,38,0,36,28,45
43,South Shore,46029,1947,13945,1334,4689,923,27395,1676,35871,1816,9749,1120,3895,816,22227,1505,9199,1237,3810,829,769,474,4620,799,204,125,46,60,0,44,158,118,623,263,280,205,25,55,318,161,132,108,60,81,0,44,72,84
44,Chatham,32657,1588,9365,1278,3279,669,20013,1369,28320,1605,7292,1118,2913,640,18115,1337,4093,758,1962,614,366,199,1765,456,130,168,111,166,0,37,19,45,114,92,0,37,0,37,114,92,0,37,0,37,0,37,0,37
45,Avalon Park,9471,736,1784,501,823,343,6864,678,8464,733,1422,489,658,314,6384,664,936,271,353,229,137,99,446,170,0,19,0,19,0,19,0,19,71,64,9,22,28,43,34,52,0,19,0,19,0,19,0,19
46,South Chicago,29139,1572,9655,1190,4160,893,15324,1347,24286,1527,8030,1123,3216,779,13040,1192,4160,889,1350,456,802,432,2008,630,121,149,80,135,0,37,41,74,504,324,195,210,100,163,209,195,68,76,0,37,42,65,26,54
