area_id,area_name,b18101f001,b18101f001_moe,b18101f002,b18101f002_moe,b18101f003,b18101f003_moe,b18101f004,b18101f004_moe,b18101f005,b18101f005_moe,b18101f006,b18101f006_moe,b18101f007,b18101f007_moe,b18101f008,b18101f008_moe,b18101f009,b18101f009_moe,b18101f010,b18101f010_moe
55,Hegewisch,740,371,252,182,0,19,252,182,433,218,29,36,404,208,55,64,33,53,22,40
56,Garfield Ridge,5109,968,1536,431,22,53,1514,429,3352,669,144,101,3208,666,221,101,97,78,124,78
57,Archer Heights,3997,809,1400,360,43,43,1357,364,2355,468,127,77,2228,452,242,134,43,45,199,128
58,Brighton Park,11969,1608,4381,764,114,113,4267,752,7284,970,522,198,6762,916,304,127,83,57,221,114
59,McKinley Park,4310,769,1341,350,10,26,1331,347,2829,481,172,96,2657,463,140,83,75,66,65,54
60,Bridgeport,4625,885,1598,484,78,78,1520,454,2815,501,177,102,2638,488,212,122,37,42,175,114
61,New City,8068,1081,2733,513,11,49,2722,513,5071,691,241,134,4830,660,264,111,105,74,159,87
62,West Elsdon,5692,1074,2108,549,21,34,2087,550,3242,612,78,55,3164,603,342,166,110,87,232,144
63,Gage Park,14228,1657,4955,782,101,72,4854,778,8834,1071,396,133,8438,1051,439,154,133,91,306,127
64,Clearing,4704,898,1701,456,39,61,1662,456,2919,527,100,63,2819,528,84,105,77,105,7,32
65,West Lawn,17066,1701,5920,799,101,79,5819,795,10575,1114,292,135,10283,1087,571,231,104,83,467,217
66,Chicago Lawn,17457,1666,6942,909,40,64,6902,906,9987,988,356,156,9631,966,528,183,72,68,456,165
67,West Englewood,425,336,141,134,33,71,108,96,279,222,19,54,260,206,5,49,0,48,5,49
68,Englewood,187,175,82,91,0,36,82,91,99,107,24,52,75,86,6,36,0,36,6,36
69,Greater Grand Crossing,100,79,0,38,0,38,0,38,69,65,0,38,69,65,31,49,10,39,21,42
70,Ashburn,7497,1099,2774,490,22,42,2752,488,4683,754,91,82,4592,753,40,64,32,63,8,41
71,Auburn Gresham,48,64,5,45,0,46,5,45,43,63,0,46,43,63,0,46,0,46,0,46
72,Beverly,60,54,6,29,0,29,6,29,48,49,0,29,48,49,6,29,0,29,6,29
73,Washington Heights,84,77,19,36,10,36,9,34,52,57,10,36,42,48,13,38,13,38,0,33
74,Mount Greenwood,220,167,113,136,0,25,113,136,107,69,14,31,93,60,0,25,0,25,0,25
75,Morgan Park,128,138,47,70,0,31,47,70,81,78,17,41,64,62,0,31,0,31,0,31
76,O'Hare,576,313,179,116,44,61,135,107,337,185,0,38,337,185,60,75,40,70,20,47
77,Edgewater,2725,771,685,305,111,111,574,260,1931,537,276,157,1655,478,109,93,24,53,85,85
