area_id,area_name,b11001a001,b11001a001_moe,b11001a002,b11001a002_moe,b11001a003,b11001a003_moe,b11001a004,b11001a004_moe,b11001a005,b11001a005_moe,b11001a006,b11001a006_moe,b11001a007,b11001a007_moe,b11001a008,b11001a008_moe,b11001a009,b11001a009_moe
63,Gage Park,5425,346,4389,328,3022,318,1367,239,408,134,959,201,1036,178,916,171,120,74
64,Clearing,6949,278,4444,295,2974,278,1470,251,536,169,934,190,2505,270,2244,259,261,118
65,West Lawn,4098,313,2973,277,2207,252,766,169,243,101,523,139,1125,214,1030,207,95,59
66,Chicago Lawn,1962,236,1483,201,999,170,484,128,115,58,369,119,479,132,445,129,34,49
67,West Englewood,134,76,65,61,43,58,22,51,12,50,10,49,69,64,49,55,20,57
68,Englewood,58,52,23,42,0,36,23,42,0,36,23,42,35,45,20,41,15,41
69,Greater Grand Crossing,68,54,26,42,17,41,9,39,0,38,9,39,42,51,9,39,33,50
70,Ashburn,4032,278,2824,265,2062,236,762,181,285,117,477,138,1208,201,1145,195,63,50
71,Auburn Gresham,68,61,45,57,28,54,17,47,7,46,10,47,23,49,23,49,0,46
72,Beverly,4862,186,3342,171,2857,177,485,118,177,77,308,90,1520,187,1411,184,109,66
73,Washington Heights,66,56,38,52,0,33,38,52,0,33,38,52,28,40,18,38,10,35
74,Mount Greenwood,6093,211,4461,232,3697,247,764,184,288,125,476,135,1632,221,1504,207,128,67
75,Morgan Park,2683,174,1691,144,1372,137,319,109,71,52,248,98,992,175,765,157,227,105
76,O'Hare,5087,294,2750,343,2136,337,614,184,371,150,243,124,2337,289,1992,299,345,147
77,Edgewater,19620,653,5902,462,4602,429,1300,245,466,166,834,199,13718,661,10808,617,2910,355
