area_id,area_name,c21001b001,c21001b001_moe,c21001b002,c21001b002_moe,c21001b003,c21001b003_moe,c21001b004,c21001b004_moe,c21001b005,c21001b005_moe,c21001b006,c21001b006_moe,c21001b007,c21001b007_moe,c21001b008,c21001b008_moe,c21001b009,c21001b009_moe,c21001b010,c21001b010_moe,c21001b011,c21001b011_moe,c21001b012,c21001b012_moe,c21001b013,c21001b013_moe,c21001b014,c21001b014_moe,c21001b015,c21001b015_moe
53,West Pullman,20585,1077,8617,695,7048,647,992,224,6056,627,1569,212,793,176,776,153,11968,714,9676,693,199,114,9477,699,2292,257,37,46,2255,256
54,Riverdale,3677,404,1043,239,901,210,134,78,767,219,142,82,76,67,66,52,2634,338,2291,326,15,29,2276,329,343,95,0,16,343,95
55,Hegewisch,717,464,350,313,333,311,1,16,332,311,17,28,0,19,17,28,367,224,367,224,0,19,367,224,0,19,0,19,0,19
56,Garfield Ridge,1611,302,746,163,579,157,46,56,533,154,167,56,69,58,98,58,865,210,639,175,0,42,639,175,226,70,0,42,226,70
57,Archer Heights,138,143,63,63,63,63,0,27,63,63,0,27,0,27,0,27,75,90,75,90,0,27,75,90,0,27,0,27,0,27
58,Brighton Park,329,154,157,105,157,105,0,43,157,105,0,43,0,43,0,43,172,111,159,106,0,43,159,106,13,44,0,43,13,44
59,McKinley Park,343,183,116,78,116,78,2,20,114,78,0,25,0,25,0,25,227,132,227,132,0,25,227,132,0,25,0,25,0,25
60,Bridgeport,477,143,268,114,232,113,33,54,199,103,36,49,16,43,20,44,209,75,180,74,17,44,163,70,29,43,0,37,29,43
61,New City,8479,954,3914,726,3545,719,317,121,3228,712,369,127,89,65,280,106,4565,484,4051,463,0,47,4051,463,514,120,0,47,514,120
62,West Elsdon,401,282,155,149,155,149,0,27,155,149,0,27,0,27,0,27,246,165,246,165,0,27,246,165,0,27,0,27,0,27
63,Gage Park,1317,281,545,153,482,143,24,41,458,142,63,52,20,42,43,51,772,200,665,177,0,41,665,177,107,88,0,41,107,88
64,Clearing,135,112,64,56,48,49,1,27,47,52,16,37,0,31,16,37,71,74,71,74,0,31,71,74,0,31,0,31,0,31
65,West Lawn,812,200,246,77,220,76,37,36,183,78,26,36,9,35,17,34,566,175,402,138,0,34,402,138,164,103,0,34,164,103
66,Chicago Lawn,19885,1142,8157,747,7412,702,584,190,6828,676,745,161,271,98,474,137,11728,713,10426,700,75,78,10351,705,1302,218,25,59,1277,220
67,West Englewood,24099,1055,10468,691,8930,687,717,184,8213,675,1538,208,671,151,867,160,13631,657,10995,634,97,80,10898,629,2636,231,0,48,2636,231
68,Englewood,19481,1038,7864,618,6693,594,776,202,5917,562,1171,217,335,123,836,175,11617,705,9406,657,83,58,9323,656,2211,257,9,37,2202,256
69,Greater Grand Crossing,22857,1016,9617,692,8153,668,867,188,7286,647,1464,219,679,165,785,183,13240,690,10573,646,136,87,10437,643,2667,253,9,39,2658,253
70,Ashburn,16400,996,7703,575,6982,551,795,196,6187,560,721,179,397,153,324,118,8697,633,7804,595,98,95,7706,592,893,167,0,41,893,167
71,Auburn Gresham,35632,1300,14302,846,11846,825,1218,276,10628,770,2456,269,1190,196,1266,202,21330,858,16495,815,178,104,16317,801,4835,341,23,50,4812,343
72,Beverly,5528,546,2519,329,2089,314,238,97,1851,310,430,123,181,72,249,106,3009,353,2445,335,9,31,2436,334,564,125,0,29,564,125
73,Washington Heights,19845,867,8371,659,6598,616,1061,239,5537,592,1773,220,763,144,1010,195,11474,574,8034,537,66,60,7968,542,3440,260,0,33,3440,260
74,Mount Greenwood,722,213,294,124,278,120,45,69,233,107,16,33,15,33,1,22,428,154,400,159,11,28,389,158,28,36,0,25,28,36
75,Morgan Park,11158,786,4854,624,4020,590,513,178,3507,601,834,139,531,123,303,109,6304,458,4786,404,81,74,4705,404,1518,193,0,31,1518,193
76,O'Hare,200,125,115,92,115,92,14,43,101,91,0,38,0,38,0,38,85,67,85,67,0,38,85,67,0,38,0,38,0,38
77,Edgewater,7304,755,3792,534,3359,519,201,126,3158,510,433,159,135,114,298,124,3512,448,3056,418,0,48,3056,418,456,152,0,48,456,152
