area_id,area_name,b18101b001,b18101b001_moe,b18101b002,b18101b002_moe,b18101b003,b18101b003_moe,b18101b004,b18101b004_moe,b18101b005,b18101b005_moe,b18101b006,b18101b006_moe,b18101b007,b18101b007_moe,b18101b008,b18101b008_moe,b18101b009,b18101b009_moe,b18101b010,b18101b010_moe
40,Washington Park,10931,822,3691,474,110,88,3581,463,6247,525,1273,255,4974,455,993,184,599,147,394,125
41,Hyde Park,8927,710,1315,322,18,41,1297,321,6198,519,735,202,5463,517,1414,196,625,160,789,160
42,Woodlawn,21385,1273,5686,723,174,80,5512,715,13033,810,2086,314,10947,718,2666,290,1230,203,1436,227
43,South Shore,44766,2031,10662,1085,334,133,10328,1069,28879,1360,4715,539,24164,1266,5225,423,2516,313,2709,326
44,Chatham,32535,1610,8115,907,233,107,7882,897,19369,1062,3128,449,16241,987,5051,383,2111,303,2940,351
45,Avalon Park,9324,755,1901,353,154,105,1747,327,5598,525,634,200,4964,488,1825,198,579,138,1246,177
46,South Chicago,21552,1529,5907,786,297,118,5610,762,12807,999,1848,315,10959,936,2838,292,1450,245,1388,235
47,Burnside,3488,687,1048,411,112,77,936,374,1990,330,206,88,1784,319,450,70,216,80,234,71
48,Calumet Heights,13632,806,2833,431,196,85,2637,409,7667,530,956,211,6711,492,3132,229,1072,196,2060,248
49,Roseland,43527,1646,10569,869,342,102,10227,856,25662,1087,3908,419,21754,1046,7296,372,3548,322,3748,303
50,Pullman,6179,549,1564,346,83,84,1481,334,3662,335,516,130,3146,305,953,147,302,94,651,114
51,South Deering,10123,824,2621,520,49,41,2572,518,6108,528,935,208,5173,529,1394,197,632,163,762,188
52,East Side,746,377,388,276,34,47,354,245,341,143,9,30,332,140,17,31,17,31,0,29
53,West Pullman,28937,1623,8352,968,448,190,7904,937,16724,1030,2426,390,14298,978,3861,324,1553,251,2308,273
54,Riverdale,6678,731,3001,456,151,99,2850,475,3192,385,522,166,2670,381,485,109,378,91,107,78
55,Hegewisch,1097,616,380,272,0,19,380,272,700,464,77,89,623,394,17,28,0,19,17,28
56,Garfield Ridge,2219,532,617,328,49,57,568,333,1218,280,128,63,1090,265,384,73,132,73,252,69
57,Archer Heights,212,219,74,116,1,25,73,117,138,143,0,27,138,143,0,27,0,27,0,27
58,Brighton Park,573,297,262,172,23,46,239,171,307,150,39,50,268,135,4,43,4,43,0,43
59,McKinley Park,506,284,163,132,0,25,163,132,343,183,51,59,292,150,0,25,0,25,0,25
60,Bridgeport,645,200,168,106,0,37,168,106,412,142,96,57,316,135,65,64,10,35,55,65
61,New City,12790,1386,4337,683,277,119,4060,645,7590,933,1279,244,6311,860,863,182,395,103,468,142
62,West Elsdon,513,298,112,81,12,31,100,74,401,282,1,23,400,282,0,27,0,27,0,27
63,Gage Park,1821,417,504,205,5,40,499,205,1147,265,116,65,1031,249,170,91,60,53,110,86
64,Clearing,151,121,16,34,0,31,16,34,119,109,1,29,118,109,16,37,16,37,0,31
65,West Lawn,1057,317,245,153,0,34,245,153,622,174,81,54,541,166,190,105,67,73,123,85
66,Chicago Lawn,29440,1853,9555,1098,388,189,9167,1063,17838,1079,2506,386,15332,1024,2047,292,919,185,1128,235
67,West Englewood,33570,1572,9474,854,435,127,9039,840,19923,1040,3085,373,16838,988,4173,319,2002,224,2171,276
68,Englewood,28056,1521,8590,835,312,120,8278,811,16089,984,2776,337,13313,895,3377,334,1700,240,1677,282
69,Greater Grand Crossing,31712,1513,9076,859,354,148,8722,835,18616,953,2803,356,15813,910,4020,309,1754,230,2266,266
70,Ashburn,21886,1550,5727,857,198,100,5529,855,14647,991,1097,303,13550,956,1512,229,663,220,849,191
71,Auburn Gresham,48872,1886,13240,1046,536,166,12704,1010,28341,1258,4180,505,24161,1223,7291,451,2846,317,4445,389
72,Beverly,7422,731,1894,339,7,29,1887,336,4534,498,377,131,4157,475,994,202,241,96,753,208
73,Washington Heights,25328,1142,5572,586,174,88,5398,578,14603,805,1955,310,12648,765,5153,308,1889,279,3264,306
74,Mount Greenwood,937,317,215,166,0,25,215,166,678,216,0,25,678,216,44,56,28,37,16,33
75,Morgan Park,14462,1065,3443,613,45,43,3398,608,8744,693,997,281,7747,656,2275,208,1003,173,1272,185
76,O'Hare,200,125,0,38,0,38,0,38,200,125,12,42,188,123,0,38,0,38,0,38
77,Edgewater,7988,889,973,347,11,52,962,347,6218,730,641,197,5577,701,797,209,216,126,581,174
