area_id,area_name,b06010001,b06010001_moe,b06010002,b06010002_moe,b06010003,b06010003_moe,b06010004,b06010004_moe,b06010005,b06010005_moe,b06010006,b06010006_moe,b06010007,b06010007_moe,b06010008,b06010008_moe,b06010009,b06010009_moe,b06010010,b06010010_moe,b06010011,b06010011_moe,b06010012,b06010012_moe,b06010013,b06010013_moe,b06010014,b06010014_moe,b06010015,b06010015_moe,b06010016,b06010016_moe,b06010017,b06010017_moe,b06010018,b06010018_moe,b06010019,b06010019_moe,b06010020,b06010020_moe,b06010021,b06010021_moe,b06010022,b06010022_moe,b06010023,b06010023_moe,b06010024,b06010024_moe,b06010025,b06010025_moe,b06010026,b06010026_moe,b06010027,b06010027_moe,b06010028,b06010028_moe,b06010029,b06010029_moe,b06010030,b06010030_moe,b06010031,b06010031_moe,b06010032,b06010032_moe,b06010033,b06010033_moe,b06010034,b06010034_moe,b06010035,b06010035_moe,b06010036,b06010036_moe,b06010037,b06010037_moe,b06010038,b06010038_moe,b06010039,b06010039_moe,b06010040,b06010040_moe,b06010041,b06010041_moe,b06010042,b06010042_moe,b06010043,b06010043_moe,b06010044,b06010044_moe,b06010045,b06010045_moe,b06010046,b06010046_moe,b06010047,b06010047_moe,b06010048,b06010048_moe,b06010049,b06010049_moe,b06010050,b06010050_moe,b06010051,b06010051_moe,b06010052,b06010052_moe,b06010053,b06010053_moe,b06010054,b06010054_moe,b06010055,b06010055_moe
37,Fuller Park,2290,369,494,164,1796,259,775,168,239,84,366,168,196,83,151,54,45,30,4,14,20,19,1599,356,427,159,1172,246,527,151,110,55,252,144,145,75,103,46,19,18,0,16,16,18,557,123,48,50,509,105,237,81,90,47,97,54,22,23,48,31,7,16,4,14,4,13,9,19,0,16,9,19,0,16,0,16,0,16,0,16,0,16,9,19,0,16,0,16,125,79,19,25,106,65,11,19,39,54,17,23,29,38,0,16,10,19,0,16,0,16
38,Grand Boulevard,17898,836,2493,369,15405,706,4593,460,1808,243,2172,296,1576,269,1581,251,1608,263,482,148,1585,246,12631,734,2224,360,10407,592,3097,371,1100,188,1367,242,1239,252,1242,226,1198,237,281,109,883,180,4615,418,242,87,4373,413,1383,234,571,133,690,162,280,96,297,105,319,110,176,100,657,164,108,64,6,43,102,60,8,44,0,43,74,56,12,45,0,43,8,43,0,43,0,43,544,169,21,45,523,166,105,70,137,95,41,57,45,58,42,49,83,59,25,48,45,54
39,Kenwood,15085,734,1718,328,13367,669,3259,413,1374,248,1648,262,1633,333,1666,265,1098,228,520,152,2169,274,8401,676,1109,262,7292,602,2081,335,739,185,953,200,697,185,947,204,611,164,296,116,968,191,4391,424,232,119,4159,402,738,175,499,158,524,131,519,219,463,145,393,149,188,107,835,182,181,116,0,31,181,116,69,78,0,31,0,31,70,77,5,30,0,31,0,31,37,43,2112,352,377,139,1735,325,371,177,136,93,171,91,347,145,251,104,94,75,36,41,329,92
40,Washington Park,8077,584,1365,269,6712,499,2798,373,749,189,1008,202,610,164,696,148,320,92,236,105,295,103,6319,556,1274,263,5045,469,2276,347,542,162,649,166,420,126,582,139,216,76,170,94,190,79,1607,208,84,54,1523,207,500,140,191,90,346,117,160,77,108,53,96,53,55,49,67,61,38,46,0,27,38,46,8,25,0,27,0,27,0,27,0,27,8,29,6,27,16,30,113,69,7,27,106,67,14,34,16,34,13,34,30,31,6,27,0,27,5,26,22,33
41,Hyde Park,23533,1036,3002,464,20531,840,5270,640,1508,259,2480,328,2646,347,2293,281,1691,256,1222,210,3421,321,9016,611,988,221,8028,549,1898,331,537,153,1050,230,1275,249,899,192,725,172,423,131,1221,205,9720,726,1089,279,8631,620,2553,385,607,158,839,175,904,180,873,170,713,173,588,146,1554,231,412,150,39,45,373,145,107,65,21,52,55,54,0,38,65,64,13,38,27,56,85,71,4385,471,886,211,3499,395,712,180,343,129,536,155,467,142,456,146,240,102,184,80,561,122
42,Woodlawn,19613,909,3891,474,15722,756,4896,480,1756,266,2449,307,1967,282,1722,291,1348,234,584,168,1000,223,13015,868,2808,422,10207,721,3101,412,1145,219,1634,260,1446,242,1243,274,734,193,326,118,578,194,5362,450,724,190,4638,406,1495,241,582,147,759,164,392,124,388,110,418,127,250,113,354,121,105,72,12,36,93,71,43,55,0,36,0,36,0,36,0,36,22,44,4,35,24,52,1131,251,347,131,784,191,257,108,29,45,56,54,129,74,91,75,174,82,4,35,44,45
43,South Shore,38616,1516,6131,785,32485,1196,9554,711,4167,512,4879,549,3952,484,4250,472,2558,407,1154,271,1971,328,27563,1444,5161,709,22402,1125,7127,625,2707,414,3086,446,2641,399,2916,405,1736,331,802,233,1387,291,9443,682,698,217,8745,648,2112,314,1290,258,1444,258,1185,275,1238,273,684,181,299,129,493,146,153,98,38,72,115,80,33,51,3,42,0,44,25,58,10,45,4,44,0,44,40,64,1457,413,234,135,1223,350,282,152,167,149,349,144,101,86,86,67,134,96,53,67,51,72
44,Chatham,26425,1174,4516,623,21909,917,5754,585,2642,384,3868,445,3034,432,2743,375,1968,311,597,171,1303,262,19671,1176,4006,597,15665,881,4128,501,1873,332,2572,390,2082,381,2062,336,1464,295,477,151,1007,237,6302,545,360,150,5942,528,1558,306,734,173,1283,237,874,204,639,169,454,137,104,78,296,109,199,147,65,86,134,97,32,52,0,37,0,37,36,68,20,48,30,55,16,43,0,37,253,131,85,69,168,87,36,48,35,41,13,38,42,46,22,49,20,39,0,37,0,37
45,Avalon Park,8143,558,1491,322,6652,499,1236,252,925,223,974,213,984,238,771,193,588,174,430,127,744,195,5766,557,1393,316,4373,486,882,229,494,171,613,198,641,208,440,155,380,149,315,109,608,183,2195,272,98,61,2097,260,296,123,420,142,351,110,313,136,320,104,180,75,102,66,115,65,13,24,0,19,13,24,0,19,0,19,0,19,0,19,0,19,13,24,0,19,0,19,169,92,0,19,169,92,58,49,11,23,10,22,30,28,11,21,15,29,13,26,21,28
46,South Chicago,22509,1160,5198,646,17311,841,4498,474,2542,355,3093,400,2240,327,2137,334,1301,285,698,187,802,211,14144,1008,3491,524,10653,740,3139,405,1525,291,1652,302,1350,263,1398,284,740,224,565,170,284,107,4696,474,572,176,4124,429,784,182,676,185,845,195,489,173,486,158,356,137,75,65,413,171,262,148,41,75,221,112,71,66,35,45,3,36,36,50,26,52,9,38,10,38,31,49,3407,598,1094,343,2313,365,504,159,306,105,593,167,365,139,227,118,196,101,48,55,74,62
47,Burnside,2652,368,597,269,2055,220,828,200,370,124,250,89,205,115,198,100,68,73,38,41,98,84,1932,403,533,259,1399,264,630,185,185,104,174,84,169,100,96,64,36,43,31,40,78,74,610,151,21,24,589,151,180,98,172,76,76,55,21,26,90,60,32,56,7,10,11,17,10,18,10,18,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,100,88,33,52,67,68,18,27,13,24,0,11,15,30,12,19,0,11,0,11,9,16
48,Calumet Heights,11891,587,1356,286,10535,533,2087,405,1356,263,1547,242,1272,228,1227,257,1271,245,498,156,1277,252,7580,604,1106,277,6474,540,1579,346,636,178,836,187,783,205,747,214,796,205,276,120,821,240,3604,361,176,104,3428,341,344,132,617,205,564,161,456,113,403,129,408,134,210,94,426,149,51,65,0,27,51,65,51,65,0,27,0,27,0,27,0,27,0,27,0,27,0,27,656,263,74,60,582,228,113,99,103,68,147,83,33,41,77,69,67,70,12,30,30,32
49,Roseland,36871,1212,7580,705,29291,1048,7761,659,3783,407,5527,464,3958,428,3787,417,2319,327,717,166,1439,264,25700,1149,6680,652,19020,983,5273,552,2210,333,3241,386,2429,366,2752,375,1774,294,492,138,849,183,10374,674,745,200,9629,642,2340,331,1475,229,2153,293,1462,250,972,197,489,121,225,95,513,169,90,69,25,44,65,64,17,46,0,41,32,52,0,41,16,48,0,41,0,41,0,41,707,213,130,83,577,183,131,79,98,88,101,64,67,68,47,54,56,58,0,41,77,63
