area_id,area_name,b27015001,b27015001_moe,b27015002,b27015002_moe,b27015003,b27015003_moe,b27015004,b27015004_moe,b27015005,b27015005_moe,b27015006,b27015006_moe,b27015007,b27015007_moe,b27015008,b27015008_moe,b27015009,b27015009_moe,b27015010,b27015010_moe,b27015011,b27015011_moe,b27015012,b27015012_moe,b27015013,b27015013_moe,b27015014,b27015014_moe,b27015015,b27015015_moe,b27015016,b27015016_moe,b27015017,b27015017_moe,b27015018,b27015018_moe,b27015019,b27015019_moe,b27015020,b27015020_moe,b27015021,b27015021_moe,b27015022,b27015022_moe,b27015023,b27015023_moe,b27015024,b27015024_moe,b27015025,b27015025_moe,b27015026,b27015026_moe
29,North Lawndale,35296,1829,16342,1378,12940,1198,1837,365,11643,1142,3402,558,8716,1140,6934,941,2425,434,4926,815,1782,444,5224,976,4270,816,2686,590,1862,525,954,365,2840,759,2051,592,1525,417,625,402,789,329,2174,633,1824,514,1681,491,317,133,350,219
30,South Lawndale,62077,2264,20038,1784,12807,1309,1586,367,11635,1245,7231,829,21939,1923,13522,1382,4911,796,9152,1134,8417,1061,10794,1460,6711,1039,3979,725,3084,624,4083,829,5177,1121,3524,833,2372,675,1305,395,1653,462,4129,1037,2952,785,2208,606,878,474,1177,467
31,Lower West Side,36454,1702,9746,1100,6130,818,1486,324,4891,771,3616,535,12206,1354,8351,995,4031,543,4785,785,3855,613,6652,1063,3917,680,2825,558,1304,366,2735,681,4025,1014,2871,758,1977,547,934,419,1154,460,3825,874,3100,736,2549,598,704,323,725,384
32,Loop,23531,1213,3371,644,3016,635,2498,605,774,286,355,141,2517,504,2259,500,2036,463,502,205,258,121,3662,705,3178,646,3111,640,272,113,484,229,2614,622,2569,613,2550,610,193,85,45,56,11367,1173,10947,1107,10693,1092,910,276,420,333
33,Near South Side,20046,1140,3016,677,2670,668,1336,611,1508,357,346,120,2770,736,2386,621,1893,514,817,348,384,225,2418,500,2116,455,1988,437,179,98,302,156,2865,681,2613,605,2542,592,123,95,252,180,8977,1116,8823,1121,8674,1125,300,132,154,97
34,Armour Square,13703,850,5775,682,3757,482,940,304,3299,454,2018,507,3278,633,1962,455,1065,260,1157,374,1316,370,1892,508,1277,396,778,185,585,288,615,257,1056,435,913,334,866,321,102,71,143,142,1702,609,1505,542,1381,498,256,132,197,141
35,Douglas,16501,742,6478,678,5279,594,2064,410,3668,441,1199,264,3616,555,2934,460,2083,371,1264,300,682,230,2643,471,2369,438,2153,425,576,177,274,161,1241,339,1140,307,967,248,296,173,101,96,2523,460,2282,419,2167,404,272,137,241,159
36,Oakland,6249,467,3136,506,2431,417,369,133,2177,401,705,255,1166,347,1074,343,670,295,428,241,92,55,570,236,442,185,347,141,165,118,128,83,408,272,390,267,364,238,49,50,18,36,969,332,910,323,879,324,64,56,59,63
37,Fuller Park,2910,546,1116,202,822,182,204,99,749,168,294,96,1168,535,1008,489,376,142,732,447,160,89,277,273,207,202,164,184,51,69,70,73,298,193,231,140,144,92,105,74,67,79,51,63,51,63,39,50,12,26,0,16
38,Grand Boulevard,22841,1165,8183,815,6626,703,1329,274,5890,650,1557,382,4687,796,3718,711,1770,420,2370,564,969,275,3438,675,2754,551,2220,424,762,269,684,296,2563,581,2033,489,1847,459,491,249,530,186,3970,685,3646,635,3325,576,551,199,324,176
39,Kenwood,17852,902,5692,707,4720,662,1971,363,3248,598,972,257,3910,578,3302,520,2123,383,1699,409,608,194,2156,475,1902,432,1719,404,406,183,254,138,1669,461,1556,433,1419,401,295,146,113,119,4425,603,4185,574,3916,551,750,212,240,107
40,Washington Park,11056,830,5126,624,4109,555,314,110,3943,540,1017,262,3067,648,2494,562,1018,247,1808,524,573,221,1156,392,943,313,508,163,506,243,213,122,940,345,818,290,497,196,368,149,122,82,767,298,755,297,659,274,104,72,12,27
41,Hyde Park,23793,986,5539,638,4757,609,3629,513,1476,337,782,217,4632,622,3952,525,3355,444,1063,310,680,256,4336,582,4035,545,3528,470,1111,288,301,129,1841,372,1736,352,1705,350,324,110,105,85,7445,859,7258,846,7080,835,1224,239,187,94
42,Woodlawn,23361,1250,9827,985,7588,872,1816,297,6408,819,2239,388,5978,853,4747,719,2413,410,2772,597,1231,342,2617,506,2291,463,1700,357,728,266,326,155,1763,439,1527,372,1300,326,352,183,236,140,3176,704,2813,624,2494,538,647,279,363,178
43,South Shore,46693,2016,16701,1420,12754,1243,2903,467,10996,1176,3947,616,12043,1393,9229,1141,5660,827,4447,764,2814,577,8290,1235,6502,992,5222,821,2081,528,1788,476,4444,937,3880,861,3321,768,976,296,564,235,5215,995,4475,841,3811,685,1164,435,740,329
44,Chatham,33220,1625,11610,1221,9165,1117,2441,411,7680,1061,2445,526,9067,1253,7198,1042,4023,620,4014,820,1869,445,5776,1029,4946,921,3982,798,1573,468,830,266,2862,614,2654,589,2055,466,962,314,208,102,3905,785,3359,657,2946,592,913,281,546,249
45,Avalon Park,9612,760,2218,511,1563,318,576,191,1311,320,655,394,2227,508,1661,423,1011,299,1109,358,566,217,1522,484,1247,391,870,258,586,285,275,161,1205,458,1139,448,887,340,493,299,66,65,2440,586,2353,560,2049,511,470,213,87,79
46,South Chicago,29316,1590,10783,1123,8487,974,1398,300,7721,940,2296,441,8191,1223,6200,998,2904,564,3962,825,1991,478,4067,721,3473,643,2573,565,1333,364,594,225,3082,867,2463,680,1725,461,1142,481,619,360,3193,786,2898,730,2549,684,882,294,295,175
47,Burnside,3508,686,1682,702,1237,498,251,146,1055,463,445,286,796,388,689,340,327,205,501,225,107,84,550,290,383,199,315,180,132,106,167,135,149,124,106,97,70,60,71,86,43,59,331,289,308,267,298,264,54,58,23,33
48,Calumet Heights,14377,814,2288,526,1851,404,697,175,1596,386,437,204,2989,539,2525,462,1614,354,1778,340,464,188,3266,684,2756,540,2156,430,1112,315,510,268,2515,605,2301,551,1936,478,809,261,214,125,3319,697,3042,643,2370,482,1254,397,277,170
49,Roseland,44557,1641,12630,1220,9690,976,2731,492,8161,896,2940,556,11992,1247,9770,1052,5876,766,5631,759,2222,456,9144,1368,7630,1195,5291,860,3459,806,1514,362,5097,1009,4310,890,3138,678,1741,588,787,300,5694,955,4908,817,4174,722,1475,354,786,278
50,Pullman,7262,584,2166,479,1825,447,483,226,1514,398,341,163,1696,372,1331,303,761,237,663,191,365,160,1393,404,1143,335,781,290,476,173,250,122,1343,383,1233,356,817,241,535,261,110,88,664,288,565,249,517,235,113,79,99,80
51,South Deering,16405,1031,5989,1010,4489,795,1658,570,3286,601,1500,434,3981,757,2961,626,1525,435,1904,493,1020,348,3488,871,2925,730,2214,615,983,369,563,255,1686,547,1431,514,1231,462,391,188,255,133,1261,526,1113,490,1054,486,108,80,148,104
52,East Side,23507,1386,5206,846,3575,705,1007,286,3131,654,1631,386,6765,1167,5292,947,2450,514,3477,786,1473,406,4517,961,3752,780,2908,634,1317,456,765,321,2844,873,2448,764,1781,518,780,538,396,289,4175,823,3542,720,3160,676,495,191,633,270
53,West Pullman,30711,1645,9374,1305,7222,1102,1488,305,6422,1082,2152,579,7201,1247,5957,1074,2636,515,4262,931,1244,507,5763,935,4860,818,3333,672,2093,477,903,243,3629,993,2994,813,2137,594,1123,404,635,318,4744,1028,4231,963,3592,892,1254,354,513,190
54,Riverdale,6770,722,4072,700,3373,627,540,227,3034,630,699,257,1703,533,1488,492,484,271,1285,494,215,147,603,359,381,243,260,185,205,169,222,265,392,313,340,284,242,248,98,117,52,60,0,16,0,16,0,16,0,16,0,16
55,Hegewisch,10148,927,2183,641,1583,499,651,241,1265,464,600,403,2782,930,2164,697,1094,403,1567,609,618,320,1706,822,1632,805,1367,629,364,283,74,73,1594,567,1505,556,1463,549,216,159,89,77,1883,577,1737,554,1737,554,130,98,146,128
56,Garfield Ridge,33839,1074,4150,753,3079,619,1417,304,2386,560,1071,447,6053,783,4865,659,3383,526,2874,491,1188,329,6243,895,5540,800,4626,684,1760,392,703,237,6130,1032,5682,977,5287,926,903,266,448,176,11263,1220,10509,1141,9991,1104,888,241,754,294
57,Archer Heights,13424,778,1950,523,1227,342,305,137,1097,328,723,242,4265,739,2981,539,1408,342,1876,432,1284,329,3374,720,2606,565,1721,424,1113,334,768,273,1559,497,1195,403,1046,361,226,118,364,172,2276,626,2001,558,1623,439,587,309,275,141
58,Brighton Park,44035,1807,10683,1284,6423,894,1330,362,5486,812,4260,677,15299,1599,10205,1171,4013,691,6769,940,5094,807,9627,1458,6880,1082,4457,815,3053,681,2747,721,3914,990,3017,747,2437,592,764,331,897,356,4512,1110,3349,828,2725,718,729,324,1163,464
59,McKinley Park,16396,924,3751,643,2259,430,514,159,1921,431,1492,364,4896,790,3744,619,1731,397,2245,479,1152,303,3534,736,2940,663,2212,530,953,362,594,273,2071,609,1810,541,1658,512,191,101,261,115,2144,552,1751,453,1536,418,266,139,393,214
60,Bridgeport,32389,1332,7837,944,5853,780,2042,403,4234,684,1984,388,8100,1029,5825,815,3509,572,2742,604,2275,499,5998,869,4573,667,3686,554,1330,338,1425,446,4671,862,3774,746,3049,614,923,396,897,288,5783,840,5324,786,4856,734,655,221,459,178
61,New City,41888,1894,12485,1207,8638,957,1161,253,7832,904,3847,519,14475,1552,9856,1234,3653,614,7027,1072,4619,659,7112,1008,5080,760,3326,581,2157,484,2032,501,3812,809,3000,659,2287,549,842,270,812,290,4004,1059,3255,681,2650,570,710,277,749,475
62,West Elsdon,18969,1099,2889,722,1864,500,397,133,1722,512,1025,324,6014,996,4418,818,2489,545,2307,500,1596,377,4252,1012,3051,738,2191,584,1137,449,1201,408,3259,823,2760,728,2283,583,768,312,499,266,2555,620,2115,521,1833,458,395,177,440,165
63,Gage Park,39444,1744,8101,1155,5250,845,1036,333,4661,787,2851,594,13723,1614,8255,1036,2958,609,5607,879,5468,989,9368,1507,6359,1060,3762,693,2935,740,3009,767,4087,1004,2916,783,1993,562,960,406,1171,453,4165,1057,3242,775,2635,665,660,326,923,430
64,Clearing,22706,981,3216,662,2423,475,1061,235,1914,452,793,297,3944,672,3064,547,2087,434,1667,365,880,302,5208,887,4271,724,3638,629,1161,376,937,337,4416,827,4117,754,3447,662,948,388,299,187,5922,1039,5434,960,5307,953,299,120,488,290
65,West Lawn,32935,1269,5642,1058,3830,745,1352,408,2927,636,1812,562,9436,1301,6994,1018,3876,740,3687,743,2442,495,7902,1316,6039,1188,4950,1094,1405,456,1863,753,4772,962,4062,827,3625,756,638,244,710,250,5183,1054,4667,970,4089,885,867,353,516,219
66,Chicago Lawn,54577,2224,15823,1723,11766,1478,2213,517,10133,1377,4057,664,17073,1835,12545,1455,5547,803,7684,1170,4528,857,9997,1442,7558,1100,4815,776,3314,659,2439,643,6578,1342,5347,1088,3959,885,1704,518,1231,457,5106,1001,3964,853,3287,743,863,319,1142,362
67,West Englewood,35043,1617,14859,1364,10513,1095,1803,317,9327,1062,4346,636,9913,1155,7568,952,2799,445,5445,831,2345,432,5351,935,4399,771,2313,470,2560,541,952,278,2865,683,2166,514,1536,373,925,343,699,270,2055,624,1589,495,1147,416,611,251,466,202
68,Englewood,28641,1515,14643,1287,11460,1074,2013,412,10312,1028,3183,531,7290,1064,5874,909,2265,445,4229,781,1416,332,3386,710,2577,593,1556,428,1370,403,809,285,2193,634,1886,552,1342,377,632,347,307,153,1129,436,962,379,628,239,409,282,167,125
69,Greater Grand Crossing,32405,1519,12815,1242,9929,1061,2014,352,9036,1036,2886,441,7632,944,5868,819,2913,464,3625,627,1764,422,5667,950,4755,817,3072,520,2371,573,912,312,2717,686,2242,590,1675,441,745,339,475,190,3574,846,3132,761,2557,676,791,286,442,207
70,Ashburn,42292,1588,5575,982,4233,813,1663,400,3186,725,1342,396,7489,1160,5679,968,3549,671,3012,700,1810,429,8586,1277,7487,1110,6174,968,1976,491,1099,431,7161,1210,6406,1097,5969,1065,1119,283,755,286,13481,1665,12108,1487,10815,1396,2061,593,1373,572
71,Auburn Gresham,49527,1883,17290,1476,13344,1274,3010,547,11630,1201,3946,558,13396,1394,10611,1161,4883,624,7299,993,2785,495,8261,1119,6673,913,4743,708,2893,537,1588,381,4794,956,4023,778,2973,625,1666,440,771,374,5786,1183,5014,1055,3879,858,1583,482,772,303
72,Beverly,21203,812,1393,349,1154,312,584,153,885,274,239,132,2137,432,1999,411,1605,376,925,233,138,67,3178,686,2824,523,2438,450,787,227,354,312,3230,585,3161,567,2952,507,752,294,69,72,11265,863,11042,838,10844,832,835,198,223,132
73,Washington Heights,25804,1155,5913,903,4596,718,1775,402,3621,597,1317,387,7509,952,6070,794,3480,545,3749,645,1439,370,4645,832,3897,705,2691,497,1829,424,748,321,2919,670,2597,623,2103,541,881,278,322,141,4818,910,4403,855,3930,793,1305,453,415,159
74,Mount Greenwood,17899,772,979,305,840,251,494,146,729,238,139,103,1462,336,1340,327,1219,322,502,134,122,88,2375,517,2214,486,2041,464,472,163,161,99,3541,707,3461,690,3406,688,398,135,80,61,9542,998,9351,973,9059,934,490,159,191,110
75,Morgan Park,22270,1067,3683,636,2852,528,867,237,2397,482,831,329,3905,844,3339,757,1872,374,2128,676,566,204,3504,726,3036,631,2578,540,1080,291,468,217,3356,721,3092,686,2638,555,730,345,264,143,7822,999,7432,925,6964,844,915,335,390,204
76,O'Hare,13663,1093,3124,1028,2115,946,840,298,1653,932,1009,349,3482,770,2438,638,1582,472,1060,457,1044,341,2318,657,1716,504,1420,410,388,244,602,287,2497,630,2300,611,1959,466,582,391,197,130,2242,850,1855,702,1578,511,347,404,387,325
77,Edgewater,52720,1661,13136,1157,8939,889,4283,632,5653,690,4197,647,12500,1281,8660,876,6723,735,2954,518,3840,835,7973,917,6789,841,6443,821,951,220,1184,361,6676,1060,5804,827,5393,798,863,336,872,466,12435,1284,11689,1199,11367,1182,931,239,746,333
