area_id,area_name,c18121001,c18121001_moe,c18121002,c18121002_moe,c18121003,c18121003_moe,c18121004,c18121004_moe,c18121005,c18121005_moe,c18121006,c18121006_moe,c18121007,c18121007_moe,c18121008,c18121008_moe,c18121009,c18121009_moe,c18121010,c18121010_moe
18,Montclare,7578,578,3691,426,124,78,3567,412,2031,343,101,78,1930,342,1856,362,486,244,1370,250
19,Belmont Cragin,48696,1731,21938,1147,1104,294,20834,1113,14147,913,881,240,13266,880,12611,945,2757,428,9854,859
20,Hermosa,15934,875,7616,630,412,155,7204,623,4335,463,288,119,4047,447,3983,517,1283,323,2700,387
21,Avondale,28666,1329,14867,884,520,180,14347,854,7713,741,435,161,7278,714,6086,658,708,199,5378,618
22,Logan Square,54366,1482,30928,1154,719,171,30209,1149,12932,823,465,144,12467,808,10506,794,1530,280,8976,722
23,Humboldt Park,33709,1407,12619,843,759,201,11860,841,6818,663,605,168,6213,638,14272,1017,4111,506,10161,851
24,West Town,65682,1541,39621,1169,779,198,38842,1163,15940,890,704,187,15236,869,10121,804,2222,362,7899,727
25,Austin,60552,1772,23488,1044,1447,261,22041,1022,12921,890,1265,269,11656,849,24143,1308,6602,642,17541,1081
26,West Garfield Park,10922,794,3370,373,157,78,3213,365,2104,334,198,92,1906,319,5448,558,1778,285,3670,473
27,East Garfield Park,11801,784,4210,419,174,81,4036,417,2213,317,223,114,1990,290,5378,579,1444,238,3934,528
28,Near West Side,41789,1310,22654,886,552,159,22102,877,11162,834,728,203,10434,787,7973,724,1834,322,6139,641
29,North Lawndale,20279,1134,6586,549,256,111,6330,546,3780,459,335,115,3445,443,9913,781,2622,382,7291,650
30,South Lawndale,38985,1496,15755,925,629,168,15126,921,11326,830,631,178,10695,804,11904,791,1870,333,10034,715
31,Lower West Side,24666,1211,10941,814,372,119,10569,804,8455,706,321,125,8134,678,5270,592,678,194,4592,539
32,Loop,22231,1311,11990,830,168,86,11822,831,6708,921,144,73,6564,922,3533,594,429,206,3104,568
33,Near South Side,15784,957,10395,811,166,111,10229,824,3251,506,156,83,3095,500,2138,498,558,268,1580,427
34,Armour Square,8460,656,3292,459,136,78,3156,445,2900,434,69,60,2831,435,2268,331,227,112,2041,328
35,Douglas,12904,684,4750,403,420,154,4330,405,4469,490,354,135,4115,470,3685,441,741,159,2944,411
36,Oakland,3728,336,1396,245,76,63,1320,237,1028,200,86,54,942,192,1304,278,477,165,827,248
37,Fuller Park,1612,314,373,152,4,13,369,152,506,201,30,26,476,200,733,143,245,76,488,136
38,Grand Boulevard,13898,733,5899,455,393,124,5506,440,4015,452,395,149,3620,439,3984,459,1229,229,2755,396
39,Kenwood,11651,643,4995,420,191,92,4804,423,3457,393,255,127,3202,381,3199,442,723,185,2476,389
40,Washington Park,6380,534,1973,240,182,78,1791,233,1924,302,209,82,1715,297,2483,357,903,205,1580,283
41,Hyde Park,19576,1017,7605,502,290,105,7315,493,8047,783,434,134,7613,775,3924,499,507,164,3417,488
42,Woodlawn,15546,817,5480,486,312,119,5168,478,4733,482,434,139,4299,452,5333,550,1523,262,3810,469
43,South Shore,30237,1348,12403,796,821,215,11582,784,8218,668,820,228,7398,637,9616,839,3225,433,6391,703
44,Chatham,19852,1063,7635,638,485,180,7150,625,5138,535,616,182,4522,500,7079,765,2099,374,4980,622
45,Avalon Park,5834,518,2565,345,59,54,2506,336,1299,275,55,62,1244,268,1970,377,529,179,1441,341
46,South Chicago,17304,1049,5862,581,288,109,5574,578,4478,520,392,133,4086,512,6964,746,1683,298,5281,670
47,Burnside,2010,327,527,147,26,27,501,149,696,158,41,39,655,162,787,252,139,78,648,217
48,Calumet Heights,8050,546,3582,382,160,116,3422,380,2040,367,90,70,1950,355,2428,360,716,179,1712,304
49,Roseland,26532,1087,9274,682,528,148,8746,684,6854,599,609,155,6245,593,10404,740,2948,366,7456,645
50,Pullman,4462,356,1918,230,94,49,1824,235,1352,254,202,84,1150,230,1192,216,273,92,919,199
51,South Deering,9943,658,3539,435,181,91,3358,421,2993,405,264,116,2729,406,3411,418,813,197,2598,404
52,East Side,13447,781,5911,527,172,78,5739,515,3938,496,168,78,3770,486,3598,411,576,130,3022,381
53,West Pullman,17833,1019,6490,582,250,92,6240,563,4523,536,331,139,4192,521,6820,699,1944,357,4876,596
54,Riverdale,3306,374,793,192,30,37,763,192,1072,204,166,112,906,192,1441,295,326,130,1115,262
55,Hegewisch,5808,644,2917,403,131,84,2786,385,1310,305,99,74,1211,308,1581,327,451,191,1130,237
56,Garfield Ridge,20994,788,11012,624,381,136,10631,627,5411,488,295,128,5116,479,4571,443,849,206,3722,410
57,Archer Heights,8163,524,3496,335,125,59,3371,334,2562,341,93,57,2469,326,2105,293,219,103,1886,283
58,Brighton Park,26768,1158,11425,850,266,97,11159,843,7889,667,375,137,7514,649,7454,651,1014,239,6440,599
59,McKinley Park,10581,612,4592,411,136,100,4456,403,3422,388,190,91,3232,377,2567,338,439,143,2128,319
60,Bridgeport,22266,959,10422,584,250,92,10172,582,7291,623,320,103,6971,613,4553,477,853,180,3700,430
61,New City,25724,1259,9008,604,379,140,8629,595,7617,610,408,141,7209,583,9099,832,1775,270,7324,770
62,West Elsdon,11817,641,5070,398,111,58,4959,402,3519,423,125,69,3394,418,3228,396,227,92,3001,387
63,Gage Park,24181,1207,9793,748,140,75,9653,746,6842,671,286,113,6556,676,7546,635,725,183,6821,609
64,Clearing,14180,709,7651,598,260,94,7391,599,4183,464,241,107,3942,457,2346,306,440,136,1906,281
65,West Lawn,19888,878,9235,672,190,91,9045,672,4968,544,272,117,4696,536,5685,615,743,181,4942,593
66,Chicago Lawn,32542,1343,12447,844,461,133,11986,831,8106,737,337,113,7769,724,11989,852,2556,388,9433,765
67,West Englewood,20917,1069,5127,435,366,116,4761,429,5572,499,432,121,5140,477,10218,804,2422,337,7796,729
68,Englewood,16518,990,4246,456,139,66,4107,450,3616,402,396,118,3220,388,8656,722,2350,299,6306,638
69,Greater Grand Crossing,19236,944,7276,565,468,137,6808,564,4957,461,487,137,4470,446,7003,678,1975,307,5028,559
70,Ashburn,26779,1090,13702,753,404,140,13298,759,6110,612,251,124,5859,604,6967,634,1266,309,5701,585
71,Auburn Gresham,28827,1254,9861,698,447,185,9414,701,7735,717,611,161,7124,710,11231,861,3184,411,8047,769
72,Beverly,12632,554,7137,416,225,83,6912,408,3138,305,163,72,2975,299,2357,341,409,129,1948,316
73,Washington Heights,14888,813,6126,514,248,109,5878,512,3945,470,328,112,3617,454,4817,538,1412,257,3405,456
74,Mount Greenwood,11672,501,6435,381,163,73,6272,380,3161,385,150,87,3011,373,2076,285,210,79,1866,275
75,Morgan Park,13452,697,6473,533,102,58,6371,531,3432,420,140,89,3292,414,3547,538,1080,323,2467,395
76,O'Hare,9523,685,4990,507,202,123,4788,491,2505,411,87,68,2418,401,2028,372,263,164,1765,357
77,Edgewater,41691,1320,21601,1042,526,180,21075,1034,11826,795,578,184,11248,781,8264,768,1630,352,6634,697
