area_id,area_name,b09019001,b09019001_moe,b09019002,b09019002_moe,b09019003,b09019003_moe,b09019004,b09019004_moe,b09019005,b09019005_moe,b09019006,b09019006_moe,b09019007,b09019007_moe,b09019008,b09019008_moe,b09019009,b09019009_moe,b09019010,b09019010_moe,b09019011,b09019011_moe,b09019012,b09019012_moe,b09019013,b09019013_moe,b09019014,b09019014_moe,b09019015,b09019015_moe,b09019016,b09019016_moe,b09019017,b09019017_moe,b09019018,b09019018_moe,b09019019,b09019019_moe,b09019020,b09019020_moe,b09019021,b09019021_moe,b09019022,b09019022_moe,b09019023,b09019023_moe,b09019024,b09019024_moe,b09019025,b09019025_moe,b09019026,b09019026_moe,b09019027,b09019027_moe,b09019028,b09019028_moe,b09019029,b09019029_moe,b09019030,b09019030_moe,b09019031,b09019031_moe,b09019032,b09019032_moe,b09019033,b09019033_moe,b09019034,b09019034_moe,b09019035,b09019035_moe,b09019036,b09019036_moe,b09019037,b09019037_moe,b09019038,b09019038_moe
11,Jefferson Park,26771,1244,26744,1244,22786,1404,6374,356,3805,338,2569,334,4860,356,8509,845,8153,829,134,96,222,133,363,158,679,267,925,358,112,89,117,73,311,152,536,206,27,38,114,88,260,130,0,29,135,103,3958,408,3569,346,1678,281,1518,273,160,89,1891,267,1779,264,112,71,389,169,0,29,194,114,81,65,0,29,114,89,27,25
12,Forest Glen,18542,646,18514,645,16307,765,4867,213,3139,254,1728,228,4246,230,6228,459,5848,417,230,128,150,104,169,105,76,57,203,86,173,107,107,76,75,69,163,110,0,29,22,38,83,68,46,76,12,33,2207,303,1926,235,678,158,563,144,115,77,1248,203,1138,197,110,76,281,133,0,29,64,57,129,77,0,29,88,99,28,46
13,North Park,18739,1008,18117,994,15326,1080,4250,254,2715,279,1535,241,3217,266,5804,621,5512,612,199,169,93,73,478,186,517,365,310,137,96,86,90,61,264,132,300,149,12,33,77,103,98,56,0,27,113,86,2791,406,2186,238,869,178,644,163,225,109,1317,193,1150,193,167,103,605,274,108,91,273,230,139,70,0,27,85,107,622,140
14,Albany Park,53897,2062,52775,2045,43944,2346,10842,482,6872,462,3970,394,7185,432,16444,1190,15899,1196,292,163,253,119,1026,308,2251,548,1241,335,563,299,334,165,2548,603,1510,342,201,155,355,187,855,227,0,45,99,88,8831,919,5962,462,3050,394,1811,309,1239,280,2912,335,2294,300,618,179,2869,631,198,153,1765,575,844,214,0,45,62,65,1122,251
15,Portage Park,63619,1847,63442,1849,54178,2095,14935,511,7382,461,7553,504,10335,517,20050,1162,19608,1166,235,137,207,103,2044,543,1529,399,1248,312,316,123,508,217,1627,444,1586,342,39,60,298,164,902,220,12,50,335,189,9264,705,7570,499,3650,403,2946,371,704,197,3920,390,3295,362,625,170,1694,346,122,94,683,280,713,185,0,47,176,101,177,79
16,Irving Park,56513,1956,55961,1945,45626,2162,12442,497,6798,471,5644,477,8540,501,16490,1137,15764,1086,388,176,338,197,955,263,1620,393,949,287,201,132,422,193,2789,642,1218,308,28,53,371,217,569,186,21,55,229,134,10335,745,7735,463,3852,383,2784,332,1068,225,3883,379,3025,341,858,191,2600,436,167,114,1344,373,958,197,0,47,131,80,552,175
17,Dunning,42115,1249,41958,1248,36676,1416,10702,388,6159,390,4543,374,7757,399,12460,736,11790,728,323,144,347,136,1255,338,937,269,1068,253,245,121,472,160,1238,427,542,171,0,40,139,112,245,96,0,40,158,97,5282,549,4439,364,1933,290,1651,270,282,108,2506,277,2279,266,227,86,843,325,66,60,422,288,233,85,0,40,122,89,157,58
18,Montclare,12401,838,12272,836,10521,938,2909,245,1560,224,1349,230,2048,240,3946,504,3769,501,49,43,128,127,396,203,259,118,332,156,93,65,50,44,188,147,300,146,28,46,32,53,137,91,0,23,103,92,1751,284,1516,203,753,170,634,155,119,68,763,171,739,172,24,31,235,150,35,40,13,26,77,57,0,23,110,101,129,55
19,Belmont Cragin,77885,2548,77585,2549,71819,2747,16806,526,9702,545,7104,528,9663,527,29960,1604,28347,1571,485,217,1128,353,2827,519,2277,478,1592,361,621,212,1026,238,3835,724,3212,581,347,292,397,179,1791,329,8,54,669,272,5766,572,4764,411,2280,327,1767,284,513,166,2484,296,2268,288,216,97,1002,287,101,99,356,219,424,151,0,52,121,95,300,126
20,Hermosa,25068,1269,25046,1269,22924,1374,5456,268,3192,323,2264,298,3250,295,9125,709,8722,707,109,108,294,125,1243,401,762,200,829,231,159,100,275,139,1005,442,820,225,68,64,130,120,552,172,22,45,48,52,2122,383,1614,222,800,164,661,156,139,82,814,177,646,154,168,91,508,240,81,99,295,173,132,88,0,29,0,29,22,32
21,Avondale,41542,1885,41489,1883,34423,2101,8793,441,4610,385,4183,370,5604,420,12438,1067,12051,1068,249,131,138,109,876,285,1689,497,992,324,100,94,198,105,2541,659,1192,305,259,172,322,180,366,129,14,42,231,137,7066,713,5008,409,2747,355,1793,306,954,231,2261,284,1894,272,367,111,2058,459,504,260,921,355,541,141,0,38,92,84,53,33
22,Logan Square,73786,1997,73309,1996,51017,2233,14728,559,7052,468,7676,494,9633,523,17765,1118,16949,1115,495,206,321,161,1468,361,1890,357,1266,348,142,133,273,122,2125,518,1727,385,291,274,245,120,876,209,12,60,303,148,22292,1017,14764,571,8307,497,5447,439,2860,318,6457,433,4110,350,2347,291,7528,656,2470,487,2229,345,2315,282,0,57,514,199,477,130
23,Humboldt Park,54351,2209,54106,2209,47252,2383,11493,468,4450,410,7043,474,4798,423,20518,1442,19635,1417,375,165,508,193,4120,702,1360,328,940,257,24,61,426,171,1466,372,2107,433,145,116,248,163,1082,245,247,253,385,165,6854,664,5285,437,2400,324,1874,293,526,163,2885,345,2286,313,599,162,1569,364,311,174,532,210,584,159,30,68,112,129,245,109
24,West Town,84087,2008,83508,2001,50398,2197,15867,600,8362,503,7505,495,10835,527,17122,1203,16427,1192,338,150,357,174,1251,324,1579,336,726,212,34,66,430,133,1213,319,1341,308,199,181,156,96,667,164,13,62,306,160,33110,1229,21420,633,11362,577,7401,489,3961,385,10058,523,6495,457,3563,357,11690,849,1304,312,7188,780,2934,309,0,62,264,123,579,167
25,Austin,98162,2739,96799,2726,84767,3007,22153,667,6856,504,15297,672,8026,512,33494,1672,31927,1638,625,221,942,301,8138,964,3325,590,1917,376,159,105,333,158,3900,718,3322,510,400,171,426,254,1577,278,206,145,713,286,12032,802,10275,617,4633,446,3937,416,696,182,5642,485,5018,454,624,181,1757,353,243,159,300,157,960,230,66,94,188,125,1363,361
26,West Garfield Park,19377,1316,19169,1316,17202,1377,4060,269,877,164,3183,257,808,156,7899,799,7563,777,118,91,218,116,1688,343,640,213,319,152,13,39,76,77,889,281,810,191,76,75,23,43,462,130,53,51,196,118,1967,280,1654,210,886,168,769,159,117,59,768,146,710,141,58,43,313,144,23,41,157,114,64,42,0,35,69,90,208,86
27,East Garfield Park,21316,1354,20661,1333,17775,1394,4480,287,1038,191,3442,285,1188,194,8314,898,7984,897,131,98,199,98,1455,382,650,215,349,138,0,38,34,56,496,190,809,233,19,40,257,160,371,118,14,42,148,106,2886,355,2416,248,911,171,747,153,164,79,1505,206,1411,203,94,69,470,214,115,87,49,75,177,91,0,38,129,119,655,287
28,Near West Side,54151,1661,50255,1496,29275,1623,9977,505,4376,369,5601,429,6328,421,9662,830,9190,793,322,150,150,94,800,216,912,378,363,165,46,69,75,93,506,222,606,230,12,54,197,178,291,118,33,73,73,64,20980,995,15688,578,8016,491,6146,458,1870,268,7672,475,6189,452,1483,236,5292,658,455,202,3182,562,1456,236,7,49,192,107,3896,684
29,North Lawndale,36074,1850,35296,1829,31513,1915,7738,394,1833,249,5905,370,1855,234,14356,1142,13718,1118,290,130,348,208,3102,589,1322,308,654,185,35,52,40,53,1101,266,1310,290,211,127,172,107,654,164,85,87,188,108,3783,446,3114,312,1328,230,1039,209,289,111,1786,240,1640,231,146,76,669,239,31,65,311,189,213,88,0,43,114,89,778,253
30,South Lawndale,70557,2333,62094,2265,56787,2398,13134,474,7081,466,6053,430,7568,466,25719,1459,25124,1434,23,50,572,265,1575,370,2024,411,822,215,228,144,501,179,2822,575,2394,411,16,52,569,256,1391,252,0,48,418,204,5307,712,3320,344,1949,284,1165,221,784,184,1371,234,1137,201,234,116,1987,483,52,63,1060,380,432,140,0,48,443,248,8463,521
31,Lower West Side,36577,1700,36454,1702,29090,1862,7273,405,3959,371,3314,324,3813,365,12145,987,11620,1004,102,78,423,180,1058,300,1414,347,563,183,93,79,170,100,1231,410,1330,283,97,95,211,133,766,171,0,42,256,140,7364,724,4982,365,2921,315,2097,282,824,180,2061,266,1455,237,606,161,2382,498,308,254,1376,387,604,162,0,42,94,86,123,54
32,Loop,26363,1430,23531,1213,11425,1205,4775,482,3227,414,1548,299,4178,463,1890,439,1890,439,0,30,0,30,0,30,290,167,97,104,0,30,0,30,122,84,73,86,0,30,60,77,13,34,0,30,0,30,12106,893,9782,659,4607,527,3679,509,928,223,5175,589,4347,572,828,248,2324,481,45,56,1199,427,954,269,0,30,126,153,2832,789
33,Near South Side,20245,1153,20049,1140,10955,1150,3892,405,2290,352,1602,323,2881,377,3286,465,3259,466,0,24,27,35,84,73,138,116,310,240,0,24,0,24,143,145,221,156,14,27,12,29,162,155,0,24,33,40,9094,745,7625,494,3193,450,2544,450,649,233,4432,428,3835,393,597,219,1469,422,158,256,355,195,839,231,0,24,117,95,196,102
34,Armour Square,13710,850,13703,850,11158,959,3330,239,1906,251,1424,227,2284,253,3560,489,3506,494,44,70,10,29,363,251,392,162,596,220,13,31,50,48,384,187,186,100,14,31,51,55,34,44,0,27,87,89,2545,348,2029,223,779,169,640,156,139,68,1250,190,1069,177,181,93,516,205,29,45,326,190,55,47,0,27,106,63,7,20
35,Douglas,19111,872,16501,742,9769,812,3423,283,1193,208,2230,236,1247,191,3721,411,3624,409,47,54,50,56,453,162,205,96,259,143,6,34,8,35,261,115,186,82,11,34,19,39,107,66,0,35,49,57,6732,490,5600,305,2447,237,2064,231,383,118,3153,274,2909,275,244,92,1132,342,39,43,820,327,212,88,2,33,59,60,2610,444
36,Oakland,6260,469,6249,467,5069,533,1632,157,439,122,1193,158,519,124,2243,328,2153,322,59,56,31,37,389,210,82,63,57,55,19,35,0,19,71,59,57,58,12,25,0,19,45,48,0,19,0,19,1180,176,1111,158,412,91,372,94,40,38,699,149,689,147,10,23,69,60,0,19,0,19,33,35,0,19,36,41,11,20
37,Fuller Park,2924,543,2910,546,2276,557,562,105,184,69,378,101,157,67,1014,347,979,341,8,19,27,30,184,132,64,70,77,83,0,16,0,16,185,130,33,29,0,16,0,16,22,23,11,20,0,16,634,116,584,97,306,87,287,80,19,29,278,82,255,77,23,25,50,40,0,16,0,16,18,29,0,16,32,31,14,30
38,Grand Boulevard,23151,1181,22872,1165,16954,1216,4782,311,1214,217,3568,295,1432,216,7584,727,7297,727,193,130,94,72,913,236,339,132,341,129,9,46,119,117,556,199,879,291,62,66,42,62,183,96,20,52,572,239,5918,485,5096,326,2309,256,2030,242,279,108,2787,257,2586,248,201,84,822,293,60,75,219,122,238,94,48,87,257,181,279,137
39,Kenwood,18180,927,17852,902,11459,1019,3732,339,1624,242,2108,261,1786,248,4358,548,4214,543,56,57,88,65,299,126,276,138,242,108,0,31,45,60,388,165,333,131,37,47,41,58,202,85,0,31,53,51,6393,459,5384,341,2230,270,1820,244,410,146,3154,334,2834,300,320,124,1009,241,17,34,596,191,293,121,0,31,103,89,328,145
40,Washington Park,11146,835,11056,830,9171,888,2542,214,424,118,2118,201,425,116,4246,533,4037,520,178,117,31,32,766,219,163,93,155,84,15,39,0,27,560,298,299,104,27,36,12,31,175,79,16,32,69,49,1885,237,1600,183,627,145,596,142,31,36,973,169,796,163,177,73,285,107,27,37,67,60,89,52,27,51,75,52,90,45
41,Hyde Park,26541,1184,23793,986,13248,966,4578,322,2250,221,2328,287,3227,258,4389,468,4209,467,122,85,58,68,172,119,123,84,225,123,31,47,29,47,151,100,323,157,14,42,103,121,130,82,0,38,76,70,10545,739,7961,392,3648,360,2963,334,685,162,4313,342,3621,331,692,149,2584,547,77,73,1363,311,601,149,0,38,543,401,2748,668
42,Woodlawn,24445,1271,23389,1249,17202,1344,4984,327,1245,211,3739,308,1510,245,7214,754,6942,738,108,74,164,103,1119,349,479,170,236,115,0,36,37,56,1164,333,459,153,88,79,62,59,241,110,0,36,68,67,6187,518,5318,352,2415,296,2067,268,348,142,2903,290,2676,276,227,100,869,292,210,197,230,131,267,132,0,36,162,121,1056,225
43,South Shore,47526,2018,46693,2016,33472,2181,9813,568,2843,356,6970,524,2941,359,13637,1201,12791,1173,317,177,529,193,2222,493,1230,336,559,194,111,79,129,100,1511,506,1319,314,47,62,178,117,626,187,98,102,370,199,13221,801,11887,616,5278,483,4769,458,509,198,6609,484,6109,464,500,156,1334,370,282,179,185,134,559,164,0,44,308,224,833,236
44,Chatham,33244,1627,33220,1625,25878,1732,7688,453,2143,299,5545,422,2520,300,11033,1028,10353,974,271,161,409,143,1890,430,702,212,385,149,76,70,82,72,1012,295,490,177,40,50,32,51,304,141,0,37,114,91,7342,572,6410,446,2516,346,2156,338,360,151,3894,396,3585,392,309,133,932,298,105,81,191,154,408,152,28,56,200,171,24,37
45,Avalon Park,9617,760,9612,760,7888,808,2377,235,934,187,1443,225,999,159,3064,430,2939,430,89,89,36,42,424,180,213,113,125,73,17,30,31,38,314,145,324,135,48,47,49,57,127,80,29,46,71,57,1724,287,1494,210,496,142,445,133,51,66,998,187,884,186,114,86,230,157,0,19,0,19,138,106,24,45,68,68,5,11
46,South Chicago,29458,1592,29334,1591,24748,1689,6687,408,2601,329,4086,369,2766,352,10681,947,10114,895,217,155,350,193,1579,408,909,270,364,136,60,64,88,81,1091,354,523,166,15,42,67,71,310,109,0,37,131,101,4586,473,4083,382,1722,285,1530,272,192,105,2361,313,2147,291,214,103,503,176,0,37,106,80,206,104,30,56,161,115,124,68
47,Burnside,3508,686,3508,686,3199,722,747,106,295,84,452,102,302,75,1356,445,1245,442,61,52,50,56,509,375,56,58,56,48,0,11,53,71,111,79,9,18,0,11,0,11,9,18,0,11,0,11,309,83,309,83,89,67,89,67,0,11,220,69,220,69,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
48,Calumet Heights,14382,814,14377,814,12443,892,3763,223,1436,202,2327,239,1935,238,4351,526,4162,533,88,81,101,76,1158,387,254,176,303,158,8,28,16,34,314,210,341,148,53,73,23,42,198,91,0,27,67,60,1934,246,1823,224,597,164,575,163,22,33,1226,195,1172,192,54,41,111,75,0,27,19,30,57,43,0,27,35,60,5,26
49,Roseland,45285,1660,44588,1645,38528,1802,10321,431,3414,341,6907,413,4186,348,15238,984,14105,928,476,181,657,229,3571,541,1327,274,712,201,77,87,240,145,1776,473,1080,243,142,99,51,56,645,181,21,48,221,133,6060,573,5203,398,2168,306,1885,283,283,130,3035,320,2784,308,251,104,857,312,144,112,54,79,332,125,45,65,282,224,697,230
50,Pullman,7262,584,7262,584,5997,660,1828,180,538,137,1290,191,589,123,2458,402,2373,405,31,30,54,57,535,167,105,64,85,67,12,25,30,35,214,123,141,77,12,25,20,36,64,54,0,19,45,41,1265,205,1156,184,369,102,337,104,32,46,787,159,729,157,58,46,109,76,10,22,49,60,37,44,13,25,0,19,0,19
51,South Deering,16445,1030,16405,1031,14664,1142,3868,216,1506,232,2362,239,1834,221,6242,765,5911,715,177,110,154,122,1275,495,335,186,144,94,20,37,84,67,679,323,183,108,0,25,44,46,99,73,0,25,40,63,1741,280,1464,207,544,157,426,145,118,77,920,168,823,160,97,63,277,136,85,85,9,26,123,73,0,25,60,81,40,34
52,East Side,23517,1386,23507,1386,21472,1495,5310,276,3260,286,2050,259,3381,274,9384,908,9237,903,13,34,134,75,740,228,707,251,280,102,188,119,193,106,710,351,579,204,3,28,25,48,395,142,0,29,156,114,2035,422,1590,232,846,180,695,163,151,91,744,148,641,133,103,68,445,299,66,78,251,278,105,68,6,29,17,38,10,24
53,West Pullman,30810,1644,30711,1645,27382,1799,6773,352,2444,303,4329,348,2614,303,11952,1123,10610,994,154,84,1188,529,2702,505,745,260,385,157,32,50,75,59,1363,386,741,237,69,75,18,44,325,131,62,75,267,146,3329,619,2602,327,887,205,737,174,150,132,1715,267,1425,244,290,154,727,398,14,41,46,49,256,167,10,40,401,317,99,64
54,Riverdale,6820,725,6770,722,6092,739,1712,176,346,128,1366,186,179,79,3412,517,3284,529,30,39,98,125,350,199,145,115,108,88,0,16,0,16,56,59,130,81,0,16,0,16,94,67,0,16,36,45,678,193,610,153,87,70,87,70,0,16,523,139,470,132,53,61,68,79,0,16,0,16,26,41,0,16,42,70,50,55
55,Hegewisch,10168,928,10148,927,8527,1046,2528,263,1566,260,962,228,1527,255,3591,617,3465,626,0,19,126,102,135,99,161,130,63,86,0,19,0,19,328,262,194,112,31,41,0,19,116,86,0,19,47,48,1621,390,1166,220,577,179,425,154,152,97,589,171,450,133,139,110,455,231,0,19,81,66,215,118,0,19,159,154,20,26
56,Garfield Ridge,33940,1080,33839,1074,29854,1205,8491,282,5057,345,3434,319,6349,324,11494,724,11014,722,165,102,315,144,619,211,640,191,700,235,231,148,205,120,724,244,401,142,9,43,12,44,246,103,0,42,134,80,3985,397,3461,286,1737,252,1479,227,258,115,1724,228,1597,225,127,70,524,203,109,95,191,164,175,84,0,42,49,51,101,104
57,Archer Heights,13434,778,13424,778,12561,834,2987,176,1782,197,1205,168,1954,202,5158,457,4928,448,42,46,188,115,265,158,462,159,384,153,92,60,115,81,642,205,502,170,15,32,42,71,179,86,0,27,266,114,863,181,753,138,332,103,269,92,63,46,421,99,405,99,16,33,110,79,18,33,61,74,31,34,0,27,0,27,10,18
58,Brighton Park,44148,1807,44050,1806,40693,1930,9369,385,5306,408,4063,373,6024,405,18362,1082,17758,1087,248,176,356,136,1268,396,1248,391,1031,250,136,93,316,125,1029,324,1910,382,87,93,230,155,854,197,27,56,712,241,3357,582,2203,282,1382,239,941,198,441,159,821,157,641,137,180,91,1154,395,67,80,410,233,297,127,0,43,380,267,98,67
59,McKinley Park,16434,925,16396,924,14484,1035,3760,236,2038,228,1722,218,2505,231,5872,610,5537,619,156,110,179,96,369,139,437,146,512,169,64,58,137,79,447,252,381,140,10,28,46,75,256,106,0,25,69,49,1912,314,1425,200,881,175,660,164,221,83,544,117,443,108,101,55,487,189,75,82,229,162,120,63,0,25,63,57,38,23
60,Bridgeport,32430,1332,32396,1332,26133,1498,7506,381,4384,328,3122,310,4975,348,10183,834,9814,805,101,67,268,212,500,183,643,189,985,254,66,52,75,65,531,179,669,169,33,50,60,63,416,132,0,37,160,85,6263,644,4634,361,2696,297,2082,268,614,164,1938,241,1587,216,351,114,1629,422,42,60,942,324,436,138,0,37,209,158,34,33
61,New City,42107,1897,41888,1894,37647,1828,8925,385,4741,351,4184,320,4672,346,16356,1062,15649,1032,199,103,508,225,2004,420,1414,314,664,209,7,47,249,115,1918,421,1438,289,77,89,104,81,789,170,0,47,468,160,4241,958,2696,292,1382,222,1076,196,306,117,1314,208,956,173,358,124,1545,841,50,65,487,248,343,123,0,47,665,782,219,98
62,West Elsdon,18980,1098,18969,1099,17798,1166,4075,196,2441,233,1634,202,2690,236,7517,748,7242,744,28,37,247,149,521,229,528,214,764,237,120,82,237,118,876,326,470,157,0,27,35,36,271,109,14,31,150,99,1171,221,952,151,514,138,421,130,93,84,438,94,353,76,85,57,219,111,0,27,96,79,86,66,0,27,37,42,11,21
63,Gage Park,39492,1743,39444,1744,37399,1861,7786,291,4669,340,3117,309,5312,350,16258,987,15755,974,43,50,460,196,1475,366,1232,323,867,267,329,164,588,190,2048,503,1504,456,48,53,101,95,613,173,0,41,742,377,2045,355,1619,219,950,185,750,163,200,103,669,147,564,132,105,71,426,206,41,54,94,82,201,115,0,41,90,127,48,38
64,Clearing,22716,982,22706,981,19755,1126,5806,286,3254,295,2552,285,3802,291,7844,652,7482,729,77,52,285,206,387,183,426,172,249,111,32,51,65,61,382,156,762,223,0,31,48,49,656,215,0,31,58,48,2951,378,2583,270,1144,203,994,181,150,99,1439,225,1328,220,111,72,368,207,0,31,196,191,139,77,13,34,20,43,10,28
65,West Lawn,32950,1269,32935,1269,30796,1413,7238,304,4573,338,2665,317,4901,304,13202,875,12707,874,51,51,444,201,910,279,1130,278,910,281,98,71,140,97,1300,401,967,271,37,49,55,79,526,173,44,64,305,158,2139,330,1873,269,831,197,700,185,131,83,1042,195,951,188,91,54,266,123,0,34,77,71,145,79,0,34,44,57,15,34
66,Chicago Lawn,54807,2224,54585,2223,50073,2299,11626,462,5037,412,6589,442,5377,420,21441,1306,20634,1293,213,120,594,230,4063,729,1676,385,893,220,241,128,300,145,2586,569,1870,487,343,364,156,134,872,218,55,70,444,189,4512,533,3790,382,1791,277,1511,263,280,121,1999,286,1804,274,195,97,722,304,41,63,43,57,317,128,0,49,321,236,222,88
67,West Englewood,35294,1620,35043,1617,31740,1714,7445,359,2047,250,5398,317,2250,250,13406,963,12822,941,241,115,343,192,4072,582,1232,279,402,132,12,51,149,83,1588,339,1184,254,33,56,138,96,373,115,41,53,599,205,3303,396,2919,302,1266,222,1074,200,192,110,1653,216,1574,212,79,61,384,184,32,51,55,87,201,101,0,48,96,103,251,121
68,Englewood,28824,1517,28684,1517,24443,1575,6230,367,1373,217,4857,345,1363,209,10515,877,10166,862,258,151,91,91,2587,466,1053,277,446,160,13,40,36,54,1366,406,834,252,0,36,129,91,400,135,88,134,217,120,4241,442,3573,313,1511,242,1332,230,179,82,2062,237,1863,225,199,87,668,230,21,47,257,147,121,64,0,36,269,155,140,76
69,Greater Grand Crossing,32873,1529,32405,1519,26124,1677,7182,406,1719,251,5463,396,1651,226,10816,949,10078,914,372,157,366,213,2794,535,798,206,334,120,0,38,275,150,1451,398,823,212,27,47,54,69,270,105,43,59,429,170,6281,518,5423,386,2497,300,2187,284,310,130,2926,322,2671,311,255,98,858,259,155,101,252,147,239,102,0,38,212,133,468,155
70,Ashburn,42788,1596,42292,1588,39121,1783,10042,362,5068,395,4974,402,6537,426,16731,1218,16054,1182,155,105,522,217,1500,367,1139,334,793,246,147,91,172,95,893,308,1167,339,68,78,48,65,542,190,45,51,464,241,3171,456,2738,343,1289,269,1096,246,193,132,1449,233,1342,228,107,64,433,210,36,57,69,80,197,130,0,41,131,119,496,190
71,Auburn Gresham,49634,1882,49561,1881,42775,2042,11249,469,3087,347,8162,461,3541,367,17569,1186,16570,1165,424,160,575,242,3842,569,1540,352,777,226,66,73,83,66,2823,572,1285,311,191,151,63,87,676,204,98,84,257,136,6786,564,5924,444,2076,292,1828,282,248,101,3848,386,3458,373,390,133,862,266,26,54,245,136,364,115,52,66,175,194,73,64
72,Beverly,21226,812,21203,812,18596,909,5272,243,3195,245,2077,230,4066,245,7529,468,7027,453,265,152,237,113,606,203,228,103,251,122,6,29,32,41,410,146,196,109,0,29,68,70,34,37,0,29,94,83,2607,276,2433,251,1087,187,988,183,99,64,1346,194,1306,194,40,32,174,83,11,40,60,48,72,60,0,29,31,35,23,25
