area_id,area_name,c02003001,c02003001_moe,c02003002,c02003002_moe,c02003003,c02003003_moe,c02003004,c02003004_moe,c02003005,c02003005_moe,c02003006,c02003006_moe,c02003007,c02003007_moe,c02003008,c02003008_moe,c02003009,c02003009_moe,c02003010,c02003010_moe,c02003011,c02003011_moe,c02003012,c02003012_moe,c02003013,c02003013_moe,c02003014,c02003014_moe,c02003015,c02003015_moe,c02003016,c02003016_moe,c02003017,c02003017_moe,c02003018,c02003018_moe,c02003019,c02003019_moe
62,West Elsdon,18980,1098,18796,1106,12251,1245,513,298,18,29,322,174,0,27,5692,1074,184,108,64,69,120,81,184,108,26,48,79,66,15,35,0,27,64,69,0,27,0,27
63,Gage Park,39492,1743,39053,1744,22404,1803,1821,417,129,152,471,240,0,41,14228,1657,439,235,321,163,118,150,439,235,108,150,10,41,0,41,0,41,321,163,0,41,0,41
64,Clearing,22716,982,22181,1004,17047,918,151,121,93,155,186,231,0,31,4704,898,535,303,385,283,150,122,494,294,65,75,0,31,44,54,0,31,385,283,41,73,0,31
65,West Lawn,32950,1269,31649,1382,13078,1188,1057,317,353,287,95,88,0,34,17066,1701,1301,657,1084,666,217,113,1268,657,85,85,56,59,34,40,9,35,1084,666,33,48,0,34
66,Chicago Lawn,54807,2224,54191,2240,6729,933,29448,1852,118,129,439,304,0,49,17457,1666,616,273,429,243,187,127,607,273,97,118,58,64,10,50,13,51,429,243,9,49,0,49
67,West Englewood,35294,1620,34785,1598,725,289,33573,1572,21,51,41,65,0,48,425,336,509,229,67,78,442,220,443,214,285,194,31,57,25,60,35,54,67,78,66,82,0,48
68,Englewood,28824,1517,28662,1515,254,129,28121,1524,79,80,21,40,0,36,187,175,162,104,8,37,154,103,151,103,96,94,8,37,0,36,39,51,8,37,11,39,0,36
69,Greater Grand Crossing,32873,1529,32641,1513,370,147,31935,1521,211,107,25,50,0,38,100,79,232,142,12,38,220,141,212,133,141,113,0,38,0,38,59,82,12,38,20,48,0,38
70,Ashburn,42788,1596,42181,1600,12284,1186,22127,1525,152,183,121,99,0,41,7497,1099,607,255,313,197,294,160,593,249,212,143,45,70,0,41,0,41,336,201,0,41,14,45
71,Auburn Gresham,49634,1882,49333,1888,249,149,48906,1884,53,82,77,126,0,46,48,64,301,171,169,139,132,108,283,160,54,67,0,46,0,46,60,74,169,139,18,55,0,46
72,Beverly,21226,812,20860,815,13293,564,7422,731,24,30,61,59,0,29,60,54,366,186,64,53,302,180,340,183,213,161,38,53,17,31,8,29,64,53,26,38,0,29
73,Washington Heights,26021,1161,25837,1148,332,189,25419,1146,0,33,2,30,0,33,84,77,184,119,0,33,184,119,154,112,93,93,0,33,0,33,61,69,0,33,14,38,16,45
74,Mount Greenwood,18475,761,18296,774,16952,744,937,317,18,37,169,172,0,25,220,167,179,106,68,93,111,59,179,106,31,38,34,37,34,38,7,24,73,88,0,25,0,25
75,Morgan Park,22681,1102,22322,1086,7403,493,14606,1089,51,42,124,91,0,31,138,138,359,169,33,46,326,155,325,158,169,127,22,36,14,39,76,61,44,48,34,55,0,31
76,O'Hare,13687,1091,13233,1134,11238,1212,200,125,46,64,1173,435,0,38,576,313,454,273,24,43,430,273,454,273,33,54,158,176,239,218,0,38,24,43,0,38,0,38
77,Edgewater,55333,1717,53406,1739,35371,1527,8278,898,149,131,6849,934,29,59,2730,772,1927,524,423,198,1504,477,1848,503,395,168,171,134,433,180,30,67,819,401,79,87,0,48
