area_id,area_name,b05003b001,b05003b001_moe,b05003b002,b05003b002_moe,b05003b003,b05003b003_moe,b05003b004,b05003b004_moe,b05003b005,b05003b005_moe,b05003b006,b05003b006_moe,b05003b007,b05003b007_moe,b05003b008,b05003b008_moe,b05003b009,b05003b009_moe,b05003b010,b05003b010_moe,b05003b011,b05003b011_moe,b05003b012,b05003b012_moe,b05003b013,b05003b013_moe,b05003b014,b05003b014_moe,b05003b015,b05003b015_moe,b05003b016,b05003b016_moe,b05003b017,b05003b017_moe,b05003b018,b05003b018_moe,b05003b019,b05003b019_moe,b05003b020,b05003b020_moe,b05003b021,b05003b021_moe,b05003b022,b05003b022_moe,b05003b023,b05003b023_moe
55,Hegewisch,1110,617,540,348,190,161,190,161,0,19,0,19,0,19,350,313,350,313,0,19,0,19,0,19,570,348,203,150,203,150,0,19,0,19,0,19,367,224,367,224,0,19,0,19,0,19
56,Garfield Ridge,2230,532,1109,325,363,227,363,227,0,42,0,42,0,42,746,163,746,163,0,42,0,42,0,42,1121,270,256,138,256,138,0,42,0,42,0,42,865,210,865,210,0,42,0,42,0,42
57,Archer Heights,212,219,137,157,74,116,74,116,0,27,0,27,0,27,63,63,63,63,0,27,0,27,0,27,75,90,0,27,0,27,0,27,0,27,0,27,75,90,75,90,0,27,0,27,0,27
58,Brighton Park,591,298,262,152,105,106,105,106,0,43,0,43,0,43,157,105,157,105,0,43,0,43,0,43,329,202,157,119,157,119,0,43,0,43,0,43,172,111,172,111,0,43,0,43,0,43
59,McKinley Park,506,284,162,104,46,48,46,48,0,25,0,25,0,25,116,78,116,78,0,25,0,25,0,25,344,207,117,100,117,100,0,25,0,25,0,25,227,132,227,132,0,25,0,25,0,25
60,Bridgeport,645,200,345,128,77,69,77,69,0,37,0,37,0,37,268,114,254,112,14,35,14,35,0,37,300,124,91,80,91,80,0,37,0,37,0,37,209,75,200,76,9,36,0,37,9,36
61,New City,12816,1386,5953,920,2039,367,2039,367,0,47,0,47,0,47,3914,726,3825,724,89,69,33,53,56,63,6863,789,2298,425,2298,425,0,47,0,47,0,47,4565,484,4510,484,55,56,18,49,37,53
62,West Elsdon,513,298,230,169,75,70,53,62,22,42,22,42,0,27,155,149,80,123,75,87,6,34,69,80,283,173,37,45,37,45,0,27,0,27,0,27,246,165,140,114,106,125,56,65,50,71
63,Gage Park,1821,417,866,221,321,169,321,169,0,41,0,41,0,41,545,153,523,151,22,37,10,40,12,38,955,252,183,111,183,111,0,41,0,41,0,41,772,200,761,198,11,38,10,40,1,39
64,Clearing,151,121,71,60,7,30,7,30,0,31,0,31,0,31,64,56,58,56,6,32,6,32,0,31,80,78,9,33,9,33,0,31,0,31,0,31,71,74,71,74,0,31,0,31,0,31
65,West Lawn,1057,317,354,113,108,75,108,75,0,34,0,34,0,34,246,77,231,73,15,39,0,34,15,39,703,263,137,109,137,109,0,34,0,34,0,34,566,175,516,173,50,44,25,35,25,41
66,Chicago Lawn,29448,1852,12822,1028,4665,603,4665,603,0,49,0,49,0,49,8157,747,7998,745,159,85,75,67,84,71,16626,1176,4890,711,4890,711,0,49,0,49,0,49,11736,712,11664,713,72,68,38,55,34,61
67,West Englewood,33573,1572,15468,921,5000,517,5000,517,0,48,0,48,0,48,10468,691,10386,692,82,66,43,58,39,55,18105,941,4474,513,4465,512,9,49,9,49,0,48,13631,657,13457,658,174,99,100,78,74,77
68,Englewood,28121,1524,12042,806,4140,515,4140,515,0,36,0,36,0,36,7902,619,7824,618,78,76,45,55,33,63,16079,1041,4457,550,4444,547,13,41,0,36,13,41,11622,705,11595,706,27,42,21,40,6,36
69,Greater Grand Crossing,31935,1521,13880,886,4263,556,4234,555,29,56,0,38,29,56,9617,692,9461,692,156,89,102,68,54,69,18055,997,4815,524,4786,527,29,56,0,38,29,56,13240,690,13144,696,96,63,57,47,39,56
70,Ashburn,22127,1525,10702,882,2999,584,2999,584,0,41,0,41,0,41,7703,575,7461,572,242,112,218,108,24,46,11425,882,2728,445,2728,445,0,41,0,41,0,41,8697,633,8569,630,128,75,111,72,17,46
71,Auburn Gresham,48906,1884,20688,1087,6352,646,6352,646,0,46,0,46,0,46,14336,845,14195,844,141,97,58,69,83,81,28218,1271,6888,692,6888,692,0,46,0,46,0,46,21330,858,21185,858,145,104,79,86,66,74
72,Beverly,7422,731,3370,415,851,198,851,198,0,29,0,29,0,29,2519,329,2455,325,64,51,55,50,9,30,4052,482,1043,277,1043,277,0,29,0,29,0,29,3009,353,2948,359,61,54,41,44,20,43
73,Washington Heights,25419,1146,11351,820,2980,425,2980,425,0,33,0,33,0,33,8371,659,8317,659,54,46,21,36,33,41,14068,703,2594,379,2594,379,0,33,0,33,0,33,11474,574,11399,576,75,61,66,61,9,34
74,Mount Greenwood,937,317,357,174,63,74,63,74,0,25,0,25,0,25,294,124,270,118,24,44,24,44,0,25,580,198,152,112,152,112,0,25,0,25,0,25,428,154,400,150,28,36,0,25,28,36
75,Morgan Park,14606,1089,6496,706,1642,347,1642,347,0,31,0,31,0,31,4854,624,4753,610,101,69,63,60,38,43,8110,706,1806,395,1806,395,0,31,0,31,0,31,6304,458,6232,451,72,66,65,65,7,31
76,O'Hare,200,125,115,92,0,38,0,38,0,38,0,38,0,38,115,92,115,92,0,38,0,38,0,38,85,67,0,38,0,38,0,38,0,38,0,38,85,67,67,60,18,46,18,46,0,38
77,Edgewater,8278,898,4162,596,370,184,326,170,44,84,0,48,44,84,3792,534,2426,394,1366,380,361,136,1005,360,4116,533,604,253,422,213,182,136,33,58,149,132,3512,448,2408,395,1104,271,286,138,818,238
