area_id,area_name,b05003001,b05003001_moe,b05003002,b05003002_moe,b05003003,b05003003_moe,b05003004,b05003004_moe,b05003005,b05003005_moe,b05003006,b05003006_moe,b05003007,b05003007_moe,b05003008,b05003008_moe,b05003009,b05003009_moe,b05003010,b05003010_moe,b05003011,b05003011_moe,b05003012,b05003012_moe,b05003013,b05003013_moe,b05003014,b05003014_moe,b05003015,b05003015_moe,b05003016,b05003016_moe,b05003017,b05003017_moe,b05003018,b05003018_moe,b05003019,b05003019_moe,b05003020,b05003020_moe,b05003021,b05003021_moe,b05003022,b05003022_moe,b05003023,b05003023_moe
43,South Shore,47526,2018,20964,1126,5760,717,5741,715,19,51,19,51,0,44,15204,865,14475,861,729,241,319,150,410,187,26562,1435,5402,695,5402,695,0,44,0,44,0,44,21160,1017,20451,1030,709,246,292,135,417,203
44,Chatham,33244,1627,14040,947,4169,610,4169,610,0,37,0,37,0,37,9871,729,9729,718,142,96,123,96,19,37,19204,1145,4110,559,4110,559,0,37,0,37,0,37,15094,832,14983,834,111,62,57,52,54,44
45,Avalon Park,9617,760,4380,490,932,239,932,239,0,19,0,19,0,19,3448,419,3392,416,56,38,28,32,28,26,5237,460,984,243,984,243,0,19,0,19,0,19,4253,337,4140,335,113,70,30,26,83,62
46,South Chicago,29458,1592,13445,944,4230,532,4099,530,131,78,0,37,131,78,9215,703,7421,605,1794,390,542,171,1252,354,16013,991,4055,509,3862,502,193,101,24,53,169,93,11958,696,10437,674,1521,271,532,166,989,227
47,Burnside,3508,686,1618,405,619,291,619,291,0,11,0,11,0,11,999,238,940,242,59,68,16,23,43,58,1890,384,429,195,429,195,0,11,0,11,0,11,1461,235,1420,232,41,37,41,37,0,11
48,Calumet Heights,14382,814,6292,539,1455,265,1423,259,32,50,0,27,32,50,4837,403,4513,382,324,166,149,70,175,152,8090,561,1557,312,1490,303,67,67,40,49,27,35,6533,399,6201,409,332,131,192,86,140,94
49,Roseland,45285,1660,20754,1030,5455,641,5455,641,0,41,0,41,0,41,15299,751,14953,750,346,118,212,100,134,71,24531,1018,5496,550,5488,550,8,43,0,41,8,43,19035,775,18682,778,353,142,160,88,193,99
50,Pullman,7262,584,2915,341,832,205,832,205,0,19,0,19,0,19,2083,249,1959,247,124,74,40,34,84,62,4347,410,869,242,869,242,0,19,0,19,0,19,3478,272,3356,263,122,73,44,34,78,57
51,South Deering,16445,1030,7059,599,2046,382,2046,382,0,25,0,25,0,25,5013,469,4034,418,979,244,647,182,332,171,9386,803,2442,456,2318,435,124,106,5,24,119,105,6944,498,5744,457,1200,249,526,152,674,196
52,East Side,23517,1386,11224,755,3554,501,3401,484,153,101,40,70,113,79,7670,502,3983,398,3687,487,1770,292,1917,441,12293,871,4021,568,3822,559,199,124,25,46,174,119,8272,508,4977,434,3295,362,1630,238,1665,287
53,West Pullman,30810,1644,13937,956,4691,587,4608,583,83,74,14,43,69,72,9246,681,8807,680,439,166,175,94,264,144,16873,1020,4264,633,4255,632,9,40,0,39,9,40,12609,717,12263,724,346,114,101,68,245,93
54,Riverdale,6820,725,2574,436,1482,322,1482,322,0,16,0,16,0,16,1092,235,1065,235,27,22,27,22,0,16,4246,526,1525,291,1525,291,0,16,0,16,0,16,2721,333,2694,336,27,23,27,23,0,16
55,Hegewisch,10168,928,5247,596,1736,408,1719,407,17,31,0,19,17,31,3511,451,2969,441,542,171,346,127,196,113,4921,494,1199,327,1185,324,14,25,0,19,14,25,3722,372,3183,389,539,155,345,108,194,124
56,Garfield Ridge,33940,1080,16713,770,3904,432,3789,432,115,77,20,50,95,71,12809,599,9019,587,3790,408,2376,300,1414,275,17227,675,3950,389,3903,389,47,52,32,51,15,44,13277,525,9532,551,3745,413,2063,302,1682,298
57,Archer Heights,13434,778,6590,465,1930,253,1896,252,34,36,3,26,31,35,4660,351,1914,279,2746,335,1013,184,1733,303,6844,515,2106,352,1927,328,179,78,18,28,161,77,4738,332,2077,298,2661,274,1017,169,1644,269
58,Brighton Park,44148,1807,22697,1146,7609,715,7171,707,438,175,41,51,397,171,15088,784,5586,547,9502,669,2806,346,6696,654,21451,1030,6968,610,6406,589,562,184,119,105,443,157,14483,665,5769,523,8714,582,2813,321,5901,547
59,McKinley Park,16434,925,8491,554,2562,393,2447,386,115,72,46,40,69,59,5929,390,2888,317,3041,346,1200,199,1841,305,7943,581,2012,327,1896,322,116,69,18,29,98,67,5931,407,3187,328,2744,325,1331,205,1413,261
60,Bridgeport,32430,1332,16194,772,3332,430,3045,428,287,140,100,66,187,126,12862,602,7351,470,5511,523,2866,349,2645,424,16236,830,3567,451,3433,441,134,79,43,56,91,63,12669,607,7531,468,5138,455,2932,317,2206,372
61,New City,42107,1897,21239,1259,7008,652,6544,642,464,144,16,48,448,143,14231,954,8172,844,6059,549,1350,250,4709,518,20868,1089,6819,640,6385,615,434,144,26,48,408,142,14049,694,8985,603,5064,417,1109,201,3955,386
62,West Elsdon,18980,1098,9470,684,2795,438,2549,374,246,125,57,66,189,110,6675,467,3081,361,3594,419,1345,218,2249,354,9510,657,2636,436,2463,430,173,100,0,27,173,100,6874,380,3347,336,3527,374,1332,225,2195,332
63,Gage Park,39492,1743,19992,1125,6475,580,5865,549,610,185,95,74,515,173,13517,822,4674,506,8843,683,2157,302,6686,679,19500,1034,6605,630,6092,580,513,200,3,38,510,200,12895,663,4712,444,8183,610,1926,265,6257,641
64,Clearing,22716,982,11119,697,3064,438,2897,427,167,103,0,31,167,103,8055,493,6031,527,2024,304,873,174,1151,273,11597,628,2476,386,2342,383,134,102,1,30,133,102,9121,455,6457,445,2664,363,1346,232,1318,297
65,West Lawn,32950,1269,17019,913,5444,584,5282,585,162,89,34,50,128,74,11575,679,5361,528,6214,609,2273,426,3941,503,15931,750,4850,455,4491,429,359,159,91,107,268,123,11081,563,5898,487,5183,473,1821,295,3362,428
66,Chicago Lawn,54807,2224,25277,1296,9103,791,8832,783,271,108,31,60,240,101,16174,917,10524,811,5650,564,1433,240,4217,545,29530,1395,9597,867,9270,861,327,136,14,48,313,136,19933,848,14516,785,5417,510,1515,231,3902,490
67,West Englewood,35294,1620,16382,946,5251,523,5237,522,14,51,0,48,14,51,11131,718,10824,707,307,169,79,68,228,154,18912,969,4774,534,4765,534,9,49,9,49,0,48,14138,663,13785,661,353,145,144,88,209,124
68,Englewood,28824,1517,12386,812,4241,517,4241,517,0,36,0,36,0,36,8145,629,8028,628,117,84,77,66,40,62,16438,1044,4548,557,4535,554,13,41,0,36,13,41,11890,704,11819,706,71,56,54,52,17,38
69,Greater Grand Crossing,32873,1529,14367,893,4291,556,4262,556,29,56,0,38,29,56,10076,697,9897,698,179,90,110,69,69,69,18506,1013,4874,531,4845,534,29,56,0,38,29,56,13632,699,13500,705,132,69,93,56,39,56
70,Ashburn,42788,1596,21156,1026,6036,665,5991,664,45,50,23,45,22,43,15120,724,11924,695,3196,392,1703,284,1493,315,21632,959,5567,541,5473,537,94,79,7,36,87,80,16065,671,13230,641,2835,395,1184,217,1651,367
71,Auburn Gresham,49634,1882,21087,1095,6406,649,6397,648,9,45,0,46,9,45,14681,853,14467,853,214,110,88,74,126,91,28547,1262,6974,695,6968,695,6,46,0,46,6,46,21573,849,21361,850,212,117,113,90,99,86
72,Beverly,21226,812,10155,535,2820,302,2804,301,16,36,0,29,16,36,7335,392,7068,388,267,82,215,76,52,40,11071,550,3003,324,2959,325,44,47,44,47,0,29,8068,397,7655,397,413,123,331,112,82,55
73,Washington Heights,26021,1161,11584,824,3046,430,3046,430,0,33,0,33,0,33,8538,656,8438,653,100,73,22,34,78,70,14437,717,2638,383,2638,383,0,33,0,33,0,33,11799,589,11711,588,88,63,79,63,9,34
74,Mount Greenwood,18475,761,9271,455,2518,280,2518,280,0,25,0,25,0,25,6753,339,6518,347,235,93,154,70,81,57,9204,543,2131,329,2122,329,9,27,9,27,0,25,7073,373,6799,384,274,123,105,60,169,105
75,Morgan Park,22681,1102,10458,733,2712,388,2678,388,34,49,11,34,23,47,7746,603,7529,580,217,95,149,83,68,53,12223,719,2721,436,2704,431,17,35,11,34,6,32,9502,466,9160,467,342,151,231,134,111,84
76,O'Hare,13687,1091,7034,671,1305,423,1200,412,105,118,0,38,105,118,5729,461,2616,404,3113,477,1450,311,1663,406,6653,661,1254,408,1182,397,72,81,14,42,58,78,5399,428,2311,349,3088,422,1676,363,1412,324
77,Edgewater,55333,1717,27471,1157,3134,467,2824,430,310,148,22,50,288,147,24337,1023,16389,863,7948,770,3117,416,4831,698,27862,1175,3431,487,2873,451,558,216,147,99,411,209,24431,1009,16368,884,8063,802,4128,507,3935,619
