area_id,area_name,b21001001,b21001001_moe,b21001002,b21001002_moe,b21001003,b21001003_moe,b21001004,b21001004_moe,b21001005,b21001005_moe,b21001006,b21001006_moe,b21001007,b21001007_moe,b21001008,b21001008_moe,b21001009,b21001009_moe,b21001010,b21001010_moe,b21001011,b21001011_moe,b21001012,b21001012_moe,b21001013,b21001013_moe,b21001014,b21001014_moe,b21001015,b21001015_moe,b21001016,b21001016_moe,b21001017,b21001017_moe,b21001018,b21001018_moe,b21001019,b21001019_moe,b21001020,b21001020_moe,b21001021,b21001021_moe,b21001022,b21001022_moe,b21001023,b21001023_moe,b21001024,b21001024_moe,b21001025,b21001025_moe,b21001026,b21001026_moe,b21001027,b21001027_moe,b21001028,b21001028_moe,b21001029,b21001029_moe,b21001030,b21001030_moe,b21001031,b21001031_moe,b21001032,b21001032_moe,b21001033,b21001033_moe,b21001034,b21001034_moe,b21001035,b21001035_moe,b21001036,b21001036_moe,b21001037,b21001037_moe,b21001038,b21001038_moe,b21001039,b21001039_moe
11,Jefferson Park,20959,899,1120,227,19839,902,10260,584,1074,221,9186,592,3105,418,25,36,3080,420,4135,390,171,91,3964,391,1483,262,240,100,1243,250,767,173,279,109,488,146,770,194,359,144,411,133,10699,555,46,49,10653,553,2885,382,0,29,2885,382,3837,361,39,48,3798,363,1808,257,0,29,1808,257,959,182,7,30,952,182,1210,219,0,29,1210,219
12,Forest Glen,14105,471,987,153,13118,504,6924,351,918,150,6006,371,1636,251,30,39,1606,250,2707,239,104,68,2603,241,1231,174,160,64,1071,170,713,141,281,92,432,123,637,132,343,99,294,96,7181,305,69,59,7112,312,1423,242,0,29,1423,242,2750,218,15,35,2735,220,1285,183,12,31,1273,183,757,139,0,29,757,139,966,175,42,52,924,173
13,North Park,14488,746,621,199,13867,741,6941,505,491,169,6450,490,2473,419,83,101,2390,386,2460,282,86,73,2374,279,835,153,76,50,759,147,651,172,89,48,562,169,522,135,157,81,365,112,7547,473,130,96,7417,448,2005,289,0,27,2005,289,2655,302,92,89,2563,299,999,197,0,27,999,197,892,168,38,45,854,166,996,206,0,27,996,206
14,Albany Park,40539,1464,1151,252,39388,1461,21338,1089,1105,242,20233,1088,9266,798,235,122,9031,808,8117,658,244,119,7873,654,2383,336,330,136,2053,318,870,188,110,75,760,175,702,196,186,82,516,178,19201,851,46,57,19155,851,7867,651,0,45,7867,651,7018,541,32,56,6986,541,1987,321,14,47,1973,321,1062,218,0,45,1062,218,1267,256,0,45,1267,256
15,Portage Park,48943,1309,2019,305,46924,1310,22958,825,1937,293,21021,821,7489,627,54,61,7435,627,9239,589,420,171,8819,575,3626,379,515,137,3111,355,1449,253,361,121,1088,226,1155,206,587,141,568,155,25985,909,82,74,25903,904,7670,657,53,67,7617,649,9743,594,20,56,9723,593,4158,409,0,47,4158,409,2239,302,9,48,2230,301,2175,283,0,47,2175,283
16,Irving Park,43408,1431,1858,297,41550,1447,22190,1027,1713,276,20477,1035,8465,735,215,121,8250,736,8884,624,444,151,8440,618,2581,343,477,135,2104,318,1371,243,308,111,1063,223,889,188,269,92,620,165,21218,825,145,94,21073,825,7881,612,13,50,7868,612,7803,531,90,88,7713,532,2983,347,31,52,2952,344,1313,220,0,47,1313,220,1238,217,11,48,1227,217
17,Dunning,34320,961,1546,203,32774,979,16569,660,1517,204,15052,684,5336,502,87,69,5249,499,6199,450,247,100,5952,450,2579,290,376,106,2203,274,1349,232,292,89,1057,224,1106,158,515,114,591,127,17751,633,29,46,17722,634,4774,501,0,40,4774,501,5967,426,23,46,5944,426,3101,322,0,40,3101,322,1740,231,0,40,1740,231,2169,222,6,40,2163,222
18,Montclare,9385,568,712,171,8673,549,4433,372,681,165,3752,358,1576,274,36,35,1540,269,1379,216,142,84,1237,207,758,174,69,52,689,168,191,76,47,38,144,64,529,157,387,127,142,94,4952,349,31,30,4921,348,1494,272,4,18,1490,272,1693,243,0,23,1693,243,719,169,27,31,692,164,349,117,0,23,349,117,697,176,0,23,697,176
19,Belmont Cragin,54665,1738,1382,256,53283,1731,27476,1182,1294,236,26182,1174,10897,839,135,89,10762,836,10806,704,260,113,10546,698,3325,382,373,134,2952,360,1536,232,217,103,1319,216,912,188,309,118,603,159,27189,934,88,87,27101,936,9886,700,29,69,9857,698,10561,613,59,75,10502,613,3381,359,0,52,3381,359,1948,286,0,52,1948,286,1413,220,0,52,1413,220
20,Hermosa,17799,932,439,143,17360,919,8691,629,439,143,8252,623,3377,454,108,88,3269,447,3608,381,92,72,3516,376,904,200,87,60,817,188,532,166,41,46,491,159,270,102,111,67,159,84,9108,590,0,29,9108,590,3265,447,0,29,3265,447,3380,332,0,29,3380,332,1400,244,0,29,1400,244,639,177,0,29,639,177,424,139,0,29,424,139
