area_id,area_name,b19313f001,b19313f001_moe
BK90,East Williamsburg,65393700,14677923
BK91,East Flatbush-Farragut,14838000,6592451
BK93,Starrett City,14188700,9305562
BK95,Erasmus,12546800,5995262
BK96,Rugby-Remsen Village,17139400,9133646
BX01,Claremont-Bathgate,123631400,17110223
BX03,Eastchester-Edenwald-Baychester,79849400,17870249
BX05,Bedford Park-Fordham North,389145100,40678911
BX06,Belmont,113102000,19707387
BX07,Bronxdale,178671100,27827178
