area_id,area_name,c23002a001,c23002a001_moe,c23002a002,c23002a002_moe,c23002a003,c23002a003_moe,c23002a004,c23002a004_moe,c23002a005,c23002a005_moe,c23002a006,c23002a006_moe,c23002a007,c23002a007_moe,c23002a008,c23002a008_moe,c23002a009,c23002a009_moe,c23002a010,c23002a010_moe,c23002a011,c23002a011_moe,c23002a012,c23002a012_moe,c23002a013,c23002a013_moe,c23002a014,c23002a014_moe,c23002a015,c23002a015_moe,c23002a016,c23002a016_moe,c23002a017,c23002a017_moe,c23002a018,c23002a018_moe,c23002a019,c23002a019_moe,c23002a020,c23002a020_moe,c23002a021,c23002a021_moe,c23002a022,c23002a022_moe,c23002a023,c23002a023_moe,c23002a024,c23002a024_moe,c23002a025,c23002a025_moe,c23002a026,c23002a026_moe,c23002a027,c23002a027_moe
MN27,Chinatown,9052,736,4858,551,4450,546,3641,509,0,44,3641,509,3348,468,293,151,809,196,408,141,26,48,26,48,0,44,382,139,4194,522,3586,492,3011,477,0,44,3011,477,2810,462,201,128,575,166,608,157,58,63,58,63,0,44,550,147
MN28,Lower East Side,25529,1255,12641,845,10769,790,7643,643,0,56,7643,643,6766,587,877,259,3126,472,1872,299,346,191,301,147,45,79,1526,236,12888,800,10033,756,7186,644,0,56,7186,644,6414,593,772,229,2847,401,2855,324,281,128,271,127,10,57,2574,311
MN31,Lenox Hill-Roosevelt Island,58623,1942,25918,1300,20848,1251,17767,1088,28,55,17739,1088,16884,1084,855,272,3081,579,5070,516,2004,339,1930,334,74,80,3066,415,32705,1380,25930,1320,20678,1211,0,53,20678,1211,19603,1185,1075,295,5252,639,6775,614,1644,322,1506,310,138,91,5131,537
MN32,Yorkville,57536,1706,24486,1136,20132,1065,17958,982,0,50,17958,982,17033,951,925,281,2174,433,4354,506,1713,343,1647,336,66,83,2641,405,33050,1340,27115,1313,22259,1241,0,50,22259,1241,20702,1246,1557,469,4856,581,5935,575,1568,326,1544,327,24,53,4367,502
MN33,East Harlem South,19538,1351,9600,906,8634,878,6451,764,0,50,6451,764,5961,747,490,188,2183,423,966,192,222,97,212,96,10,47,744,170,9938,829,8224,752,5778,586,0,50,5778,586,5224,557,554,169,2446,402,1714,267,156,72,156,72,0,50,1558,255
MN34,East Harlem North,10950,1061,4995,622,4343,586,2835,448,0,50,2835,448,2430,428,405,139,1508,379,652,168,91,74,56,59,35,67,561,153,5955,736,4750,659,2865,492,0,50,2865,492,2404,424,461,211,1885,436,1205,252,84,77,84,77,0,50,1121,246
MN35,Washington Heights North,27957,1481,13503,944,11497,889,9043,780,88,107,8955,774,7853,727,1102,270,2454,432,2006,279,425,120,415,119,10,52,1581,256,14454,938,11000,862,8455,743,0,52,8455,743,7913,727,542,173,2545,375,3454,387,492,161,472,159,20,52,2962,364
MN36,Washington Heights South,21973,1654,11145,1056,9922,1032,7476,827,12,57,7464,827,6532,785,932,271,2446,489,1223,248,211,113,204,112,7,55,1012,228,10828,949,8542,809,5739,642,0,56,5739,642,4824,569,915,255,2803,444,2286,418,260,137,237,136,23,66,2026,353
MN40,Upper East Side-Carnegie Hill,44912,1353,19867,795,13659,715,12224,664,12,53,12212,664,11573,639,639,194,1435,253,6208,440,3111,352,3047,347,64,66,3097,340,25045,863,17136,799,11201,667,0,52,11201,667,10633,667,568,174,5935,539,7909,503,2104,300,1974,296,130,79,5805,455
MN50,Stuyvesant Town-Cooper Village,15038,940,6975,819,6098,817,5133,718,0,22,5133,718,4705,683,428,156,965,609,877,220,153,94,140,100,13,23,724,195,8063,860,6109,810,5158,783,0,22,5158,783,4762,755,396,179,951,242,1954,262,258,115,213,106,45,42,1696,251
MN99,park-cemetery-etc-Manhattan,470,147,381,148,366,148,51,45,0,32,51,45,26,37,25,35,315,140,15,36,3,30,0,32,3,30,12,34,89,91,54,60,15,39,0,32,15,39,15,39,0,32,39,56,35,52,0,32,0,32,0,32,35,52
