area_id,area_name,b05003d001,b05003d001_moe,b05003d002,b05003d002_moe,b05003d003,b05003d003_moe,b05003d004,b05003d004_moe,b05003d005,b05003d005_moe,b05003d006,b05003d006_moe,b05003d007,b05003d007_moe,b05003d008,b05003d008_moe,b05003d009,b05003d009_moe,b05003d010,b05003d010_moe,b05003d011,b05003d011_moe,b05003d012,b05003d012_moe,b05003d013,b05003d013_moe,b05003d014,b05003d014_moe,b05003d015,b05003d015_moe,b05003d016,b05003d016_moe,b05003d017,b05003d017_moe,b05003d018,b05003d018_moe,b05003d019,b05003d019_moe,b05003d020,b05003d020_moe,b05003d021,b05003d021_moe,b05003d022,b05003d022_moe,b05003d023,b05003d023_moe
MN11,Central Harlem South,1809,436,737,233,139,102,100,78,39,67,6,45,33,67,598,185,118,80,480,165,218,119,262,118,1072,259,117,89,110,89,7,45,7,45,0,45,955,225,256,123,699,182,283,103,416,139
MN12,Upper West Side,8779,1048,3148,536,442,190,309,160,133,120,14,67,119,120,2706,478,792,245,1914,408,960,298,954,247,5631,733,478,211,403,206,75,76,57,72,18,72,5153,643,2016,433,3137,473,1234,281,1903,384
MN13,Hudson Yards-Chelsea-Flat Iron-Union Square,8240,835,3503,494,236,101,176,94,60,61,42,55,18,60,3267,486,1040,309,2227,405,1074,288,1153,280,4737,591,302,124,261,119,41,60,14,56,27,58,4435,571,1650,357,2785,434,1393,290,1392,326
MN14,Lincoln Square,6573,878,2546,513,356,229,311,215,45,87,0,48,45,87,2190,371,693,245,1497,301,889,241,608,189,4027,556,407,161,293,142,114,78,35,52,79,71,3620,494,1069,305,2551,405,1437,315,1114,273
MN15,Clinton,5841,655,2876,471,239,109,212,106,27,48,0,43,27,48,2637,452,780,242,1857,376,932,225,925,275,2965,459,151,71,95,59,56,48,16,40,40,50,2814,450,889,285,1925,379,921,228,1004,310
MN17,Midtown-Midtown South,4941,528,2549,375,65,74,30,52,35,73,0,51,35,73,2484,362,686,200,1798,306,772,199,1026,221,2392,333,83,65,47,53,36,61,28,59,8,52,2309,325,610,183,1699,280,601,159,1098,230
MN19,Turtle Bay-East Midtown,6894,712,3417,512,296,139,212,121,84,83,0,48,84,83,3121,493,1020,316,2101,424,888,236,1213,352,3477,449,153,93,153,93,0,48,0,48,0,48,3324,433,933,236,2391,382,1074,209,1317,306
MN20,Murray Hill-Kips Bay,6845,852,2841,499,258,135,250,132,8,43,0,42,8,43,2583,468,1150,379,1433,287,564,185,869,228,4004,582,272,142,272,142,0,42,0,42,0,42,3732,549,1306,342,2426,437,1410,362,1016,258
MN21,Gramercy,2865,470,972,309,27,39,27,39,0,34,0,34,0,34,945,305,369,155,576,244,240,127,336,177,1893,344,50,46,35,46,15,42,0,34,15,42,1843,337,596,217,1247,276,744,203,503,198
MN22,East Village,6419,879,2639,505,137,107,137,107,0,40,0,40,0,40,2502,481,982,344,1520,353,712,178,808,327,3780,636,297,170,177,121,120,122,106,121,14,42,3483,576,1527,353,1956,418,1199,300,757,262
