area_id,area_name,b23008001,b23008001_moe,b23008002,b23008002_moe,b23008003,b23008003_moe,b23008004,b23008004_moe,b23008005,b23008005_moe,b23008006,b23008006_moe,b23008007,b23008007_moe,b23008008,b23008008_moe,b23008009,b23008009_moe,b23008010,b23008010_moe,b23008011,b23008011_moe,b23008012,b23008012_moe,b23008013,b23008013_moe,b23008014,b23008014_moe,b23008015,b23008015_moe,b23008016,b23008016_moe,b23008017,b23008017_moe,b23008018,b23008018_moe,b23008019,b23008019_moe,b23008020,b23008020_moe,b23008021,b23008021_moe,b23008022,b23008022_moe,b23008023,b23008023_moe,b23008024,b23008024_moe,b23008025,b23008025_moe,b23008026,b23008026_moe,b23008027,b23008027_moe
BX34,Melrose South-Mott Haven North,11542,983,4130,557,748,239,323,151,290,165,135,91,0,42,3382,547,311,171,306,171,5,40,3071,524,1752,323,1319,435,7412,711,1399,366,785,302,436,212,117,89,61,60,6013,678,476,199,454,197,22,52,5537,664,3725,561,1812,471
BX35,Morrisania-Melrose,10576,767,3452,444,1034,279,578,227,255,116,164,125,37,53,2418,407,183,130,183,130,0,40,2235,390,1586,333,649,240,7124,649,1962,459,1097,294,355,157,271,206,239,252,5162,593,441,214,431,214,10,40,4721,572,3844,511,877,297
BX36,University Heights-Morris Heights,13909,948,4543,532,1435,360,370,148,932,319,57,80,76,121,3108,463,489,189,454,185,35,62,2619,431,1874,341,745,282,9366,768,2756,483,1567,405,796,268,227,150,166,136,6610,720,642,249,606,242,36,73,5968,684,4619,614,1349,368
BX37,Van Nest-Morris Park-Westchester Square,7459,684,2734,397,1441,319,799,263,634,226,8,42,0,42,1293,282,287,135,257,132,30,51,1006,258,785,245,221,96,4725,545,2308,407,1506,363,684,210,61,70,57,73,2417,436,386,229,336,222,50,62,2031,384,1800,373,231,126
BX39,Mott Haven-Port Morris,14604,913,5028,553,1279,316,588,240,645,217,7,50,39,65,3749,484,526,175,466,168,60,65,3223,462,1910,337,1313,320,9576,703,2452,443,1443,343,903,269,98,72,8,47,7124,670,949,268,773,251,176,113,6175,649,4054,551,2121,410
BX40,Fordham South,8272,854,2929,549,537,219,382,193,154,106,1,32,0,32,2392,533,254,140,221,131,33,59,2138,522,1105,323,1033,435,5343,621,1099,336,792,312,267,165,40,56,0,32,4244,576,190,105,173,102,17,39,4054,580,2733,469,1321,426
BX41,Mount Hope,13836,833,4647,482,1194,254,710,190,431,162,53,78,0,51,3453,438,416,155,367,152,49,57,3037,421,2218,379,819,236,9189,658,2756,452,1935,393,612,204,158,105,51,58,6433,588,820,272,677,254,143,109,5613,566,4024,493,1589,351
BX43,Norwood,10897,803,4296,512,1848,393,696,221,1060,318,8,41,84,97,2448,403,558,228,528,224,30,50,1890,361,1288,302,602,225,6601,569,2381,439,988,252,1072,326,59,63,262,173,4220,535,517,223,466,215,51,70,3703,527,2933,469,770,288
BX44,Williamsbridge-Olinville,16200,1038,5759,607,1921,404,1339,331,366,168,127,117,89,148,3838,477,502,184,420,176,82,77,3336,456,2552,383,784,257,10441,812,3221,523,2167,412,720,287,255,135,79,90,7220,717,939,280,783,268,156,95,6281,681,5226,639,1055,284
BX46,Parkchester,7041,648,2746,481,1618,390,668,261,860,291,67,111,23,40,1128,330,275,151,191,128,84,88,853,294,731,282,122,92,4295,521,1682,396,841,297,765,303,59,95,17,45,2613,440,485,213,467,214,18,39,2128,418,1776,381,352,191
