area_id,area_name,c23002h001,c23002h001_moe,c23002h002,c23002h002_moe,c23002h003,c23002h003_moe,c23002h004,c23002h004_moe,c23002h005,c23002h005_moe,c23002h006,c23002h006_moe,c23002h007,c23002h007_moe,c23002h008,c23002h008_moe,c23002h009,c23002h009_moe,c23002h010,c23002h010_moe,c23002h011,c23002h011_moe,c23002h012,c23002h012_moe,c23002h013,c23002h013_moe,c23002h014,c23002h014_moe,c23002h015,c23002h015_moe,c23002h016,c23002h016_moe,c23002h017,c23002h017_moe,c23002h018,c23002h018_moe,c23002h019,c23002h019_moe,c23002h020,c23002h020_moe,c23002h021,c23002h021_moe,c23002h022,c23002h022_moe,c23002h023,c23002h023_moe,c23002h024,c23002h024_moe,c23002h025,c23002h025_moe,c23002h026,c23002h026_moe,c23002h027,c23002h027_moe
BK82,East New York,1376,310,628,169,472,152,260,125,0,65,260,125,225,110,35,87,212,104,156,93,0,65,0,65,0,65,156,93,748,220,502,180,170,100,0,65,170,100,161,99,9,65,332,158,246,114,0,65,0,65,0,65,246,114
BK83,Cypress Hills-City Line,2123,409,961,233,809,218,559,156,0,49,559,156,544,155,15,49,250,113,152,79,5,49,5,49,0,49,147,79,1162,245,904,223,485,151,0,49,485,151,473,146,12,54,419,135,258,95,22,47,22,47,0,49,236,93
BK85,East New York (Pennsylvania Ave),331,199,168,122,164,116,71,67,0,36,71,67,71,67,0,36,93,85,4,35,0,36,0,36,0,36,4,35,163,107,160,103,20,36,0,36,20,36,20,36,0,36,140,103,3,35,0,36,0,36,0,36,3,35
BK88,Borough Park,50121,1538,24606,927,21331,929,14072,678,0,68,14072,678,12985,644,1087,208,7259,591,3275,299,504,118,487,116,17,68,2771,288,25515,864,20677,832,11134,625,0,68,11134,625,10354,600,780,195,9543,596,4838,411,410,116,374,116,36,71,4428,402
BK90,East Williamsburg,14163,763,6960,553,6353,544,5591,524,0,40,5591,524,5151,514,440,143,762,186,607,141,74,50,65,48,9,42,533,133,7203,497,6372,492,5290,459,0,40,5290,459,5013,441,277,124,1082,234,831,150,120,63,111,62,9,40,711,142
BK91,East Flatbush-Farragut,773,204,382,126,349,124,264,111,0,54,264,111,204,101,60,71,85,79,33,49,8,54,8,54,0,54,25,49,391,138,291,131,256,117,0,54,256,117,238,106,18,59,35,58,100,63,8,54,8,54,0,54,92,62
BK93,Starrett City,3681,533,1391,279,667,201,451,200,0,24,451,200,417,193,34,37,216,123,724,190,20,30,20,30,0,24,704,189,2290,360,1175,347,546,220,0,24,546,220,486,213,60,65,629,281,1115,211,4,20,4,20,0,24,1111,210
BK95,Erasmus,287,125,188,100,188,100,66,53,0,36,66,53,66,53,0,36,122,71,0,36,0,36,0,36,0,36,0,36,99,50,69,46,34,42,0,36,34,42,34,42,0,36,35,38,30,38,0,36,0,36,0,36,30,38
BK96,Rugby-Remsen Village,591,213,307,153,218,144,130,127,0,54,130,127,130,127,0,54,88,78,89,66,8,54,8,54,0,54,81,66,284,117,186,107,115,91,0,54,115,91,49,76,66,73,71,68,98,75,30,56,30,56,0,54,68,71
BK99,park-cemetery-etc-Brooklyn,161,113,72,67,72,67,45,52,0,40,45,52,45,52,0,40,27,58,0,40,0,40,0,40,0,40,0,40,89,71,72,68,64,66,0,40,64,66,64,66,0,40,8,40,17,46,0,40,0,40,0,40,17,46
BX01,Claremont-Bathgate,238,118,148,94,125,90,61,57,0,40,61,57,29,46,32,52,64,58,23,42,0,40,0,40,0,40,23,42,90,53,78,50,52,51,0,40,52,51,38,48,14,44,26,38,12,42,0,40,0,40,0,40,12,42
BX03,Eastchester-Edenwald-Baychester,849,325,274,111,218,109,151,95,0,40,151,95,129,92,22,43,67,53,56,47,12,42,0,40,12,42,44,45,575,247,444,242,328,234,0,40,328,234,318,227,10,46,116,66,131,63,1,37,1,37,0,40,130,63
BX05,Bedford Park-Fordham North,3349,618,1506,381,1231,316,758,232,0,50,758,232,571,192,187,140,473,187,275,152,24,52,24,52,0,50,251,148,1843,345,1205,306,765,241,14,52,751,239,617,201,134,122,440,184,638,168,70,65,57,63,13,51,568,150
BX06,Belmont,4324,602,1840,292,1598,275,670,182,0,34,670,182,607,173,63,72,928,181,242,96,64,58,64,58,0,34,178,81,2484,450,2003,420,865,252,0,34,865,252,822,244,43,40,1138,269,481,134,0,34,0,34,0,34,481,134
BX07,Bronxdale,4583,584,2243,314,1701,286,1161,261,0,38,1161,261,848,215,313,138,540,178,542,150,60,45,60,45,0,38,482,142,2340,385,1470,339,972,322,0,38,972,322,817,236,155,141,498,174,870,190,36,46,36,46,0,38,834,189
BX08,West Farms-Bronx River,507,182,280,160,229,146,127,108,0,40,127,108,116,108,11,42,102,99,51,51,15,38,8,38,7,40,36,51,227,87,124,74,75,61,0,40,75,61,63,56,12,43,49,57,103,60,0,40,0,40,0,40,103,60
BX09,Soundview-Castle Hill-Clason Point-Harding Park,578,156,256,99,195,92,160,83,0,50,160,83,137,79,23,51,35,57,61,51,12,46,12,46,0,50,49,51,322,101,183,83,115,69,0,50,115,69,115,69,0,50,68,54,139,65,6,49,0,50,6,49,133,65
BX10,Pelham Bay-Country Club-City Island,14263,953,6596,593,5069,563,4086,529,0,34,4086,529,3640,514,446,175,983,226,1527,236,174,83,174,83,0,34,1353,230,7667,613,4943,575,3616,516,0,34,3616,516,3402,485,214,122,1327,273,2724,308,332,123,322,122,10,36,2392,290
BX13,Co-op City,3796,524,1819,378,1033,329,527,205,0,33,527,205,457,195,70,62,506,212,786,179,140,92,120,88,20,41,646,163,1977,323,751,249,489,201,0,33,489,201,382,172,107,119,262,121,1226,248,57,57,57,57,0,33,1169,256
BX14,East Concourse-Concourse Village,934,390,567,360,484,357,258,189,0,51,258,189,241,187,17,55,226,188,83,64,0,51,0,51,0,51,83,64,367,141,220,100,73,70,0,51,73,70,73,70,0,51,147,86,147,108,14,53,14,53,0,51,133,107
BX17,East Tremont,660,260,282,139,247,133,109,80,0,45,109,80,109,80,0,45,138,91,35,56,0,45,0,45,0,45,35,56,378,168,346,165,105,79,0,45,105,79,95,77,10,48,241,146,32,45,6,43,6,43,0,45,26,45
BX22,North Riverdale-Fieldston-Riverdale,15407,801,7388,519,5773,463,4313,375,9,39,4304,375,4068,373,236,93,1460,284,1615,226,466,111,434,108,32,42,1149,203,8019,507,5238,455,3633,406,0,38,3633,406,3495,397,138,84,1605,268,2781,289,418,113,382,106,36,53,2363,289
BX26,Highbridge,237,112,138,87,125,85,74,65,0,42,74,65,29,45,45,60,51,62,13,42,0,42,0,42,0,42,13,42,99,60,70,56,25,45,0,42,25,45,13,44,12,43,45,51,29,41,0,42,0,42,0,42,29,41
BX27,Hunts Point,272,90,169,72,169,72,73,48,0,38,73,48,56,43,17,43,96,66,0,38,0,38,0,38,0,38,0,38,103,56,88,55,66,52,0,38,66,52,28,40,38,45,22,43,15,37,0,38,0,38,0,38,15,37
BX28,Van Cortlandt Village,4884,542,2419,353,1623,318,1311,305,0,43,1311,305,1145,290,166,91,312,123,796,167,102,74,102,74,0,43,694,154,2465,348,1443,266,1214,263,0,43,1214,263,1086,256,128,89,229,84,1022,205,119,77,119,77,0,43,903,194
BX29,Spuyten Duyvil-Kingsbridge,12593,662,5876,438,4350,409,3424,367,0,38,3424,367,3092,333,332,134,926,208,1526,211,346,102,332,100,14,38,1180,189,6717,438,4121,382,3054,299,0,38,3054,299,2749,286,305,113,1067,250,2596,274,467,127,458,125,9,37,2129,255
BX30,Kingsbridge Heights,826,246,360,151,140,105,91,77,0,38,91,77,66,62,25,42,49,54,220,96,10,39,10,39,0,38,210,95,466,160,101,107,23,44,0,38,23,44,23,44,0,38,78,105,365,119,31,47,31,47,0,38,334,112
BX31,Allerton-Pelham Gardens,7794,649,3736,363,2444,322,1800,254,0,42,1800,254,1679,241,121,79,644,167,1292,175,165,72,153,70,12,45,1127,169,4058,428,2616,402,1747,316,0,42,1747,316,1629,299,118,73,869,207,1442,191,146,71,146,71,0,42,1296,186
BX33,Longwood,271,111,106,60,93,55,59,49,0,36,59,49,59,49,0,36,34,38,13,40,0,36,0,36,0,36,13,40,165,92,143,84,72,38,0,36,72,38,72,38,0,36,71,75,22,44,0,36,0,36,0,36,22,44
BX34,Melrose South-Mott Haven North,539,239,324,189,300,187,257,181,0,42,257,181,247,180,10,44,43,58,24,45,0,42,0,42,0,42,24,45,215,111,208,111,86,67,0,42,86,67,62,64,24,51,122,91,7,40,0,42,0,42,0,42,7,40
BX35,Morrisania-Melrose,372,129,207,95,194,86,82,61,0,40,82,61,82,61,0,40,112,61,13,36,11,39,11,39,0,40,2,36,165,79,148,75,52,47,0,40,52,47,36,43,16,40,96,65,17,44,0,40,0,40,0,40,17,44
BX36,University Heights-Morris Heights,771,260,372,163,358,162,107,80,0,51,107,80,71,64,36,67,251,133,14,51,0,51,0,51,0,51,14,51,399,167,369,164,134,111,0,51,134,111,92,104,42,65,235,107,30,54,0,51,0,51,0,51,30,54
BX37,Van Nest-Morris Park-Westchester Square,6890,667,3330,382,2562,366,1939,313,9,42,1930,313,1751,295,179,95,623,160,768,149,92,51,89,50,3,40,676,140,3560,410,2264,338,1536,258,0,42,1536,258,1343,231,193,92,728,170,1296,225,117,63,117,63,0,42,1179,224
BX39,Mott Haven-Port Morris,746,245,493,204,488,204,363,180,0,50,363,180,334,179,29,50,125,94,5,46,5,46,5,46,0,50,0,50,253,99,199,94,106,71,0,50,106,71,92,61,14,53,93,64,54,56,9,50,9,50,0,50,45,54
BX40,Fordham South,403,156,267,122,140,104,80,81,0,32,80,81,80,81,0,32,60,66,127,77,15,37,15,37,0,32,112,74,136,82,80,64,64,61,0,32,64,61,25,49,39,48,16,34,56,59,23,47,23,47,0,32,33,45
BX41,Mount Hope,582,194,321,136,310,135,171,105,0,51,171,105,110,79,61,69,139,88,11,53,11,53,11,53,0,51,0,51,261,105,229,101,127,77,0,51,127,77,127,77,0,51,102,78,32,49,1,50,1,50,0,51,31,51
BX43,Norwood,4395,636,2223,401,1793,369,1362,306,0,41,1362,306,1262,303,100,78,431,145,430,125,159,78,159,78,0,41,271,98,2172,341,1682,309,854,224,0,41,854,224,780,217,74,62,828,209,490,132,60,54,60,54,0,41,430,127
BX44,Williamsbridge-Olinville,1366,335,623,195,368,159,252,147,0,54,252,147,231,145,21,59,116,74,255,110,9,54,9,54,0,54,246,109,743,254,419,228,295,218,0,54,295,218,278,217,17,56,124,78,324,109,16,51,16,51,0,54,308,108
BX46,Parkchester,1014,245,522,162,332,139,250,118,0,36,250,118,205,106,45,60,82,76,190,92,0,36,0,36,0,36,190,92,492,162,409,152,315,145,0,36,315,145,315,145,0,36,94,69,83,59,14,40,14,40,0,36,69,56
BX49,Pelham Parkway,9609,773,4418,471,3197,420,2321,338,0,38,2321,338,2123,327,198,95,876,236,1221,224,131,59,131,59,0,38,1090,216,5191,456,3532,390,2389,319,0,38,2389,319,2199,310,190,101,1143,259,1659,269,140,74,140,74,0,38,1519,266
BX52,Schuylerville-Throgs Neck-Edgewater Park,19299,1157,9682,766,7601,699,5790,654,8,53,5782,653,5124,626,658,183,1811,319,2081,328,343,151,283,144,60,65,1738,274,9617,667,6589,601,4752,523,0,52,4752,523,4318,487,434,152,1837,326,3028,311,195,112,165,106,30,64,2833,305
BX55,Soundview-Bruckner,512,159,215,97,151,87,94,70,0,40,94,70,94,70,0,40,57,52,64,49,0,40,0,40,0,40,64,49,297,105,102,60,75,58,0,40,75,58,66,53,9,38,27,38,195,86,12,42,12,42,0,40,183,85
BX59,Westchester-Unionport,1417,290,583,173,428,156,287,130,0,36,287,130,248,111,39,48,141,77,155,66,0,36,0,36,0,36,155,66,834,176,472,128,255,96,0,36,255,96,225,90,30,46,217,93,362,113,19,44,19,44,0,36,343,109
BX62,Woodlawn-Wakefield,6384,507,3104,317,2411,309,1857,266,0,48,1857,266,1583,255,274,115,554,156,693,144,64,62,60,62,4,47,629,136,3280,352,2307,311,1718,253,0,48,1718,253,1522,244,196,86,589,169,973,164,126,83,116,81,10,49,847,154
BX63,West Concourse,712,321,348,191,299,179,192,118,0,42,192,118,161,108,31,63,107,108,49,55,0,42,0,42,0,42,49,55,364,171,327,154,227,121,0,42,227,121,227,121,0,42,100,77,37,55,0,42,0,42,0,42,37,55
BX75,Crotona Park East,206,134,122,120,122,120,121,120,0,29,121,120,117,120,4,27,1,27,0,29,0,29,0,29,0,29,0,29,84,64,71,63,45,52,0,29,45,52,45,52,0,29,26,44,13,29,0,29,0,29,0,29,13,29
BX98,Rikers Island,644,136,531,128,528,128,0,17,0,17,0,17,0,17,0,17,528,128,3,6,0,17,0,17,0,17,3,6,113,54,113,54,0,17,0,17,0,17,0,17,0,17,113,54,0,17,0,17,0,17,0,17,0,17
BX99,park-cemetery-etc-Bronx,110,57,55,42,43,40,42,42,0,32,42,42,42,42,0,32,1,29,12,33,0,32,0,32,0,32,12,33,55,41,50,40,39,38,0,32,39,38,39,38,0,32,11,32,5,31,0,32,0,32,0,32,5,31
MN01,Marble Hill-Inwood,6467,619,3356,453,2981,440,2694,432,6,40,2688,432,2562,421,126,89,287,111,375,99,139,63,139,63,0,41,236,90,3111,339,2657,336,2438,328,0,41,2438,328,2267,325,171,102,219,83,454,119,69,53,69,53,0,41,385,119
MN03,Central Harlem North-Polo Grounds,5481,603,2875,446,2755,437,2242,361,0,59,2242,361,2148,356,94,78,513,192,120,95,92,88,92,88,0,59,28,65,2606,369,2485,366,2114,335,0,59,2114,335,1977,329,137,96,371,150,121,96,39,64,27,64,12,59,82,91
MN04,Hamilton Heights,5808,723,2785,428,2730,428,2389,397,0,46,2389,397,2251,393,138,83,341,149,55,59,16,50,16,50,0,46,39,51,3023,498,2957,493,2563,446,0,46,2563,446,2438,439,125,89,394,147,66,61,16,50,16,50,0,46,50,58
MN06,Manhattanville,1996,518,786,211,755,209,595,184,0,34,595,184,571,180,24,40,160,103,31,41,0,34,0,34,0,34,31,41,1210,395,1183,389,1018,378,0,34,1018,378,1006,377,12,31,165,89,27,48,0,34,0,34,0,34,27,48
MN09,Morningside Heights,23972,1489,10693,810,9781,790,6549,571,0,45,6549,571,6208,557,341,128,3232,514,912,190,581,159,532,155,49,55,331,104,13279,1118,11771,1111,6609,622,0,45,6609,622,6206,623,403,161,5162,805,1508,250,392,146,375,144,17,49,1116,214
MN11,Central Harlem South,7422,663,3620,446,3471,424,2847,397,33,55,2814,395,2645,382,169,93,624,164,149,135,51,53,51,53,0,45,98,110,3802,472,3660,462,2957,433,0,45,2957,433,2805,427,152,71,703,177,142,80,15,47,15,47,0,45,127,78
MN12,Upper West Side,79806,2057,37672,1408,31174,1379,27732,1219,13,69,27719,1217,26367,1198,1352,289,3442,569,6498,514,2900,346,2732,341,168,92,3598,401,42134,1504,33728,1420,26831,1306,0,68,26831,1306,25803,1247,1028,282,6897,680,8406,567,2921,362,2676,349,245,109,5485,495
MN13,Hudson Yards-Chelsea-Flat Iron-Union Square,41581,1443,21943,964,19369,923,17265,849,0,54,17265,849,16377,823,888,248,2104,386,2574,324,1186,260,1000,241,186,109,1388,231,19638,1063,16612,1014,13225,889,0,54,13225,889,12367,871,858,269,3387,548,3026,342,851,214,712,194,139,105,2175,285
MN14,Lincoln Square,38543,1521,19053,1138,15371,990,13775,947,0,48,13775,947,12940,925,835,231,1596,356,3682,544,1423,300,1347,289,76,88,2259,441,19490,978,14794,876,11807,802,0,48,11807,802,11068,805,739,205,2987,452,4696,535,1186,267,1042,253,144,87,3510,501
MN15,Clinton,23920,1162,12647,879,11498,882,10611,842,0,43,10611,842,9718,809,893,256,887,256,1149,254,272,120,239,117,33,48,877,215,11273,799,10057,773,8571,712,0,43,8571,712,7857,706,714,237,1486,362,1216,244,298,124,253,119,45,50,918,209
